,>ENST00000434771.1,>ENST00000514681.4,>ENST00000424719.2,>ENST00000560687.2,ENSG00000201999.1,>ENST00000505390.1,>ENST00000528506.1,>ENST00000403786.1,>ENST00000447236.1,>ENST00000417429.1,>ENST00000429100.1,>ENST00000457530.1,>ENST00000521692.1,>ENST00000555669.1,>ENST00000567680.1,>ENST00000526107.1,>ENST00000487122.1,>ENST00000608562.4,>ENST00000600819.1,>ENST00000619393.1,>ENST00000547720.1,>ENST00000429273.1,>ENST00000416003.1,>ENST00000574228.1,>ENST00000426279.1,>ENST00000391458.4,>ENST00000532415.5,>ENST00000413946.1,>ENST00000448218.2,>ENST00000567275.2,>ENST00000434019.1,>ENST00000477007.1,>ENST00000603069.1,>ENST00000541658.2,>ENST00000557753.1,>ENST00000414101.1,>ENST00000428444.2,>ENST00000426910.1,>ENST00000523552.1,>ENST00000471472.2,>ENST00000484446.1,>ENST00000487479.1,>ENST00000303758.7,>ENST00000429076.1,>ENST00000610289.2,>ENST00000457739.1,>ENST00000558282.5,>ENST00000479785.1,>ENST00000604826.1,>ENST00000532521.2,>ENST00000442718.1,>ENST00000437634.1,>ENST00000428051.1
>ENST00000429100.1,7.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,0.0,11.0,7.0,7.0,10.0,9.0,7.0,8.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,7.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,13.0,9.0,8.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0
>ENST00000457530.1,10.0,9.0,8.0,15.0,8.0,10.0,9.0,8.0,10.0,13.0,11.0,0.0,10.0,9.0,10.0,10.0,8.0,11.0,11.0,8.0,10.0,11.0,11.0,12.0,9.0,11.0,11.0,10.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,11.0,11.0,11.0,9.0,10.0,9.0,12.0,10.0,11.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0
>ENST00000521692.1,9.0,10.0,8.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,7.0,10.0,0.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,10.0,10.0,10.0,7.0,12.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,7.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,8.0,10.0,9.0,8.0
>ENST00000555669.1,8.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,9.0,9.0,0.0,9.0,9.0,10.0,7.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,7.0,13.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,7.0,9.0,10.0,7.0,9.0,8.0
>ENST00000567680.1,9.0,12.0,10.0,9.0,10.0,12.0,10.0,9.0,11.0,13.0,10.0,10.0,9.0,9.0,0.0,10.0,9.0,11.0,14.0,8.0,9.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,8.0,9.0,8.0,10.0,10.0,12.0,8.0,11.0,10.0,11.0,11.0,12.0,9.0,9.0,11.0,9.0,12.0,12.0,9.0,10.0,10.0
>ENST00000526107.1,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,0.0,10.0,11.0,10.0,11.0,8.0,9.0,10.0,12.0,11.0,11.0,10.0,9.0,9.0,11.0,12.0,10.0,10.0,11.0,9.0,10.0,10.0,13.0,9.0,10.0,11.0,11.0,9.0,9.0,10.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,10.0
>ENST00000487122.1,10.0,8.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,12.0,7.0,8.0,8.0,10.0,9.0,10.0,0.0,9.0,9.0,7.0,8.0,7.0,9.0,8.0,10.0,8.0,10.0,7.0,9.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,9.0
>ENST00000608562.4,11.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,11.0,9.0,7.0,11.0,11.0,9.0,0.0,10.0,7.0,9.0,7.0,11.0,8.0,9.0,9.0,11.0,7.0,10.0,11.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,11.0,7.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,7.0,9.0,9.0,8.0,9.0,9.0
>ENST00000600819.1,8.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,14.0,10.0,9.0,10.0,0.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,11.0,12.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,12.0,9.0,10.0,11.0,9.0,9.0,11.0,13.0,10.0,11.0,10.0,10.0,11.0,10.0,13.0,11.0
>ENST00000619393.1,7.0,9.0,7.0,7.0,7.0,10.0,6.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,11.0,7.0,7.0,10.0,0.0,10.0,9.0,9.0,10.0,10.0,9.0,13.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,7.0,8.0,9.0,11.0,8.0,9.0,9.0,8.0,12.0,8.0,9.0,8.0,9.0,8.0,9.0
>ENST00000547720.1,9.0,9.0,11.0,9.0,8.0,8.0,8.0,9.0,9.0,13.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,0.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,13.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,12.0,10.0,11.0,9.0,10.0,13.0,10.0
>ENST00000429273.1,10.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,11.0,7.0,7.0,9.0,9.0,7.0,7.0,10.0,9.0,9.0,0.0,8.0,10.0,8.0,7.0,10.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,11.0,7.0,11.0,9.0,8.0,9.0,9.0,9.0,7.0,11.0,7.0,12.0,9.0,8.0,9.0,10.0
>ENST00000416003.1,9.0,10.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,8.0,0.0,11.0,13.0,12.0,11.0,9.0,12.0,11.0,12.0,10.0,10.0,9.0,11.0,10.0,11.0,13.0,13.0,10.0,10.0,10.0,12.0,11.0,11.0,10.0,11.0,9.0,10.0,12.0,9.0,10.0,12.0
>ENST00000574228.1,8.0,8.0,11.0,10.0,8.0,10.0,10.0,8.0,8.0,12.0,8.0,12.0,10.0,9.0,10.0,12.0,8.0,8.0,10.0,10.0,9.0,10.0,11.0,0.0,10.0,11.0,11.0,9.0,9.0,10.0,13.0,9.0,10.0,9.0,9.0,12.0,9.0,12.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,11.0,9.0
>ENST00000426279.1,8.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,8.0,13.0,10.0,0.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,12.0,12.0,10.0,11.0,11.0,14.0,7.0,15.0,10.0,9.0,13.0,10.0,12.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,11.0
>ENST00000391458.4,8.0,11.0,9.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,11.0,7.0,7.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,7.0,12.0,11.0,10.0,0.0,12.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,8.0,9.0,10.0,11.0,9.0,8.0,11.0,8.0,9.0,10.0,11.0,10.0,9.0
>ENST00000532415.5,11.0,15.0,13.0,10.0,13.0,10.0,9.0,10.0,10.0,12.0,9.0,11.0,12.0,13.0,11.0,10.0,10.0,11.0,11.0,13.0,12.0,10.0,11.0,11.0,11.0,12.0,0.0,12.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,16.0,9.0,10.0,12.0,12.0,10.0,12.0,13.0,11.0,15.0,12.0,16.0,10.0,12.0,12.0,11.0
>ENST00000413946.1,10.0,8.0,8.0,10.0,6.0,10.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,7.0,7.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,0.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0
>ENST00000448218.2,9.0,10.0,10.0,11.0,8.0,9.0,8.0,8.0,8.0,11.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,11.0,9.0,11.0,8.0,12.0,9.0,10.0,9.0,11.0,10.0,0.0,11.0,13.0,10.0,11.0,11.0,12.0,10.0,11.0,11.0,10.0,12.0,10.0,14.0,10.0,11.0,12.0,9.0,10.0,10.0,9.0,14.0,12.0,10.0,9.0
>ENST00000567275.2,11.0,10.0,10.0,13.0,10.0,8.0,9.0,8.0,9.0,10.0,10.0,11.0,9.0,8.0,10.0,11.0,8.0,11.0,12.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,11.0,0.0,10.0,11.0,11.0,10.0,9.0,11.0,11.0,11.0,10.0,12.0,9.0,10.0,11.0,10.0,12.0,9.0,13.0,9.0,11.0,12.0,9.0,10.0,10.0
>ENST00000434019.1,9.0,10.0,10.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,12.0,8.0,8.0,9.0,9.0,10.0,8.0,12.0,13.0,9.0,8.0,11.0,9.0,13.0,10.0,0.0,9.0,10.0,9.0,10.0,11.0,11.0,15.0,9.0,11.0,8.0,11.0,10.0,11.0,10.0,10.0,15.0,9.0,11.0,11.0,9.0,12.0,10.0
>ENST00000477007.1,9.0,8.0,11.0,9.0,7.0,9.0,9.0,8.0,10.0,14.0,8.0,11.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0,8.0,11.0,10.0,10.0,11.0,9.0,0.0,10.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,13.0,10.0,10.0,11.0,8.0,9.0,10.0,10.0,10.0,10.0
>ENST00000603069.1,9.0,11.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,8.0,10.0,7.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,12.0,8.0,11.0,8.0,11.0,11.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,11.0,8.0,11.0,11.0,10.0,9.0,11.0,9.0,9.0,12.0,9.0,11.0,10.0,8.0,9.0,14.0
>ENST00000541658.2,9.0,10.0,10.0,9.0,7.0,10.0,9.0,8.0,8.0,10.0,8.0,10.0,9.0,7.0,9.0,11.0,7.0,8.0,10.0,10.0,10.0,8.0,9.0,9.0,12.0,9.0,11.0,8.0,11.0,10.0,9.0,9.0,10.0,0.0,9.0,9.0,8.0,12.0,8.0,12.0,9.0,12.0,8.0,10.0,10.0,10.0,11.0,7.0,11.0,9.0,10.0,11.0,9.0
>ENST00000557753.1,8.0,10.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,11.0,8.0,11.0,9.0,10.0,10.0,11.0,9.0,12.0,9.0,10.0,9.0,10.0,9.0,0.0,9.0,10.0,11.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,33.0,10.0,10.0
>ENST00000414101.1,8.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,8.0,10.0,12.0,11.0,9.0,11.0,9.0,10.0,11.0,11.0,11.0,10.0,9.0,9.0,0.0,12.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0
>ENST00000428444.2,9.0,8.0,9.0,9.0,8.0,12.0,8.0,8.0,10.0,8.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,13.0,10.0,11.0,9.0,11.0,10.0,14.0,9.0,11.0,11.0,11.0,9.0,10.0,8.0,10.0,12.0,0.0,13.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,11.0,11.0,10.0,8.0,14.0,10.0
>ENST00000426910.1,11.0,10.0,12.0,11.0,10.0,10.0,9.0,11.0,15.0,13.0,10.0,11.0,10.0,9.0,12.0,13.0,11.0,11.0,12.0,10.0,11.0,11.0,13.0,12.0,14.0,10.0,16.0,10.0,11.0,11.0,15.0,11.0,11.0,12.0,11.0,11.0,13.0,0.0,12.0,13.0,11.0,13.0,11.0,10.0,13.0,11.0,14.0,11.0,14.0,12.0,11.0,11.0,9.0
>ENST00000523552.1,7.0,9.0,7.0,8.0,6.0,8.0,7.0,8.0,11.0,8.0,8.0,9.0,7.0,7.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0,7.0,13.0,8.0,7.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,12.0,0.0,12.0,8.0,9.0,10.0,9.0,8.0,12.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0
>ENST00000471472.2,9.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,10.0,8.0,8.0,10.0,8.0,10.0,11.0,10.0,9.0,15.0,11.0,10.0,10.0,12.0,12.0,11.0,9.0,11.0,12.0,10.0,10.0,9.0,13.0,12.0,0.0,9.0,11.0,11.0,10.0,10.0,8.0,12.0,9.0,10.0,9.0,8.0,12.0,9.0
>ENST00000484446.1,13.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0,10.0,11.0,8.0,9.0,11.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,12.0,9.0,10.0,9.0,8.0,8.0,11.0,9.0,8.0,11.0,10.0,11.0,8.0,9.0,0.0,11.0,8.0,10.0,9.0,11.0,12.0,9.0,11.0,8.0,9.0,9.0,10.0
>ENST00000487479.1,8.0,9.0,8.0,10.0,9.0,10.0,9.0,7.0,11.0,10.0,9.0,12.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,12.0,10.0,14.0,10.0,11.0,9.0,10.0,12.0,10.0,10.0,10.0,13.0,9.0,11.0,11.0,0.0,10.0,9.0,12.0,9.0,15.0,8.0,10.0,11.0,9.0,10.0,9.0
>ENST00000303758.7,8.0,8.0,9.0,13.0,7.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,12.0,9.0,13.0,10.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,11.0,10.0,11.0,8.0,10.0,0.0,10.0,12.0,8.0,12.0,9.0,11.0,11.0,9.0,9.0,10.0
>ENST00000429076.1,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,10.0,10.0,13.0,11.0,8.0,11.0,12.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,12.0,10.0,11.0,10.0,11.0,13.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,0.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,13.0
>ENST00000610289.2,9.0,10.0,8.0,9.0,11.0,8.0,8.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,13.0,9.0,10.0,9.0,11.0,10.0,12.0,9.0,13.0,10.0,12.0,12.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,13.0,8.0,10.0,9.0,12.0,12.0,10.0,0.0,12.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0
>ENST00000457739.1,9.0,9.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,7.0,10.0,9.0,11.0,8.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,11.0,11.0,12.0,8.0,11.0,9.0,8.0,9.0,12.0,0.0,11.0,8.0,12.0,10.0,8.0,10.0,10.0
>ENST00000558282.5,11.0,10.0,10.0,15.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,9.0,10.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,15.0,11.0,10.0,13.0,15.0,11.0,12.0,11.0,10.0,11.0,13.0,14.0,10.0,12.0,12.0,15.0,12.0,11.0,12.0,11.0,0.0,11.0,12.0,12.0,12.0,11.0,11.0
>ENST00000479785.1,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,10.0,8.0,10.0,7.0,9.0,9.0,10.0,8.0,12.0,10.0,10.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,11.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,11.0,0.0,10.0,10.0,10.0,9.0,10.0
>ENST00000604826.1,10.0,11.0,10.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,12.0,10.0,8.0,9.0,10.0,9.0,11.0,12.0,10.0,10.0,11.0,9.0,16.0,9.0,9.0,11.0,11.0,9.0,11.0,11.0,9.0,9.0,11.0,14.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,12.0,12.0,10.0,0.0,10.0,11.0,12.0,11.0
>ENST00000532521.2,11.0,9.0,10.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0,12.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0,12.0,11.0,10.0,10.0,10.0,9.0,14.0,12.0,11.0,10.0,10.0,9.0,8.0,10.0,10.0,12.0,9.0,9.0,8.0,11.0,11.0,10.0,9.0,10.0,12.0,10.0,10.0,0.0,10.0,12.0,10.0
>ENST00000442718.1,9.0,7.0,8.0,8.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,12.0,9.0,12.0,9.0,9.0,10.0,8.0,10.0,33.0,10.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,8.0,12.0,10.0,11.0,10.0,0.0,9.0,9.0
>ENST00000437634.1,8.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,13.0,8.0,13.0,9.0,10.0,11.0,10.0,10.0,12.0,11.0,10.0,10.0,12.0,10.0,9.0,11.0,10.0,9.0,14.0,11.0,9.0,12.0,9.0,10.0,9.0,10.0,12.0,10.0,11.0,9.0,12.0,12.0,9.0,0.0,10.0
>ENST00000428051.1,11.0,8.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,12.0,9.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,14.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,13.0,10.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,0.0
