,>ENST00000442202.1,>ENST00000523621.2,>ENST00000517571.1,>ENST00000396461.3,>ENST00000564874.1,>ENST00000225587.1,ENSG00000126890.13,>ENST00000527643.1,>ENST00000505008.1,>ENST00000460178.1,>ENST00000406538.1,>ENST00000580853.1,>ENST00000429893.1,>ENST00000504623.1,>ENST00000519275.1,>ENST00000552531.1,>ENST00000445879.1,>ENST00000560619.2,>ENST00000561747.2,>ENST00000425106.1,>ENST00000624824.1,ENSG00000223080.1,>ENST00000490840.1,>ENST00000619901.1,>ENST00000438729.1,>ENST00000433493.1,>ENST00000464146.1,>ENST00000452014.1,>ENST00000403590.1,ENSG00000274641.1,>ENST00000421328.1,>ENST00000517577.2,>ENST00000604518.1,>ENST00000412915.1,>ENST00000456070.1,>ENST00000425149.1,>ENST00000505573.2,>ENST00000618989.1,ENSG00000202100.1,ENSG00000202069.1,>ENST00000515313.1,ENSG00000198883.11,>ENST00000411920.1,>ENST00000439564.5,>ENST00000415677.1,>ENST00000448473.1,>ENST00000558620.2
>ENST00000406538.1,11.0,10.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0,7.0,0.0,9.0,12.0,9.0,10.0,10.0,10.0,11.0,8.0,10.0,10.0,7.0,9.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,8.0,12.0
>ENST00000580853.1,7.0,10.0,12.0,9.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,0.0,11.0,9.0,10.0,12.0,10.0,9.0,9.0,10.0,10.0,9.0,7.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,10.0,11.0,10.0,10.0,10.0,9.0,12.0
>ENST00000429893.1,9.0,9.0,10.0,10.0,10.0,9.0,11.0,8.0,10.0,9.0,12.0,11.0,0.0,15.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,9.0,13.0,12.0,9.0,9.0,16.0,9.0,11.0,9.0,13.0,10.0,10.0,12.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0
>ENST00000504623.1,8.0,9.0,9.0,9.0,9.0,11.0,11.0,8.0,8.0,8.0,9.0,9.0,15.0,0.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,7.0,8.0,10.0,8.0,11.0,10.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0
>ENST00000519275.1,8.0,10.0,8.0,11.0,10.0,8.0,10.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,0.0,9.0,10.0,11.0,8.0,11.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,11.0,7.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0
>ENST00000552531.1,10.0,11.0,10.0,12.0,9.0,9.0,9.0,12.0,10.0,9.0,10.0,12.0,10.0,9.0,9.0,0.0,10.0,9.0,7.0,10.0,9.0,7.0,9.0,8.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0,11.0,11.0,8.0,11.0,10.0,10.0,7.0,9.0,8.0,10.0,11.0,10.0,12.0,10.0,10.0,12.0
>ENST00000445879.1,9.0,10.0,9.0,8.0,11.0,9.0,10.0,10.0,11.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,0.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,11.0,8.0,10.0,10.0,8.0,9.0,13.0,11.0,10.0,9.0,11.0,10.0,7.0,7.0,8.0,11.0,11.0,10.0,12.0,11.0,12.0,12.0
>ENST00000560619.2,9.0,10.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,7.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0,0.0,7.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,12.0,8.0,9.0,9.0,7.0,10.0,9.0,15.0,7.0,7.0,9.0,11.0,11.0,10.0,8.0,8.0,10.0
>ENST00000561747.2,8.0,10.0,7.0,8.0,7.0,7.0,10.0,8.0,7.0,7.0,8.0,9.0,7.0,8.0,8.0,7.0,8.0,7.0,0.0,10.0,7.0,6.0,6.0,7.0,7.0,9.0,7.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,12.0,7.0,6.0,7.0,10.0,9.0,7.0,9.0,9.0,8.0,10.0
>ENST00000425106.1,10.0,11.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,0.0,10.0,8.0,9.0,12.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,12.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0,17.0,11.0,12.0,10.0,11.0,12.0
>ENST00000624824.1,9.0,8.0,9.0,12.0,8.0,7.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,7.0,10.0,0.0,7.0,10.0,8.0,8.0,9.0,8.0,8.0,11.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,7.0,7.0,8.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0
ENSG00000223080.1,7.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,7.0,6.0,7.0,9.0,10.0,9.0,8.0,7.0,9.0,7.0,6.0,8.0,7.0,0.0,7.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,8.0,9.0,7.0,6.0,6.0,8.0,8.0,6.0,9.0,6.0,8.0,12.0
>ENST00000490840.1,7.0,8.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,7.0,9.0,7.0,10.0,10.0,8.0,9.0,8.0,9.0,6.0,9.0,10.0,7.0,0.0,7.0,9.0,10.0,11.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,7.0,7.0,7.0,9.0,10.0,9.0,10.0,8.0,8.0,11.0
>ENST00000619901.1,8.0,10.0,8.0,8.0,9.0,7.0,9.0,8.0,13.0,7.0,8.0,10.0,9.0,7.0,8.0,8.0,9.0,9.0,7.0,12.0,8.0,6.0,7.0,0.0,8.0,8.0,9.0,8.0,10.0,7.0,12.0,8.0,10.0,9.0,7.0,9.0,11.0,8.0,7.0,7.0,9.0,9.0,10.0,9.0,7.0,8.0,11.0
>ENST00000438729.1,8.0,8.0,8.0,8.0,9.0,7.0,10.0,9.0,10.0,7.0,9.0,8.0,13.0,8.0,8.0,9.0,11.0,9.0,7.0,11.0,8.0,6.0,9.0,8.0,0.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,7.0,7.0,8.0,9.0,11.0,9.0,10.0,8.0,10.0,9.0
>ENST00000433493.1,8.0,9.0,8.0,10.0,9.0,8.0,9.0,11.0,11.0,9.0,10.0,10.0,12.0,10.0,9.0,10.0,11.0,9.0,9.0,11.0,9.0,7.0,10.0,8.0,11.0,0.0,10.0,12.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,12.0,8.0,7.0,7.0,10.0,89.0,9.0,11.0,10.0,11.0,14.0
>ENST00000464146.1,8.0,8.0,11.0,8.0,9.0,8.0,9.0,7.0,9.0,7.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,6.0,11.0,9.0,9.0,10.0,0.0,8.0,9.0,9.0,11.0,8.0,9.0,10.0,7.0,10.0,10.0,8.0,7.0,7.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0
>ENST00000452014.1,8.0,9.0,9.0,10.0,8.0,11.0,10.0,9.0,8.0,8.0,11.0,9.0,9.0,11.0,8.0,12.0,10.0,8.0,7.0,11.0,8.0,7.0,7.0,8.0,8.0,12.0,8.0,0.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0
>ENST00000403590.1,10.0,10.0,10.0,11.0,11.0,12.0,12.0,12.0,10.0,10.0,11.0,10.0,16.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,0.0,11.0,14.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,11.0,12.0,10.0,11.0,11.0,10.0,13.0
ENSG00000274641.1,8.0,9.0,8.0,13.0,7.0,7.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,11.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,11.0,0.0,10.0,7.0,10.0,9.0,8.0,11.0,9.0,7.0,7.0,7.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0
>ENST00000421328.1,8.0,10.0,10.0,10.0,9.0,8.0,11.0,8.0,9.0,13.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,12.0,8.0,11.0,9.0,8.0,9.0,12.0,9.0,10.0,11.0,9.0,14.0,10.0,0.0,9.0,11.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,15.0,12.0,11.0,9.0,12.0,9.0,12.0
>ENST00000517577.2,9.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,11.0,7.0,10.0,8.0,9.0,8.0,8.0,11.0,13.0,8.0,9.0,12.0,10.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,7.0,9.0,0.0,12.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
>ENST00000604518.1,9.0,11.0,8.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,13.0,9.0,9.0,11.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,12.0,0.0,10.0,8.0,9.0,10.0,11.0,8.0,9.0,9.0,12.0,10.0,11.0,9.0,11.0,11.0
>ENST00000412915.1,8.0,8.0,7.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,11.0,9.0,10.0,8.0,11.0,8.0,10.0,9.0,8.0,9.0,9.0,7.0,8.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,0.0,9.0,11.0,11.0,8.0,8.0,8.0,9.0,11.0,9.0,10.0,11.0,9.0,12.0
>ENST00000456070.1,8.0,9.0,8.0,8.0,7.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,7.0,7.0,9.0,11.0,6.0,10.0,7.0,10.0,9.0,7.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0,0.0,8.0,9.0,8.0,8.0,7.0,8.0,10.0,8.0,12.0,7.0,9.0,9.0
>ENST00000425149.1,7.0,8.0,8.0,9.0,10.0,7.0,10.0,9.0,8.0,8.0,8.0,9.0,12.0,8.0,9.0,10.0,11.0,10.0,7.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,11.0,8.0,0.0,10.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,9.0,7.0,13.0
>ENST00000505573.2,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,12.0,10.0,9.0,9.0,10.0,11.0,10.0,12.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,0.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,12.0
>ENST00000618989.1,7.0,8.0,7.0,7.0,8.0,6.0,9.0,7.0,7.0,8.0,9.0,8.0,9.0,8.0,11.0,7.0,7.0,15.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,9.0,9.0,7.0,8.0,10.0,11.0,8.0,8.0,8.0,8.0,0.0,6.0,10.0,9.0,8.0,7.0,8.0,9.0,7.0,9.0
ENSG00000202100.1,6.0,8.0,9.0,7.0,7.0,7.0,9.0,7.0,8.0,6.0,10.0,8.0,9.0,9.0,7.0,9.0,7.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,6.0,0.0,7.0,7.0,10.0,7.0,10.0,8.0,8.0,8.0
ENSG00000202069.1,8.0,10.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,7.0,9.0,7.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,10.0,8.0,6.0,7.0,7.0,8.0,7.0,7.0,8.0,10.0,7.0,10.0,8.0,9.0,8.0,7.0,8.0,9.0,10.0,7.0,0.0,8.0,8.0,7.0,10.0,8.0,7.0,9.0
>ENST00000515313.1,8.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,15.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,7.0,8.0,0.0,12.0,11.0,12.0,10.0,9.0,14.0
ENSG00000198883.11,10.0,11.0,11.0,11.0,12.0,10.0,13.0,10.0,12.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,9.0,17.0,11.0,8.0,10.0,9.0,11.0,89.0,11.0,10.0,12.0,10.0,12.0,10.0,12.0,11.0,10.0,10.0,10.0,8.0,10.0,8.0,12.0,0.0,12.0,12.0,11.0,10.0,11.0
>ENST00000411920.1,10.0,10.0,8.0,9.0,12.0,7.0,10.0,8.0,8.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,7.0,11.0,9.0,6.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,8.0,9.0,7.0,7.0,7.0,11.0,12.0,0.0,10.0,8.0,9.0,11.0
>ENST00000439564.5,9.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,11.0,10.0,11.0,9.0,10.0,12.0,12.0,10.0,9.0,12.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,8.0,10.0,10.0,12.0,12.0,10.0,0.0,11.0,10.0,10.0
>ENST00000415677.1,9.0,9.0,9.0,10.0,12.0,9.0,10.0,8.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,8.0,9.0,10.0,9.0,6.0,8.0,7.0,8.0,10.0,10.0,11.0,11.0,10.0,12.0,10.0,9.0,11.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0,11.0,8.0,11.0,0.0,9.0,11.0
>ENST00000448473.1,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,10.0,10.0,11.0,10.0,12.0,8.0,8.0,11.0,9.0,8.0,8.0,8.0,10.0,11.0,9.0,9.0,10.0,8.0,9.0,10.0,11.0,9.0,9.0,7.0,10.0,7.0,8.0,7.0,9.0,10.0,9.0,10.0,9.0,0.0,11.0
>ENST00000558620.2,12.0,10.0,10.0,11.0,9.0,9.0,13.0,11.0,12.0,9.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,10.0,12.0,10.0,12.0,11.0,11.0,9.0,14.0,11.0,10.0,13.0,10.0,12.0,11.0,11.0,12.0,9.0,13.0,12.0,9.0,8.0,9.0,14.0,11.0,11.0,10.0,11.0,11.0,0.0
