,>ENST00000504437.2,>ENST00000404020.2,ENSG00000229183.8,>ENST00000605349.1,>ENST00000397343.2,>ENST00000382840.3,>ENST00000415642.1,>ENST00000507767.1,>ENST00000506051.1,>ENST00000587663.1,>ENST00000423595.1,>ENST00000577757.1,>ENST00000446933.1,>ENST00000407765.1,>ENST00000443036.1,>ENST00000582255.2,ENSG00000201354.1,>ENST00000403073.1,>ENST00000432100.1,>ENST00000627667.2,ENSG00000172318.5,>ENST00000613027.1,>ENST00000449243.1,>ENST00000505681.1,>ENST00000394500.2,>ENST00000553035.1,>ENST00000438584.1,ENSG00000252624.1,>ENST00000604653.1,>ENST00000441186.2,>ENST00000519475.1,>ENST00000634304.1
>ENST00000449243.1,9.0,7.0,11.0,10.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,6.0,9.0,10.0,7.0,9.0,9.0,0.0,8.0,11.0,7.0,8.0,9.0,8.0,9.0,7.0,7.0
>ENST00000505681.1,9.0,10.0,12.0,10.0,9.0,8.0,8.0,10.0,12.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,7.0,9.0,10.0,8.0,10.0,10.0,8.0,0.0,11.0,9.0,9.0,7.0,11.0,11.0,9.0,10.0
>ENST00000394500.2,9.0,10.0,12.0,10.0,8.0,8.0,8.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,8.0,11.0,10.0,9.0,13.0,9.0,11.0,11.0,0.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0
>ENST00000553035.1,8.0,8.0,11.0,10.0,8.0,10.0,6.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,11.0,8.0,8.0,11.0,10.0,7.0,9.0,10.0,0.0,10.0,7.0,11.0,8.0,8.0,9.0
>ENST00000438584.1,10.0,10.0,11.0,10.0,10.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,8.0,11.0,9.0,8.0,6.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,0.0,7.0,9.0,9.0,11.0,7.0
ENSG00000252624.1,11.0,8.0,11.0,8.0,8.0,8.0,6.0,8.0,7.0,11.0,8.0,8.0,8.0,12.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,8.0,7.0,7.0,0.0,8.0,8.0,6.0,6.0
>ENST00000604653.1,9.0,10.0,12.0,8.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,9.0,8.0,11.0,9.0,8.0,8.0,11.0,9.0,8.0,11.0,11.0,8.0,11.0,10.0,11.0,9.0,8.0,0.0,9.0,9.0,9.0
>ENST00000441186.2,11.0,10.0,12.0,9.0,9.0,9.0,8.0,9.0,12.0,10.0,9.0,10.0,11.0,11.0,9.0,11.0,9.0,11.0,13.0,8.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,8.0,9.0,0.0,9.0,8.0
>ENST00000519475.1,8.0,9.0,12.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,10.0,9.0,12.0,9.0,9.0,7.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,11.0,6.0,9.0,9.0,0.0,7.0
>ENST00000634304.1,8.0,11.0,13.0,12.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,12.0,8.0,9.0,8.0,9.0,7.0,8.0,10.0,8.0,7.0,10.0,9.0,9.0,7.0,6.0,9.0,8.0,7.0,0.0
