,>ENST00000312918.2,>ENST00000423821.2,>ENST00000585629.1,>ENST00000432573.1,>ENST00000510683.2,>ENST00000482584.1,>ENST00000378718.2,>ENST00000435735.1,>ENST00000533043.1,>ENST00000441137.1,ENSG00000207274.1,>ENST00000455801.1,ENSG00000276932.1,>ENST00000604508.1,>ENST00000485945.1,>ENST00000412399.1,>ENST00000446317.1,>ENST00000418200.1,>ENST00000504327.1,>ENST00000610003.1,>ENST00000598115.1,>ENST00000429598.1,>ENST00000506790.1,>ENST00000454213.1,>ENST00000520062.1,>ENST00000548059.1,>ENST00000417617.1,>ENST00000424115.1,>ENST00000570921.5,>ENST00000550658.1,>ENST00000455109.2,>ENST00000464488.1,>ENST00000429707.1,>ENST00000431248.1,>ENST00000561363.2,>ENST00000612091.1,>ENST00000505249.1,>ENST00000520656.1,>ENST00000635586.1,>ENST00000426714.1,>ENST00000466577.1,>ENST00000565598.2,>ENST00000612331.1,>ENST00000432816.1,>ENST00000399581.4,ENSG00000212402.1,>ENST00000556081.2,>ENST00000599825.2,>ENST00000620830.1,>ENST00000413370.1,>ENST00000426934.1,>ENST00000533887.1,>ENST00000603616.1,>ENST00000422565.1,>ENST00000471997.1
ENSG00000207274.1,10.0,7.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,0.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,10.0,8.0,7.0,7.0,7.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,7.0,7.0,8.0,6.0,9.0,8.0,8.0,9.0,10.0,6.0,8.0
>ENST00000455801.1,11.0,10.0,10.0,8.0,11.0,9.0,12.0,14.0,11.0,10.0,9.0,0.0,8.0,8.0,9.0,12.0,11.0,11.0,12.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,12.0,11.0,9.0,9.0,9.0,9.0,12.0,8.0,7.0,12.0,11.0,9.0,11.0,8.0,10.0,12.0,12.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0
ENSG00000276932.1,7.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,0.0,7.0,7.0,7.0,8.0,11.0,9.0,11.0,9.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,6.0,9.0
>ENST00000604508.1,9.0,7.0,9.0,7.0,9.0,8.0,9.0,10.0,10.0,8.0,7.0,8.0,7.0,0.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,6.0,8.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,6.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,7.0,9.0,7.0,10.0,8.0,8.0,10.0,7.0,10.0,8.0,7.0,9.0,9.0,9.0,8.0
>ENST00000485945.1,9.0,8.0,9.0,8.0,10.0,9.0,13.0,11.0,8.0,8.0,8.0,9.0,7.0,8.0,0.0,9.0,10.0,11.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,12.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,7.0,8.0,8.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0
>ENST00000412399.1,10.0,10.0,10.0,9.0,12.0,8.0,11.0,10.0,11.0,9.0,8.0,12.0,7.0,9.0,9.0,0.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,12.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,11.0,11.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,7.0,8.0,8.0,10.0,9.0,9.0,12.0,10.0,9.0,9.0
>ENST00000446317.1,12.0,9.0,10.0,9.0,11.0,10.0,11.0,11.0,12.0,10.0,10.0,11.0,8.0,9.0,10.0,11.0,0.0,14.0,11.0,10.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,12.0,11.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,12.0,10.0,11.0,8.0,10.0,10.0,8.0,10.0,9.0,12.0,10.0,10.0,13.0,9.0,9.0,10.0
>ENST00000418200.1,12.0,11.0,9.0,9.0,12.0,10.0,11.0,12.0,9.0,10.0,9.0,11.0,11.0,9.0,11.0,12.0,14.0,0.0,18.0,9.0,11.0,10.0,11.0,9.0,11.0,11.0,13.0,11.0,10.0,10.0,10.0,12.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,7.0,12.0,17.0,10.0,10.0,14.0,9.0,11.0
>ENST00000504327.1,10.0,10.0,9.0,11.0,11.0,10.0,11.0,11.0,11.0,9.0,8.0,12.0,9.0,8.0,9.0,10.0,11.0,18.0,0.0,9.0,14.0,10.0,9.0,12.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,14.0,8.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0,9.0,13.0,9.0,12.0,10.0,8.0,8.0,9.0,10.0,16.0,9.0,10.0,10.0,9.0,11.0
>ENST00000610003.1,9.0,9.0,9.0,10.0,11.0,8.0,11.0,10.0,9.0,9.0,8.0,10.0,11.0,8.0,8.0,10.0,10.0,9.0,9.0,0.0,10.0,10.0,13.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,11.0,8.0,11.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,12.0,9.0,11.0,9.0,7.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0
>ENST00000598115.1,10.0,9.0,8.0,12.0,17.0,11.0,11.0,10.0,11.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,11.0,14.0,10.0,0.0,12.0,9.0,10.0,11.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,14.0,12.0,12.0,9.0,12.0,8.0,9.0,11.0,8.0,12.0,7.0,11.0,10.0,11.0,10.0,10.0,13.0,14.0
>ENST00000429598.1,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,9.0,9.0,13.0,9.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,12.0,10.0,13.0,11.0,9.0,10.0,9.0,12.0,10.0,8.0,9.0,7.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0
>ENST00000506790.1,8.0,7.0,9.0,7.0,9.0,8.0,8.0,10.0,9.0,8.0,7.0,9.0,7.0,6.0,8.0,10.0,10.0,11.0,9.0,13.0,9.0,9.0,0.0,9.0,10.0,8.0,7.0,9.0,9.0,9.0,8.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,7.0,10.0,8.0,10.0,9.0,7.0,10.0,7.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0
>ENST00000454213.1,9.0,7.0,12.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,7.0,8.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,9.0,9.0,0.0,10.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,8.0,11.0,9.0,11.0,8.0,12.0,10.0,9.0,8.0,9.0,15.0,9.0,9.0,10.0,10.0,9.0,10.0
>ENST00000520062.1,11.0,9.0,12.0,8.0,11.0,8.0,10.0,11.0,14.0,11.0,7.0,9.0,8.0,9.0,10.0,10.0,12.0,11.0,10.0,10.0,11.0,13.0,10.0,10.0,0.0,12.0,11.0,9.0,10.0,10.0,10.0,12.0,8.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,9.0,12.0,8.0,12.0,11.0,9.0,8.0,8.0,10.0,12.0,10.0,10.0,10.0,11.0,10.0
>ENST00000548059.1,10.0,7.0,10.0,7.0,11.0,9.0,9.0,9.0,10.0,8.0,7.0,8.0,7.0,10.0,9.0,8.0,9.0,11.0,9.0,10.0,12.0,9.0,8.0,9.0,12.0,0.0,8.0,8.0,11.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,11.0,7.0,9.0,6.0,8.0,9.0,7.0,9.0,7.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0
>ENST00000417617.1,10.0,11.0,9.0,8.0,12.0,11.0,11.0,12.0,11.0,9.0,8.0,10.0,7.0,8.0,9.0,9.0,10.0,13.0,11.0,11.0,10.0,10.0,7.0,9.0,11.0,8.0,0.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,11.0,12.0,16.0,8.0,12.0,9.0,10.0,10.0,10.0,9.0,7.0,9.0,11.0,10.0,10.0,13.0,9.0,11.0
>ENST00000424115.1,11.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,8.0,12.0,7.0,9.0,10.0,12.0,12.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,8.0,11.0,0.0,10.0,9.0,9.0,11.0,8.0,11.0,9.0,8.0,11.0,10.0,11.0,12.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,10.0,9.0,11.0
>ENST00000570921.5,9.0,11.0,11.0,11.0,12.0,10.0,11.0,12.0,11.0,9.0,8.0,11.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,10.0,11.0,11.0,10.0,0.0,8.0,10.0,11.0,9.0,12.0,10.0,8.0,11.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,8.0,13.0,11.0,11.0,11.0
>ENST00000550658.1,13.0,10.0,8.0,9.0,13.0,9.0,10.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,0.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,13.0,11.0,9.0,11.0,7.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,10.0
>ENST00000455109.2,12.0,10.0,9.0,10.0,13.0,10.0,10.0,10.0,11.0,7.0,8.0,9.0,8.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,0.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,11.0,7.0,8.0,9.0,7.0,9.0,7.0,9.0,10.0,9.0,8.0,9.0,8.0,11.0
>ENST00000464488.1,11.0,10.0,10.0,8.0,12.0,10.0,10.0,12.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,12.0,14.0,11.0,9.0,9.0,12.0,9.0,12.0,9.0,10.0,11.0,11.0,10.0,8.0,0.0,8.0,10.0,8.0,9.0,9.0,9.0,13.0,12.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,7.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0
>ENST00000429707.1,9.0,7.0,10.0,8.0,10.0,8.0,11.0,10.0,8.0,8.0,8.0,9.0,7.0,6.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,12.0,10.0,8.0,8.0,10.0,8.0,9.0,10.0,9.0,8.0,0.0,10.0,8.0,10.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0
>ENST00000431248.1,9.0,8.0,10.0,8.0,11.0,10.0,11.0,12.0,9.0,8.0,7.0,12.0,7.0,8.0,12.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,8.0,10.0,11.0,12.0,10.0,8.0,10.0,10.0,0.0,8.0,8.0,9.0,11.0,11.0,10.0,11.0,12.0,8.0,10.0,9.0,10.0,8.0,7.0,10.0,10.0,8.0,11.0,11.0,8.0,11.0
>ENST00000561363.2,7.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,0.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,6.0,8.0,8.0,10.0,8.0,7.0,10.0,8.0,7.0,8.0,8.0,9.0,11.0
>ENST00000612091.1,10.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,0.0,10.0,8.0,8.0,10.0,9.0,9.0,6.0,8.0,9.0,7.0,10.0,6.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0
>ENST00000505249.1,11.0,9.0,12.0,10.0,10.0,11.0,12.0,10.0,10.0,9.0,10.0,12.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,12.0,8.0,11.0,10.0,10.0,10.0,11.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,0.0,11.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0
>ENST00000520656.1,10.0,10.0,11.0,10.0,12.0,10.0,12.0,12.0,9.0,9.0,9.0,11.0,8.0,8.0,8.0,11.0,11.0,10.0,10.0,10.0,14.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,11.0,11.0,9.0,8.0,11.0,0.0,9.0,11.0,10.0,13.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0
>ENST00000635586.1,14.0,10.0,10.0,11.0,11.0,9.0,11.0,12.0,11.0,8.0,9.0,9.0,7.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,12.0,13.0,9.0,8.0,11.0,10.0,12.0,11.0,10.0,13.0,9.0,13.0,10.0,11.0,9.0,8.0,9.0,9.0,0.0,12.0,8.0,13.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,12.0,10.0
>ENST00000426714.1,11.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,9.0,11.0,9.0,11.0,8.0,10.0,10.0,10.0,12.0,10.0,11.0,9.0,12.0,11.0,10.0,11.0,9.0,11.0,16.0,12.0,11.0,11.0,10.0,12.0,9.0,10.0,9.0,10.0,10.0,11.0,12.0,0.0,9.0,10.0,10.0,11.0,12.0,9.0,9.0,8.0,11.0,10.0,13.0,10.0,11.0,9.0,10.0
>ENST00000466577.1,9.0,8.0,9.0,9.0,9.0,8.0,10.0,11.0,10.0,8.0,9.0,8.0,7.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,10.0,8.0,9.0,0.0,9.0,9.0,10.0,9.0,7.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0
>ENST00000565598.2,11.0,10.0,10.0,10.0,12.0,11.0,11.0,11.0,15.0,9.0,8.0,10.0,8.0,9.0,11.0,11.0,11.0,10.0,13.0,10.0,12.0,10.0,10.0,11.0,12.0,9.0,12.0,10.0,10.0,11.0,11.0,11.0,10.0,12.0,10.0,9.0,11.0,13.0,13.0,10.0,9.0,0.0,8.0,10.0,11.0,8.0,10.0,8.0,14.0,10.0,9.0,10.0,11.0,9.0,11.0
>ENST00000612331.1,8.0,7.0,8.0,7.0,9.0,7.0,9.0,10.0,10.0,8.0,7.0,12.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,6.0,9.0,9.0,10.0,7.0,7.0,8.0,9.0,8.0,6.0,6.0,9.0,9.0,9.0,10.0,9.0,8.0,0.0,10.0,7.0,6.0,7.0,7.0,9.0,9.0,7.0,8.0,7.0,8.0,8.0
>ENST00000432816.1,12.0,9.0,12.0,9.0,11.0,12.0,12.0,13.0,12.0,10.0,9.0,12.0,8.0,10.0,11.0,10.0,10.0,10.0,12.0,12.0,9.0,12.0,10.0,12.0,12.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,8.0,8.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,0.0,9.0,11.0,10.0,8.0,12.0,10.0,10.0,13.0,12.0,9.0,12.0
>ENST00000399581.4,9.0,10.0,9.0,10.0,9.0,11.0,11.0,11.0,11.0,9.0,7.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,12.0,9.0,11.0,7.0,9.0,0.0,7.0,9.0,6.0,9.0,10.0,9.0,11.0,8.0,10.0,11.0
ENSG00000212402.1,10.0,8.0,9.0,7.0,8.0,7.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,11.0,8.0,8.0,7.0,9.0,9.0,7.0,10.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,10.0,7.0,10.0,9.0,8.0,9.0,7.0,8.0,6.0,11.0,7.0,0.0,9.0,7.0,11.0,9.0,8.0,10.0,7.0,9.0,11.0
>ENST00000556081.2,11.0,8.0,10.0,8.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,7.0,10.0,8.0,8.0,10.0,10.0,8.0,9.0,12.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,8.0,10.0,9.0,9.0,7.0,10.0,7.0,10.0,9.0,9.0,0.0,6.0,10.0,9.0,9.0,9.0,9.0,8.0,11.0
>ENST00000599825.2,8.0,8.0,9.0,7.0,7.0,9.0,8.0,9.0,7.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,9.0,7.0,9.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,9.0,10.0,9.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,10.0,8.0,8.0,7.0,8.0,7.0,8.0,6.0,7.0,6.0,0.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0
>ENST00000620830.1,10.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,7.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,11.0,10.0,9.0,15.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,8.0,14.0,9.0,12.0,9.0,11.0,10.0,8.0,0.0,10.0,9.0,9.0,11.0,8.0,10.0
>ENST00000413370.1,11.0,9.0,11.0,11.0,10.0,11.0,10.0,11.0,11.0,8.0,8.0,10.0,7.0,8.0,11.0,9.0,10.0,17.0,16.0,9.0,10.0,11.0,10.0,9.0,12.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,0.0,10.0,10.0,10.0,9.0,9.0
>ENST00000426934.1,9.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,7.0,9.0,9.0,10.0,10.0,9.0,8.0,11.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,7.0,9.0,9.0,10.0,9.0,13.0,8.0,9.0,7.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,0.0,9.0,9.0,8.0,9.0
>ENST00000533887.1,9.0,9.0,10.0,9.0,9.0,10.0,10.0,13.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,12.0,13.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,11.0,13.0,8.0,8.0,9.0,9.0,11.0,8.0,9.0,10.0,12.0,9.0,10.0,8.0,10.0,8.0,13.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,0.0,10.0,11.0,11.0
>ENST00000603616.1,10.0,8.0,9.0,12.0,10.0,9.0,9.0,11.0,12.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,14.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,13.0,10.0,11.0,9.0,9.0,8.0,8.0,11.0,8.0,8.0,11.0,10.0,10.0,11.0,9.0,11.0,7.0,12.0,8.0,7.0,9.0,8.0,11.0,10.0,9.0,10.0,0.0,10.0,12.0
>ENST00000422565.1,9.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,6.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,13.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,11.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,12.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,6.0,8.0,9.0,8.0,11.0,10.0,0.0,8.0
>ENST00000471997.1,9.0,9.0,12.0,9.0,11.0,9.0,12.0,12.0,10.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,10.0,14.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,9.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,10.0,8.0,11.0,8.0,12.0,11.0,11.0,11.0,8.0,10.0,9.0,9.0,11.0,12.0,8.0,0.0
