,>ENST00000452760.2,>ENST00000519982.1,>ENST00000420479.1,>ENST00000615364.1,>ENST00000619355.1,>ENST00000419682.1,>ENST00000428146.1,>ENST00000453780.1,>ENST00000443948.1,>ENST00000432346.2,>ENST00000530412.1,>ENST00000471253.1,>ENST00000589847.3,ENSG00000200624.1,>ENST00000489836.1,>ENST00000480251.1,>ENST00000431957.1,>ENST00000457379.1,>ENST00000584971.1,ENSG00000249811.2,>ENST00000359512.8,>ENST00000431179.1,>ENST00000432008.1,>ENST00000562403.1,>ENST00000444011.1,>ENST00000506122.1,>ENST00000419087.1,>ENST00000518873.1,>ENST00000433573.1,>ENST00000562555.1,>ENST00000620166.1,ENSG00000264133.3
ENSG00000200624.1,11.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,9.0,6.0,8.0,8.0,9.0,0.0,10.0,7.0,6.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,6.0,7.0,8.0,7.0,5.0
>ENST00000489836.1,9.0,8.0,9.0,8.0,10.0,8.0,11.0,8.0,10.0,9.0,10.0,11.0,12.0,10.0,0.0,10.0,11.0,9.0,8.0,11.0,11.0,11.0,11.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0
>ENST00000480251.1,9.0,8.0,9.0,9.0,10.0,8.0,11.0,10.0,9.0,8.0,11.0,10.0,11.0,7.0,10.0,0.0,9.0,10.0,8.0,10.0,9.0,12.0,11.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0
>ENST00000431957.1,9.0,9.0,10.0,8.0,11.0,7.0,9.0,8.0,8.0,9.0,10.0,11.0,10.0,6.0,11.0,9.0,0.0,10.0,7.0,11.0,12.0,12.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,12.0,9.0,8.0
>ENST00000457379.1,11.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,0.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,7.0,8.0,9.0,10.0,7.0
>ENST00000584971.1,11.0,8.0,8.0,7.0,10.0,7.0,8.0,5.0,9.0,8.0,10.0,10.0,9.0,7.0,8.0,8.0,7.0,7.0,0.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,6.0,9.0,8.0,10.0,6.0
ENSG00000249811.2,10.0,11.0,10.0,8.0,11.0,8.0,12.0,10.0,11.0,10.0,11.0,12.0,11.0,8.0,11.0,10.0,11.0,10.0,8.0,0.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,11.0,9.0
>ENST00000359512.8,13.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,11.0,9.0,12.0,10.0,9.0,11.0,0.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,8.0,11.0,11.0,7.0
>ENST00000431179.1,10.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,12.0,9.0,13.0,8.0,11.0,12.0,12.0,10.0,9.0,11.0,11.0,0.0,12.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0
>ENST00000432008.1,10.0,9.0,11.0,7.0,10.0,8.0,10.0,9.0,10.0,11.0,9.0,13.0,10.0,9.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,12.0,0.0,12.0,9.0,10.0,9.0,10.0,12.0,9.0,9.0,8.0
>ENST00000562403.1,8.0,9.0,9.0,7.0,10.0,9.0,59.0,9.0,10.0,12.0,11.0,10.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,12.0,0.0,8.0,11.0,11.0,11.0,9.0,10.0,9.0,8.0
>ENST00000444011.1,10.0,11.0,10.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,10.0,11.0,9.0,8.0,0.0,9.0,12.0,9.0,10.0,10.0,9.0,7.0
>ENST00000506122.1,8.0,10.0,8.0,12.0,11.0,7.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,7.0,10.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,10.0,11.0,9.0,0.0,10.0,8.0,8.0,9.0,9.0,7.0
>ENST00000419087.1,11.0,12.0,9.0,7.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,11.0,11.0,10.0,9.0,11.0,12.0,10.0,0.0,8.0,10.0,10.0,9.0,9.0
>ENST00000518873.1,8.0,9.0,10.0,8.0,8.0,6.0,8.0,8.0,10.0,10.0,10.0,8.0,11.0,6.0,10.0,10.0,11.0,7.0,6.0,10.0,10.0,10.0,10.0,11.0,9.0,8.0,8.0,0.0,8.0,10.0,9.0,7.0
>ENST00000433573.1,10.0,7.0,9.0,6.0,10.0,8.0,8.0,6.0,9.0,9.0,9.0,9.0,9.0,7.0,11.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,12.0,9.0,10.0,8.0,10.0,8.0,0.0,9.0,8.0,7.0
>ENST00000562555.1,11.0,8.0,8.0,7.0,9.0,6.0,9.0,8.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,12.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,0.0,10.0,7.0
>ENST00000620166.1,15.0,11.0,11.0,9.0,10.0,8.0,13.0,8.0,10.0,8.0,10.0,11.0,11.0,7.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,0.0,7.0
ENSG00000264133.3,7.0,7.0,10.0,5.0,7.0,8.0,9.0,6.0,8.0,7.0,8.0,8.0,10.0,5.0,9.0,8.0,8.0,7.0,6.0,9.0,7.0,8.0,8.0,8.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,0.0
