,>ENST00000401762.2,>ENST00000407692.2,>ENST00000393907.2,>ENST00000424220.1,>ENST00000497352.1,>ENST00000418448.1,>ENST00000434898.5,>ENST00000414800.1,>ENST00000505516.2,>ENST00000625098.1,>ENST00000468708.1,>ENST00000440915.1,>ENST00000565911.2,>ENST00000619384.1,>ENST00000449413.1,>ENST00000520706.1,>ENST00000423991.1,>ENST00000358097.8,>ENST00000569081.1,>ENST00000318548.6,>ENST00000520729.1,>ENST00000561925.2,>ENST00000503354.1,>ENST00000429197.1,ENSG00000207200.1,>ENST00000440829.1,>ENST00000417035.1,>ENST00000611377.1,>ENST00000419297.2,>ENST00000600766.1,>ENST00000445363.1,ENSG00000212298.1,>ENST00000522952.1,>ENST00000510807.1,>ENST00000427086.1
>ENST00000449413.1,8.0,9.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,6.0,9.0,8.0,8.0,9.0,0.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,11.0,12.0,7.0,10.0,9.0,7.0
>ENST00000520706.1,11.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,10.0,9.0,10.0,9.0,10.0,8.0,0.0,8.0,11.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0
>ENST00000423991.1,8.0,8.0,8.0,10.0,10.0,8.0,9.0,7.0,9.0,8.0,9.0,10.0,8.0,7.0,9.0,8.0,0.0,10.0,7.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,10.0,11.0,9.0,8.0,8.0,7.0,10.0
>ENST00000358097.8,9.0,9.0,9.0,12.0,10.0,10.0,12.0,9.0,12.0,10.0,12.0,10.0,10.0,10.0,9.0,11.0,10.0,0.0,8.0,9.0,10.0,11.0,11.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0
>ENST00000569081.1,7.0,8.0,8.0,8.0,8.0,10.0,10.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,0.0,7.0,9.0,9.0,8.0,6.0,8.0,7.0,7.0,7.0,8.0,9.0,9.0,6.0,9.0,8.0,8.0
>ENST00000318548.6,9.0,9.0,8.0,11.0,9.0,10.0,11.0,8.0,11.0,7.0,10.0,14.0,11.0,9.0,10.0,10.0,9.0,9.0,7.0,0.0,10.0,7.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,11.0,9.0,9.0
>ENST00000520729.1,10.0,9.0,10.0,134.0,14.0,9.0,10.0,10.0,10.0,8.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,0.0,9.0,10.0,8.0,8.0,8.0,9.0,11.0,10.0,10.0,10.0,7.0,8.0,11.0,11.0
>ENST00000561925.2,10.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,11.0,9.0,7.0,9.0,0.0,10.0,7.0,6.0,9.0,10.0,9.0,9.0,9.0,10.0,7.0,8.0,9.0,7.0
>ENST00000503354.1,12.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,9.0,8.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0,10.0,0.0,8.0,8.0,9.0,12.0,9.0,10.0,12.0,12.0,7.0,9.0,10.0,9.0
>ENST00000429197.1,10.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,10.0,6.0,9.0,8.0,7.0,8.0,0.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0
ENSG00000207200.1,9.0,8.0,6.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,9.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,0.0,7.0,7.0,7.0,9.0,8.0,9.0,31.0,7.0,7.0,9.0
>ENST00000440829.1,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,7.0,7.0,0.0,11.0,8.0,9.0,9.0,10.0,7.0,10.0,8.0,8.0
>ENST00000417035.1,9.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,7.0,9.0,9.0,10.0,12.0,8.0,7.0,11.0,0.0,9.0,9.0,13.0,11.0,10.0,10.0,9.0,9.0
>ENST00000611377.1,9.0,7.0,8.0,11.0,9.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,7.0,10.0,11.0,9.0,9.0,8.0,7.0,8.0,9.0,0.0,8.0,24.0,10.0,8.0,9.0,7.0,9.0
>ENST00000419297.2,9.0,9.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,0.0,11.0,10.0,7.0,7.0,9.0,9.0
>ENST00000600766.1,12.0,9.0,10.0,11.0,13.0,11.0,16.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,11.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,12.0,9.0,8.0,9.0,13.0,24.0,11.0,0.0,11.0,8.0,11.0,10.0,10.0
>ENST00000445363.1,10.0,10.0,10.0,12.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,0.0,10.0,9.0,10.0,10.0
ENSG00000212298.1,11.0,6.0,7.0,8.0,9.0,8.0,8.0,9.0,6.0,6.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,6.0,8.0,7.0,7.0,7.0,7.0,31.0,7.0,10.0,8.0,7.0,8.0,10.0,0.0,7.0,7.0,7.0
>ENST00000522952.1,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,11.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,8.0,8.0,9.0,8.0,7.0,10.0,10.0,9.0,7.0,11.0,9.0,7.0,0.0,8.0,8.0
>ENST00000510807.1,10.0,8.0,10.0,13.0,9.0,10.0,9.0,9.0,9.0,7.0,8.0,9.0,11.0,9.0,9.0,10.0,7.0,11.0,8.0,9.0,11.0,9.0,10.0,8.0,7.0,8.0,9.0,7.0,9.0,10.0,10.0,7.0,8.0,0.0,8.0
>ENST00000427086.1,11.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0,7.0,9.0,11.0,8.0,9.0,7.0,8.0,10.0,10.0,8.0,9.0,11.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,7.0,8.0,8.0,0.0
