,>ENST00000603193.1,ENSG00000186895.2,>ENST00000457863.1,>ENST00000515724.1,>ENST00000372214.3,ENSG00000207180.1,>ENST00000524156.1,>ENST00000359341.3,>ENST00000442836.1,>ENST00000605288.1,>ENST00000419915.1,>ENST00000426038.1,>ENST00000431134.2,>ENST00000457046.3,>ENST00000533428.2,>ENST00000403074.2,>ENST00000510932.2,>ENST00000418589.1,>ENST00000451150.2,>ENST00000460498.2,>ENST00000509261.1,>ENST00000480555.1,>ENST00000522473.1,>ENST00000449300.1,>ENST00000574371.1,>ENST00000583601.1,>ENST00000491601.1,>ENST00000547482.1,>ENST00000601587.1,>ENST00000413233.1,>ENST00000508880.1,>ENST00000438914.1,>ENST00000340589.4,>ENST00000525846.6,>ENST00000529152.1,>ENST00000442900.1,>ENST00000456856.1,>ENST00000512399.1,>ENST00000571794.1,ENSG00000212528.1,>ENST00000443027.1
>ENST00000418589.1,11.0,11.0,9.0,8.0,10.0,7.0,11.0,9.0,11.0,10.0,9.0,10.0,12.0,9.0,10.0,8.0,9.0,0.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,7.0,10.0
>ENST00000451150.2,8.0,12.0,10.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,9.0,0.0,9.0,9.0,11.0,13.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,9.0,13.0,13.0,9.0,9.0,11.0,10.0,7.0,8.0,12.0
>ENST00000460498.2,7.0,10.0,9.0,8.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,7.0,8.0,8.0,9.0,0.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,12.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,7.0,9.0,10.0
>ENST00000509261.1,8.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,8.0,10.0,11.0,11.0,12.0,9.0,9.0,9.0,9.0,8.0,0.0,10.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,11.0,12.0,10.0,14.0,8.0,8.0,8.0,8.0,10.0
>ENST00000480555.1,9.0,11.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,14.0,11.0,11.0,11.0,8.0,9.0,11.0,9.0,10.0,0.0,8.0,9.0,10.0,11.0,13.0,12.0,10.0,11.0,9.0,10.0,13.0,12.0,9.0,11.0,8.0,10.0,8.0,7.0,9.0
>ENST00000522473.1,9.0,11.0,9.0,9.0,8.0,7.0,12.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,13.0,8.0,9.0,8.0,0.0,11.0,8.0,11.0,11.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,8.0,9.0,8.0,7.0,8.0,8.0,10.0
>ENST00000449300.1,9.0,11.0,10.0,11.0,11.0,7.0,10.0,11.0,9.0,11.0,9.0,10.0,9.0,11.0,11.0,9.0,8.0,9.0,9.0,8.0,11.0,9.0,11.0,0.0,11.0,10.0,10.0,10.0,9.0,11.0,11.0,11.0,12.0,11.0,13.0,10.0,10.0,8.0,8.0,9.0,10.0
>ENST00000574371.1,9.0,11.0,10.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,12.0,8.0,9.0,9.0,9.0,10.0,8.0,11.0,0.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0,7.0,11.0
>ENST00000583601.1,11.0,13.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,12.0,10.0,10.0,9.0,11.0,9.0,9.0,11.0,11.0,10.0,10.0,0.0,9.0,9.0,9.0,12.0,13.0,10.0,10.0,13.0,9.0,10.0,10.0,8.0,7.0,9.0,12.0
>ENST00000491601.1,9.0,11.0,11.0,8.0,9.0,8.0,9.0,12.0,8.0,11.0,8.0,9.0,179.0,10.0,11.0,8.0,9.0,8.0,10.0,8.0,9.0,13.0,11.0,10.0,9.0,9.0,0.0,9.0,8.0,9.0,9.0,11.0,10.0,11.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0
>ENST00000547482.1,10.0,13.0,11.0,10.0,10.0,8.0,12.0,9.0,11.0,13.0,11.0,11.0,12.0,11.0,11.0,9.0,9.0,10.0,9.0,12.0,11.0,12.0,9.0,10.0,9.0,9.0,9.0,0.0,8.0,10.0,12.0,9.0,10.0,12.0,12.0,9.0,10.0,9.0,8.0,7.0,10.0
>ENST00000601587.1,7.0,14.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,0.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,9.0
>ENST00000413233.1,9.0,10.0,11.0,12.0,11.0,9.0,12.0,10.0,11.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,11.0,8.0,11.0,8.0,12.0,9.0,10.0,9.0,0.0,13.0,13.0,13.0,11.0,11.0,10.0,9.0,9.0,8.0,9.0,11.0
>ENST00000508880.1,9.0,13.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,8.0,11.0,11.0,10.0,10.0,9.0,9.0,11.0,9.0,13.0,9.0,12.0,10.0,13.0,0.0,11.0,12.0,15.0,9.0,11.0,9.0,8.0,8.0,6.0,12.0
>ENST00000438914.1,10.0,12.0,8.0,9.0,12.0,11.0,12.0,9.0,9.0,9.0,8.0,9.0,12.0,10.0,9.0,8.0,7.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0,8.0,13.0,11.0,0.0,12.0,11.0,11.0,9.0,11.0,10.0,9.0,7.0,11.0
>ENST00000340589.4,11.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,12.0,11.0,12.0,9.0,10.0,13.0,10.0,11.0,13.0,9.0,12.0,9.0,10.0,10.0,10.0,11.0,13.0,12.0,12.0,0.0,12.0,10.0,11.0,11.0,12.0,8.0,9.0,10.0
>ENST00000525846.6,10.0,13.0,11.0,11.0,11.0,10.0,14.0,11.0,12.0,10.0,9.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,13.0,9.0,12.0,12.0,11.0,11.0,10.0,13.0,11.0,12.0,9.0,11.0,15.0,11.0,12.0,0.0,10.0,11.0,11.0,11.0,9.0,8.0,12.0
>ENST00000529152.1,9.0,12.0,10.0,9.0,10.0,7.0,11.0,10.0,10.0,12.0,8.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,11.0,10.0,9.0,8.0,13.0,9.0,9.0,11.0,12.0,9.0,11.0,9.0,11.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,8.0,11.0
>ENST00000442900.1,9.0,104.0,9.0,9.0,9.0,7.0,12.0,9.0,10.0,11.0,8.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,14.0,11.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,11.0,10.0,0.0,9.0,8.0,9.0,8.0,10.0
>ENST00000456856.1,10.0,10.0,11.0,10.0,12.0,7.0,12.0,8.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,11.0,9.0,8.0,8.0,8.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,11.0,11.0,11.0,10.0,9.0,0.0,11.0,7.0,7.0,9.0
>ENST00000512399.1,7.0,9.0,10.0,8.0,9.0,7.0,10.0,8.0,9.0,10.0,8.0,8.0,8.0,11.0,10.0,9.0,7.0,10.0,10.0,10.0,8.0,10.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,12.0,11.0,10.0,8.0,11.0,0.0,8.0,7.0,9.0
>ENST00000571794.1,8.0,9.0,7.0,8.0,8.0,5.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,7.0,8.0,0.0,6.0,9.0
ENSG00000212528.1,8.0,9.0,7.0,7.0,9.0,5.0,11.0,7.0,7.0,9.0,7.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,9.0,8.0,7.0,7.0,9.0,6.0,7.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,0.0,9.0
>ENST00000443027.1,9.0,12.0,10.0,10.0,11.0,9.0,12.0,13.0,10.0,10.0,10.0,10.0,9.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,11.0,12.0,9.0,10.0,9.0,11.0,12.0,11.0,10.0,12.0,11.0,10.0,9.0,9.0,9.0,9.0,0.0
