,>ENST00000524262.1,>ENST00000472927.1,>ENST00000487497.1,>ENST00000453578.1,>ENST00000456185.1,>ENST00000424402.1,ENSG00000269590.1,>ENST00000573092.1,>ENST00000504105.1,>ENST00000523185.2,>ENST00000444820.2,>ENST00000434379.1,>ENST00000458183.1,>ENST00000620607.1,>ENST00000394154.2,>ENST00000612834.1,>ENST00000510120.3,>ENST00000563377.5,>ENST00000551181.1,>ENST00000446439.1,>ENST00000560489.2,>ENST00000538359.1,>ENST00000623715.1,>ENST00000449268.1,>ENST00000517470.1,>ENST00000468675.1,>ENST00000522004.1,>ENST00000419388.1,>ENST00000400783.4,>ENST00000436573.3,>ENST00000421785.1,>ENST00000559595.2,>ENST00000506083.1,>ENST00000434442.1,>ENST00000434906.1,>ENST00000503142.1,>ENST00000453156.3,>ENST00000613317.1,>ENST00000476715.2,>ENST00000530855.1,>ENST00000456759.1,>ENST00000451282.2,>ENST00000397185.4
>ENST00000458183.1,8.0,11.0,13.0,12.0,8.0,11.0,11.0,7.0,9.0,10.0,10.0,9.0,0.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,12.0,10.0,12.0,9.0,9.0,12.0,9.0,8.0,9.0,13.0,10.0,9.0,11.0,12.0,11.0,9.0,10.0,11.0,11.0,9.0,10.0,11.0,9.0
>ENST00000620607.1,8.0,9.0,10.0,10.0,10.0,10.0,23.0,11.0,11.0,14.0,9.0,9.0,10.0,0.0,10.0,18.0,10.0,13.0,12.0,9.0,12.0,10.0,13.0,9.0,12.0,10.0,8.0,9.0,9.0,12.0,10.0,10.0,8.0,8.0,8.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,8.0
>ENST00000394154.2,9.0,10.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,11.0,10.0,10.0,0.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,11.0,10.0,9.0,9.0,8.0,8.0
>ENST00000612834.1,8.0,9.0,11.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,11.0,10.0,18.0,9.0,0.0,11.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,12.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,11.0,11.0
>ENST00000510120.3,9.0,9.0,9.0,9.0,11.0,8.0,11.0,7.0,8.0,8.0,13.0,8.0,9.0,10.0,10.0,11.0,0.0,12.0,8.0,11.0,10.0,9.0,10.0,10.0,12.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0
>ENST00000563377.5,10.0,11.0,12.0,12.0,10.0,8.0,12.0,9.0,11.0,10.0,13.0,12.0,9.0,13.0,9.0,10.0,12.0,0.0,10.0,9.0,12.0,10.0,12.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,13.0,10.0,12.0,11.0,11.0,13.0,11.0,9.0,9.0
>ENST00000551181.1,9.0,8.0,11.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0,8.0,8.0,12.0,9.0,8.0,8.0,10.0,0.0,10.0,8.0,10.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,12.0,10.0,9.0,9.0,10.0,10.0,9.0,7.0,7.0,9.0
>ENST00000446439.1,7.0,7.0,8.0,7.0,7.0,10.0,10.0,7.0,7.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,0.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0
>ENST00000560489.2,9.0,10.0,11.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,11.0,10.0,12.0,12.0,11.0,10.0,10.0,12.0,8.0,8.0,0.0,10.0,12.0,10.0,9.0,11.0,11.0,10.0,12.0,10.0,9.0,9.0,10.0,9.0,10.0,12.0,12.0,9.0,9.0,15.0,9.0,14.0,9.0
>ENST00000538359.1,9.0,9.0,11.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,11.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,0.0,13.0,9.0,13.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,14.0,10.0,7.0,9.0,9.0,10.0,11.0,9.0,8.0,10.0,9.0
>ENST00000623715.1,11.0,11.0,11.0,10.0,9.0,11.0,12.0,9.0,11.0,12.0,11.0,10.0,12.0,13.0,10.0,11.0,10.0,12.0,11.0,8.0,12.0,13.0,0.0,10.0,10.0,12.0,10.0,11.0,10.0,11.0,10.0,10.0,13.0,13.0,9.0,10.0,12.0,12.0,11.0,12.0,10.0,10.0,10.0
>ENST00000449268.1,10.0,13.0,10.0,10.0,11.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0,10.0,9.0,10.0,0.0,8.0,9.0,8.0,10.0,8.0,12.0,9.0,10.0,10.0,10.0,11.0,8.0,10.0,12.0,11.0,9.0,10.0,9.0,16.0
>ENST00000517470.1,9.0,11.0,10.0,9.0,8.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,12.0,8.0,12.0,12.0,10.0,8.0,7.0,9.0,13.0,10.0,8.0,0.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,8.0,8.0,10.0
>ENST00000468675.1,8.0,8.0,9.0,12.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,12.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,12.0,9.0,10.0,0.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,10.0,9.0,10.0,10.0,11.0,12.0,9.0
>ENST00000522004.1,7.0,8.0,9.0,8.0,10.0,7.0,11.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,11.0,8.0,7.0,11.0,9.0,10.0,8.0,9.0,10.0,0.0,10.0,7.0,10.0,7.0,9.0,12.0,7.0,9.0,9.0,13.0,10.0,10.0,9.0,12.0,9.0,10.0
>ENST00000419388.1,11.0,8.0,9.0,10.0,7.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,11.0,8.0,8.0,10.0,9.0,11.0,10.0,8.0,9.0,10.0,0.0,10.0,9.0,10.0,10.0,8.0,8.0,10.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,9.0
>ENST00000400783.4,8.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,7.0,12.0,9.0,10.0,8.0,8.0,10.0,7.0,10.0,0.0,9.0,10.0,9.0,8.0,12.0,8.0,9.0,11.0,9.0,10.0,10.0,8.0,10.0,8.0
>ENST00000436573.3,9.0,9.0,10.0,11.0,10.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,13.0,12.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,12.0,9.0,10.0,10.0,9.0,9.0,0.0,8.0,10.0,9.0,11.0,9.0,8.0,11.0,10.0,12.0,9.0,9.0,9.0,10.0
>ENST00000421785.1,9.0,9.0,9.0,10.0,9.0,9.0,11.0,7.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,7.0,9.0,10.0,10.0,9.0,9.0,9.0,7.0,10.0,10.0,8.0,0.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0
>ENST00000559595.2,12.0,10.0,9.0,12.0,9.0,9.0,11.0,8.0,8.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,0.0,12.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0
>ENST00000506083.1,8.0,8.0,11.0,9.0,11.0,8.0,12.0,8.0,8.0,8.0,9.0,10.0,11.0,8.0,9.0,12.0,10.0,11.0,9.0,8.0,10.0,14.0,13.0,10.0,9.0,10.0,12.0,8.0,8.0,9.0,9.0,12.0,0.0,9.0,11.0,9.0,10.0,8.0,9.0,11.0,10.0,8.0,10.0
>ENST00000434442.1,8.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,8.0,9.0,9.0,10.0,11.0,12.0,8.0,9.0,10.0,13.0,10.0,10.0,9.0,7.0,8.0,12.0,11.0,10.0,9.0,9.0,0.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,12.0,10.0
>ENST00000434906.1,8.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,11.0,8.0,11.0,10.0,8.0,13.0,10.0,8.0,10.0,7.0,9.0,11.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,9.0,0.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0
>ENST00000503142.1,9.0,8.0,10.0,9.0,10.0,10.0,12.0,8.0,9.0,12.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,7.0,12.0,9.0,10.0,8.0,10.0,12.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,0.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0
>ENST00000453156.3,10.0,10.0,10.0,12.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,12.0,9.0,8.0,12.0,9.0,12.0,10.0,11.0,10.0,13.0,12.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,0.0,11.0,12.0,11.0,11.0,10.0,12.0
>ENST00000613317.1,9.0,9.0,15.0,11.0,11.0,10.0,10.0,7.0,15.0,10.0,10.0,9.0,11.0,10.0,11.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,12.0,12.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,11.0,0.0,9.0,10.0,9.0,9.0,9.0
>ENST00000476715.2,9.0,10.0,10.0,10.0,10.0,8.0,11.0,8.0,8.0,12.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,11.0,10.0,8.0,9.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,12.0,10.0,9.0,9.0,10.0,11.0,10.0,12.0,9.0,0.0,10.0,10.0,8.0,9.0
>ENST00000530855.1,9.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,13.0,9.0,8.0,15.0,9.0,12.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,11.0,10.0,10.0,0.0,11.0,9.0,8.0
>ENST00000456759.1,9.0,8.0,10.0,10.0,10.0,9.0,14.0,7.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,7.0,8.0,9.0,8.0,10.0,10.0,8.0,11.0,12.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,0.0,9.0,11.0
>ENST00000451282.2,9.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,9.0,7.0,11.0,10.0,8.0,11.0,9.0,9.0,7.0,6.0,14.0,10.0,10.0,9.0,8.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,12.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,0.0,8.0
>ENST00000397185.4,9.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,8.0,11.0,8.0,9.0,8.0,8.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,16.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,12.0,9.0,9.0,8.0,11.0,8.0,0.0
