,>ENST00000448964.1,>ENST00000339924.12,ENSG00000202141.1,>ENST00000406288.2,ENSG00000239039.1,>ENST00000416921.1,>ENST00000458635.1,>ENST00000420122.1,>ENST00000414863.2,>ENST00000401087.3,>ENST00000503348.1,ENSG00000172538.6,>ENST00000506038.1,>ENST00000455422.5,>ENST00000430565.1,>ENST00000373592.2,>ENST00000417670.6,>ENST00000582923.1,>ENST00000623497.1,>ENST00000425294.1,>ENST00000443010.1,>ENST00000541512.1,>ENST00000412983.2,ENSG00000222331.1,>ENST00000454621.1,>ENST00000440748.1,>ENST00000458378.1,>ENST00000521412.2,>ENST00000563942.5,>ENST00000510538.1,>ENST00000568623.1,>ENST00000522657.1,>ENST00000354752.5,>ENST00000458703.1,>ENST00000295112.13,>ENST00000603520.1,>ENST00000550416.1,>ENST00000414313.2,>ENST00000622971.1,>ENST00000489760.1,>ENST00000563488.1,>ENST00000415008.1,>ENST00000563717.2,>ENST00000480482.2,>ENST00000453058.2,>ENST00000508999.1,>ENST00000256654.8,ENSG00000223030.1,>ENST00000479042.1,>ENST00000439311.1
>ENST00000417670.6,11.0,11.0,7.0,9.0,8.0,9.0,7.0,8.0,9.0,10.0,9.0,11.0,8.0,11.0,9.0,9.0,0.0,10.0,9.0,11.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,7.0,10.0,8.0,11.0,10.0,10.0,9.0,10.0,7.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,7.0,9.0,9.0
>ENST00000582923.1,11.0,10.0,6.0,9.0,7.0,8.0,6.0,13.0,9.0,12.0,9.0,10.0,9.0,9.0,10.0,13.0,10.0,0.0,11.0,8.0,10.0,9.0,10.0,7.0,7.0,11.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,7.0,8.0,9.0
>ENST00000623497.1,10.0,13.0,9.0,9.0,8.0,10.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,12.0,9.0,11.0,9.0,11.0,0.0,9.0,12.0,8.0,10.0,10.0,9.0,11.0,11.0,9.0,14.0,9.0,10.0,10.0,11.0,11.0,10.0,11.0,9.0,10.0,12.0,10.0,13.0,10.0,11.0,10.0,10.0,8.0,12.0,9.0,8.0,10.0
>ENST00000425294.1,10.0,9.0,9.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,0.0,9.0,7.0,8.0,7.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,6.0,7.0,9.0
>ENST00000443010.1,9.0,9.0,10.0,10.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,11.0,9.0,11.0,11.0,11.0,10.0,10.0,12.0,9.0,0.0,9.0,11.0,7.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,11.0,10.0
>ENST00000541512.1,14.0,9.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,7.0,8.0,10.0,9.0,8.0,9.0,8.0,7.0,9.0,0.0,7.0,7.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,10.0,8.0,8.0,9.0,9.0,12.0,7.0,10.0
>ENST00000412983.2,9.0,9.0,6.0,8.0,8.0,8.0,7.0,11.0,8.0,10.0,9.0,9.0,7.0,11.0,9.0,10.0,8.0,10.0,10.0,8.0,11.0,7.0,0.0,7.0,8.0,10.0,10.0,8.0,11.0,9.0,7.0,8.0,13.0,8.0,10.0,9.0,10.0,8.0,11.0,9.0,7.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,8.0,8.0
ENSG00000222331.1,7.0,9.0,8.0,10.0,8.0,7.0,11.0,7.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,10.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,9.0,9.0,12.0,8.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0,8.0,6.0,5.0,8.0
>ENST00000454621.1,11.0,8.0,8.0,9.0,6.0,7.0,10.0,8.0,10.0,11.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,9.0,9.0,8.0,9.0,9.0,7.0,12.0,9.0,10.0,8.0,10.0,13.0,8.0,12.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,7.0,8.0,9.0
>ENST00000440748.1,9.0,11.0,7.0,9.0,7.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,11.0,10.0,10.0,8.0,10.0,7.0,9.0,0.0,11.0,10.0,12.0,11.0,7.0,9.0,11.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,11.0
>ENST00000458378.1,12.0,11.0,7.0,8.0,8.0,10.0,8.0,10.0,9.0,11.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,6.0,9.0,11.0,0.0,12.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,7.0,9.0,9.0
>ENST00000521412.2,10.0,13.0,7.0,9.0,7.0,9.0,8.0,8.0,9.0,11.0,11.0,12.0,11.0,9.0,13.0,11.0,11.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,12.0,0.0,11.0,11.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,12.0,10.0,9.0,7.0,12.0,9.0
>ENST00000563942.5,10.0,12.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,10.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,14.0,9.0,10.0,9.0,11.0,8.0,9.0,12.0,10.0,11.0,0.0,11.0,9.0,10.0,12.0,12.0,10.0,12.0,9.0,10.0,11.0,11.0,10.0,12.0,10.0,11.0,11.0,8.0,10.0,9.0,9.0,11.0
>ENST00000510538.1,9.0,10.0,8.0,8.0,13.0,9.0,8.0,10.0,12.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,11.0,10.0,11.0,11.0,0.0,8.0,10.0,10.0,11.0,9.0,11.0,11.0,9.0,15.0,10.0,11.0,9.0,10.0,9.0,9.0,7.0,12.0,9.0,8.0,10.0
>ENST00000568623.1,7.0,8.0,6.0,8.0,6.0,6.0,7.0,10.0,10.0,10.0,8.0,10.0,7.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,8.0,0.0,10.0,11.0,8.0,8.0,9.0,7.0,7.0,10.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0,7.0,7.0,7.0
>ENST00000522657.1,11.0,10.0,7.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,11.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,12.0,9.0,8.0,10.0,10.0,10.0,10.0,0.0,14.0,12.0,10.0,13.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,6.0,9.0
>ENST00000354752.5,12.0,12.0,8.0,9.0,7.0,10.0,9.0,12.0,13.0,11.0,10.0,11.0,11.0,12.0,11.0,13.0,10.0,11.0,11.0,9.0,11.0,9.0,13.0,9.0,9.0,11.0,10.0,11.0,12.0,10.0,11.0,14.0,0.0,12.0,12.0,12.0,10.0,11.0,11.0,9.0,10.0,12.0,10.0,11.0,13.0,10.0,11.0,8.0,8.0,11.0
>ENST00000458703.1,10.0,11.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,10.0,7.0,8.0,12.0,10.0,9.0,10.0,9.0,12.0,11.0,8.0,12.0,12.0,0.0,10.0,12.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,8.0,12.0,7.0,8.0,12.0
>ENST00000295112.13,8.0,10.0,8.0,9.0,8.0,10.0,7.0,9.0,11.0,9.0,9.0,12.0,8.0,9.0,11.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,12.0,10.0,0.0,9.0,8.0,10.0,10.0,8.0,9.0,12.0,11.0,9.0,9.0,11.0,8.0,8.0,7.0,8.0
>ENST00000603520.1,11.0,10.0,9.0,13.0,9.0,12.0,8.0,9.0,10.0,13.0,11.0,12.0,9.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,12.0,11.0,9.0,13.0,12.0,12.0,9.0,0.0,12.0,11.0,11.0,10.0,9.0,12.0,11.0,10.0,11.0,9.0,12.0,10.0,8.0,10.0
>ENST00000550416.1,11.0,10.0,7.0,8.0,6.0,8.0,7.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,10.0,8.0,13.0,8.0,11.0,10.0,9.0,11.0,7.0,9.0,10.0,9.0,8.0,12.0,0.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,8.0,12.0,9.0
>ENST00000414313.2,9.0,11.0,6.0,10.0,7.0,11.0,6.0,9.0,9.0,10.0,12.0,14.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,10.0,9.0,7.0,11.0,11.0,10.0,10.0,11.0,8.0,0.0,11.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,8.0,7.0,8.0,11.0
>ENST00000622971.1,10.0,12.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,12.0,11.0,9.0,11.0,11.0,11.0,10.0,11.0,12.0,9.0,10.0,8.0,11.0,8.0,12.0,9.0,10.0,10.0,11.0,15.0,10.0,9.0,11.0,10.0,10.0,11.0,9.0,11.0,0.0,12.0,11.0,10.0,15.0,11.0,11.0,9.0,10.0,8.0,8.0,11.0
>ENST00000489760.1,9.0,9.0,7.0,10.0,7.0,8.0,7.0,7.0,10.0,12.0,10.0,11.0,8.0,9.0,10.0,14.0,7.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,11.0,11.0,10.0,7.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,12.0,0.0,8.0,9.0,11.0,11.0,10.0,8.0,9.0,7.0,8.0,9.0
>ENST00000563488.1,13.0,9.0,7.0,10.0,9.0,9.0,7.0,8.0,11.0,9.0,11.0,9.0,8.0,11.0,12.0,10.0,9.0,9.0,13.0,8.0,10.0,7.0,7.0,8.0,9.0,9.0,10.0,11.0,10.0,11.0,7.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,11.0,8.0,0.0,9.0,9.0,9.0,9.0,9.0,12.0,8.0,10.0,10.0
>ENST00000415008.1,10.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,8.0,12.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,12.0,9.0,10.0,9.0,12.0,9.0,12.0,12.0,9.0,10.0,10.0,9.0,9.0,0.0,10.0,10.0,11.0,8.0,10.0,7.0,9.0,9.0
>ENST00000563717.2,9.0,11.0,7.0,10.0,8.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,8.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,15.0,11.0,9.0,10.0,0.0,9.0,11.0,10.0,9.0,8.0,9.0,11.0
>ENST00000480482.2,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,12.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,8.0,8.0,9.0,10.0,10.0,8.0,10.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,9.0,10.0,9.0,0.0,11.0,9.0,9.0,6.0,9.0,9.0
>ENST00000453058.2,10.0,10.0,10.0,10.0,7.0,9.0,9.0,10.0,10.0,13.0,11.0,11.0,10.0,11.0,10.0,12.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,12.0,11.0,9.0,8.0,10.0,13.0,10.0,9.0,11.0,11.0,11.0,11.0,10.0,9.0,11.0,11.0,11.0,0.0,8.0,9.0,8.0,8.0,9.0
>ENST00000508999.1,9.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,8.0,7.0,8.0,11.0,10.0,8.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,0.0,13.0,8.0,8.0,8.0
>ENST00000256654.8,11.0,12.0,8.0,11.0,8.0,9.0,8.0,10.0,11.0,11.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,12.0,10.0,9.0,11.0,12.0,8.0,12.0,10.0,8.0,10.0,9.0,12.0,10.0,9.0,9.0,9.0,13.0,0.0,10.0,9.0,10.0
ENSG00000223030.1,7.0,8.0,7.0,6.0,6.0,7.0,6.0,8.0,8.0,12.0,7.0,8.0,7.0,9.0,10.0,9.0,7.0,7.0,9.0,6.0,8.0,12.0,9.0,6.0,7.0,8.0,7.0,7.0,9.0,9.0,7.0,9.0,8.0,7.0,8.0,10.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,6.0,8.0,8.0,10.0,0.0,6.0,6.0
>ENST00000479042.1,8.0,9.0,6.0,8.0,5.0,7.0,8.0,8.0,10.0,10.0,9.0,10.0,7.0,9.0,10.0,9.0,9.0,8.0,8.0,7.0,11.0,7.0,8.0,5.0,8.0,8.0,9.0,12.0,9.0,8.0,7.0,6.0,8.0,8.0,7.0,8.0,12.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,6.0,0.0,8.0
>ENST00000439311.1,10.0,11.0,7.0,10.0,8.0,9.0,7.0,8.0,9.0,10.0,11.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,11.0,10.0,7.0,9.0,11.0,12.0,8.0,10.0,9.0,11.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0,8.0,10.0,6.0,8.0,0.0
