,>ENST00000442911.1,>ENST00000587647.1,>ENST00000418207.1,>ENST00000549599.1,>ENST00000421091.2,>ENST00000442838.2,>ENST00000541551.1,>ENST00000426478.1,>ENST00000424872.2,>ENST00000454802.2,>ENST00000452969.1,>ENST00000613498.1,>ENST00000430257.1,>ENST00000400418.7,>ENST00000523006.1,>ENST00000420133.1,>ENST00000512025.2,>ENST00000323496.5,>ENST00000441805.1,>ENST00000450265.1,>ENST00000451397.1,>ENST00000406274.1,>ENST00000457163.1,>ENST00000421336.1,>ENST00000444764.1,>ENST00000424885.1,ENSG00000243642.3,>ENST00000635213.1,>ENST00000603642.1,>ENST00000454946.2,>ENST00000462471.1,>ENST00000491624.1,>ENST00000412675.1,>ENST00000487255.1,>ENST00000558917.1,>ENST00000417804.1,>ENST00000618366.1,>ENST00000445949.1,>ENST00000518796.1,>ENST00000454082.1,>ENST00000616637.1
>ENST00000452969.1,7.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,10.0,9.0,0.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,10.0,11.0,8.0,7.0,7.0,10.0,9.0,9.0,7.0,7.0,8.0,10.0
>ENST00000613498.1,10.0,8.0,9.0,7.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,0.0,10.0,12.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,10.0,9.0,10.0,7.0,9.0,8.0,8.0
>ENST00000430257.1,9.0,9.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,11.0,8.0,10.0,0.0,10.0,10.0,9.0,12.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,11.0,13.0,8.0,7.0,8.0,8.0
>ENST00000400418.7,10.0,9.0,10.0,14.0,9.0,10.0,9.0,8.0,11.0,9.0,10.0,12.0,10.0,0.0,10.0,10.0,8.0,10.0,8.0,13.0,10.0,10.0,11.0,11.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,10.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0
>ENST00000523006.1,11.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,0.0,10.0,8.0,8.0,7.0,10.0,10.0,13.0,11.0,9.0,10.0,8.0,8.0,7.0,10.0,10.0,9.0,11.0,8.0,6.0,9.0,9.0,8.0,9.0,8.0,11.0,7.0
>ENST00000420133.1,8.0,9.0,12.0,12.0,9.0,11.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,0.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0
>ENST00000512025.2,7.0,9.0,11.0,7.0,10.0,9.0,10.0,8.0,10.0,8.0,8.0,9.0,12.0,8.0,8.0,9.0,0.0,9.0,9.0,9.0,10.0,11.0,9.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,10.0,7.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,10.0
>ENST00000323496.5,8.0,12.0,9.0,7.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,9.0,0.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,9.0,12.0,8.0,9.0,11.0,11.0,9.0,8.0,9.0,10.0,12.0,8.0,8.0,8.0,10.0,8.0
>ENST00000441805.1,8.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,9.0,10.0,0.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,7.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,6.0,8.0,9.0
>ENST00000450265.1,9.0,10.0,11.0,10.0,11.0,10.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,13.0,10.0,10.0,9.0,11.0,8.0,0.0,11.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,13.0,10.0,13.0,10.0,11.0,9.0,8.0,8.0,8.0,8.0
>ENST00000451397.1,9.0,12.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,0.0,11.0,12.0,12.0,10.0,9.0,10.0,9.0,10.0,12.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0
>ENST00000406274.1,8.0,11.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,13.0,9.0,8.0,9.0,10.0,13.0,9.0,11.0,10.0,9.0,10.0,11.0,0.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,12.0,12.0,9.0,9.0,7.0,10.0,9.0,11.0,9.0,7.0,8.0,10.0
>ENST00000457163.1,9.0,9.0,12.0,8.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,8.0,10.0,12.0,9.0,0.0,12.0,9.0,10.0,10.0,8.0,12.0,11.0,11.0,11.0,8.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0
>ENST00000421336.1,9.0,9.0,11.0,8.0,8.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,9.0,10.0,12.0,9.0,12.0,0.0,10.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,8.0,9.0,8.0
>ENST00000444764.1,10.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,0.0,8.0,28.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,33.0,9.0,10.0,9.0,8.0,11.0,8.0
>ENST00000424885.1,7.0,7.0,11.0,8.0,8.0,11.0,8.0,8.0,8.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,7.0,9.0,7.0,8.0,9.0,9.0,10.0,10.0,8.0,0.0,9.0,7.0,8.0,9.0,7.0,7.0,7.0,8.0,7.0,9.0,8.0,7.0,7.0,8.0,8.0
ENSG00000243642.3,7.0,9.0,11.0,9.0,10.0,11.0,8.0,8.0,10.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,12.0,8.0,10.0,10.0,9.0,10.0,8.0,28.0,9.0,0.0,8.0,10.0,8.0,8.0,10.0,7.0,9.0,22.0,8.0,7.0,7.0,8.0,8.0,8.0
>ENST00000635213.1,7.0,7.0,7.0,7.0,10.0,11.0,9.0,9.0,10.0,9.0,7.0,8.0,10.0,8.0,7.0,8.0,8.0,8.0,7.0,9.0,9.0,11.0,8.0,8.0,8.0,7.0,8.0,0.0,9.0,7.0,8.0,8.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,7.0,8.0
>ENST00000603642.1,9.0,9.0,10.0,7.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,12.0,10.0,9.0,8.0,10.0,9.0,0.0,7.0,12.0,8.0,9.0,9.0,9.0,12.0,11.0,9.0,7.0,9.0,8.0
>ENST00000454946.2,7.0,8.0,8.0,7.0,9.0,8.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,11.0,8.0,8.0,12.0,12.0,11.0,9.0,8.0,9.0,8.0,7.0,7.0,0.0,11.0,12.0,7.0,8.0,9.0,9.0,8.0,8.0,6.0,10.0,8.0
>ENST00000462471.1,8.0,10.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,9.0,11.0,8.0,10.0,9.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,12.0,11.0,10.0,9.0,7.0,8.0,8.0,12.0,11.0,0.0,9.0,8.0,8.0,10.0,9.0,10.0,8.0,6.0,9.0,7.0
>ENST00000491624.1,9.0,10.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,11.0,11.0,9.0,10.0,9.0,8.0,13.0,10.0,9.0,11.0,9.0,9.0,7.0,10.0,8.0,8.0,12.0,9.0,0.0,8.0,11.0,8.0,9.0,7.0,8.0,8.0,8.0,7.0
>ENST00000412675.1,8.0,9.0,9.0,54.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,9.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,7.0,7.0,7.0,9.0,7.0,8.0,8.0,0.0,8.0,8.0,9.0,7.0,8.0,7.0,7.0,6.0
>ENST00000487255.1,8.0,7.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,7.0,9.0,7.0,13.0,8.0,7.0,11.0,9.0,7.0,8.0,9.0,7.0,9.0,8.0,8.0,11.0,8.0,0.0,9.0,8.0,8.0,6.0,7.0,8.0,7.0
>ENST00000558917.1,10.0,8.0,10.0,7.0,7.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,33.0,7.0,22.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,0.0,10.0,9.0,8.0,8.0,9.0,7.0
>ENST00000417804.1,9.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,12.0,8.0,9.0,9.0,11.0,11.0,9.0,11.0,9.0,12.0,9.0,11.0,11.0,9.0,10.0,12.0,9.0,9.0,8.0,9.0,12.0,9.0,9.0,9.0,9.0,8.0,10.0,0.0,10.0,8.0,10.0,10.0,10.0
>ENST00000618366.1,9.0,8.0,8.0,8.0,10.0,9.0,7.0,8.0,9.0,10.0,9.0,10.0,13.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,7.0,7.0,11.0,8.0,10.0,7.0,7.0,8.0,9.0,10.0,0.0,8.0,6.0,9.0,8.0
>ENST00000445949.1,8.0,9.0,8.0,6.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,8.0,8.0,9.0,11.0,7.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,0.0,8.0,8.0,6.0
>ENST00000518796.1,7.0,8.0,10.0,6.0,9.0,10.0,8.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0,8.0,9.0,8.0,8.0,6.0,8.0,9.0,7.0,10.0,8.0,8.0,7.0,8.0,7.0,7.0,6.0,6.0,8.0,7.0,7.0,8.0,10.0,6.0,8.0,0.0,7.0,6.0
>ENST00000454082.1,9.0,9.0,9.0,8.0,7.0,9.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,9.0,11.0,9.0,8.0,10.0,8.0,8.0,10.0,8.0,10.0,9.0,11.0,8.0,8.0,7.0,9.0,10.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0,8.0,7.0,0.0,7.0
>ENST00000616637.1,7.0,7.0,11.0,9.0,7.0,8.0,7.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,7.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,10.0,8.0,6.0,6.0,7.0,0.0
