,>ENST00000521393.1,>ENST00000569415.1,>ENST00000432390.2,>ENST00000542110.1,>ENST00000326513.4,>ENST00000402768.1,>ENST00000625078.1,>ENST00000505442.1,ENSG00000259224.2,>ENST00000568553.1,>ENST00000571429.2,>ENST00000417984.1,>ENST00000417685.1,>ENST00000621419.1,>ENST00000373465.2,>ENST00000481005.2,>ENST00000559623.2,>ENST00000415815.1,>ENST00000562418.1,>ENST00000603972.1,>ENST00000508551.1,>ENST00000419887.1,>ENST00000399343.2,>ENST00000530980.1,>ENST00000568014.1,>ENST00000583960.1,ENSG00000115758.12,ENSG00000222226.1,>ENST00000432607.1,>ENST00000533113.1,>ENST00000547375.2,>ENST00000403291.1,>ENST00000435391.4,>ENST00000603738.1,>ENST00000450181.1
>ENST00000571429.2,17.0,12.0,8.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,0.0,9.0,8.0,12.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,11.0,9.0,12.0,7.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0
>ENST00000417984.1,11.0,10.0,46.0,8.0,11.0,12.0,11.0,9.0,10.0,8.0,9.0,0.0,11.0,8.0,12.0,8.0,9.0,7.0,10.0,7.0,9.0,8.0,9.0,7.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0
>ENST00000417685.1,10.0,11.0,11.0,8.0,8.0,11.0,11.0,8.0,10.0,13.0,8.0,11.0,0.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,14.0,9.0,10.0,12.0,7.0,10.0,11.0,9.0,11.0,11.0,10.0,8.0
>ENST00000621419.1,10.0,9.0,8.0,12.0,10.0,10.0,11.0,10.0,14.0,8.0,12.0,8.0,10.0,0.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,11.0,8.0,9.0,10.0,8.0,12.0,7.0,9.0,8.0,9.0,10.0,11.0,9.0,10.0
>ENST00000373465.2,10.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,13.0,10.0,12.0,11.0,10.0,0.0,11.0,9.0,12.0,11.0,9.0,10.0,10.0,13.0,10.0,11.0,11.0,13.0,9.0,11.0,9.0,10.0,12.0,10.0,11.0,10.0
>ENST00000481005.2,9.0,9.0,8.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,0.0,8.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,12.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0
>ENST00000559623.2,9.0,11.0,9.0,10.0,10.0,11.0,11.0,8.0,10.0,10.0,11.0,9.0,10.0,8.0,9.0,8.0,0.0,9.0,9.0,8.0,11.0,12.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,12.0,12.0,10.0
>ENST00000415815.1,11.0,9.0,7.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,7.0,9.0,10.0,12.0,11.0,9.0,0.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,14.0,9.0,10.0,8.0,10.0,9.0,9.0,13.0,10.0
>ENST00000562418.1,8.0,11.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0,10.0,0.0,12.0,9.0,9.0,8.0,9.0,10.0,11.0,11.0,7.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0
>ENST00000603972.1,8.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,12.0,0.0,7.0,8.0,9.0,9.0,8.0,8.0,14.0,7.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0
>ENST00000508551.1,9.0,9.0,8.0,8.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,7.0,0.0,8.0,9.0,9.0,9.0,7.0,11.0,8.0,8.0,8.0,10.0,10.0,8.0,11.0,8.0
>ENST00000419887.1,10.0,11.0,8.0,8.0,10.0,9.0,10.0,8.0,11.0,9.0,10.0,8.0,8.0,11.0,10.0,9.0,12.0,8.0,9.0,8.0,8.0,0.0,10.0,8.0,12.0,8.0,12.0,6.0,12.0,12.0,8.0,10.0,10.0,9.0,10.0
>ENST00000399343.2,9.0,10.0,8.0,9.0,9.0,10.0,11.0,12.0,13.0,10.0,10.0,9.0,10.0,8.0,13.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,0.0,10.0,11.0,10.0,11.0,8.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0
>ENST00000530980.1,11.0,13.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,8.0,7.0,14.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,0.0,10.0,10.0,12.0,7.0,9.0,9.0,10.0,13.0,9.0,10.0,10.0
>ENST00000568014.1,9.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,12.0,11.0,10.0,0.0,10.0,16.0,7.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0
>ENST00000583960.1,8.0,9.0,9.0,9.0,10.0,9.0,13.0,8.0,10.0,8.0,9.0,8.0,10.0,8.0,11.0,9.0,10.0,8.0,11.0,8.0,7.0,8.0,10.0,10.0,10.0,0.0,11.0,10.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0
ENSG00000115758.12,11.0,17.0,14.0,11.0,13.0,13.0,11.0,10.0,12.0,11.0,12.0,11.0,12.0,12.0,13.0,12.0,11.0,14.0,11.0,14.0,11.0,12.0,11.0,12.0,16.0,11.0,0.0,9.0,10.0,10.0,11.0,13.0,13.0,14.0,11.0
ENSG00000222226.1,6.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,7.0,7.0,8.0,6.0,8.0,7.0,7.0,10.0,9.0,0.0,9.0,7.0,8.0,11.0,7.0,9.0,7.0
>ENST00000432607.1,13.0,11.0,9.0,9.0,9.0,11.0,11.0,9.0,12.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,8.0,12.0,10.0,9.0,10.0,8.0,10.0,9.0,0.0,9.0,9.0,11.0,11.0,9.0,10.0
>ENST00000533113.1,10.0,10.0,8.0,7.0,9.0,10.0,12.0,8.0,9.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,12.0,9.0,9.0,9.0,8.0,10.0,7.0,9.0,0.0,9.0,8.0,9.0,9.0,10.0
>ENST00000547375.2,9.0,10.0,9.0,8.0,11.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,8.0,9.0,11.0,8.0,9.0,9.0,0.0,9.0,10.0,11.0,8.0
>ENST00000403291.1,10.0,10.0,10.0,11.0,12.0,10.0,11.0,10.0,11.0,10.0,9.0,11.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,13.0,10.0,10.0,13.0,11.0,11.0,8.0,9.0,0.0,11.0,11.0,10.0
>ENST00000435391.4,9.0,10.0,9.0,9.0,10.0,13.0,11.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,10.0,11.0,12.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,13.0,7.0,11.0,9.0,10.0,11.0,0.0,9.0,11.0
>ENST00000603738.1,9.0,12.0,9.0,10.0,10.0,10.0,10.0,11.0,12.0,10.0,11.0,9.0,10.0,9.0,11.0,11.0,12.0,13.0,11.0,8.0,11.0,9.0,10.0,10.0,11.0,10.0,14.0,9.0,9.0,9.0,11.0,11.0,9.0,0.0,9.0
>ENST00000450181.1,9.0,11.0,9.0,10.0,10.0,12.0,12.0,10.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,8.0,11.0,7.0,10.0,10.0,8.0,10.0,11.0,9.0,0.0
