,>ENST00000619561.1,>ENST00000453315.1,>ENST00000414577.1,>ENST00000575326.1,ENSG00000199556.1,>ENST00000420976.1,>ENST00000431496.1,>ENST00000432841.1,>ENST00000290702.4,>ENST00000445305.1,>ENST00000524225.1,>ENST00000491870.1,>ENST00000423911.1,>ENST00000406329.1,ENSG00000273725.1,>ENST00000437031.1,>ENST00000454246.1,>ENST00000567709.2,ENSG00000252294.1,>ENST00000511215.1,>ENST00000531490.1,>ENST00000450624.1,>ENST00000312173.5,>ENST00000615015.1
>ENST00000406329.1,7.0,8.0,9.0,8.0,7.0,10.0,8.0,10.0,7.0,9.0,7.0,9.0,8.0,0.0,8.0,8.0,9.0,11.0,7.0,9.0,9.0,9.0,10.0,7.0
ENSG00000273725.1,7.0,7.0,7.0,8.0,6.0,8.0,7.0,10.0,8.0,9.0,6.0,8.0,9.0,8.0,0.0,8.0,8.0,8.0,7.0,8.0,10.0,8.0,12.0,6.0
>ENST00000437031.1,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,7.0,8.0,9.0,8.0,8.0,0.0,9.0,9.0,8.0,8.0,11.0,8.0,10.0,8.0
>ENST00000454246.1,9.0,10.0,10.0,12.0,9.0,9.0,8.0,14.0,10.0,9.0,7.0,11.0,8.0,9.0,8.0,9.0,0.0,9.0,8.0,8.0,13.0,11.0,9.0,10.0
>ENST00000567709.2,9.0,8.0,8.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,11.0,8.0,9.0,9.0,0.0,7.0,7.0,10.0,12.0,10.0,6.0
ENSG00000252294.1,7.0,8.0,7.0,9.0,7.0,9.0,6.0,9.0,6.0,8.0,5.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,0.0,9.0,8.0,10.0,8.0,8.0
>ENST00000511215.1,8.0,9.0,10.0,8.0,8.0,7.0,9.0,10.0,8.0,10.0,7.0,7.0,11.0,9.0,8.0,8.0,8.0,7.0,9.0,0.0,9.0,9.0,8.0,7.0
>ENST00000531490.1,8.0,10.0,10.0,10.0,9.0,11.0,7.0,12.0,8.0,11.0,8.0,8.0,9.0,9.0,10.0,11.0,13.0,10.0,8.0,9.0,0.0,10.0,10.0,8.0
>ENST00000450624.1,9.0,11.0,10.0,9.0,7.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,8.0,11.0,12.0,10.0,9.0,10.0,0.0,9.0,9.0
>ENST00000312173.5,10.0,9.0,11.0,10.0,8.0,9.0,11.0,10.0,10.0,9.0,7.0,8.0,10.0,10.0,12.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,0.0,9.0
>ENST00000615015.1,7.0,7.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,8.0,10.0,6.0,8.0,7.0,8.0,9.0,9.0,0.0
