,ENSG00000202473.1,>ENST00000585581.1,>ENST00000436252.5,>ENST00000412466.1,>ENST00000529291.1,>ENST00000397636.2,>ENST00000618702.1,>ENST00000423388.1,>ENST00000613335.1,>ENST00000518830.2,>ENST00000451383.1,ENSG00000232629.8,>ENST00000377951.2,>ENST00000440938.1,>ENST00000617175.1,>ENST00000625019.1,>ENST00000613613.1,>ENST00000435591.1,>ENST00000401550.2,>ENST00000426359.1,>ENST00000431116.2,>ENST00000453374.2,>ENST00000598302.1,>ENST00000419962.1,>ENST00000422655.1,>ENST00000397254.2,>ENST00000492041.1,>ENST00000611760.1,>ENST00000455031.1,>ENST00000418167.2,>ENST00000567422.1
>ENST00000451383.1,8.0,11.0,10.0,9.0,8.0,9.0,7.0,8.0,7.0,8.0,0.0,11.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0
ENSG00000232629.8,11.0,11.0,12.0,13.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,0.0,11.0,11.0,14.0,13.0,10.0,10.0,11.0,11.0,10.0,13.0,11.0,12.0,10.0,14.0,11.0,11.0,11.0,10.0,11.0
>ENST00000377951.2,8.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,8.0,8.0,9.0,11.0,0.0,244.0,11.0,10.0,8.0,8.0,10.0,8.0,10.0,10.0,9.0,11.0,8.0,11.0,9.0,11.0,10.0,10.0,9.0
>ENST00000440938.1,8.0,9.0,11.0,10.0,11.0,9.0,9.0,12.0,8.0,10.0,8.0,11.0,244.0,0.0,9.0,12.0,8.0,9.0,10.0,8.0,11.0,10.0,10.0,8.0,9.0,11.0,9.0,11.0,8.0,10.0,10.0
>ENST00000617175.1,11.0,10.0,12.0,11.0,10.0,12.0,12.0,11.0,10.0,13.0,11.0,14.0,11.0,9.0,0.0,11.0,11.0,9.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,9.0,11.0,10.0,10.0
>ENST00000625019.1,10.0,10.0,13.0,12.0,11.0,9.0,11.0,10.0,10.0,8.0,8.0,13.0,10.0,12.0,11.0,0.0,8.0,10.0,10.0,9.0,11.0,9.0,12.0,10.0,8.0,11.0,9.0,8.0,11.0,11.0,12.0
>ENST00000613613.1,7.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,11.0,8.0,0.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,10.0,9.0
>ENST00000435591.1,8.0,8.0,9.0,11.0,7.0,12.0,9.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,0.0,7.0,8.0,10.0,9.0,10.0,9.0,7.0,10.0,7.0,9.0,9.0,10.0,10.0
>ENST00000401550.2,7.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,7.0,0.0,9.0,9.0,10.0,8.0,10.0,8.0,12.0,8.0,9.0,9.0,11.0,9.0
>ENST00000426359.1,7.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,11.0,9.0,8.0,8.0,9.0,0.0,11.0,8.0,7.0,9.0,8.0,11.0,7.0,7.0,8.0,8.0,9.0
>ENST00000431116.2,9.0,8.0,11.0,9.0,8.0,11.0,10.0,11.0,9.0,8.0,8.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,11.0,0.0,9.0,8.0,8.0,8.0,11.0,10.0,8.0,9.0,11.0,8.0
>ENST00000453374.2,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,11.0,9.0,13.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,8.0,9.0,0.0,9.0,10.0,8.0,10.0,11.0,10.0,9.0,9.0,9.0
>ENST00000598302.1,9.0,9.0,9.0,9.0,9.0,11.0,11.0,12.0,8.0,10.0,8.0,11.0,9.0,10.0,10.0,12.0,8.0,10.0,8.0,7.0,8.0,9.0,0.0,10.0,8.0,11.0,8.0,8.0,9.0,9.0,10.0
>ENST00000419962.1,9.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,10.0,9.0,12.0,11.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,0.0,9.0,10.0,8.0,7.0,8.0,8.0,9.0
>ENST00000422655.1,9.0,8.0,9.0,9.0,12.0,9.0,7.0,7.0,7.0,8.0,7.0,10.0,8.0,9.0,10.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,0.0,10.0,9.0,7.0,10.0,9.0,8.0
>ENST00000397254.2,10.0,10.0,11.0,10.0,10.0,11.0,10.0,13.0,8.0,10.0,8.0,14.0,11.0,11.0,11.0,11.0,9.0,10.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,0.0,12.0,9.0,12.0,11.0,11.0
>ENST00000492041.1,9.0,8.0,10.0,9.0,9.0,8.0,8.0,12.0,10.0,9.0,7.0,11.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,10.0,11.0,8.0,8.0,9.0,12.0,0.0,9.0,9.0,8.0,10.0
>ENST00000611760.1,7.0,9.0,9.0,9.0,9.0,9.0,13.0,7.0,9.0,8.0,8.0,11.0,11.0,11.0,9.0,8.0,8.0,9.0,9.0,7.0,8.0,10.0,8.0,7.0,7.0,9.0,9.0,0.0,8.0,10.0,8.0
>ENST00000455031.1,11.0,8.0,12.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,10.0,8.0,11.0,11.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,12.0,9.0,8.0,0.0,8.0,9.0
>ENST00000418167.2,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,12.0,8.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,8.0,11.0,9.0,9.0,8.0,9.0,11.0,8.0,10.0,8.0,0.0,8.0
>ENST00000567422.1,9.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0,8.0,11.0,9.0,10.0,10.0,12.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,11.0,10.0,8.0,9.0,8.0,0.0
