,>ENST00000483947.1,>ENST00000466108.1,>ENST00000514630.1,>ENST00000352103.6,>ENST00000440913.1,>ENST00000610388.1,>ENST00000521269.1,>ENST00000435243.2,>ENST00000445687.1,>ENST00000418412.3,>ENST00000546055.1,>ENST00000611579.1,>ENST00000483942.1,>ENST00000605749.1,>ENST00000605227.1,>ENST00000475637.1,>ENST00000616652.1,>ENST00000528941.1,>ENST00000498999.2,>ENST00000483820.1,>ENST00000529409.1,>ENST00000489972.1,>ENST00000564840.1,>ENST00000445197.1,>ENST00000614118.1,>ENST00000460666.1,>ENST00000424412.2,>ENST00000616455.1,>ENST00000412962.2,>ENST00000440646.1,ENSG00000236446.3,>ENST00000456064.1,>ENST00000412105.1,>ENST00000469473.1,ENSG00000280783.1,>ENST00000417027.1
>ENST00000546055.1,9.0,13.0,9.0,9.0,10.0,8.0,9.0,8.0,7.0,9.0,0.0,10.0,9.0,9.0,9.0,7.0,9.0,6.0,9.0,11.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0
>ENST00000611579.1,8.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,10.0,10.0,0.0,10.0,15.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,10.0,8.0,7.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0
>ENST00000483942.1,10.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,12.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0,9.0,10.0,11.0,9.0,12.0,13.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
>ENST00000605749.1,14.0,9.0,10.0,11.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,15.0,12.0,0.0,12.0,9.0,10.0,9.0,11.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0
>ENST00000605227.1,9.0,11.0,11.0,11.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,12.0,0.0,9.0,8.0,9.0,12.0,9.0,10.0,9.0,9.0,12.0,9.0,11.0,8.0,9.0,11.0,11.0,11.0,10.0,11.0,9.0,10.0,11.0
>ENST00000475637.1,9.0,9.0,10.0,9.0,7.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,0.0,8.0,7.0,9.0,9.0,7.0,8.0,11.0,7.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,8.0
>ENST00000616652.1,12.0,9.0,10.0,7.0,9.0,8.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,0.0,6.0,9.0,8.0,11.0,9.0,9.0,26.0,9.0,10.0,8.0,10.0,11.0,7.0,10.0,10.0,8.0,8.0,8.0,8.0
>ENST00000528941.1,7.0,8.0,8.0,10.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0,8.0,9.0,9.0,9.0,7.0,6.0,0.0,8.0,8.0,7.0,7.0,11.0,7.0,10.0,9.0,7.0,11.0,8.0,8.0,10.0,11.0,9.0,8.0,7.0,8.0
>ENST00000498999.2,10.0,52.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,12.0,9.0,9.0,8.0,0.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,12.0,11.0,8.0,10.0,9.0
>ENST00000483820.1,58.0,10.0,13.0,9.0,9.0,8.0,13.0,9.0,12.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0,12.0,9.0,10.0,8.0,9.0,11.0,9.0,11.0,14.0,8.0,11.0,10.0,11.0,10.0,9.0,11.0
>ENST00000529409.1,8.0,9.0,10.0,7.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,7.0,11.0,7.0,10.0,12.0,0.0,7.0,8.0,11.0,9.0,10.0,7.0,9.0,8.0,7.0,12.0,10.0,8.0,9.0,11.0,9.0
>ENST00000489972.1,9.0,9.0,9.0,7.0,7.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,12.0,9.0,8.0,9.0,7.0,8.0,9.0,7.0,0.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,11.0,9.0,10.0,8.0,9.0,8.0
>ENST00000564840.1,10.0,9.0,13.0,11.0,11.0,10.0,12.0,9.0,9.0,12.0,11.0,10.0,12.0,10.0,9.0,11.0,9.0,11.0,10.0,10.0,8.0,10.0,0.0,10.0,10.0,9.0,9.0,10.0,11.0,11.0,13.0,10.0,11.0,9.0,10.0,9.0
>ENST00000445197.1,10.0,8.0,9.0,12.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,12.0,7.0,26.0,7.0,9.0,8.0,11.0,10.0,10.0,0.0,8.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,7.0,8.0,11.0
>ENST00000614118.1,9.0,13.0,11.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,0.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0
>ENST00000460666.1,9.0,10.0,10.0,10.0,11.0,10.0,11.0,12.0,9.0,9.0,10.0,9.0,11.0,10.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,11.0,10.0,0.0,10.0,9.0,10.0,9.0,11.0,11.0,11.0,10.0,10.0,10.0
>ENST00000424412.2,8.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,7.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,10.0,0.0,10.0,11.0,8.0,11.0,9.0,10.0,8.0,10.0,7.0
>ENST00000616455.1,9.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,12.0,9.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,0.0,11.0,9.0,10.0,10.0,10.0,14.0,10.0,10.0
>ENST00000412962.2,11.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,13.0,11.0,11.0,9.0,11.0,8.0,10.0,14.0,8.0,10.0,11.0,9.0,10.0,10.0,11.0,11.0,0.0,8.0,14.0,11.0,10.0,9.0,10.0,10.0
>ENST00000440646.1,8.0,12.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,11.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,0.0,11.0,8.0,10.0,9.0,9.0,10.0
ENSG00000236446.3,11.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,12.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0,13.0,10.0,10.0,11.0,11.0,10.0,14.0,11.0,0.0,12.0,11.0,11.0,12.0,10.0
>ENST00000456064.1,11.0,10.0,15.0,10.0,9.0,8.0,11.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,11.0,8.0,12.0,0.0,10.0,11.0,11.0,10.0
>ENST00000412105.1,11.0,11.0,9.0,14.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,11.0,11.0,8.0,10.0,11.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,0.0,9.0,9.0,10.0
>ENST00000469473.1,9.0,10.0,11.0,8.0,10.0,8.0,8.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,7.0,9.0,10.0,8.0,14.0,9.0,9.0,11.0,11.0,9.0,0.0,10.0,9.0
ENSG00000280783.1,10.0,9.0,8.0,8.0,8.0,8.0,10.0,7.0,11.0,8.0,9.0,8.0,10.0,10.0,10.0,8.0,8.0,7.0,10.0,9.0,11.0,9.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,12.0,11.0,9.0,10.0,0.0,10.0
>ENST00000417027.1,13.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,11.0,8.0,8.0,8.0,9.0,11.0,9.0,8.0,9.0,11.0,9.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0
