,>ENST00000428966.1,>ENST00000443417.1,>ENST00000434892.1,>ENST00000428788.1,>ENST00000496515.2,>ENST00000440153.1,>ENST00000524865.2,>ENST00000517443.1,>ENST00000621457.1,ENSG00000087085.13,>ENST00000436090.1,>ENST00000605187.1,>ENST00000457888.2,>ENST00000404109.1,>ENST00000604099.1,>ENST00000416040.1,>ENST00000579258.6,>ENST00000551218.1,>ENST00000573318.1,>ENST00000456826.2,>ENST00000422621.1,>ENST00000449164.1,>ENST00000523951.1,>ENST00000505598.2,ENSG00000181191.11,>ENST00000617638.1,>ENST00000558657.1,>ENST00000566879.1,>ENST00000454475.1,>ENST00000445929.1,>ENST00000457453.1,>ENST00000497334.1,>ENST00000316517.3,>ENST00000453277.1,>ENST00000446748.1,>ENST00000421346.1,>ENST00000397031.2,>ENST00000449336.1,>ENST00000550281.1,>ENST00000436100.1,>ENST00000432419.1,>ENST00000578059.2
>ENST00000604099.1,11.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,11.0,11.0,9.0,9.0,8.0,11.0,0.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,10.0,7.0,9.0,10.0,9.0,8.0,5.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,8.0
>ENST00000416040.1,12.0,11.0,9.0,12.0,9.0,11.0,10.0,8.0,11.0,10.0,9.0,8.0,12.0,9.0,10.0,0.0,13.0,11.0,10.0,10.0,9.0,10.0,8.0,10.0,11.0,9.0,13.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,10.0,11.0,8.0
>ENST00000579258.6,11.0,10.0,10.0,12.0,11.0,10.0,11.0,14.0,11.0,13.0,11.0,10.0,13.0,11.0,10.0,13.0,0.0,9.0,10.0,13.0,10.0,12.0,12.0,12.0,13.0,9.0,12.0,12.0,12.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,10.0,9.0,11.0,10.0,12.0
>ENST00000551218.1,10.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,0.0,10.0,11.0,9.0,8.0,9.0,11.0,12.0,8.0,10.0,12.0,10.0,9.0,10.0,9.0,9.0,9.0,12.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0
>ENST00000573318.1,11.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0,0.0,10.0,10.0,8.0,9.0,12.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,8.0,10.0,9.0,9.0,11.0,10.0,9.0,14.0,9.0,10.0,8.0
>ENST00000456826.2,11.0,10.0,9.0,14.0,13.0,10.0,11.0,10.0,11.0,13.0,12.0,11.0,9.0,10.0,11.0,10.0,13.0,11.0,10.0,0.0,9.0,11.0,10.0,11.0,11.0,9.0,11.0,11.0,10.0,9.0,9.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,12.0,11.0,10.0
>ENST00000422621.1,10.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,0.0,9.0,10.0,10.0,10.0,7.0,8.0,9.0,8.0,9.0,7.0,9.0,10.0,11.0,8.0,9.0,9.0,7.0,11.0,11.0,9.0,7.0
>ENST00000449164.1,11.0,10.0,10.0,11.0,12.0,8.0,9.0,9.0,9.0,11.0,11.0,10.0,10.0,10.0,8.0,10.0,12.0,8.0,8.0,11.0,9.0,0.0,11.0,10.0,12.0,9.0,10.0,10.0,13.0,11.0,7.0,10.0,10.0,10.0,9.0,9.0,17.0,9.0,11.0,10.0,11.0,9.0
>ENST00000523951.1,10.0,10.0,8.0,9.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,12.0,9.0,9.0,10.0,10.0,11.0,0.0,9.0,11.0,7.0,10.0,8.0,9.0,8.0,7.0,9.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0
>ENST00000505598.2,11.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,11.0,12.0,10.0,9.0,10.0,9.0,10.0,12.0,11.0,12.0,11.0,10.0,10.0,9.0,0.0,10.0,8.0,13.0,10.0,10.0,13.0,8.0,9.0,8.0,8.0,9.0,11.0,12.0,9.0,10.0,11.0,10.0,8.0
ENSG00000181191.11,11.0,12.0,14.0,12.0,10.0,12.0,11.0,11.0,11.0,16.0,12.0,11.0,12.0,10.0,10.0,11.0,13.0,12.0,10.0,11.0,10.0,12.0,11.0,10.0,0.0,10.0,12.0,11.0,14.0,9.0,8.0,10.0,13.0,10.0,13.0,11.0,13.0,11.0,11.0,10.0,11.0,12.0
>ENST00000617638.1,10.0,8.0,8.0,9.0,8.0,9.0,10.0,6.0,8.0,12.0,10.0,8.0,7.0,7.0,7.0,9.0,9.0,8.0,8.0,9.0,7.0,9.0,7.0,8.0,10.0,0.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,6.0
>ENST00000558657.1,14.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,11.0,11.0,10.0,9.0,11.0,10.0,9.0,13.0,12.0,10.0,10.0,11.0,8.0,10.0,10.0,13.0,12.0,9.0,0.0,10.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,10.0,12.0,12.0,10.0,10.0,10.0,8.0
>ENST00000566879.1,11.0,10.0,9.0,19.0,9.0,10.0,11.0,8.0,10.0,13.0,9.0,10.0,9.0,10.0,10.0,10.0,12.0,12.0,10.0,11.0,9.0,10.0,8.0,10.0,11.0,8.0,10.0,0.0,11.0,11.0,7.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0
>ENST00000454475.1,12.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,14.0,11.0,10.0,9.0,9.0,9.0,11.0,12.0,10.0,10.0,10.0,8.0,13.0,9.0,10.0,14.0,9.0,10.0,11.0,0.0,9.0,8.0,11.0,11.0,10.0,9.0,11.0,604.0,10.0,9.0,13.0,11.0,10.0
>ENST00000445929.1,10.0,9.0,9.0,10.0,10.0,9.0,12.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,11.0,8.0,13.0,9.0,9.0,9.0,11.0,9.0,0.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0
>ENST00000457453.1,9.0,9.0,7.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,5.0,9.0,10.0,10.0,7.0,9.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,0.0,9.0,8.0,8.0,6.0,8.0,8.0,6.0,10.0,7.0,8.0,5.0
>ENST00000497334.1,8.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,11.0,9.0,8.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,11.0,8.0,9.0,0.0,9.0,7.0,7.0,9.0,9.0,8.0,9.0,8.0,12.0,8.0
>ENST00000316517.3,13.0,14.0,8.0,11.0,10.0,10.0,28.0,9.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,13.0,8.0,10.0,10.0,11.0,8.0,8.0,9.0,0.0,10.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0
>ENST00000453277.1,10.0,9.0,11.0,12.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,8.0,7.0,10.0,0.0,10.0,8.0,10.0,8.0,10.0,10.0,8.0,8.0
>ENST00000446748.1,9.0,9.0,11.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,7.0,8.0,8.0,9.0,10.0,11.0,12.0,9.0,11.0,8.0,9.0,8.0,9.0,13.0,9.0,9.0,9.0,9.0,9.0,6.0,7.0,10.0,10.0,0.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0
>ENST00000421346.1,14.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,11.0,11.0,10.0,9.0,10.0,12.0,10.0,11.0,10.0,9.0,9.0,8.0,11.0,11.0,8.0,10.0,9.0,11.0,8.0,8.0,9.0,10.0,8.0,9.0,0.0,11.0,8.0,9.0,9.0,9.0,9.0
>ENST00000397031.2,12.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,10.0,13.0,10.0,11.0,10.0,9.0,9.0,12.0,12.0,10.0,10.0,11.0,9.0,17.0,10.0,12.0,13.0,8.0,12.0,11.0,604.0,9.0,8.0,9.0,11.0,10.0,10.0,11.0,0.0,8.0,8.0,11.0,11.0,10.0
>ENST00000449336.1,11.0,9.0,9.0,9.0,9.0,7.0,10.0,7.0,9.0,10.0,9.0,7.0,7.0,9.0,9.0,11.0,10.0,8.0,9.0,10.0,7.0,9.0,8.0,9.0,11.0,9.0,12.0,9.0,10.0,9.0,6.0,8.0,10.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,9.0
>ENST00000550281.1,10.0,10.0,8.0,11.0,8.0,11.0,9.0,9.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,14.0,11.0,11.0,11.0,8.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,0.0,10.0,9.0,9.0
>ENST00000436100.1,10.0,12.0,9.0,16.0,10.0,10.0,9.0,10.0,10.0,12.0,10.0,9.0,9.0,8.0,11.0,10.0,11.0,10.0,9.0,12.0,11.0,10.0,8.0,11.0,10.0,9.0,10.0,9.0,13.0,8.0,7.0,8.0,9.0,10.0,8.0,9.0,11.0,8.0,10.0,0.0,9.0,9.0
>ENST00000432419.1,11.0,11.0,8.0,11.0,12.0,8.0,10.0,10.0,11.0,10.0,9.0,7.0,11.0,8.0,11.0,11.0,10.0,10.0,10.0,11.0,9.0,11.0,8.0,10.0,11.0,8.0,10.0,9.0,11.0,8.0,8.0,12.0,10.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,0.0,11.0
>ENST00000578059.2,9.0,10.0,8.0,11.0,9.0,7.0,9.0,7.0,9.0,12.0,10.0,8.0,9.0,11.0,8.0,8.0,12.0,9.0,8.0,10.0,7.0,9.0,8.0,8.0,12.0,6.0,8.0,9.0,10.0,8.0,5.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,0.0
