,>ENST00000453808.1,>ENST00000529148.1,>ENST00000605387.1,>ENST00000406739.2,>ENST00000467595.3,>ENST00000604092.1,>ENST00000594920.2,>ENST00000610731.1,>ENST00000508691.1,ENSG00000200393.1,>ENST00000583143.1,>ENST00000522620.1,>ENST00000533128.1,>ENST00000618935.1,>ENST00000520423.2,>ENST00000466070.1,>ENST00000552175.1,>ENST00000560644.1,>ENST00000441364.1,>ENST00000454426.1,>ENST00000621495.1,>ENST00000477323.1,>ENST00000438468.1,>ENST00000426884.1
>ENST00000583143.1,10.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,0.0,10.0,8.0,9.0,10.0,8.0,9.0,11.0,10.0,8.0,9.0,9.0,10.0,7.0
>ENST00000522620.1,9.0,8.0,7.0,10.0,6.0,9.0,8.0,7.0,8.0,7.0,10.0,0.0,10.0,8.0,7.0,7.0,8.0,6.0,10.0,8.0,6.0,8.0,8.0,7.0
>ENST00000533128.1,9.0,11.0,9.0,11.0,10.0,11.0,10.0,7.0,10.0,8.0,8.0,10.0,0.0,9.0,10.0,9.0,10.0,8.0,11.0,10.0,9.0,10.0,8.0,9.0
>ENST00000618935.1,9.0,10.0,9.0,8.0,7.0,10.0,11.0,6.0,8.0,9.0,9.0,8.0,9.0,0.0,9.0,8.0,8.0,8.0,12.0,9.0,8.0,8.0,9.0,8.0
>ENST00000520423.2,10.0,9.0,9.0,10.0,7.0,9.0,12.0,7.0,10.0,8.0,10.0,7.0,10.0,9.0,0.0,9.0,9.0,8.0,9.0,10.0,12.0,10.0,12.0,8.0
>ENST00000466070.1,9.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,12.0,8.0,8.0,7.0,9.0,8.0,9.0,0.0,8.0,7.0,13.0,9.0,8.0,10.0,9.0,8.0
>ENST00000552175.1,9.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,0.0,7.0,11.0,7.0,7.0,10.0,8.0,8.0
>ENST00000560644.1,8.0,8.0,7.0,9.0,7.0,7.0,9.0,7.0,9.0,8.0,11.0,6.0,8.0,8.0,8.0,7.0,7.0,0.0,8.0,6.0,6.0,8.0,7.0,7.0
>ENST00000441364.1,9.0,9.0,8.0,11.0,7.0,10.0,11.0,10.0,8.0,8.0,10.0,10.0,11.0,12.0,9.0,13.0,11.0,8.0,0.0,9.0,9.0,9.0,8.0,7.0
>ENST00000454426.1,7.0,9.0,8.0,10.0,6.0,10.0,10.0,7.0,10.0,7.0,8.0,8.0,10.0,9.0,10.0,9.0,7.0,6.0,9.0,0.0,10.0,10.0,11.0,7.0
>ENST00000621495.1,7.0,8.0,6.0,11.0,5.0,8.0,11.0,6.0,6.0,6.0,9.0,6.0,9.0,8.0,12.0,8.0,7.0,6.0,9.0,10.0,0.0,7.0,6.0,6.0
>ENST00000477323.1,8.0,9.0,7.0,10.0,7.0,10.0,10.0,8.0,9.0,7.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0,8.0,9.0,10.0,7.0,0.0,9.0,8.0
>ENST00000438468.1,8.0,9.0,8.0,10.0,6.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,12.0,9.0,8.0,7.0,8.0,11.0,6.0,9.0,0.0,6.0
>ENST00000426884.1,9.0,9.0,8.0,8.0,7.0,9.0,8.0,5.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,6.0,0.0
