,>ENST00000557130.1,>ENST00000605123.1,>ENST00000524311.1,>ENST00000453858.1,>ENST00000603818.1,>ENST00000436994.1,>ENST00000432307.1,>ENST00000429793.1,>ENST00000518924.1,>ENST00000624263.1,>ENST00000415453.1,>ENST00000489116.1,>ENST00000442568.2,>ENST00000534192.1,>ENST00000526316.2,>ENST00000398065.3,>ENST00000433681.1,>ENST00000618012.1,>ENST00000621585.1,>ENST00000354277.4,>ENST00000394133.2,>ENST00000548155.2,ENSG00000203661.3,>ENST00000445040.1,>ENST00000520308.1,>ENST00000616746.1,>ENST00000431429.1,>ENST00000568299.2,>ENST00000406100.2,>ENST00000498560.1,>ENST00000587562.1,>ENST00000434734.1,>ENST00000486162.1,>ENST00000445557.1,>ENST00000604149.1,>ENST00000406683.2,>ENST00000605601.1,>ENST00000425872.1,>ENST00000524542.1,>ENST00000537668.1,>ENST00000483907.1,>ENST00000413147.1,>ENST00000445112.1,>ENST00000416082.1
>ENST00000618012.1,9.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,12.0,12.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,0.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,10.0,9.0,12.0,10.0,9.0,10.0,11.0,9.0,12.0,11.0,10.0,12.0,10.0
>ENST00000621585.1,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,12.0,9.0,8.0,11.0,10.0,9.0,9.0,0.0,12.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0
>ENST00000354277.4,11.0,12.0,8.0,10.0,9.0,10.0,11.0,9.0,12.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0,11.0,12.0,0.0,8.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,10.0,9.0,7.0,9.0,8.0,9.0,9.0,12.0,9.0,10.0,13.0,8.0,9.0,9.0,10.0,9.0
>ENST00000394133.2,9.0,10.0,9.0,10.0,9.0,9.0,10.0,7.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,12.0,9.0,10.0,9.0,8.0,0.0,10.0,8.0,8.0,11.0,8.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,11.0,10.0,11.0,9.0,8.0,11.0,9.0,10.0,10.0
>ENST00000548155.2,10.0,10.0,9.0,8.0,9.0,11.0,14.0,10.0,11.0,10.0,9.0,9.0,12.0,10.0,9.0,8.0,11.0,11.0,9.0,9.0,10.0,0.0,9.0,9.0,13.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,8.0,10.0,11.0,9.0,10.0,11.0,10.0,10.0
ENSG00000203661.3,9.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,11.0,11.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,0.0,9.0,11.0,13.0,10.0,10.0,11.0,11.0,8.0,10.0,11.0,19.0,10.0,9.0,11.0,12.0,10.0,9.0,9.0,11.0,10.0,12.0
>ENST00000445040.1,8.0,10.0,8.0,11.0,9.0,9.0,11.0,7.0,12.0,9.0,9.0,8.0,11.0,11.0,9.0,8.0,9.0,10.0,8.0,11.0,8.0,9.0,9.0,0.0,10.0,10.0,11.0,9.0,10.0,9.0,7.0,8.0,11.0,9.0,10.0,8.0,7.0,8.0,9.0,11.0,10.0,8.0,9.0,10.0
>ENST00000520308.1,10.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,12.0,11.0,8.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,13.0,11.0,10.0,0.0,9.0,11.0,9.0,9.0,10.0,7.0,11.0,8.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,9.0
>ENST00000616746.1,9.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,13.0,10.0,9.0,0.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,23.0,10.0,9.0,10.0,9.0,11.0,8.0,11.0,12.0,8.0,9.0
>ENST00000431429.1,10.0,11.0,10.0,12.0,10.0,11.0,11.0,10.0,12.0,8.0,10.0,9.0,10.0,9.0,8.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,11.0,9.0,0.0,10.0,11.0,10.0,8.0,19.0,9.0,8.0,10.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,11.0
>ENST00000568299.2,10.0,13.0,8.0,12.0,10.0,14.0,11.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,0.0,14.0,10.0,8.0,11.0,9.0,9.0,11.0,8.0,8.0,11.0,10.0,8.0,10.0,10.0,10.0,14.0
>ENST00000406100.2,11.0,13.0,10.0,10.0,10.0,796.0,11.0,9.0,10.0,11.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,11.0,14.0,0.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,12.0,11.0,10.0,9.0,11.0
>ENST00000498560.1,8.0,11.0,9.0,9.0,9.0,10.0,12.0,10.0,13.0,9.0,11.0,10.0,8.0,10.0,9.0,13.0,9.0,11.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,11.0,0.0,8.0,10.0,8.0,10.0,11.0,8.0,9.0,9.0,9.0,12.0,11.0,13.0,10.0,10.0
>ENST00000587562.1,10.0,9.0,9.0,10.0,7.0,7.0,9.0,8.0,9.0,7.0,7.0,10.0,7.0,8.0,8.0,7.0,8.0,9.0,10.0,7.0,9.0,10.0,8.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,0.0,9.0,7.0,10.0,8.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0
>ENST00000434734.1,9.0,15.0,10.0,11.0,9.0,10.0,12.0,9.0,13.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,11.0,10.0,19.0,11.0,10.0,10.0,9.0,0.0,8.0,9.0,10.0,10.0,9.0,11.0,9.0,12.0,11.0,10.0,10.0,12.0
>ENST00000486162.1,8.0,10.0,8.0,10.0,10.0,9.0,9.0,7.0,11.0,11.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,8.0,10.0,11.0,11.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,0.0,11.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,13.0,9.0,10.0
>ENST00000445557.1,10.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,11.0,11.0,9.0,8.0,9.0,9.0,12.0,10.0,9.0,9.0,9.0,19.0,9.0,10.0,23.0,8.0,9.0,9.0,10.0,10.0,9.0,11.0,0.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
>ENST00000604149.1,9.0,12.0,8.0,11.0,10.0,10.0,9.0,8.0,9.0,11.0,9.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,8.0,10.0,9.0,11.0,0.0,11.0,8.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0
>ENST00000406683.2,11.0,11.0,8.0,9.0,9.0,10.0,11.0,8.0,10.0,8.0,8.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,12.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,7.0,10.0,8.0,9.0,11.0,0.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,8.0
>ENST00000605601.1,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,11.0,7.0,9.0,10.0,8.0,8.0,9.0,9.0,7.0,9.0,10.0,10.0,8.0,9.0,0.0,7.0,9.0,8.0,8.0,8.0,7.0,10.0
>ENST00000425872.1,9.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,12.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,7.0,11.0,9.0,9.0,10.0,10.0,7.0,0.0,9.0,9.0,10.0,9.0,9.0,9.0
>ENST00000524542.1,10.0,11.0,9.0,9.0,10.0,10.0,10.0,8.0,15.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,13.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,0.0,10.0,9.0,10.0,9.0,10.0
>ENST00000537668.1,9.0,10.0,9.0,8.0,12.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,7.0,12.0,9.0,8.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,8.0,12.0,12.0,8.0,12.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,0.0,10.0,9.0,11.0,10.0
>ENST00000483907.1,9.0,10.0,8.0,11.0,10.0,9.0,13.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,11.0,11.0,8.0,9.0,11.0,10.0,9.0,10.0,12.0,11.0,11.0,10.0,11.0,11.0,7.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,0.0,14.0,12.0,11.0
>ENST00000413147.1,10.0,12.0,11.0,9.0,9.0,10.0,13.0,8.0,11.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,11.0,8.0,9.0,12.0,10.0,10.0,10.0,13.0,7.0,10.0,13.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,14.0,0.0,9.0,9.0
>ENST00000445112.1,8.0,12.0,12.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,12.0,9.0,9.0,9.0,10.0,11.0,12.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,7.0,10.0,9.0,9.0,11.0,7.0,7.0,9.0,9.0,11.0,12.0,9.0,0.0,10.0
>ENST00000416082.1,9.0,11.0,10.0,10.0,11.0,11.0,11.0,9.0,11.0,12.0,10.0,12.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,10.0,9.0,9.0,11.0,14.0,11.0,10.0,8.0,12.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,0.0
