,>ENST00000508621.1,>ENST00000427733.1,>ENST00000429813.1,ENSG00000221303.1,>ENST00000410078.2,>ENST00000553886.1,>ENST00000401679.2,>ENST00000561102.1,>ENST00000450607.1,>ENST00000412004.1,>ENST00000426721.2,>ENST00000530038.5,>ENST00000588126.2,>ENST00000405359.2,>ENST00000431546.1,>ENST00000398921.6,>ENST00000406333.1,>ENST00000421606.5,>ENST00000448050.2,>ENST00000407947.1,>ENST00000412562.1,>ENST00000528022.1,>ENST00000453699.1,>ENST00000610379.1,>ENST00000555505.2,>ENST00000418303.1,ENSG00000221716.1,>ENST00000584421.1,>ENST00000437709.2,>ENST00000605511.1,>ENST00000420757.1,>ENST00000441325.2,>ENST00000611221.1,>ENST00000482477.2,>ENST00000453255.1,>ENST00000428071.1,>ENST00000472093.2,>ENST00000484852.1,>ENST00000418838.1,>ENST00000434960.2,>ENST00000479478.5,>ENST00000603272.1,>ENST00000417151.1,>ENST00000562290.1,>ENST00000623408.1,>ENST00000429046.1,>ENST00000449877.1,>ENST00000507524.1,>ENST00000572217.1,>ENST00000529375.1,>ENST00000620935.1,>ENST00000443484.1,>ENST00000629041.1,>ENST00000451892.1,>ENST00000546340.1,>ENST00000532369.1,>ENST00000492453.1,>ENST00000434698.1,>ENST00000601729.1,>ENST00000615195.1,>ENST00000608946.1,>ENST00000359690.2,>ENST00000439695.1,>ENST00000605551.2,>ENST00000422855.1,>ENST00000438288.1,>ENST00000418130.1,>ENST00000514691.1,>ENST00000483963.1,>ENST00000461513.1,>ENST00000532136.2,>ENST00000415880.1,>ENST00000462675.1
>ENST00000426721.2,12.0,11.0,12.0,7.0,10.0,11.0,11.0,10.0,10.0,8.0,0.0,12.0,10.0,10.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,9.0,12.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,9.0,13.0,13.0,15.0,10.0,10.0,11.0,12.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,8.0,8.0,12.0,10.0,10.0,11.0,10.0,11.0,12.0,10.0,10.0,12.0,11.0,10.0,12.0,13.0,10.0,10.0,13.0,12.0,14.0,10.0
>ENST00000530038.5,10.0,12.0,9.0,9.0,10.0,12.0,8.0,11.0,11.0,10.0,12.0,0.0,10.0,11.0,12.0,10.0,10.0,12.0,10.0,11.0,11.0,11.0,9.0,9.0,9.0,13.0,9.0,12.0,9.0,11.0,10.0,11.0,9.0,10.0,8.0,8.0,8.0,10.0,13.0,12.0,9.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,8.0,13.0,10.0,11.0,10.0,10.0,11.0,15.0,10.0,11.0,12.0,10.0,11.0,10.0,11.0,8.0,9.0,14.0,10.0,9.0,11.0
>ENST00000588126.2,8.0,11.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,0.0,9.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,11.0,11.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,7.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,11.0,9.0,8.0,7.0,9.0,8.0,10.0,7.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,11.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0
>ENST00000405359.2,8.0,11.0,8.0,7.0,10.0,11.0,11.0,8.0,8.0,68.0,10.0,11.0,9.0,0.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,11.0,7.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,6.0,8.0,11.0,10.0,12.0,9.0,9.0,10.0,8.0,9.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,7.0,12.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0
>ENST00000431546.1,11.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,13.0,8.0,12.0,12.0,9.0,9.0,0.0,11.0,9.0,11.0,9.0,9.0,11.0,11.0,11.0,9.0,9.0,11.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,12.0,9.0,12.0,11.0,10.0,9.0,7.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,11.0,10.0,8.0,10.0,9.0,12.0,8.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,12.0
>ENST00000398921.6,8.0,11.0,10.0,10.0,9.0,14.0,9.0,10.0,11.0,9.0,12.0,10.0,10.0,9.0,11.0,0.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0,9.0,9.0,9.0,10.0,12.0,10.0,9.0,9.0,10.0,8.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,8.0,9.0,7.0,12.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,13.0,11.0,9.0,11.0,9.0,9.0,11.0
>ENST00000406333.1,9.0,10.0,9.0,8.0,9.0,10.0,12.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,0.0,13.0,9.0,10.0,11.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,10.0,12.0,10.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,11.0,9.0,8.0,10.0,9.0,10.0,11.0,12.0,10.0,9.0,8.0,9.0,9.0,12.0,8.0,13.0,8.0,11.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,12.0,11.0,9.0,12.0,12.0,11.0,9.0
>ENST00000421606.5,11.0,11.0,9.0,8.0,12.0,11.0,11.0,12.0,10.0,9.0,11.0,12.0,11.0,10.0,11.0,9.0,13.0,0.0,10.0,12.0,10.0,11.0,10.0,10.0,11.0,11.0,9.0,12.0,9.0,12.0,10.0,12.0,11.0,11.0,8.0,10.0,12.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,11.0,12.0,11.0,9.0,9.0,9.0,10.0,12.0,12.0,10.0,11.0,11.0,10.0,11.0,12.0,11.0,10.0,11.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,12.0,13.0
>ENST00000448050.2,8.0,10.0,10.0,8.0,8.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,0.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,12.0,15.0,12.0,8.0,10.0,9.0,9.0,8.0,12.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,11.0,11.0,8.0,11.0,7.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0
>ENST00000407947.1,10.0,9.0,11.0,9.0,10.0,15.0,8.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,12.0,9.0,0.0,12.0,9.0,9.0,13.0,9.0,10.0,9.0,10.0,13.0,9.0,8.0,10.0,10.0,11.0,7.0,8.0,10.0,12.0,9.0,11.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,7.0,13.0,8.0,11.0,8.0,12.0,11.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,12.0,10.0,10.0,15.0,9.0,10.0,10.0
>ENST00000412562.1,9.0,10.0,11.0,8.0,9.0,10.0,8.0,8.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0,11.0,10.0,8.0,12.0,0.0,10.0,12.0,9.0,10.0,11.0,8.0,11.0,9.0,12.0,10.0,11.0,10.0,9.0,8.0,10.0,10.0,13.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,11.0,10.0,11.0,9.0,14.0,9.0,11.0,11.0,11.0,10.0,8.0,12.0,10.0,9.0,10.0,9.0,11.0,12.0,9.0,11.0,11.0,8.0,9.0,9.0,10.0,9.0,10.0
>ENST00000528022.1,9.0,11.0,12.0,8.0,12.0,12.0,8.0,9.0,10.0,8.0,9.0,11.0,11.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,0.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,12.0,9.0,10.0,9.0,9.0,10.0,13.0,9.0,8.0,11.0,11.0,9.0,11.0,10.0,9.0,12.0,9.0,10.0,10.0,7.0,10.0,8.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,11.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0
>ENST00000453699.1,8.0,11.0,9.0,8.0,8.0,12.0,8.0,8.0,12.0,10.0,12.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,12.0,9.0,0.0,10.0,8.0,10.0,7.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,7.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,8.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,12.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,11.0,10.0,11.0,9.0,13.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0
>ENST00000610379.1,8.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,13.0,9.0,9.0,10.0,0.0,11.0,9.0,8.0,9.0,12.0,10.0,10.0,10.0,11.0,9.0,8.0,11.0,12.0,9.0,11.0,10.0,10.0,9.0,12.0,10.0,8.0,10.0,9.0,12.0,9.0,12.0,8.0,9.0,7.0,11.0,12.0,10.0,8.0,10.0,12.0,9.0,10.0,12.0,11.0,10.0,9.0,9.0,11.0,10.0,10.0,13.0,13.0,11.0,11.0
>ENST00000555505.2,8.0,10.0,8.0,9.0,8.0,10.0,10.0,8.0,10.0,11.0,11.0,9.0,8.0,8.0,9.0,12.0,8.0,11.0,9.0,9.0,10.0,10.0,8.0,11.0,0.0,9.0,8.0,12.0,11.0,9.0,10.0,9.0,8.0,8.0,7.0,8.0,11.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,12.0,8.0,10.0,8.0,12.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,9.0,9.0,8.0,11.0
>ENST00000418303.1,8.0,12.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,11.0,13.0,9.0,11.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,8.0,10.0,9.0,9.0,0.0,9.0,11.0,9.0,9.0,11.0,12.0,10.0,8.0,9.0,10.0,10.0,13.0,11.0,10.0,10.0,14.0,10.0,10.0,10.0,12.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0
ENSG00000221716.1,7.0,8.0,7.0,7.0,8.0,9.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,9.0,0.0,7.0,11.0,8.0,8.0,10.0,9.0,7.0,6.0,7.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,12.0,11.0,9.0,9.0,8.0,6.0,7.0,8.0,9.0,8.0,9.0,7.0,13.0,8.0,8.0,7.0,9.0,8.0,12.0,7.0,9.0,9.0,8.0,10.0,9.0,7.0,7.0,8.0
>ENST00000584421.1,12.0,9.0,8.0,8.0,9.0,8.0,8.0,13.0,9.0,8.0,11.0,12.0,9.0,8.0,8.0,9.0,8.0,12.0,12.0,10.0,11.0,8.0,9.0,9.0,12.0,11.0,7.0,0.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,12.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0,10.0,12.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,11.0,12.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,14.0,9.0,8.0,8.0,11.0
>ENST00000437709.2,8.0,9.0,9.0,8.0,8.0,11.0,9.0,10.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,15.0,13.0,9.0,10.0,10.0,12.0,11.0,9.0,11.0,10.0,0.0,9.0,8.0,11.0,8.0,10.0,8.0,9.0,140.0,11.0,11.0,11.0,8.0,10.0,7.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,6.0,10.0,11.0,9.0,7.0,11.0,11.0,10.0,9.0,9.0,10.0,12.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,12.0,8.0
>ENST00000605511.1,9.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,12.0,10.0,12.0,12.0,9.0,12.0,10.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,0.0,9.0,9.0,10.0,8.0,7.0,10.0,11.0,9.0,13.0,11.0,10.0,10.0,8.0,11.0,8.0,9.0,8.0,10.0,11.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,12.0,9.0,9.0
>ENST00000420757.1,8.0,9.0,9.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,8.0,9.0,0.0,9.0,12.0,9.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,14.0,9.0,10.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,7.0,9.0
>ENST00000441325.2,10.0,10.0,10.0,8.0,11.0,11.0,8.0,9.0,9.0,8.0,13.0,11.0,9.0,10.0,10.0,9.0,12.0,12.0,10.0,10.0,11.0,12.0,10.0,10.0,9.0,12.0,10.0,9.0,11.0,9.0,9.0,0.0,12.0,12.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,12.0,13.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,8.0,9.0,8.0,11.0,9.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0
>ENST00000611221.1,9.0,10.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,7.0,13.0,9.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,11.0,8.0,10.0,9.0,9.0,8.0,10.0,12.0,12.0,0.0,10.0,7.0,10.0,10.0,10.0,10.0,12.0,9.0,11.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,7.0,9.0,7.0,11.0,12.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,14.0,10.0,9.0
>ENST00000482477.2,9.0,14.0,11.0,7.0,8.0,13.0,7.0,8.0,9.0,9.0,15.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0,12.0,9.0,8.0,8.0,7.0,10.0,10.0,8.0,9.0,12.0,10.0,0.0,8.0,9.0,10.0,10.0,11.0,9.0,7.0,9.0,7.0,9.0,11.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,7.0,11.0,9.0,8.0,8.0,10.0,9.0,13.0,9.0,8.0,8.0,13.0,10.0,8.0,10.0,7.0,8.0,9.0,8.0,11.0,10.0
>ENST00000453255.1,8.0,8.0,8.0,6.0,7.0,8.0,7.0,6.0,8.0,6.0,10.0,8.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,8.0,7.0,9.0,6.0,10.0,8.0,7.0,8.0,8.0,7.0,8.0,0.0,9.0,8.0,8.0,9.0,6.0,6.0,11.0,6.0,7.0,7.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,10.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0,6.0,6.0,9.0,7.0,8.0,7.0
>ENST00000428071.1,8.0,9.0,11.0,8.0,9.0,9.0,8.0,7.0,10.0,7.0,10.0,8.0,8.0,8.0,9.0,11.0,8.0,10.0,12.0,8.0,10.0,9.0,8.0,11.0,8.0,10.0,7.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,0.0,9.0,13.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,11.0,10.0,9.0,7.0,9.0,7.0,10.0,10.0,9.0,7.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0,10.0,11.0,8.0,8.0
>ENST00000472093.2,8.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,8.0,11.0,11.0,8.0,8.0,11.0,9.0,10.0,9.0,12.0,9.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,11.0,9.0,140.0,11.0,8.0,9.0,10.0,10.0,8.0,9.0,0.0,9.0,9.0,11.0,8.0,10.0,7.0,11.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,7.0,11.0,11.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,10.0,11.0,10.0
>ENST00000484852.1,9.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,10.0,12.0,10.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,12.0,13.0,13.0,10.0,9.0,10.0,13.0,8.0,12.0,11.0,9.0,10.0,10.0,10.0,10.0,8.0,13.0,9.0,0.0,10.0,10.0,9.0,12.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,11.0,10.0,10.0,8.0,10.0,10.0,8.0,8.0,9.0,10.0,8.0,12.0
>ENST00000418838.1,9.0,12.0,10.0,8.0,12.0,10.0,8.0,10.0,11.0,8.0,11.0,13.0,10.0,12.0,10.0,10.0,11.0,12.0,8.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,8.0,9.0,11.0,13.0,10.0,10.0,10.0,11.0,9.0,8.0,9.0,10.0,0.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,12.0,10.0,11.0,10.0,11.0,9.0,12.0,9.0,10.0,10.0,10.0,9.0,11.0,11.0,11.0,11.0
>ENST00000434960.2,10.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,10.0,8.0,10.0,12.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,11.0,9.0,11.0,12.0,9.0,6.0,9.0,11.0,10.0,9.0,0.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,7.0,9.0,9.0,10.0,10.0,9.0,8.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0
