,>ENST00000399556.2,>ENST00000416822.1,>ENST00000505620.1,>ENST00000423668.1,>ENST00000416536.1,>ENST00000405151.2,>ENST00000424057.1,>ENST00000413498.1,>ENST00000401418.2,>ENST00000566172.1,ENSG00000127362.2,>ENST00000411635.1,>ENST00000430516.1,>ENST00000603467.1,>ENST00000455007.1,>ENST00000468074.1,>ENST00000529711.1,>ENST00000442803.2,>ENST00000525712.1,>ENST00000420014.2,>ENST00000427240.1,>ENST00000402817.1,>ENST00000437203.1,>ENST00000441891.1,>ENST00000579054.1,>ENST00000534395.1,>ENST00000511864.1,>ENST00000423333.1,>ENST00000547456.2,>ENST00000523725.1,>ENST00000546846.1
ENSG00000127362.2,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,8.0,0.0,9.0,9.0,8.0,10.0,11.0,9.0,10.0,11.0,10.0,12.0,10.0,8.0,10.0,7.0,11.0,9.0,11.0,9.0,9.0,10.0
>ENST00000411635.1,9.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,11.0,9.0,0.0,9.0,8.0,12.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,5.0,8.0,12.0,9.0,10.0,8.0,11.0
>ENST00000430516.1,11.0,6.0,10.0,10.0,10.0,11.0,8.0,10.0,11.0,9.0,9.0,9.0,0.0,8.0,9.0,12.0,10.0,12.0,11.0,11.0,11.0,9.0,8.0,8.0,6.0,9.0,9.0,11.0,8.0,9.0,8.0
>ENST00000603467.1,7.0,6.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,5.0,7.0,8.0,7.0,7.0,7.0,6.0
>ENST00000455007.1,8.0,8.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,12.0,9.0,7.0,0.0,10.0,7.0,10.0,9.0,12.0,9.0,8.0,11.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,7.0
>ENST00000468074.1,13.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,15.0,8.0,11.0,10.0,12.0,7.0,10.0,0.0,9.0,15.0,9.0,10.0,10.0,9.0,10.0,8.0,7.0,11.0,11.0,11.0,9.0,10.0,7.0
>ENST00000529711.1,9.0,7.0,8.0,8.0,8.0,8.0,8.0,12.0,9.0,7.0,9.0,10.0,10.0,7.0,7.0,9.0,0.0,8.0,9.0,10.0,8.0,12.0,8.0,8.0,6.0,9.0,7.0,9.0,7.0,7.0,8.0
>ENST00000442803.2,11.0,8.0,11.0,11.0,9.0,11.0,11.0,12.0,9.0,10.0,10.0,9.0,12.0,7.0,10.0,15.0,8.0,0.0,9.0,10.0,10.0,9.0,12.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0
>ENST00000525712.1,12.0,9.0,12.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,11.0,8.0,11.0,7.0,9.0,9.0,9.0,9.0,0.0,10.0,11.0,8.0,8.0,7.0,6.0,11.0,9.0,10.0,10.0,8.0,9.0
>ENST00000420014.2,10.0,8.0,8.0,13.0,9.0,10.0,8.0,9.0,9.0,11.0,10.0,10.0,11.0,7.0,12.0,10.0,10.0,10.0,10.0,0.0,11.0,8.0,8.0,9.0,6.0,9.0,8.0,10.0,8.0,10.0,8.0
>ENST00000427240.1,11.0,11.0,11.0,11.0,10.0,12.0,11.0,11.0,9.0,10.0,12.0,9.0,11.0,8.0,9.0,10.0,8.0,10.0,11.0,11.0,0.0,10.0,10.0,8.0,8.0,8.0,11.0,10.0,9.0,9.0,9.0
>ENST00000402817.1,9.0,7.0,13.0,10.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,8.0,9.0,8.0,8.0,9.0,12.0,9.0,8.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0
>ENST00000437203.1,9.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,10.0,6.0,8.0,9.0,8.0,7.0,11.0,10.0,8.0,12.0,8.0,8.0,10.0,10.0,0.0,7.0,6.0,8.0,8.0,10.0,7.0,8.0,9.0
>ENST00000441891.1,8.0,7.0,9.0,9.0,7.0,9.0,7.0,7.0,9.0,7.0,10.0,9.0,8.0,7.0,10.0,8.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,0.0,5.0,8.0,8.0,8.0,7.0,9.0,7.0
>ENST00000579054.1,7.0,4.0,7.0,6.0,6.0,8.0,7.0,6.0,8.0,5.0,7.0,5.0,6.0,5.0,7.0,7.0,6.0,10.0,6.0,6.0,8.0,8.0,6.0,5.0,0.0,9.0,7.0,7.0,6.0,5.0,7.0
>ENST00000534395.1,9.0,8.0,9.0,11.0,10.0,9.0,7.0,9.0,10.0,7.0,11.0,8.0,9.0,7.0,8.0,11.0,9.0,11.0,11.0,9.0,8.0,8.0,8.0,8.0,9.0,0.0,8.0,8.0,9.0,9.0,10.0
>ENST00000511864.1,8.0,8.0,7.0,10.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,12.0,9.0,8.0,7.0,11.0,7.0,9.0,9.0,8.0,11.0,8.0,8.0,8.0,7.0,8.0,0.0,10.0,7.0,9.0,7.0
>ENST00000423333.1,10.0,9.0,13.0,9.0,10.0,11.0,10.0,9.0,9.0,8.0,11.0,9.0,11.0,7.0,8.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,7.0,8.0,10.0,0.0,10.0,8.0,8.0
>ENST00000547456.2,9.0,7.0,9.0,8.0,10.0,8.0,8.0,8.0,11.0,9.0,9.0,10.0,8.0,7.0,8.0,9.0,7.0,9.0,10.0,8.0,9.0,8.0,7.0,7.0,6.0,9.0,7.0,10.0,0.0,8.0,7.0
>ENST00000523725.1,9.0,8.0,9.0,10.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,9.0,10.0,7.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,5.0,9.0,9.0,8.0,8.0,0.0,8.0
>ENST00000546846.1,9.0,7.0,12.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,11.0,8.0,6.0,7.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,7.0,7.0,10.0,7.0,8.0,7.0,8.0,0.0
