,ENSG00000243103.3,ENSG00000186075.12,ENSG00000186306.1,ENSG00000185176.12,>ENST00000484430.1,>ENST00000419351.2,ENSG00000176230.4,>ENST00000513810.2,>ENST00000453728.1,ENSG00000129654.7,>ENST00000444165.1,ENSG00000160606.10,ENSG00000223341.1,>ENST00000392798.3,>ENST00000418535.3,>ENST00000447509.2,>ENST00000435000.2,>ENST00000519320.1,ENSG00000160233.7,ENSG00000203818.7,>ENST00000506079.1,ENSG00000201987.1,>ENST00000415445.1,>ENST00000448783.1,>ENST00000419038.2,ENSG00000251889.1,>ENST00000431564.1,ENSG00000123353.9,ENSG00000171860.4,ENSG00000120322.3,ENSG00000184716.13,>ENST00000521792.2,>ENST00000605250.1,>ENST00000476363.1,>ENST00000416023.1,>ENST00000402970.1,>ENST00000515639.1,>ENST00000561790.1,>ENST00000526140.1,>ENST00000496556.1,>ENST00000420444.1,ENSG00000221693.1,ENSG00000156345.17,ENSG00000154620.5,>ENST00000299671.7,ENSG00000277248.1,>ENST00000483614.1,ENSG00000252705.1,>ENST00000603860.1,>ENST00000442083.1,>ENST00000484967.1,>ENST00000606902.1,ENSG00000212626.1,ENSG00000273604.1
>ENST00000447509.2,8.0,9.0,10.0,11.0,9.0,9.0,7.0,9.0,8.0,9.0,6.0,8.0,7.0,7.0,9.0,0.0,9.0,8.0,11.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,7.0,11.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,7.0,6.0,10.0,8.0,7.0,6.0,7.0,6.0,6.0,7.0,8.0,8.0,7.0,8.0
>ENST00000435000.2,10.0,12.0,11.0,12.0,10.0,12.0,12.0,11.0,11.0,12.0,9.0,11.0,10.0,11.0,10.0,9.0,0.0,10.0,11.0,12.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,14.0,12.0,11.0,11.0,12.0,9.0,9.0,9.0,11.0,11.0,11.0,9.0,9.0,9.0,12.0,11.0,10.0,9.0,10.0,9.0,9.0,12.0,10.0,9.0,8.0,10.0
>ENST00000519320.1,9.0,11.0,10.0,13.0,9.0,10.0,11.0,11.0,9.0,11.0,10.0,11.0,8.0,8.0,9.0,8.0,10.0,0.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0,7.0,11.0,10.0,12.0,10.0,13.0,11.0,8.0,9.0,11.0,8.0,9.0,9.0,10.0,8.0,10.0,7.0,13.0,10.0,9.0,7.0,8.0,8.0,11.0,8.0,10.0,8.0,9.0,12.0
ENSG00000160233.7,9.0,120.0,11.0,15.0,12.0,11.0,11.0,12.0,13.0,14.0,10.0,13.0,11.0,10.0,11.0,11.0,11.0,11.0,0.0,12.0,11.0,9.0,11.0,11.0,10.0,8.0,10.0,12.0,94.0,14.0,13.0,12.0,10.0,12.0,10.0,11.0,11.0,12.0,11.0,12.0,11.0,11.0,50.0,15.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,10.0,10.0,13.0
ENSG00000203818.7,7.0,10.0,12.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,13.0,8.0,8.0,9.0,7.0,12.0,10.0,12.0,0.0,10.0,6.0,7.0,7.0,8.0,6.0,8.0,10.0,10.0,13.0,10.0,9.0,8.0,8.0,10.0,7.0,10.0,11.0,8.0,7.0,8.0,7.0,17.0,11.0,6.0,7.0,10.0,6.0,10.0,9.0,9.0,10.0,7.0,9.0
>ENST00000506079.1,9.0,13.0,10.0,13.0,9.0,15.0,10.0,13.0,9.0,13.0,9.0,10.0,9.0,9.0,9.0,7.0,11.0,9.0,11.0,10.0,0.0,8.0,11.0,11.0,13.0,7.0,9.0,10.0,10.0,12.0,11.0,11.0,9.0,9.0,10.0,10.0,9.0,13.0,10.0,10.0,9.0,8.0,13.0,10.0,9.0,7.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0
ENSG00000201987.1,7.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,9.0,6.0,8.0,0.0,8.0,7.0,8.0,8.0,5.0,8.0,9.0,9.0,10.0,8.0,8.0,7.0,9.0,7.0,6.0,7.0,10.0,6.0,8.0,6.0,12.0,10.0,6.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,11.0
>ENST00000415445.1,9.0,10.0,8.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0,7.0,11.0,8.0,0.0,9.0,10.0,7.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,7.0,8.0,8.0,13.0,9.0,8.0,8.0,7.0,11.0,18.0,11.0,7.0,9.0,7.0,7.0,10.0,9.0,8.0,8.0,9.0
>ENST00000448783.1,9.0,12.0,9.0,11.0,8.0,10.0,11.0,12.0,8.0,10.0,8.0,10.0,8.0,7.0,10.0,7.0,9.0,8.0,11.0,7.0,11.0,7.0,9.0,0.0,9.0,7.0,7.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,7.0,8.0,10.0,9.0,8.0,8.0,7.0,11.0,11.0,9.0,7.0,8.0,10.0,7.0,8.0,9.0,9.0,7.0,10.0
>ENST00000419038.2,10.0,11.0,11.0,11.0,11.0,9.0,9.0,11.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,13.0,8.0,10.0,9.0,0.0,8.0,8.0,11.0,11.0,12.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,11.0,8.0,8.0,10.0,12.0,10.0,8.0,9.0,10.0,12.0,13.0,10.0,9.0,9.0,9.0,12.0
ENSG00000251889.1,8.0,14.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,6.0,9.0,7.0,10.0,7.0,7.0,9.0,7.0,8.0,6.0,7.0,8.0,7.0,7.0,8.0,0.0,6.0,9.0,10.0,9.0,11.0,10.0,8.0,7.0,6.0,8.0,7.0,8.0,7.0,7.0,8.0,10.0,9.0,9.0,6.0,7.0,8.0,6.0,6.0,8.0,6.0,7.0,6.0,8.0
>ENST00000431564.1,8.0,13.0,10.0,13.0,9.0,7.0,9.0,10.0,8.0,10.0,7.0,9.0,7.0,10.0,9.0,7.0,9.0,11.0,10.0,8.0,9.0,5.0,8.0,7.0,8.0,6.0,0.0,11.0,10.0,9.0,11.0,13.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,7.0,7.0,11.0,9.0,8.0,6.0,8.0,7.0,10.0,9.0,8.0,12.0,7.0,9.0
ENSG00000123353.9,17.0,12.0,10.0,13.0,10.0,10.0,10.0,12.0,11.0,13.0,10.0,87.0,20.0,10.0,10.0,11.0,11.0,10.0,12.0,10.0,10.0,8.0,10.0,10.0,11.0,9.0,11.0,0.0,97.0,14.0,126.0,11.0,14.0,11.0,12.0,11.0,11.0,12.0,12.0,10.0,12.0,10.0,13.0,27.0,9.0,9.0,12.0,9.0,9.0,11.0,10.0,10.0,12.0,12.0
ENSG00000171860.4,21.0,124.0,12.0,14.0,12.0,10.0,13.0,11.0,12.0,12.0,9.0,126.0,23.0,10.0,11.0,10.0,14.0,12.0,94.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,97.0,0.0,13.0,134.0,12.0,11.0,10.0,11.0,12.0,12.0,11.0,10.0,10.0,11.0,12.0,39.0,44.0,10.0,10.0,10.0,9.0,11.0,14.0,10.0,11.0,10.0,12.0
ENSG00000120322.3,10.0,14.0,11.0,12.0,11.0,11.0,12.0,10.0,10.0,12.0,10.0,12.0,10.0,10.0,12.0,9.0,12.0,10.0,14.0,13.0,12.0,9.0,9.0,10.0,12.0,9.0,9.0,14.0,13.0,0.0,12.0,16.0,10.0,10.0,13.0,10.0,11.0,12.0,12.0,9.0,10.0,10.0,12.0,14.0,10.0,8.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,13.0
ENSG00000184716.13,14.0,14.0,13.0,14.0,13.0,10.0,11.0,11.0,11.0,12.0,10.0,119.0,18.0,12.0,11.0,9.0,11.0,13.0,13.0,10.0,11.0,10.0,9.0,10.0,10.0,11.0,11.0,126.0,134.0,12.0,0.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,13.0,26.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,13.0
>ENST00000521792.2,9.0,11.0,11.0,11.0,12.0,10.0,12.0,10.0,10.0,13.0,10.0,11.0,9.0,10.0,11.0,9.0,11.0,11.0,12.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,13.0,11.0,12.0,16.0,11.0,0.0,10.0,10.0,12.0,9.0,11.0,10.0,13.0,9.0,8.0,9.0,11.0,11.0,13.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,9.0,12.0
>ENST00000605250.1,9.0,11.0,11.0,10.0,11.0,8.0,9.0,10.0,11.0,13.0,9.0,10.0,9.0,10.0,9.0,7.0,12.0,8.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,14.0,11.0,10.0,11.0,10.0,0.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,8.0,11.0,11.0,8.0,8.0,11.0,8.0,8.0,12.0,9.0,11.0,9.0,10.0
>ENST00000476363.1,9.0,11.0,8.0,13.0,9.0,10.0,9.0,10.0,8.0,11.0,10.0,12.0,8.0,10.0,9.0,9.0,9.0,9.0,12.0,8.0,9.0,7.0,9.0,9.0,9.0,7.0,8.0,11.0,10.0,10.0,11.0,10.0,8.0,0.0,10.0,8.0,8.0,9.0,10.0,8.0,7.0,6.0,10.0,9.0,8.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,11.0
>ENST00000416023.1,8.0,11.0,9.0,13.0,9.0,8.0,11.0,11.0,8.0,10.0,8.0,10.0,7.0,8.0,11.0,8.0,9.0,11.0,10.0,10.0,10.0,9.0,7.0,8.0,9.0,6.0,9.0,12.0,11.0,13.0,10.0,12.0,8.0,10.0,0.0,9.0,10.0,8.0,9.0,8.0,9.0,7.0,11.0,10.0,7.0,7.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,9.0
>ENST00000402970.1,8.0,11.0,9.0,11.0,8.0,8.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,11.0,7.0,10.0,7.0,8.0,7.0,8.0,8.0,7.0,11.0,12.0,10.0,10.0,9.0,8.0,8.0,9.0,0.0,8.0,8.0,9.0,9.0,9.0,7.0,10.0,9.0,7.0,6.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,11.0
>ENST00000515639.1,8.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,11.0,7.0,9.0,10.0,7.0,11.0,9.0,11.0,10.0,9.0,6.0,8.0,8.0,9.0,7.0,8.0,11.0,12.0,11.0,10.0,11.0,10.0,8.0,10.0,8.0,0.0,8.0,11.0,8.0,9.0,9.0,12.0,10.0,9.0,7.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,12.0
>ENST00000561790.1,8.0,10.0,10.0,11.0,8.0,10.0,9.0,12.0,9.0,16.0,10.0,14.0,8.0,10.0,8.0,9.0,11.0,9.0,12.0,11.0,13.0,7.0,13.0,10.0,9.0,8.0,9.0,12.0,11.0,12.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,0.0,10.0,9.0,11.0,7.0,13.0,10.0,9.0,8.0,10.0,7.0,8.0,9.0,10.0,8.0,9.0,11.0
>ENST00000526140.1,10.0,12.0,19.0,11.0,9.0,10.0,12.0,10.0,8.0,10.0,9.0,13.0,9.0,10.0,10.0,8.0,11.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,11.0,7.0,8.0,12.0,10.0,12.0,11.0,13.0,9.0,10.0,9.0,9.0,11.0,10.0,0.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,7.0,13.0,9.0,15.0,10.0,10.0
>ENST00000496556.1,7.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,12.0,7.0,10.0,6.0,8.0,8.0,8.0,7.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,0.0,10.0,8.0,11.0,12.0,7.0,7.0,12.0,8.0,7.0,9.0,8.0,10.0,8.0,11.0
>ENST00000420444.1,7.0,13.0,9.0,11.0,9.0,7.0,9.0,10.0,7.0,10.0,7.0,10.0,9.0,8.0,9.0,7.0,9.0,10.0,11.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,12.0,11.0,10.0,11.0,8.0,9.0,7.0,9.0,9.0,9.0,11.0,9.0,10.0,0.0,7.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,10.0
ENSG00000221693.1,11.0,11.0,7.0,10.0,10.0,8.0,8.0,8.0,7.0,10.0,7.0,9.0,7.0,7.0,7.0,6.0,9.0,7.0,11.0,7.0,8.0,6.0,7.0,7.0,10.0,10.0,7.0,10.0,12.0,10.0,9.0,9.0,8.0,6.0,7.0,7.0,9.0,7.0,9.0,8.0,7.0,0.0,9.0,9.0,7.0,7.0,7.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0
ENSG00000156345.17,11.0,48.0,14.0,14.0,11.0,13.0,11.0,12.0,12.0,13.0,11.0,13.0,10.0,10.0,13.0,10.0,12.0,13.0,50.0,17.0,13.0,12.0,11.0,11.0,12.0,9.0,11.0,13.0,39.0,12.0,13.0,11.0,11.0,10.0,11.0,10.0,12.0,13.0,11.0,11.0,10.0,9.0,0.0,13.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,12.0
ENSG00000154620.5,14.0,13.0,12.0,11.0,12.0,11.0,11.0,10.0,11.0,11.0,10.0,52.0,15.0,10.0,11.0,8.0,11.0,10.0,15.0,11.0,10.0,10.0,18.0,11.0,10.0,9.0,9.0,27.0,44.0,14.0,26.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,12.0,9.0,9.0,13.0,0.0,11.0,10.0,9.0,11.0,9.0,11.0,11.0,10.0,11.0,12.0
>ENST00000299671.7,8.0,10.0,10.0,12.0,10.0,8.0,8.0,9.0,8.0,11.0,9.0,9.0,13.0,9.0,9.0,7.0,10.0,9.0,10.0,6.0,9.0,6.0,11.0,9.0,8.0,6.0,8.0,9.0,10.0,10.0,11.0,13.0,8.0,8.0,7.0,7.0,9.0,9.0,9.0,7.0,9.0,7.0,10.0,11.0,0.0,8.0,9.0,7.0,7.0,9.0,8.0,9.0,7.0,10.0
ENSG00000277248.1,6.0,11.0,7.0,9.0,11.0,8.0,8.0,9.0,7.0,9.0,6.0,8.0,9.0,7.0,6.0,6.0,9.0,7.0,10.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,6.0,9.0,10.0,8.0,9.0,9.0,8.0,7.0,7.0,6.0,7.0,8.0,9.0,7.0,8.0,7.0,10.0,10.0,8.0,0.0,9.0,6.0,10.0,8.0,6.0,8.0,9.0,10.0
>ENST00000483614.1,9.0,11.0,9.0,11.0,10.0,9.0,8.0,11.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0,7.0,10.0,8.0,11.0,10.0,10.0,8.0,9.0,8.0,10.0,8.0,8.0,12.0,10.0,11.0,10.0,10.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,12.0,8.0,7.0,11.0,9.0,9.0,9.0,0.0,9.0,8.0,9.0,9.0,8.0,12.0,10.0
ENSG00000252705.1,8.0,9.0,10.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,6.0,9.0,8.0,9.0,6.0,9.0,7.0,7.0,10.0,12.0,6.0,7.0,9.0,9.0,9.0,9.0,11.0,8.0,7.0,8.0,7.0,9.0,7.0,9.0,8.0,8.0,10.0,10.0,11.0,7.0,6.0,9.0,0.0,10.0,8.0,7.0,8.0,7.0,8.0
>ENST00000603860.1,7.0,14.0,8.0,10.0,8.0,7.0,15.0,9.0,8.0,9.0,8.0,11.0,7.0,10.0,8.0,6.0,9.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,13.0,6.0,10.0,9.0,11.0,11.0,10.0,9.0,8.0,9.0,7.0,8.0,7.0,8.0,7.0,7.0,10.0,8.0,11.0,9.0,7.0,10.0,8.0,10.0,0.0,8.0,8.0,8.0,8.0,9.0
>ENST00000442083.1,8.0,10.0,9.0,12.0,10.0,10.0,9.0,11.0,8.0,11.0,9.0,11.0,10.0,9.0,10.0,7.0,12.0,8.0,11.0,9.0,10.0,7.0,10.0,8.0,10.0,8.0,9.0,11.0,14.0,9.0,10.0,11.0,12.0,8.0,8.0,8.0,9.0,9.0,13.0,9.0,8.0,7.0,11.0,11.0,9.0,8.0,9.0,8.0,8.0,0.0,10.0,7.0,10.0,10.0
>ENST00000484967.1,10.0,10.0,10.0,10.0,12.0,8.0,8.0,10.0,9.0,10.0,7.0,10.0,8.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,7.0,9.0,9.0,9.0,6.0,8.0,10.0,10.0,10.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,11.0,11.0,8.0,6.0,9.0,7.0,8.0,10.0,0.0,8.0,8.0,8.0
>ENST00000606902.1,9.0,10.0,10.0,11.0,8.0,11.0,11.0,10.0,7.0,11.0,9.0,11.0,9.0,8.0,11.0,8.0,9.0,8.0,10.0,10.0,8.0,7.0,8.0,9.0,9.0,7.0,12.0,10.0,11.0,9.0,11.0,10.0,11.0,8.0,8.0,8.0,9.0,8.0,15.0,10.0,9.0,7.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,0.0,8.0,11.0
ENSG00000212626.1,8.0,10.0,9.0,11.0,7.0,9.0,9.0,9.0,7.0,8.0,9.0,8.0,9.0,10.0,7.0,7.0,8.0,9.0,10.0,7.0,9.0,7.0,8.0,7.0,9.0,6.0,7.0,12.0,10.0,9.0,10.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,11.0,11.0,7.0,9.0,12.0,7.0,8.0,10.0,8.0,8.0,0.0,11.0
ENSG00000273604.1,10.0,12.0,12.0,13.0,10.0,13.0,9.0,11.0,9.0,16.0,13.0,12.0,12.0,10.0,11.0,8.0,10.0,12.0,13.0,9.0,10.0,11.0,9.0,10.0,12.0,8.0,9.0,12.0,12.0,13.0,13.0,12.0,10.0,11.0,9.0,11.0,12.0,11.0,10.0,11.0,10.0,8.0,12.0,12.0,10.0,10.0,10.0,8.0,9.0,10.0,8.0,11.0,11.0,0.0
