,ENSG00000274118.1,>ENST00000392760.3,>ENST00000402666.1,>ENST00000299197.6,>ENST00000605470.1,>ENST00000463122.1,>ENST00000269395.6,ENSG00000207342.1,ENSG00000252645.1,>ENST00000489433.1,ENSG00000272028.1,ENSG00000112855.14,>ENST00000611836.1,>ENST00000453188.1,>ENST00000445213.1,ENSG00000240626.3,>ENST00000449115.1,>ENST00000442362.2,>ENST00000478134.1,>ENST00000565427.2,>ENST00000398900.2,ENSG00000238813.1,>ENST00000478386.1,>ENST00000544818.1,>ENST00000454568.1,ENSG00000199719.1,>ENST00000605022.1,ENSG00000252357.1,>ENST00000405625.2,>ENST00000429752.3,>ENST00000449688.1
ENSG00000240626.3,7.0,9.0,9.0,11.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,19.0,8.0,7.0,8.0,0.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,11.0,8.0,8.0,8.0,11.0
>ENST00000449115.1,7.0,10.0,8.0,9.0,9.0,8.0,9.0,7.0,6.0,8.0,7.0,11.0,13.0,9.0,9.0,9.0,0.0,11.0,8.0,9.0,13.0,8.0,10.0,8.0,11.0,9.0,10.0,8.0,8.0,8.0,10.0
>ENST00000442362.2,8.0,13.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,11.0,9.0,9.0,12.0,8.0,11.0,0.0,11.0,10.0,11.0,8.0,10.0,8.0,10.0,9.0,10.0,8.0,10.0,10.0,11.0
>ENST00000478134.1,7.0,9.0,8.0,9.0,9.0,10.0,10.0,7.0,6.0,9.0,8.0,11.0,11.0,11.0,8.0,9.0,8.0,11.0,0.0,10.0,9.0,7.0,10.0,9.0,11.0,9.0,9.0,7.0,9.0,9.0,11.0
>ENST00000565427.2,11.0,11.0,9.0,12.0,9.0,13.0,11.0,9.0,9.0,9.0,9.0,14.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,0.0,9.0,8.0,12.0,11.0,11.0,9.0,10.0,8.0,9.0,11.0,12.0
>ENST00000398900.2,9.0,9.0,9.0,11.0,10.0,10.0,8.0,7.0,8.0,9.0,8.0,10.0,7.0,11.0,7.0,8.0,13.0,11.0,9.0,9.0,0.0,8.0,10.0,8.0,11.0,8.0,9.0,8.0,9.0,10.0,9.0
ENSG00000238813.1,10.0,8.0,6.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,5.0,10.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,0.0,7.0,7.0,8.0,7.0,8.0,55.0,7.0,9.0,8.0
>ENST00000478386.1,7.0,12.0,9.0,10.0,8.0,11.0,10.0,7.0,8.0,9.0,8.0,11.0,8.0,8.0,10.0,9.0,10.0,10.0,10.0,12.0,10.0,7.0,0.0,9.0,11.0,11.0,12.0,8.0,9.0,9.0,9.0
>ENST00000544818.1,7.0,9.0,8.0,12.0,8.0,11.0,9.0,6.0,8.0,11.0,8.0,11.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,11.0,8.0,7.0,9.0,0.0,9.0,8.0,10.0,7.0,8.0,11.0,11.0
>ENST00000454568.1,7.0,11.0,9.0,13.0,9.0,9.0,10.0,8.0,7.0,9.0,7.0,13.0,10.0,8.0,10.0,9.0,11.0,10.0,11.0,11.0,11.0,8.0,11.0,9.0,0.0,8.0,9.0,8.0,11.0,9.0,9.0
ENSG00000199719.1,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,6.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,7.0,11.0,8.0,8.0,0.0,9.0,7.0,9.0,9.0,8.0
>ENST00000605022.1,8.0,11.0,10.0,10.0,9.0,9.0,11.0,8.0,8.0,11.0,8.0,12.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,10.0,9.0,8.0,12.0,10.0,9.0,9.0,0.0,11.0,9.0,9.0,9.0
ENSG00000252357.1,9.0,8.0,8.0,9.0,6.0,7.0,10.0,8.0,6.0,7.0,7.0,10.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,55.0,8.0,7.0,8.0,7.0,11.0,0.0,7.0,8.0,9.0
>ENST00000405625.2,8.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,7.0,10.0,7.0,11.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,11.0,9.0,9.0,7.0,0.0,9.0,10.0
>ENST00000429752.3,7.0,9.0,8.0,9.0,8.0,10.0,9.0,7.0,7.0,9.0,7.0,11.0,7.0,12.0,7.0,8.0,8.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,0.0,9.0
>ENST00000449688.1,8.0,11.0,9.0,12.0,10.0,11.0,10.0,10.0,6.0,9.0,10.0,10.0,10.0,8.0,9.0,11.0,10.0,11.0,11.0,12.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,0.0
