,>ENST00000321081.2,>ENST00000494679.2,>ENST00000421194.3,>ENST00000634407.1,>ENST00000504655.1,>ENST00000603714.1,>ENST00000569753.1,>ENST00000617727.1,>ENST00000613894.2,>ENST00000426171.1,>ENST00000396646.3,>ENST00000613704.1,>ENST00000489238.1,>ENST00000519525.1,>ENST00000423307.1,>ENST00000605867.1,>ENST00000415057.1,>ENST00000417179.1,>ENST00000456392.1,>ENST00000445663.1,>ENST00000463217.2,>ENST00000398413.5,ENSG00000252581.1,>ENST00000564027.1,>ENST00000532876.1,>ENST00000533579.1,>ENST00000445285.1,>ENST00000412054.1,>ENST00000475212.1,>ENST00000455473.1,>ENST00000423051.1,ENSG00000102981.9,>ENST00000508663.1,>ENST00000443590.1,>ENST00000611867.1,>ENST00000555526.1,>ENST00000405880.1,>ENST00000430406.1,>ENST00000485827.1,>ENST00000581715.1,>ENST00000434597.2,>ENST00000536978.1,>ENST00000404780.2,>ENST00000617106.1,>ENST00000403105.1,>ENST00000425592.2,>ENST00000448968.2,>ENST00000447334.1,>ENST00000450250.1
>ENST00000445285.1,11.0,10.0,10.0,9.0,10.0,8.0,6.0,7.0,9.0,8.0,9.0,11.0,11.0,9.0,8.0,8.0,7.0,9.0,10.0,9.0,10.0,8.0,6.0,12.0,10.0,9.0,0.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,8.0,7.0,8.0,10.0,10.0,7.0,9.0,8.0,8.0,8.0,11.0,9.0,10.0,9.0,10.0
>ENST00000412054.1,8.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,11.0,9.0,7.0,9.0,9.0,10.0,8.0,0.0,8.0,10.0,10.0,10.0,9.0,11.0,9.0,11.0,11.0,9.0,8.0,7.0,12.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0
>ENST00000475212.1,10.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,8.0,9.0,11.0,11.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,8.0,0.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,9.0
>ENST00000455473.1,10.0,9.0,9.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,11.0,7.0,8.0,8.0,8.0,10.0,11.0,7.0,10.0,11.0,9.0,9.0,10.0,10.0,0.0,9.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,74.0,8.0,8.0,9.0,12.0,11.0,9.0,8.0,9.0,10.0,8.0
>ENST00000423051.1,9.0,9.0,9.0,9.0,13.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,9.0,10.0,10.0,11.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,0.0,9.0,8.0,10.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0
ENSG00000102981.9,13.0,9.0,12.0,9.0,13.0,9.0,10.0,8.0,10.0,8.0,9.0,8.0,9.0,14.0,10.0,11.0,8.0,9.0,12.0,10.0,11.0,12.0,8.0,10.0,12.0,10.0,9.0,10.0,10.0,8.0,9.0,0.0,8.0,10.0,10.0,9.0,10.0,11.0,9.0,7.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0
>ENST00000508663.1,10.0,8.0,8.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,11.0,6.0,9.0,9.0,9.0,12.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,0.0,9.0,8.0,8.0,12.0,10.0,9.0,8.0,10.0,7.0,12.0,8.0,9.0,9.0,10.0,10.0,7.0
>ENST00000443590.1,11.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,0.0,9.0,10.0,9.0,11.0,10.0,9.0,11.0,9.0,11.0,10.0,12.0,11.0,9.0,11.0,11.0
>ENST00000611867.1,9.0,9.0,10.0,8.0,11.0,10.0,6.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,7.0,8.0,8.0,9.0,8.0,9.0,11.0,8.0,8.0,10.0,8.0,9.0,0.0,7.0,8.0,9.0,8.0,8.0,10.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0
>ENST00000555526.1,11.0,8.0,9.0,9.0,13.0,8.0,7.0,7.0,11.0,7.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,7.0,6.0,8.0,10.0,8.0,7.0,11.0,10.0,7.0,9.0,9.0,8.0,10.0,7.0,0.0,9.0,8.0,8.0,7.0,11.0,9.0,8.0,9.0,10.0,9.0,11.0,8.0,9.0
>ENST00000405880.1,10.0,8.0,11.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,11.0,8.0,8.0,8.0,10.0,8.0,8.0,7.0,12.0,9.0,11.0,9.0,8.0,10.0,9.0,10.0,8.0,11.0,10.0,8.0,8.0,10.0,12.0,9.0,8.0,9.0,0.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,10.0,11.0,13.0,9.0
>ENST00000430406.1,12.0,10.0,10.0,10.0,11.0,10.0,11.0,8.0,11.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,11.0,7.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,9.0,8.0,9.0,0.0,8.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0
>ENST00000485827.1,9.0,10.0,12.0,8.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,11.0,10.0,9.0,7.0,8.0,11.0,9.0,10.0,8.0,9.0,74.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0
>ENST00000581715.1,10.0,8.0,7.0,7.0,9.0,9.0,8.0,7.0,8.0,7.0,10.0,7.0,8.0,7.0,7.0,9.0,6.0,9.0,10.0,8.0,8.0,7.0,6.0,9.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,9.0,11.0,8.0,0.0,9.0,6.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0
>ENST00000434597.2,10.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,11.0,10.0,9.0,12.0,9.0,8.0,8.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,8.0,9.0,0.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0
>ENST00000536978.1,10.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,7.0,9.0,9.0,10.0,8.0,6.0,8.0,0.0,8.0,7.0,10.0,7.0,8.0,10.0,7.0
>ENST00000404780.2,11.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,13.0,9.0,7.0,9.0,9.0,10.0,8.0,9.0,8.0,12.0,9.0,9.0,12.0,11.0,8.0,8.0,11.0,10.0,8.0,8.0,10.0,8.0,0.0,8.0,13.0,9.0,10.0,9.0,12.0
>ENST00000617106.1,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,7.0,9.0,7.0,8.0,0.0,9.0,7.0,10.0,8.0,10.0
>ENST00000403105.1,10.0,9.0,8.0,8.0,11.0,10.0,8.0,9.0,10.0,11.0,16.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,13.0,9.0,0.0,9.0,12.0,14.0,11.0
>ENST00000425592.2,9.0,10.0,7.0,9.0,10.0,9.0,7.0,9.0,10.0,8.0,10.0,8.0,8.0,7.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,8.0,11.0,9.0,9.0,11.0,7.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0,0.0,9.0,9.0,9.0
>ENST00000448968.2,12.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,8.0,10.0,11.0,9.0,9.0,7.0,8.0,7.0,9.0,11.0,9.0,9.0,8.0,7.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,11.0,11.0,8.0,9.0,10.0,8.0,10.0,10.0,12.0,9.0,0.0,8.0,12.0
>ENST00000447334.1,12.0,9.0,11.0,9.0,10.0,9.0,8.0,11.0,10.0,11.0,10.0,7.0,10.0,9.0,9.0,11.0,8.0,11.0,11.0,14.0,10.0,13.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,8.0,8.0,13.0,11.0,8.0,8.0,10.0,10.0,9.0,8.0,14.0,9.0,8.0,0.0,11.0
>ENST00000450250.1,10.0,10.0,10.0,11.0,9.0,8.0,8.0,9.0,9.0,8.0,11.0,8.0,12.0,9.0,8.0,11.0,8.0,8.0,10.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,11.0,7.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,12.0,10.0,11.0,9.0,12.0,11.0,0.0
