,>ENST00000612874.1,>ENST00000402406.2,>ENST00000453086.1,>ENST00000434394.1,>ENST00000431363.1,>ENST00000603110.1,>ENST00000618036.1,>ENST00000569247.1,>ENST00000549280.1,>ENST00000417124.1,>ENST00000453589.1,>ENST00000412994.1,>ENST00000415279.1,>ENST00000565166.2,>ENST00000579772.1,>ENST00000445958.1,>ENST00000604767.1,>ENST00000449661.1,>ENST00000442771.1,>ENST00000451909.1,>ENST00000357130.4,>ENST00000584419.1,>ENST00000566335.1,>ENST00000571636.1,>ENST00000439961.2,>ENST00000624736.1,>ENST00000392510.3,>ENST00000452964.2,ENSG00000232268.5,>ENST00000545001.2,>ENST00000428243.1,>ENST00000447061.2,>ENST00000615011.1,ENSG00000212259.1,>ENST00000419176.1,>ENST00000433122.2,>ENST00000475372.2,>ENST00000474415.1,>ENST00000613427.1,>ENST00000510957.1,>ENST00000611521.1,>ENST00000477071.2,>ENST00000426103.1
>ENST00000453589.1,9.0,9.0,12.0,7.0,10.0,9.0,10.0,7.0,10.0,10.0,0.0,9.0,11.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,12.0,8.0,9.0,13.0,10.0,9.0,12.0,9.0,10.0,14.0,10.0,10.0,7.0,11.0,11.0,9.0,9.0,8.0,9.0,9.0
>ENST00000412994.1,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,0.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,12.0,9.0,11.0,10.0,9.0,7.0,10.0,7.0,8.0,10.0,10.0,10.0,7.0,10.0,9.0
>ENST00000415279.1,9.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,0.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,12.0,10.0,10.0,11.0,12.0,13.0,10.0,10.0,9.0,12.0,8.0,11.0,9.0,11.0,11.0,8.0,10.0,8.0,10.0,10.0
>ENST00000565166.2,8.0,10.0,9.0,8.0,9.0,10.0,10.0,7.0,10.0,9.0,11.0,9.0,11.0,0.0,10.0,11.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,8.0,11.0,12.0,10.0,10.0,9.0,12.0,10.0,7.0,12.0,9.0,10.0,12.0,9.0,11.0,8.0,10.0,12.0
>ENST00000579772.1,9.0,10.0,12.0,7.0,8.0,11.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,0.0,9.0,11.0,9.0,9.0,8.0,8.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,7.0,10.0,10.0,8.0,10.0,6.0,9.0,7.0,10.0,10.0
>ENST00000445958.1,9.0,10.0,10.0,13.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,9.0,0.0,9.0,8.0,9.0,7.0,9.0,10.0,9.0,9.0,12.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,7.0,10.0,10.0,7.0,8.0,8.0,10.0,8.0
>ENST00000604767.1,9.0,9.0,9.0,6.0,9.0,6.0,13.0,6.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,9.0,0.0,8.0,8.0,8.0,7.0,9.0,7.0,12.0,8.0,9.0,11.0,9.0,8.0,9.0,8.0,9.0,10.0,6.0,9.0,6.0,8.0,10.0,5.0,9.0,8.0,9.0,8.0
>ENST00000449661.1,9.0,8.0,8.0,7.0,10.0,8.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,0.0,7.0,7.0,7.0,9.0,8.0,10.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,10.0,6.0,9.0,8.0,9.0,10.0
>ENST00000442771.1,9.0,9.0,11.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,0.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,7.0,11.0,11.0,8.0,10.0,9.0,7.0,9.0,8.0,8.0,11.0,7.0,10.0,6.0,11.0,8.0
>ENST00000451909.1,7.0,9.0,7.0,8.0,11.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,7.0,9.0,0.0,9.0,8.0,8.0,10.0,8.0,7.0,9.0,8.0,10.0,10.0,9.0,11.0,10.0,7.0,9.0,10.0,9.0,10.0,6.0,10.0,7.0,9.0,9.0
>ENST00000357130.4,10.0,9.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,13.0,9.0,8.0,10.0,9.0,8.0,9.0,7.0,7.0,9.0,9.0,0.0,8.0,15.0,10.0,8.0,7.0,8.0,7.0,10.0,8.0,9.0,9.0,10.0,6.0,8.0,7.0,9.0,11.0,8.0,9.0,7.0,9.0,10.0
>ENST00000584419.1,9.0,9.0,10.0,9.0,10.0,10.0,12.0,7.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,8.0,0.0,8.0,11.0,8.0,7.0,10.0,9.0,10.0,12.0,10.0,12.0,11.0,8.0,8.0,11.0,9.0,10.0,7.0,9.0,7.0,11.0,10.0
>ENST00000566335.1,8.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,7.0,8.0,10.0,8.0,15.0,8.0,0.0,9.0,8.0,8.0,10.0,8.0,10.0,9.0,8.0,10.0,12.0,6.0,9.0,8.0,9.0,11.0,6.0,9.0,8.0,9.0,12.0
>ENST00000571636.1,10.0,11.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,12.0,10.0,12.0,11.0,8.0,9.0,12.0,10.0,9.0,10.0,10.0,11.0,9.0,0.0,9.0,10.0,13.0,11.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,8.0,11.0,8.0,9.0,10.0
>ENST00000439961.2,10.0,8.0,10.0,7.0,10.0,11.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,11.0,8.0,12.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,0.0,9.0,8.0,9.0,9.0,11.0,7.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,7.0,8.0,7.0,8.0,10.0
>ENST00000624736.1,8.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,7.0,8.0,7.0,7.0,7.0,8.0,10.0,9.0,0.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,11.0,9.0,9.0,6.0,8.0,7.0,8.0,12.0
>ENST00000392510.3,8.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,13.0,8.0,13.0,8.0,11.0,11.0,9.0,11.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0,13.0,8.0,8.0,0.0,9.0,11.0,10.0,11.0,11.0,11.0,7.0,9.0,8.0,11.0,11.0,7.0,10.0,12.0,9.0,9.0
>ENST00000452964.2,10.0,12.0,9.0,9.0,9.0,8.0,10.0,7.0,8.0,10.0,10.0,8.0,12.0,12.0,10.0,10.0,9.0,8.0,7.0,8.0,7.0,9.0,8.0,11.0,9.0,9.0,9.0,0.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,8.0,13.0,10.0,7.0,8.0,8.0,11.0,11.0
ENSG00000232268.5,11.0,13.0,9.0,9.0,12.0,10.0,10.0,8.0,11.0,10.0,9.0,12.0,13.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,0.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,12.0,8.0,10.0,9.0,9.0,12.0
>ENST00000545001.2,9.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,12.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,11.0,10.0,8.0,12.0,9.0,9.0,11.0,8.0,10.0,10.0,10.0,0.0,8.0,12.0,10.0,9.0,11.0,9.0,11.0,12.0,7.0,10.0,8.0,10.0,10.0
>ENST00000428243.1,8.0,10.0,8.0,8.0,10.0,10.0,8.0,6.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,7.0,8.0,11.0,9.0,9.0,8.0,0.0,10.0,10.0,7.0,10.0,9.0,8.0,12.0,7.0,12.0,7.0,10.0,9.0
>ENST00000447061.2,14.0,11.0,10.0,9.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,9.0,12.0,8.0,9.0,9.0,10.0,10.0,11.0,9.0,12.0,10.0,10.0,8.0,8.0,11.0,9.0,9.0,12.0,10.0,0.0,10.0,9.0,11.0,10.0,9.0,12.0,7.0,10.0,8.0,9.0,10.0
>ENST00000615011.1,10.0,11.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,11.0,14.0,9.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,12.0,11.0,9.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,9.0,10.0,13.0,9.0,10.0,12.0,11.0,11.0
ENSG00000212259.1,7.0,9.0,9.0,10.0,10.0,8.0,7.0,6.0,8.0,8.0,10.0,7.0,8.0,7.0,7.0,10.0,6.0,8.0,7.0,7.0,6.0,8.0,6.0,9.0,8.0,8.0,7.0,10.0,8.0,9.0,7.0,9.0,10.0,0.0,10.0,7.0,9.0,8.0,9.0,7.0,7.0,8.0,10.0
>ENST00000419176.1,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,11.0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,0.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0
>ENST00000433122.2,8.0,7.0,7.0,8.0,10.0,7.0,9.0,7.0,9.0,7.0,7.0,7.0,9.0,9.0,10.0,7.0,6.0,8.0,8.0,10.0,7.0,11.0,8.0,8.0,9.0,11.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,0.0,9.0,10.0,8.0,8.0,6.0,9.0,10.0
>ENST00000475372.2,12.0,9.0,8.0,8.0,15.0,8.0,10.0,9.0,13.0,10.0,11.0,8.0,11.0,10.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,13.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,0.0,11.0,10.0,11.0,7.0,10.0,10.0
>ENST00000474415.1,9.0,10.0,10.0,8.0,11.0,10.0,13.0,9.0,10.0,10.0,11.0,10.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,12.0,12.0,12.0,12.0,13.0,8.0,10.0,10.0,11.0,0.0,9.0,11.0,10.0,11.0,12.0
>ENST00000613427.1,7.0,6.0,7.0,6.0,8.0,7.0,9.0,8.0,6.0,7.0,9.0,10.0,8.0,9.0,6.0,7.0,5.0,6.0,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,9.0,9.0,8.0,8.0,10.0,9.0,0.0,8.0,7.0,8.0,8.0
>ENST00000510957.1,10.0,10.0,8.0,8.0,10.0,9.0,11.0,6.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,8.0,8.0,10.0,8.0,10.0,10.0,12.0,10.0,10.0,7.0,9.0,8.0,11.0,11.0,8.0,0.0,8.0,11.0,10.0
>ENST00000611521.1,7.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,12.0,8.0,9.0,8.0,7.0,8.0,12.0,7.0,8.0,6.0,7.0,10.0,7.0,8.0,0.0,8.0,8.0
>ENST00000477071.2,9.0,9.0,9.0,7.0,9.0,10.0,9.0,7.0,12.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,11.0,8.0,11.0,8.0,0.0,8.0
>ENST00000426103.1,12.0,9.0,9.0,7.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,10.0,12.0,10.0,8.0,8.0,10.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,12.0,9.0,11.0,12.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,12.0,8.0,10.0,8.0,8.0,0.0
