,>ENST00000487147.5,>ENST00000437414.1,>ENST00000559536.2,>ENST00000433548.1,>ENST00000475442.1,>ENST00000529103.1,>ENST00000603971.1,>ENST00000448269.1,>ENST00000616500.1,>ENST00000554978.1,ENSG00000109072.13,>ENST00000442177.1,>ENST00000434731.1,>ENST00000621170.1,>ENST00000577438.1,>ENST00000518938.1,>ENST00000440417.2,>ENST00000438425.1,>ENST00000436372.1,>ENST00000604662.1,>ENST00000503966.1,>ENST00000432828.1,>ENST00000446352.1,>ENST00000424409.1,>ENST00000421145.1,>ENST00000422958.1,>ENST00000511464.1,>ENST00000604358.1,>ENST00000425462.1,>ENST00000412909.1,>ENST00000424642.1,>ENST00000428694.1,>ENST00000528901.1,>ENST00000425971.2,>ENST00000423683.1,>ENST00000541103.2,ENSG00000166333.13,>ENST00000451820.1,>ENST00000444527.2,>ENST00000423936.1,>ENST00000420099.1,>ENST00000456481.1,>ENST00000508165.1,>ENST00000541631.1,>ENST00000425064.1,>ENST00000507448.1,>ENST00000460661.1,>ENST00000461223.1,>ENST00000560524.1,>ENST00000525030.5,>ENST00000531736.1,>ENST00000613051.1,>ENST00000440059.1,>ENST00000515217.1,>ENST00000624852.1,>ENST00000625196.1,>ENST00000622571.1,>ENST00000447052.1,>ENST00000419978.1,>ENST00000618453.1,>ENST00000473810.1,>ENST00000477747.1,>ENST00000412747.1,>ENST00000439449.2,>ENST00000448731.1,>ENST00000511021.1
>ENST00000518938.1,9.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,12.0,9.0,9.0,8.0,8.0,0.0,9.0,9.0,9.0,12.0,10.0,9.0,8.0,9.0,8.0,8.0,11.0,8.0,9.0,9.0,12.0,10.0,8.0,10.0,9.0,10.0,11.0,8.0,12.0,7.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,7.0,10.0,10.0,8.0,4.0,8.0,10.0,10.0,8.0,9.0
>ENST00000440417.2,11.0,10.0,8.0,8.0,11.0,10.0,8.0,8.0,8.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,0.0,10.0,12.0,10.0,12.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,11.0,9.0,10.0,9.0,11.0,11.0,10.0,9.0,11.0,8.0,12.0,10.0,10.0,12.0,10.0,11.0,10.0,8.0,9.0,8.0,11.0,12.0,9.0,11.0,9.0,12.0,10.0,9.0,9.0,10.0,11.0,10.0,7.0,10.0,10.0,9.0,10.0,11.0
>ENST00000438425.1,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,11.0,8.0,12.0,12.0,9.0,8.0,9.0,9.0,10.0,0.0,9.0,8.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,12.0,8.0,9.0,11.0,10.0,11.0,9.0,9.0,11.0,8.0,11.0,9.0,11.0,11.0,10.0,10.0,8.0,12.0,9.0,10.0,9.0,10.0,7.0,9.0,6.0,9.0,9.0,8.0,9.0,12.0
>ENST00000436372.1,12.0,9.0,8.0,12.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,12.0,9.0,0.0,10.0,10.0,10.0,10.0,12.0,8.0,8.0,9.0,10.0,9.0,8.0,13.0,9.0,10.0,10.0,10.0,11.0,12.0,13.0,12.0,10.0,8.0,10.0,12.0,10.0,10.0,8.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,12.0,8.0,10.0,9.0,10.0,9.0,10.0,6.0,9.0,10.0,10.0,10.0,11.0
>ENST00000604662.1,11.0,8.0,8.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,10.0,8.0,11.0,9.0,11.0,12.0,10.0,8.0,10.0,0.0,10.0,10.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,7.0,10.0,10.0,9.0,10.0,11.0,10.0,14.0,10.0,10.0,11.0,9.0,8.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,12.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,6.0,9.0,10.0,9.0,10.0,11.0
>ENST00000503966.1,11.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,12.0,10.0,9.0,9.0,11.0,10.0,12.0,11.0,10.0,10.0,0.0,10.0,10.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,13.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,9.0,10.0
>ENST00000432828.1,12.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,0.0,12.0,9.0,8.0,10.0,10.0,9.0,8.0,7.0,11.0,10.0,9.0,12.0,9.0,10.0,11.0,10.0,14.0,9.0,8.0,12.0,14.0,9.0,10.0,9.0,12.0,8.0,12.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,8.0,5.0,10.0,8.0,10.0,11.0,10.0
>ENST00000446352.1,10.0,9.0,11.0,9.0,11.0,11.0,9.0,8.0,10.0,9.0,12.0,10.0,13.0,11.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,12.0,0.0,9.0,10.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,13.0,11.0,10.0,9.0,11.0,9.0,12.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,13.0,11.0,10.0,11.0,11.0,8.0,11.0,9.0,8.0,6.0,9.0,10.0,11.0,14.0,10.0
>ENST00000424409.1,11.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,12.0,8.0,9.0,9.0,9.0,0.0,7.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,9.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,13.0,9.0,11.0,9.0
>ENST00000421145.1,10.0,8.0,7.0,11.0,9.0,10.0,8.0,7.0,13.0,8.0,11.0,11.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,10.0,7.0,0.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,8.0,9.0,11.0,8.0,10.0,11.0,8.0,10.0,9.0,12.0,8.0,8.0,9.0,8.0,10.0,11.0,10.0,8.0,9.0,8.0,7.0,9.0,7.0,9.0,8.0,7.0,6.0,8.0,8.0,9.0,9.0,8.0
>ENST00000422958.1,10.0,10.0,10.0,9.0,10.0,9.0,11.0,7.0,9.0,7.0,11.0,8.0,11.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0,10.0,9.0,8.0,8.0,0.0,10.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,10.0,11.0,9.0,12.0,9.0,9.0,12.0,10.0,10.0,9.0,9.0,9.0,10.0,14.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,5.0,8.0,10.0,10.0,9.0,9.0
>ENST00000511464.1,11.0,6.0,9.0,9.0,9.0,11.0,7.0,9.0,7.0,7.0,12.0,9.0,10.0,9.0,8.0,11.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,7.0,10.0,0.0,7.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,11.0,10.0,13.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,10.0,8.0,11.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,7.0,8.0,10.0,9.0,5.0,8.0,7.0,9.0,9.0,9.0
>ENST00000604358.1,11.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,7.0,11.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,7.0,0.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,7.0,10.0,9.0,9.0,8.0,11.0
>ENST00000425462.1,10.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,9.0,10.0,12.0,9.0,10.0,8.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,0.0,9.0,12.0,11.0,10.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,6.0,8.0,12.0,11.0,8.0,10.0
>ENST00000412909.1,10.0,8.0,7.0,8.0,8.0,8.0,12.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,8.0,7.0,9.0,7.0,8.0,10.0,7.0,7.0,10.0,8.0,9.0,0.0,12.0,8.0,10.0,8.0,10.0,8.0,12.0,9.0,9.0,9.0,8.0,8.0,12.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0
>ENST00000424642.1,11.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,12.0,9.0,13.0,9.0,10.0,10.0,10.0,12.0,10.0,10.0,13.0,10.0,11.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,12.0,0.0,11.0,9.0,11.0,9.0,10.0,11.0,9.0,13.0,10.0,10.0,10.0,10.0,13.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,12.0,10.0,9.0,10.0,10.0,7.0,9.0,12.0,8.0,8.0,10.0
>ENST00000428694.1,12.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,8.0,11.0,0.0,11.0,12.0,9.0,9.0,12.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,13.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,11.0,8.0,10.0,10.0,10.0,14.0,9.0,6.0,9.0,9.0,11.0,10.0,9.0
>ENST00000528901.1,11.0,9.0,12.0,11.0,10.0,11.0,9.0,10.0,11.0,8.0,11.0,10.0,10.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,10.0,9.0,13.0,12.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,11.0,0.0,10.0,12.0,9.0,11.0,9.0,11.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,14.0,9.0,13.0,10.0,10.0,11.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,23.0,21.0
>ENST00000425971.2,11.0,10.0,11.0,11.0,9.0,13.0,10.0,8.0,10.0,11.0,11.0,12.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,12.0,11.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,11.0,12.0,10.0,0.0,9.0,11.0,11.0,12.0,16.0,9.0,12.0,10.0,11.0,9.0,10.0,8.0,10.0,8.0,13.0,10.0,8.0,10.0,9.0,12.0,10.0,10.0,8.0,10.0,10.0,9.0,6.0,10.0,10.0,9.0,9.0,9.0
>ENST00000423683.1,11.0,9.0,9.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,12.0,9.0,0.0,10.0,12.0,11.0,12.0,9.0,10.0,9.0,12.0,10.0,11.0,9.0,10.0,9.0,12.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,12.0,10.0,9.0,7.0,11.0,9.0,10.0,11.0,11.0
>ENST00000541103.2,12.0,12.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,11.0,11.0,11.0,12.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,10.0,0.0,11.0,9.0,14.0,9.0,10.0,9.0,10.0,12.0,10.0,12.0,9.0,10.0,10.0,10.0,13.0,10.0,11.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,10.0,10.0
ENSG00000166333.13,13.0,11.0,12.0,10.0,12.0,12.0,10.0,10.0,13.0,10.0,14.0,12.0,11.0,10.0,13.0,11.0,11.0,12.0,12.0,14.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,0.0,11.0,13.0,11.0,11.0,13.0,12.0,12.0,11.0,10.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,13.0,11.0,10.0,9.0,11.0,11.0,12.0,8.0,12.0,11.0,10.0,11.0,10.0
>ENST00000451820.1,14.0,9.0,10.0,10.0,22.0,9.0,9.0,8.0,11.0,9.0,11.0,30.0,9.0,9.0,8.0,8.0,8.0,8.0,13.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,11.0,9.0,11.0,0.0,11.0,9.0,9.0,10.0,12.0,10.0,9.0,9.0,9.0,13.0,9.0,11.0,10.0,8.0,8.0,9.0,11.0,9.0,7.0,8.0,9.0,8.0,6.0,9.0,8.0,9.0,10.0,10.0
>ENST00000444527.2,12.0,10.0,11.0,11.0,12.0,13.0,11.0,10.0,10.0,9.0,13.0,12.0,13.0,12.0,10.0,12.0,12.0,9.0,12.0,10.0,11.0,14.0,12.0,9.0,10.0,12.0,13.0,11.0,10.0,9.0,13.0,10.0,11.0,16.0,12.0,14.0,13.0,11.0,0.0,11.0,12.0,11.0,16.0,12.0,14.0,11.0,11.0,10.0,13.0,12.0,11.0,12.0,13.0,12.0,11.0,11.0,9.0,11.0,12.0,10.0,8.0,12.0,11.0,12.0,12.0,11.0
>ENST00000423936.1,10.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,7.0,13.0,8.0,10.0,9.0,9.0,7.0,10.0,11.0,10.0,11.0,9.0,9.0,11.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0,0.0,9.0,10.0,11.0,10.0,12.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,11.0,10.0,10.0,6.0,10.0,9.0,9.0,9.0,10.0
>ENST00000420099.1,11.0,10.0,8.0,274.0,10.0,8.0,9.0,10.0,9.0,11.0,11.0,10.0,9.0,11.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,12.0,10.0,10.0,11.0,9.0,12.0,9.0,0.0,9.0,10.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,7.0,10.0,8.0,10.0,6.0,8.0,9.0,10.0,10.0,10.0
>ENST00000456481.1,12.0,12.0,9.0,14.0,11.0,10.0,14.0,8.0,10.0,11.0,11.0,10.0,12.0,9.0,9.0,10.0,12.0,11.0,10.0,8.0,10.0,12.0,10.0,9.0,10.0,12.0,8.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,13.0,10.0,11.0,10.0,9.0,0.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,8.0,9.0,7.0,10.0,11.0,9.0,10.0,8.0
>ENST00000508165.1,11.0,9.0,10.0,9.0,11.0,10.0,11.0,9.0,10.0,9.0,12.0,11.0,10.0,11.0,10.0,9.0,10.0,9.0,12.0,11.0,10.0,14.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,12.0,10.0,9.0,10.0,11.0,12.0,10.0,12.0,12.0,16.0,11.0,10.0,10.0,0.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,12.0,11.0
>ENST00000541631.1,12.0,11.0,9.0,10.0,11.0,10.0,9.0,8.0,11.0,10.0,13.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,12.0,10.0,9.0,10.0,9.0,9.0,13.0,9.0,10.0,9.0,10.0,12.0,12.0,10.0,12.0,10.0,10.0,9.0,12.0,0.0,11.0,10.0,11.0,9.0,12.0,12.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,12.0,8.0,10.0,12.0,9.0,10.0,11.0
>ENST00000425064.1,12.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,7.0,8.0,9.0,7.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,14.0,12.0,10.0,10.0,10.0,11.0,0.0,9.0,10.0,8.0,9.0,12.0,10.0,8.0,11.0,10.0,11.0,11.0,9.0,11.0,10.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0
