,>ENST00000604085.1,>ENST00000457471.1,>ENST00000452936.1,>ENST00000431591.2,>ENST00000338402.6,>ENST00000425806.2,>ENST00000604888.1,>ENST00000455212.1,>ENST00000442297.1,>ENST00000565906.2,ENSG00000222481.1,>ENST00000511798.1,>ENST00000419500.1,>ENST00000537175.1,>ENST00000418991.1,>ENST00000467756.1,>ENST00000420110.1,>ENST00000426425.1,>ENST00000435696.1,>ENST00000417455.1,>ENST00000510417.2,>ENST00000445573.1,>ENST00000456725.1,>ENST00000438101.1,>ENST00000541815.1,>ENST00000425543.1,>ENST00000587610.1,>ENST00000426129.1,>ENST00000412860.1
>ENST00000420110.1,9.0,10.0,13.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,7.0,8.0,9.0,11.0,9.0,9.0,0.0,9.0,8.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0
>ENST00000426425.1,9.0,10.0,7.0,8.0,8.0,11.0,9.0,10.0,10.0,11.0,7.0,8.0,7.0,12.0,8.0,8.0,9.0,0.0,10.0,9.0,10.0,10.0,14.0,10.0,7.0,9.0,9.0,11.0,10.0
>ENST00000435696.1,8.0,9.0,7.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,11.0,10.0,8.0,11.0,8.0,10.0,0.0,10.0,11.0,8.0,8.0,10.0,8.0,7.0,9.0,7.0,12.0
>ENST00000417455.1,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,7.0,11.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,0.0,12.0,9.0,8.0,12.0,10.0,8.0,9.0,9.0,10.0
>ENST00000510417.2,11.0,11.0,8.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,11.0,7.0,10.0,10.0,11.0,12.0,0.0,9.0,10.0,14.0,9.0,8.0,9.0,10.0,10.0
>ENST00000445573.1,8.0,8.0,8.0,9.0,10.0,10.0,8.0,13.0,8.0,9.0,8.0,8.0,11.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,0.0,8.0,10.0,11.0,8.0,8.0,10.0,9.0
>ENST00000456725.1,7.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,7.0,8.0,8.0,10.0,8.0,11.0,10.0,14.0,8.0,8.0,10.0,8.0,0.0,10.0,10.0,9.0,8.0,9.0,9.0
>ENST00000438101.1,10.0,12.0,10.0,15.0,9.0,11.0,11.0,10.0,10.0,11.0,12.0,9.0,10.0,14.0,11.0,12.0,11.0,10.0,10.0,12.0,14.0,10.0,10.0,0.0,13.0,11.0,10.0,10.0,12.0
>ENST00000541815.1,10.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0,6.0,7.0,8.0,10.0,9.0,8.0,11.0,7.0,8.0,10.0,9.0,11.0,10.0,13.0,0.0,10.0,10.0,9.0,10.0
>ENST00000425543.1,10.0,10.0,7.0,7.0,7.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,7.0,9.0,8.0,7.0,10.0,9.0,7.0,8.0,8.0,8.0,9.0,11.0,10.0,0.0,8.0,12.0,9.0
>ENST00000587610.1,9.0,9.0,13.0,10.0,10.0,9.0,9.0,13.0,11.0,9.0,7.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,0.0,9.0,9.0
>ENST00000426129.1,8.0,8.0,7.0,10.0,8.0,10.0,8.0,10.0,10.0,10.0,7.0,8.0,10.0,12.0,8.0,9.0,9.0,11.0,7.0,9.0,10.0,10.0,9.0,10.0,9.0,12.0,9.0,0.0,11.0
>ENST00000412860.1,12.0,10.0,8.0,10.0,9.0,11.0,10.0,12.0,10.0,11.0,9.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,9.0,9.0,12.0,10.0,9.0,9.0,11.0,0.0
