,>ENST00000331979.5,>ENST00000605269.1,>ENST00000421090.1,ENSG00000212184.1,>ENST00000455231.3,>ENST00000510899.1,>ENST00000554413.1,>ENST00000421971.1,>ENST00000425362.1,>ENST00000594377.1,>ENST00000431518.1,>ENST00000442564.1,>ENST00000474589.1,>ENST00000478056.2,>ENST00000521827.1,>ENST00000503933.2,>ENST00000505195.1,>ENST00000439613.2,>ENST00000559657.1,>ENST00000443934.1,>ENST00000466500.1,>ENST00000442924.1,ENSG00000199895.1,>ENST00000460972.3,>ENST00000479658.1,>ENST00000578499.1,ENSG00000147885.4,>ENST00000517431.1,>ENST00000506558.2,>ENST00000431706.2,>ENST00000445304.1,>ENST00000318353.2,>ENST00000494693.1,>ENST00000446499.1,>ENST00000448158.1,>ENST00000406262.1,>ENST00000507547.2,>ENST00000552838.1,>ENST00000529735.1,>ENST00000602729.1,>ENST00000622148.1,>ENST00000470304.1,>ENST00000603719.1
>ENST00000474589.1,12.0,10.0,9.0,9.0,7.0,9.0,11.0,9.0,9.0,8.0,11.0,10.0,0.0,8.0,8.0,10.0,10.0,12.0,10.0,8.0,10.0,12.0,7.0,10.0,11.0,10.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0,11.0,9.0,9.0,12.0,9.0,8.0,12.0,10.0,10.0,10.0
>ENST00000478056.2,7.0,8.0,8.0,7.0,8.0,8.0,13.0,7.0,8.0,8.0,8.0,8.0,8.0,0.0,7.0,10.0,9.0,11.0,9.0,8.0,12.0,9.0,7.0,9.0,9.0,8.0,10.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0
>ENST00000521827.1,7.0,7.0,8.0,6.0,5.0,7.0,9.0,6.0,7.0,6.0,8.0,8.0,8.0,7.0,0.0,8.0,9.0,7.0,8.0,7.0,8.0,9.0,8.0,10.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,10.0,9.0,8.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,8.0
>ENST00000503933.2,10.0,9.0,10.0,8.0,8.0,11.0,10.0,11.0,9.0,8.0,15.0,9.0,10.0,10.0,8.0,0.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,15.0,9.0,11.0,9.0,12.0,11.0,12.0,10.0,11.0,9.0,10.0,11.0,9.0,9.0,11.0,9.0,11.0,10.0,9.0,12.0
>ENST00000505195.1,10.0,9.0,9.0,8.0,8.0,10.0,11.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,11.0,0.0,11.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,10.0,10.0,9.0,10.0,12.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,11.0,11.0
>ENST00000439613.2,8.0,9.0,9.0,9.0,9.0,10.0,13.0,9.0,10.0,8.0,7.0,10.0,12.0,11.0,7.0,9.0,11.0,0.0,10.0,11.0,9.0,9.0,7.0,9.0,11.0,9.0,10.0,11.0,10.0,12.0,10.0,12.0,11.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0
>ENST00000559657.1,9.0,9.0,9.0,9.0,11.0,10.0,12.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,0.0,9.0,10.0,9.0,7.0,11.0,10.0,11.0,11.0,9.0,9.0,12.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,13.0,8.0,10.0,10.0
>ENST00000443934.1,10.0,8.0,7.0,8.0,7.0,10.0,10.0,9.0,8.0,10.0,7.0,11.0,8.0,8.0,7.0,8.0,10.0,11.0,9.0,0.0,8.0,7.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,12.0,9.0,9.0,10.0,8.0,9.0,11.0,35.0,11.0,10.0,8.0,10.0
>ENST00000466500.1,9.0,12.0,10.0,8.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,9.0,10.0,12.0,8.0,9.0,9.0,9.0,10.0,8.0,0.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,7.0,9.0
>ENST00000442924.1,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,10.0,0.0,6.0,9.0,10.0,10.0,12.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,8.0,10.0,8.0,10.0,12.0
ENSG00000199895.1,7.0,8.0,9.0,6.0,7.0,9.0,8.0,9.0,6.0,8.0,6.0,6.0,7.0,7.0,8.0,9.0,7.0,7.0,7.0,9.0,9.0,6.0,0.0,8.0,7.0,7.0,8.0,9.0,7.0,11.0,8.0,12.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,7.0,9.0,7.0,10.0
>ENST00000460972.3,9.0,9.0,9.0,7.0,8.0,10.0,10.0,9.0,12.0,9.0,8.0,9.0,10.0,9.0,10.0,15.0,9.0,9.0,11.0,8.0,9.0,9.0,8.0,0.0,8.0,13.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,12.0,10.0,8.0,11.0,10.0
>ENST00000479658.1,10.0,10.0,8.0,8.0,8.0,13.0,11.0,8.0,9.0,10.0,9.0,10.0,11.0,9.0,7.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,7.0,8.0,0.0,10.0,10.0,9.0,10.0,12.0,10.0,13.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0
>ENST00000578499.1,8.0,11.0,9.0,8.0,9.0,12.0,11.0,11.0,9.0,8.0,9.0,11.0,10.0,8.0,7.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,7.0,13.0,10.0,0.0,10.0,10.0,11.0,11.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,11.0,10.0
ENSG00000147885.4,9.0,11.0,10.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,8.0,10.0,12.0,8.0,11.0,10.0,10.0,0.0,11.0,9.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,9.0,9.0,9.0,12.0,9.0,9.0,10.0
>ENST00000517431.1,9.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,7.0,12.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,0.0,10.0,17.0,10.0,13.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,8.0,10.0
>ENST00000506558.2,9.0,10.0,9.0,8.0,8.0,9.0,12.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,7.0,9.0,10.0,11.0,9.0,10.0,0.0,12.0,9.0,10.0,13.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0
>ENST00000431706.2,10.0,10.0,9.0,10.0,9.0,9.0,14.0,11.0,10.0,9.0,9.0,12.0,12.0,10.0,8.0,12.0,12.0,12.0,12.0,10.0,11.0,11.0,11.0,10.0,12.0,11.0,11.0,17.0,12.0,0.0,11.0,13.0,11.0,12.0,9.0,11.0,12.0,12.0,9.0,11.0,11.0,11.0,11.0
>ENST00000445304.1,9.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,11.0,7.0,10.0,9.0,9.0,10.0,7.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,11.0,10.0,9.0,11.0,0.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0
>ENST00000318353.2,10.0,10.0,11.0,9.0,9.0,12.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,11.0,11.0,12.0,11.0,12.0,11.0,10.0,12.0,9.0,13.0,11.0,12.0,13.0,10.0,13.0,11.0,0.0,11.0,12.0,10.0,10.0,11.0,11.0,9.0,13.0,11.0,10.0,14.0
>ENST00000494693.1,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,7.0,9.0,9.0,10.0,10.0,10.0,13.0,11.0,9.0,11.0,0.0,8.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,8.0,10.0
>ENST00000446499.1,10.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,8.0,8.0,8.0,10.0,11.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,7.0,11.0,10.0,10.0,11.0,9.0,11.0,12.0,9.0,12.0,8.0,0.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0
>ENST00000448158.1,9.0,12.0,8.0,8.0,7.0,11.0,9.0,9.0,10.0,11.0,7.0,8.0,9.0,9.0,7.0,11.0,9.0,10.0,9.0,10.0,8.0,8.0,7.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,12.0,0.0,9.0,9.0,10.0,7.0,8.0,11.0,7.0,10.0
>ENST00000406262.1,9.0,9.0,9.0,8.0,8.0,10.0,11.0,7.0,9.0,10.0,7.0,11.0,9.0,9.0,7.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,0.0,8.0,9.0,9.0,11.0,11.0,10.0,10.0
>ENST00000507547.2,10.0,10.0,9.0,9.0,7.0,9.0,10.0,8.0,8.0,11.0,11.0,9.0,12.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0,11.0,9.0,10.0,9.0,8.0,0.0,9.0,9.0,10.0,9.0,10.0,12.0
>ENST00000552838.1,9.0,9.0,8.0,7.0,8.0,9.0,10.0,8.0,8.0,7.0,8.0,10.0,9.0,9.0,6.0,11.0,9.0,11.0,9.0,11.0,9.0,9.0,7.0,10.0,9.0,8.0,9.0,9.0,11.0,12.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,0.0,7.0,11.0,12.0,9.0,8.0
>ENST00000529735.1,8.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,11.0,9.0,9.0,35.0,9.0,8.0,7.0,12.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,7.0,0.0,11.0,8.0,9.0,9.0
>ENST00000602729.1,9.0,9.0,10.0,9.0,8.0,11.0,12.0,8.0,9.0,7.0,8.0,10.0,12.0,9.0,7.0,11.0,11.0,11.0,13.0,11.0,10.0,10.0,7.0,10.0,9.0,10.0,12.0,11.0,9.0,11.0,10.0,13.0,11.0,10.0,8.0,11.0,10.0,11.0,11.0,0.0,10.0,10.0,11.0
>ENST00000622148.1,9.0,8.0,8.0,10.0,7.0,9.0,9.0,9.0,8.0,12.0,8.0,10.0,10.0,8.0,7.0,10.0,10.0,10.0,8.0,10.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,10.0,11.0,11.0,9.0,12.0,8.0,10.0,0.0,8.0,10.0
>ENST00000470304.1,11.0,8.0,8.0,8.0,8.0,10.0,9.0,11.0,7.0,8.0,7.0,9.0,10.0,8.0,7.0,9.0,11.0,9.0,10.0,8.0,7.0,10.0,7.0,11.0,10.0,11.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,7.0,10.0,10.0,9.0,9.0,10.0,8.0,0.0,8.0
>ENST00000603719.1,12.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,12.0,11.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,14.0,10.0,11.0,10.0,10.0,12.0,8.0,9.0,11.0,10.0,8.0,0.0
