,>ENST00000618097.1,>ENST00000446862.5,>ENST00000603304.1,>ENST00000517703.1,>ENST00000415818.1,>ENST00000485133.1,>ENST00000440559.1,>ENST00000443510.1,>ENST00000422990.1,>ENST00000427666.1,>ENST00000559474.1,>ENST00000598554.1,>ENST00000463110.1,>ENST00000602828.2,>ENST00000568013.1,>ENST00000527400.1,>ENST00000623626.1,>ENST00000344424.4,>ENST00000438179.1,>ENST00000448112.1,>ENST00000506270.1,>ENST00000448648.2,>ENST00000527152.1,>ENST00000498515.1,>ENST00000452433.1,>ENST00000514945.4,>ENST00000448444.2,>ENST00000437783.1,>ENST00000470810.1,>ENST00000605711.1,>ENST00000514266.2,>ENST00000406984.2,>ENST00000574571.3,>ENST00000435100.1,>ENST00000526949.1,>ENST00000505515.1,>ENST00000617401.1,>ENST00000451395.1,>ENST00000414021.1
>ENST00000605711.1,10.0,15.0,10.0,8.0,8.0,8.0,10.0,11.0,9.0,9.0,8.0,9.0,10.0,12.0,10.0,9.0,9.0,9.0,15.0,9.0,10.0,12.0,9.0,9.0,16.0,9.0,10.0,9.0,10.0,0.0,8.0,8.0,10.0,11.0,8.0,10.0,11.0,9.0,9.0
>ENST00000514266.2,9.0,9.0,7.0,8.0,10.0,8.0,9.0,10.0,8.0,7.0,7.0,8.0,8.0,11.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,0.0,9.0,12.0,9.0,7.0,9.0,8.0,8.0,8.0
>ENST00000406984.2,10.0,11.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,11.0,8.0,12.0,9.0,7.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,0.0,10.0,10.0,10.0,10.0,9.0,9.0,7.0
>ENST00000574571.3,9.0,10.0,8.0,8.0,12.0,9.0,10.0,9.0,9.0,7.0,9.0,14.0,11.0,12.0,10.0,10.0,10.0,13.0,10.0,11.0,10.0,13.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,12.0,10.0,0.0,11.0,8.0,10.0,11.0,9.0,9.0
>ENST00000435100.1,10.0,10.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,8.0,7.0,8.0,8.0,12.0,10.0,10.0,13.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,11.0,9.0,12.0,10.0,9.0,11.0,9.0,10.0,11.0,0.0,8.0,8.0,9.0,9.0,8.0
>ENST00000526949.1,9.0,9.0,8.0,9.0,9.0,7.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,7.0,8.0,7.0,10.0,8.0,8.0,0.0,7.0,9.0,7.0,6.0
>ENST00000505515.1,11.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,13.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,7.0,0.0,9.0,9.0,8.0
>ENST00000617401.1,9.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,11.0,8.0,11.0,8.0,9.0,11.0,9.0,9.0,9.0,0.0,8.0,7.0
>ENST00000451395.1,13.0,13.0,9.0,9.0,10.0,7.0,10.0,10.0,10.0,8.0,7.0,8.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,13.0,10.0,7.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,7.0,9.0,8.0,0.0,8.0
>ENST00000414021.1,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,8.0,7.0,8.0,9.0,8.0,10.0,9.0,13.0,10.0,9.0,8.0,8.0,11.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,6.0,8.0,7.0,8.0,0.0
