,>ENST00000512324.1,>ENST00000524963.1,>ENST00000449024.2,>ENST00000619383.1,>ENST00000436538.1,>ENST00000430422.1,>ENST00000512705.1,>ENST00000429105.1,>ENST00000572039.1,>ENST00000434569.1,>ENST00000603216.1,>ENST00000496512.1,>ENST00000455730.2,>ENST00000591298.3,>ENST00000466086.2,>ENST00000420896.1,>ENST00000597006.1,>ENST00000532834.2,>ENST00000453169.2,>ENST00000412993.2,>ENST00000523019.1,>ENST00000561352.1,>ENST00000570988.1,ENSG00000215113.6,>ENST00000451825.1,>ENST00000432247.1,>ENST00000624217.1,ENSG00000207581.1,>ENST00000411871.1,>ENST00000484311.1,>ENST00000491596.1,>ENST00000412914.1,>ENST00000502306.1,>ENST00000551462.1,>ENST00000619986.1,>ENST00000529493.2,>ENST00000579001.1,>ENST00000512110.1,>ENST00000429823.1,>ENST00000435130.1,>ENST00000505291.2,>ENST00000583091.1,>ENST00000489154.1,>ENST00000550293.1,>ENST00000437242.1,>ENST00000440539.1,>ENST00000514859.1,ENSG00000200610.1,>ENST00000455058.1,>ENST00000441780.1
>ENST00000466086.2,8.0,8.0,9.0,9.0,12.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,0.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,7.0,11.0,10.0,9.0,8.0,12.0,9.0,9.0,10.0,11.0,7.0,9.0,11.0,8.0,11.0,10.0,11.0,9.0,7.0,7.0,7.0,9.0,9.0
>ENST00000420896.1,8.0,7.0,9.0,9.0,11.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0,8.0,7.0,8.0,0.0,7.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,7.0,9.0,6.0,8.0,8.0,7.0,6.0,8.0,9.0,7.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,6.0,8.0,7.0,8.0,11.0
>ENST00000597006.1,8.0,8.0,11.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0,8.0,8.0,9.0,10.0,8.0,7.0,0.0,13.0,8.0,11.0,8.0,10.0,8.0,9.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,8.0,11.0,8.0,9.0,9.0,11.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0
>ENST00000532834.2,8.0,8.0,12.0,9.0,12.0,9.0,9.0,12.0,11.0,10.0,11.0,9.0,10.0,11.0,8.0,9.0,13.0,0.0,9.0,9.0,9.0,9.0,9.0,12.0,10.0,8.0,10.0,7.0,11.0,11.0,10.0,9.0,12.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,9.0
>ENST00000453169.2,8.0,9.0,12.0,9.0,9.0,9.0,7.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0,9.0,10.0,12.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,7.0,9.0,9.0,11.0,9.0,8.0,10.0,6.0,9.0,9.0
>ENST00000412993.2,11.0,9.0,11.0,11.0,10.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,0.0,8.0,10.0,8.0,12.0,9.0,7.0,9.0,6.0,10.0,10.0,11.0,10.0,9.0,14.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,6.0,10.0,9.0
>ENST00000523019.1,11.0,7.0,9.0,9.0,10.0,10.0,7.0,9.0,12.0,11.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,0.0,10.0,8.0,9.0,8.0,7.0,10.0,6.0,8.0,11.0,7.0,10.0,9.0,9.0,11.0,9.0,9.0,7.0,8.0,8.0,7.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0
>ENST00000561352.1,11.0,9.0,10.0,11.0,12.0,13.0,8.0,10.0,11.0,9.0,11.0,10.0,12.0,8.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,0.0,9.0,10.0,12.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,14.0,9.0,8.0,8.0,10.0,12.0
>ENST00000570988.1,8.0,8.0,9.0,11.0,10.0,9.0,9.0,11.0,13.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,0.0,10.0,10.0,7.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,7.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,7.0,9.0,6.0,9.0,11.0
ENSG00000215113.6,10.0,11.0,11.0,11.0,10.0,11.0,8.0,13.0,14.0,11.0,12.0,11.0,12.0,11.0,10.0,8.0,9.0,12.0,10.0,12.0,9.0,10.0,10.0,0.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,9.0,10.0,11.0,11.0,12.0,9.0,12.0,13.0,12.0,12.0,10.0,11.0,9.0,9.0,11.0,14.0
>ENST00000451825.1,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,12.0,10.0,10.0,0.0,9.0,10.0,7.0,9.0,8.0,9.0,11.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,12.0,7.0,9.0,9.0,7.0,9.0,9.0
>ENST00000432247.1,12.0,6.0,12.0,9.0,10.0,9.0,6.0,10.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,7.0,10.0,8.0,10.0,7.0,7.0,10.0,7.0,10.0,9.0,0.0,8.0,6.0,7.0,8.0,8.0,6.0,9.0,8.0,10.0,10.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,7.0,8.0,7.0,8.0
>ENST00000624217.1,10.0,9.0,11.0,10.0,10.0,8.0,9.0,13.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,8.0,0.0,7.0,9.0,9.0,9.0,10.0,12.0,9.0,8.0,10.0,12.0,11.0,8.0,9.0,8.0,10.0,12.0,10.0,10.0,10.0,9.0,7.0,10.0,9.0
ENSG00000207581.1,8.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,9.0,6.0,6.0,8.0,7.0,10.0,7.0,6.0,7.0,0.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,10.0,9.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,6.0,9.0,6.0,8.0,8.0
>ENST00000411871.1,9.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,11.0,8.0,11.0,9.0,10.0,10.0,11.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,7.0,9.0,7.0,0.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,8.0,10.0,9.0,11.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0
>ENST00000484311.1,9.0,8.0,11.0,10.0,9.0,10.0,7.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,10.0,10.0,11.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,0.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,13.0,12.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0
>ENST00000491596.1,9.0,8.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,9.0,10.0,10.0,11.0,7.0,9.0,9.0,11.0,9.0,8.0,9.0,7.0,9.0,9.0,0.0,11.0,12.0,9.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,12.0,9.0,10.0,11.0,9.0,8.0,10.0,12.0
>ENST00000412914.1,9.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,7.0,8.0,10.0,9.0,8.0,8.0,6.0,8.0,9.0,9.0,10.0,10.0,11.0,9.0,11.0,11.0,6.0,10.0,8.0,9.0,10.0,11.0,0.0,10.0,9.0,8.0,10.0,11.0,8.0,7.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,12.0,11.0
>ENST00000502306.1,10.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,10.0,10.0,9.0,12.0,8.0,10.0,12.0,11.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,12.0,7.0,9.0,10.0,12.0,10.0,0.0,12.0,9.0,12.0,11.0,9.0,9.0,9.0,9.0,10.0,14.0,11.0,9.0,8.0,11.0,7.0,11.0,11.0
>ENST00000551462.1,9.0,7.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,14.0,9.0,11.0,9.0,11.0,11.0,8.0,9.0,7.0,9.0,10.0,9.0,9.0,12.0,0.0,10.0,9.0,10.0,9.0,11.0,8.0,8.0,10.0,9.0,11.0,11.0,10.0,8.0,7.0,9.0,10.0
>ENST00000619986.1,8.0,9.0,10.0,7.0,10.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0,14.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,10.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,10.0,0.0,8.0,9.0,7.0,10.0,8.0,7.0,11.0,8.0,9.0,9.0,8.0,8.0,6.0,8.0,12.0
>ENST00000529493.2,9.0,10.0,11.0,10.0,11.0,12.0,9.0,12.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,9.0,8.0,0.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0
>ENST00000579001.1,11.0,10.0,9.0,9.0,12.0,11.0,10.0,11.0,10.0,12.0,8.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0,11.0,11.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,0.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,11.0,9.0,10.0,8.0,12.0,11.0
>ENST00000512110.1,8.0,8.0,8.0,8.0,9.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,7.0,10.0,7.0,11.0,9.0,8.0,11.0,7.0,9.0,10.0,11.0,8.0,9.0,9.0,7.0,10.0,9.0,0.0,9.0,8.0,8.0,11.0,8.0,9.0,8.0,9.0,8.0,6.0,9.0,13.0
>ENST00000429823.1,9.0,7.0,9.0,10.0,10.0,11.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,12.0,9.0,7.0,8.0,7.0,10.0,13.0,9.0,7.0,9.0,11.0,10.0,10.0,10.0,9.0,0.0,8.0,8.0,11.0,10.0,9.0,12.0,8.0,8.0,8.0,11.0,9.0
>ENST00000435130.1,9.0,10.0,8.0,8.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,11.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,12.0,8.0,9.0,9.0,8.0,8.0,9.0,11.0,8.0,8.0,0.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,6.0,9.0,10.0
>ENST00000505291.2,9.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,7.0,9.0,7.0,9.0,10.0,12.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,7.0,9.0,8.0,7.0,11.0,9.0,8.0,8.0,8.0,0.0,9.0,8.0,9.0,9.0,7.0,8.0,7.0,9.0,10.0
>ENST00000583091.1,10.0,9.0,11.0,11.0,12.0,12.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,13.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,11.0,11.0,10.0,9.0,0.0,10.0,10.0,11.0,9.0,8.0,8.0,9.0,12.0
>ENST00000489154.1,10.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,12.0,11.0,8.0,12.0,7.0,11.0,9.0,12.0,9.0,14.0,9.0,8.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,0.0,10.0,10.0,7.0,12.0,9.0,11.0,11.0
>ENST00000550293.1,9.0,8.0,11.0,10.0,10.0,12.0,8.0,12.0,10.0,9.0,9.0,10.0,10.0,8.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,12.0,12.0,8.0,10.0,8.0,8.0,10.0,9.0,9.0,11.0,11.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,0.0,9.0,9.0,10.0,8.0,10.0,11.0
>ENST00000437242.1,10.0,9.0,10.0,12.0,11.0,11.0,8.0,8.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,14.0,9.0,10.0,7.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,12.0,9.0,9.0,11.0,10.0,9.0,0.0,8.0,8.0,6.0,10.0,10.0
>ENST00000440539.1,8.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,9.0,7.0,11.0,9.0,8.0,10.0,6.0,9.0,10.0,11.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,7.0,9.0,8.0,0.0,8.0,8.0,11.0,9.0
>ENST00000514859.1,8.0,8.0,9.0,10.0,12.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,8.0,11.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,12.0,10.0,8.0,8.0,0.0,7.0,9.0,8.0
ENSG00000200610.1,7.0,8.0,9.0,8.0,9.0,8.0,6.0,9.0,7.0,9.0,7.0,7.0,10.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,8.0,8.0,6.0,9.0,7.0,8.0,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,9.0,8.0,6.0,8.0,6.0,7.0,8.0,9.0,8.0,6.0,8.0,7.0,0.0,8.0,6.0
>ENST00000455058.1,10.0,9.0,11.0,11.0,11.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,7.0,10.0,8.0,10.0,10.0,10.0,12.0,11.0,9.0,8.0,10.0,12.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,8.0,0.0,10.0
>ENST00000441780.1,10.0,10.0,14.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,8.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,12.0,11.0,14.0,9.0,8.0,9.0,8.0,9.0,9.0,12.0,11.0,11.0,10.0,12.0,10.0,11.0,13.0,9.0,10.0,10.0,12.0,11.0,11.0,10.0,9.0,8.0,6.0,10.0,0.0
