,>ENST00000328411.3,>ENST00000447938.1,>ENST00000613235.1,>ENST00000447415.1,>ENST00000484010.1,>ENST00000418645.1,>ENST00000570895.1,>ENST00000523889.1,>ENST00000441829.3,>ENST00000422816.1,>ENST00000504127.1,>ENST00000553060.1,>ENST00000297158.10,>ENST00000427605.1,>ENST00000437562.1,>ENST00000556557.1,>ENST00000596787.1,>ENST00000434304.2,>ENST00000479743.1,>ENST00000439121.1,>ENST00000479691.1,>ENST00000523612.1,>ENST00000603257.1,>ENST00000469001.2,ENSG00000166165.12,>ENST00000617394.1,>ENST00000472115.1,>ENST00000584248.1,>ENST00000362070.3,>ENST00000444494.1,>ENST00000453429.1,>ENST00000504443.5,>ENST00000545779.2,>ENST00000393668.3,>ENST00000530034.1,>ENST00000433524.1,>ENST00000455938.1,>ENST00000432754.1,>ENST00000554243.1,>ENST00000451602.1,>ENST00000614532.1
>ENST00000427605.1,9.0,12.0,9.0,9.0,10.0,9.0,10.0,10.0,7.0,9.0,8.0,11.0,9.0,0.0,9.0,8.0,8.0,11.0,10.0,7.0,9.0,8.0,8.0,11.0,12.0,9.0,9.0,7.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,12.0,8.0
>ENST00000437562.1,9.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,0.0,12.0,8.0,9.0,8.0,9.0,9.0,10.0,14.0,9.0,10.0,7.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,8.0
>ENST00000556557.1,8.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,12.0,0.0,13.0,10.0,10.0,9.0,9.0,11.0,11.0,9.0,10.0,10.0,8.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,11.0,11.0,9.0
>ENST00000596787.1,7.0,11.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,10.0,11.0,8.0,8.0,13.0,0.0,9.0,10.0,12.0,10.0,9.0,8.0,12.0,8.0,7.0,8.0,9.0,7.0,12.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,7.0
>ENST00000434304.2,8.0,11.0,13.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,8.0,10.0,11.0,11.0,9.0,10.0,9.0,0.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,11.0,12.0,12.0,11.0,12.0,11.0,10.0,13.0,11.0,12.0,9.0
>ENST00000479743.1,8.0,11.0,9.0,11.0,9.0,12.0,10.0,10.0,12.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,11.0,0.0,8.0,9.0,10.0,8.0,12.0,9.0,9.0,9.0,9.0,8.0,8.0,11.0,12.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0
>ENST00000439121.1,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,11.0,10.0,7.0,9.0,9.0,12.0,10.0,8.0,0.0,8.0,9.0,7.0,33.0,8.0,7.0,7.0,9.0,9.0,8.0,7.0,9.0,9.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,7.0
>ENST00000479691.1,9.0,11.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,8.0,0.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,12.0,8.0,12.0,8.0
>ENST00000523612.1,9.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,11.0,8.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0,0.0,9.0,10.0,11.0,8.0,10.0,10.0,8.0,8.0,9.0,10.0,10.0,13.0,10.0,12.0,10.0,9.0,10.0,13.0,9.0
>ENST00000603257.1,8.0,11.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,6.0,8.0,9.0,8.0,14.0,11.0,8.0,9.0,8.0,7.0,9.0,9.0,0.0,8.0,11.0,7.0,7.0,7.0,9.0,8.0,9.0,13.0,11.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0
>ENST00000469001.2,7.0,9.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,6.0,11.0,9.0,11.0,9.0,9.0,12.0,10.0,12.0,33.0,9.0,10.0,8.0,0.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,7.0
ENSG00000166165.12,9.0,12.0,10.0,9.0,14.0,11.0,10.0,11.0,9.0,9.0,8.0,11.0,9.0,12.0,10.0,10.0,8.0,10.0,9.0,8.0,11.0,11.0,11.0,9.0,0.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,11.0,10.0,11.0,12.0,13.0
>ENST00000617394.1,7.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,6.0,8.0,8.0,9.0,7.0,10.0,7.0,9.0,9.0,7.0,10.0,8.0,7.0,10.0,11.0,0.0,10.0,8.0,9.0,7.0,10.0,9.0,12.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,11.0
>ENST00000472115.1,9.0,11.0,10.0,9.0,9.0,11.0,9.0,8.0,10.0,11.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,10.0,7.0,9.0,10.0,10.0,0.0,8.0,9.0,7.0,10.0,9.0,11.0,8.0,9.0,9.0,9.0,8.0,10.0,11.0,9.0
>ENST00000584248.1,8.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,7.0,9.0,9.0,7.0,11.0,10.0,9.0,11.0,9.0,9.0,8.0,10.0,7.0,10.0,9.0,8.0,8.0,0.0,9.0,12.0,9.0,10.0,9.0,8.0,10.0,15.0,7.0,9.0,7.0,9.0,7.0
>ENST00000362070.3,8.0,10.0,11.0,10.0,9.0,10.0,7.0,9.0,7.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0
>ENST00000444494.1,8.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,7.0,10.0,10.0,9.0,9.0,9.0,12.0,10.0,8.0,8.0,9.0,8.0,8.0,11.0,9.0,7.0,7.0,12.0,8.0,0.0,9.0,12.0,11.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,8.0
>ENST00000453429.1,10.0,11.0,9.0,9.0,10.0,12.0,10.0,11.0,9.0,9.0,7.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,7.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,0.0,12.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0
>ENST00000504443.5,12.0,11.0,10.0,11.0,13.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,9.0,10.0,9.0,12.0,12.0,9.0,11.0,10.0,13.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,12.0,0.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0
>ENST00000545779.2,7.0,11.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,8.0,10.0,12.0,9.0,9.0,10.0,9.0,12.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,12.0,11.0,9.0,8.0,11.0,10.0,12.0,0.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0
>ENST00000393668.3,11.0,9.0,9.0,10.0,9.0,10.0,10.0,12.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,7.0,10.0,13.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,0.0,11.0,11.0,10.0,11.0,10.0,9.0,9.0
>ENST00000530034.1,7.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,6.0,10.0,11.0,10.0,8.0,8.0,9.0,12.0,9.0,9.0,11.0,10.0,8.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,0.0,9.0,9.0,12.0,8.0,8.0,7.0
>ENST00000433524.1,8.0,10.0,9.0,9.0,13.0,10.0,13.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,12.0,10.0,9.0,10.0,8.0,9.0,15.0,8.0,10.0,10.0,10.0,10.0,11.0,9.0,0.0,9.0,10.0,10.0,10.0,9.0
>ENST00000455938.1,10.0,11.0,9.0,9.0,9.0,10.0,11.0,9.0,8.0,9.0,7.0,9.0,10.0,11.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,7.0,10.0,8.0,10.0,11.0,9.0,10.0,9.0,9.0,0.0,9.0,9.0,9.0,12.0
>ENST00000432754.1,9.0,10.0,10.0,8.0,7.0,10.0,8.0,8.0,7.0,10.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,13.0,9.0,7.0,12.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,11.0,12.0,10.0,9.0,0.0,8.0,10.0,9.0
>ENST00000554243.1,10.0,10.0,9.0,8.0,9.0,10.0,8.0,41.0,10.0,8.0,7.0,10.0,11.0,10.0,9.0,11.0,10.0,11.0,9.0,8.0,8.0,10.0,9.0,8.0,11.0,8.0,10.0,7.0,8.0,8.0,11.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,0.0,11.0,9.0
>ENST00000451602.1,12.0,516.0,11.0,9.0,9.0,12.0,9.0,11.0,10.0,10.0,8.0,10.0,12.0,12.0,10.0,11.0,10.0,12.0,9.0,9.0,12.0,13.0,8.0,9.0,12.0,9.0,11.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0,11.0,0.0,9.0
>ENST00000614532.1,8.0,9.0,8.0,8.0,7.0,10.0,8.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,7.0,8.0,9.0,9.0,7.0,13.0,11.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,9.0,12.0,9.0,9.0,9.0,0.0
