,>ENST00000446400.1,>ENST00000440847.1,>ENST00000428212.1,>ENST00000421749.1,>ENST00000404882.3,>ENST00000562415.2,>ENST00000621124.1,>ENST00000435889.1,>ENST00000436555.1,>ENST00000604753.1,>ENST00000633048.1,>ENST00000446870.1,>ENST00000416103.2,>ENST00000437804.2,>ENST00000614345.1,>ENST00000603927.1,>ENST00000560291.2,>ENST00000441973.1,>ENST00000563361.1,>ENST00000512518.2,ENSG00000172199.1,>ENST00000422463.1,>ENST00000338790.4,>ENST00000507378.1,>ENST00000525742.1,>ENST00000454686.1
>ENST00000446870.1,10.0,10.0,10.0,7.0,10.0,10.0,12.0,10.0,9.0,11.0,8.0,0.0,9.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0
>ENST00000416103.2,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,11.0,8.0,9.0,0.0,8.0,9.0,8.0,10.0,8.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0,11.0
>ENST00000437804.2,9.0,12.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,8.0,10.0,8.0,0.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,11.0
>ENST00000614345.1,8.0,8.0,10.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,6.0,10.0,9.0,10.0,0.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0,11.0,9.0,9.0,12.0
>ENST00000603927.1,10.0,9.0,10.0,7.0,10.0,10.0,8.0,11.0,12.0,10.0,6.0,9.0,8.0,9.0,8.0,0.0,12.0,9.0,8.0,9.0,10.0,10.0,11.0,8.0,11.0,9.0
>ENST00000560291.2,11.0,10.0,9.0,8.0,9.0,11.0,11.0,11.0,10.0,11.0,8.0,11.0,10.0,11.0,10.0,12.0,0.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,12.0,10.0
>ENST00000441973.1,9.0,9.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,7.0,10.0,8.0,10.0,10.0,9.0,10.0,0.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0
>ENST00000563361.1,11.0,11.0,8.0,9.0,10.0,9.0,11.0,14.0,8.0,10.0,7.0,11.0,10.0,10.0,10.0,8.0,10.0,8.0,0.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0
>ENST00000512518.2,8.0,26.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,12.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,0.0,9.0,9.0,10.0,9.0,10.0,10.0
ENSG00000172199.1,10.0,8.0,10.0,9.0,9.0,8.0,10.0,12.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,0.0,11.0,10.0,10.0,9.0,9.0
>ENST00000422463.1,9.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,8.0,8.0,7.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,9.0,11.0,0.0,9.0,9.0,10.0,10.0
>ENST00000338790.4,10.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,11.0,8.0,11.0,11.0,9.0,11.0,11.0,10.0,8.0,10.0,10.0,10.0,9.0,0.0,11.0,10.0,10.0
>ENST00000507378.1,7.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,7.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,0.0,10.0,10.0
>ENST00000525742.1,11.0,9.0,11.0,9.0,13.0,9.0,10.0,9.0,10.0,10.0,6.0,9.0,11.0,10.0,9.0,11.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,0.0,11.0
>ENST00000454686.1,10.0,10.0,10.0,9.0,9.0,12.0,10.0,12.0,9.0,11.0,9.0,10.0,11.0,11.0,12.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,0.0
