,>ENST00000505144.1,>ENST00000421195.1,>ENST00000415894.1,>ENST00000394513.2,>ENST00000404273.2,>ENST00000424144.2,>ENST00000428586.1,>ENST00000515467.2,>ENST00000420795.2,ENSG00000281845.1,>ENST00000407695.1,ENSG00000277535.2,>ENST00000454456.1,>ENST00000414579.2,>ENST00000465035.1,>ENST00000619242.1,>ENST00000494408.1,>ENST00000394444.2,>ENST00000605855.1,>ENST00000416749.1,>ENST00000594254.1,>ENST00000413279.1,>ENST00000511660.1,>ENST00000458060.1,>ENST00000450773.1,>ENST00000538792.1,>ENST00000506867.1,>ENST00000549264.1,>ENST00000431768.2,>ENST00000635557.1
>ENST00000407695.1,10.0,10.0,9.0,12.0,9.0,9.0,8.0,10.0,9.0,8.0,0.0,11.0,10.0,10.0,9.0,9.0,95.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,13.0
ENSG00000277535.2,9.0,12.0,11.0,13.0,11.0,11.0,11.0,12.0,12.0,8.0,11.0,0.0,10.0,13.0,10.0,12.0,11.0,11.0,9.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,16.0,11.0,16.0,10.0
>ENST00000454456.1,11.0,9.0,10.0,9.0,9.0,11.0,8.0,8.0,9.0,8.0,10.0,10.0,0.0,10.0,9.0,10.0,9.0,12.0,9.0,9.0,11.0,12.0,8.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0
>ENST00000414579.2,13.0,10.0,12.0,11.0,9.0,11.0,11.0,11.0,12.0,10.0,10.0,13.0,10.0,0.0,10.0,10.0,10.0,12.0,10.0,13.0,9.0,11.0,10.0,10.0,9.0,12.0,12.0,11.0,10.0,10.0
>ENST00000465035.1,9.0,11.0,9.0,11.0,8.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,0.0,8.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0
>ENST00000619242.1,10.0,11.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,10.0,10.0,8.0,0.0,9.0,12.0,12.0,10.0,11.0,11.0,11.0,10.0,9.0,12.0,10.0,12.0,12.0,9.0
>ENST00000494408.1,8.0,9.0,10.0,13.0,8.0,10.0,9.0,11.0,9.0,7.0,95.0,11.0,9.0,10.0,9.0,9.0,0.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0
>ENST00000394444.2,9.0,10.0,12.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,12.0,12.0,10.0,12.0,10.0,0.0,10.0,11.0,13.0,11.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0
>ENST00000605855.1,7.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,7.0,9.0,9.0,9.0,10.0,10.0,12.0,9.0,10.0,0.0,10.0,9.0,11.0,10.0,7.0,8.0,11.0,10.0,10.0,9.0,10.0
>ENST00000416749.1,13.0,10.0,9.0,10.0,10.0,12.0,11.0,10.0,10.0,8.0,10.0,12.0,9.0,13.0,11.0,10.0,9.0,11.0,10.0,0.0,27.0,12.0,11.0,12.0,11.0,10.0,26.0,10.0,10.0,11.0
>ENST00000594254.1,10.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,10.0,8.0,9.0,12.0,11.0,9.0,9.0,11.0,9.0,13.0,9.0,27.0,0.0,11.0,9.0,10.0,9.0,9.0,17.0,9.0,10.0,12.0
>ENST00000413279.1,9.0,10.0,12.0,11.0,9.0,10.0,9.0,11.0,11.0,6.0,8.0,11.0,12.0,11.0,10.0,11.0,9.0,11.0,11.0,12.0,11.0,0.0,10.0,10.0,13.0,10.0,10.0,9.0,10.0,11.0
>ENST00000511660.1,9.0,11.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,7.0,10.0,11.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,10.0,0.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0
>ENST00000458060.1,8.0,10.0,10.0,11.0,8.0,9.0,13.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,7.0,12.0,10.0,10.0,9.0,0.0,9.0,10.0,10.0,9.0,9.0,11.0
>ENST00000450773.1,9.0,11.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,11.0,9.0,13.0,8.0,9.0,0.0,9.0,9.0,10.0,10.0,10.0
>ENST00000538792.1,10.0,10.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,7.0,8.0,11.0,7.0,12.0,9.0,12.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,0.0,9.0,10.0,12.0,12.0
>ENST00000506867.1,9.0,11.0,10.0,10.0,9.0,12.0,10.0,11.0,10.0,9.0,9.0,16.0,9.0,12.0,8.0,10.0,10.0,11.0,10.0,26.0,17.0,10.0,9.0,10.0,9.0,9.0,0.0,12.0,10.0,10.0
>ENST00000549264.1,9.0,10.0,9.0,14.0,10.0,9.0,10.0,9.0,9.0,7.0,10.0,11.0,10.0,11.0,10.0,12.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,12.0,0.0,10.0,10.0
>ENST00000431768.2,10.0,11.0,10.0,12.0,8.0,9.0,11.0,10.0,10.0,8.0,11.0,16.0,9.0,10.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,12.0,10.0,10.0,0.0,10.0
>ENST00000635557.1,10.0,10.0,9.0,10.0,8.0,12.0,9.0,10.0,11.0,8.0,13.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,12.0,11.0,9.0,11.0,10.0,12.0,10.0,10.0,10.0,0.0
