,ENSG00000167552.13,>ENST00000457012.2,>ENST00000618226.1,>ENST00000613843.1,>ENST00000578162.1,>ENST00000236166.4,>ENST00000505951.1,>ENST00000417197.1,ENSG00000142227.10,>ENST00000622361.1,>ENST00000604179.1,>ENST00000556991.1,>ENST00000514371.1,>ENST00000437188.1,>ENST00000359025.4,>ENST00000508429.1,>ENST00000493346.1,ENSG00000244112.3,>ENST00000463176.1,>ENST00000435806.2,>ENST00000585227.6,>ENST00000517943.2,>ENST00000603150.1,>ENST00000504370.1,>ENST00000416089.1,>ENST00000440687.1,>ENST00000611559.1,>ENST00000414718.1,ENSG00000241943.2,>ENST00000398242.2,>ENST00000404372.1,>ENST00000433596.1,>ENST00000572103.1,>ENST00000454867.2,>ENST00000623286.1,>ENST00000565222.1,>ENST00000623592.1,>ENST00000438550.1,>ENST00000381357.4,>ENST00000436268.2,>ENST00000572729.1,>ENST00000406202.2,>ENST00000435908.1,>ENST00000419507.1,>ENST00000567652.1,>ENST00000399474.2,ENSG00000222667.1,>ENST00000454917.1,>ENST00000450956.2,>ENST00000469425.1,>ENST00000429208.1,>ENST00000624547.1,>ENST00000424230.1,>ENST00000397433.2,>ENST00000439688.1,>ENST00000471148.1,>ENST00000433385.1
>ENST00000604179.1,11.0,10.0,8.0,8.0,10.0,10.0,8.0,8.0,11.0,13.0,0.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,12.0,11.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,7.0,9.0,10.0,9.0,8.0,8.0,11.0,9.0,9.0,7.0,12.0,8.0,9.0,8.0,10.0,9.0,8.0,11.0,10.0,11.0
>ENST00000556991.1,10.0,8.0,9.0,12.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,0.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,11.0,10.0,9.0,8.0,13.0,9.0,9.0,10.0,8.0,8.0,10.0,7.0,8.0,10.0,8.0,9.0,9.0,9.0,11.0,8.0,11.0,11.0,11.0,9.0,11.0,8.0,9.0
>ENST00000514371.1,10.0,8.0,9.0,8.0,8.0,11.0,8.0,7.0,12.0,11.0,8.0,8.0,0.0,8.0,9.0,6.0,9.0,9.0,10.0,9.0,11.0,10.0,11.0,8.0,9.0,10.0,9.0,11.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,8.0,8.0,10.0,9.0,7.0,9.0,8.0,6.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0
>ENST00000437188.1,10.0,9.0,11.0,9.0,13.0,10.0,10.0,9.0,13.0,11.0,8.0,9.0,8.0,0.0,9.0,9.0,10.0,9.0,9.0,10.0,12.0,10.0,12.0,11.0,11.0,9.0,11.0,12.0,9.0,9.0,9.0,10.0,10.0,12.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,11.0,9.0,12.0,9.0,9.0,11.0,11.0,10.0,9.0,11.0,8.0,10.0
>ENST00000359025.4,15.0,7.0,7.0,11.0,11.0,9.0,9.0,10.0,22.0,9.0,8.0,8.0,9.0,9.0,0.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,7.0,9.0,10.0,8.0,11.0,8.0,9.0,9.0,9.0,7.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0
>ENST00000508429.1,9.0,11.0,8.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,7.0,8.0,6.0,9.0,7.0,0.0,8.0,8.0,7.0,8.0,10.0,7.0,9.0,7.0,12.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,7.0,10.0,7.0,9.0,9.0,8.0,9.0,10.0,10.0,7.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,8.0,9.0
>ENST00000493346.1,11.0,10.0,10.0,11.0,8.0,11.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,0.0,8.0,11.0,9.0,9.0,8.0,9.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,7.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,11.0,10.0,9.0,10.0,9.0
ENSG00000244112.3,10.0,9.0,7.0,11.0,8.0,13.0,9.0,9.0,21.0,13.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,0.0,7.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,40.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,7.0,8.0,11.0,10.0,10.0,10.0,11.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0
>ENST00000463176.1,10.0,9.0,9.0,10.0,11.0,9.0,8.0,9.0,13.0,9.0,10.0,9.0,10.0,9.0,8.0,7.0,11.0,7.0,0.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,12.0,11.0,7.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0
>ENST00000435806.2,12.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0,11.0,9.0,11.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,0.0,11.0,11.0,9.0,10.0,11.0,11.0,13.0,11.0,8.0,12.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,7.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0
>ENST00000585227.6,14.0,11.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,13.0,9.0,9.0,11.0,12.0,9.0,10.0,9.0,9.0,10.0,11.0,0.0,10.0,10.0,13.0,12.0,9.0,11.0,11.0,11.0,11.0,10.0,11.0,12.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,12.0,11.0,9.0,12.0,11.0,11.0,12.0,10.0,10.0,11.0
>ENST00000517943.2,10.0,9.0,7.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,7.0,8.0,10.0,10.0,8.0,7.0,8.0,10.0,8.0,11.0,10.0,0.0,8.0,9.0,10.0,9.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,13.0,9.0,7.0,12.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0
>ENST00000603150.1,10.0,9.0,9.0,8.0,11.0,13.0,13.0,9.0,14.0,10.0,9.0,9.0,11.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,0.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,12.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0
>ENST00000504370.1,13.0,9.0,8.0,8.0,8.0,11.0,9.0,8.0,12.0,9.0,8.0,10.0,8.0,11.0,9.0,7.0,11.0,9.0,8.0,10.0,13.0,9.0,10.0,0.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,12.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,11.0,9.0,6.0,13.0,9.0,7.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0
>ENST00000416089.1,11.0,10.0,10.0,9.0,12.0,12.0,10.0,13.0,12.0,13.0,12.0,10.0,9.0,11.0,10.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0,10.0,9.0,0.0,10.0,11.0,10.0,9.0,10.0,10.0,11.0,10.0,12.0,10.0,8.0,12.0,10.0,10.0,15.0,14.0,10.0,9.0,11.0,14.0,10.0,8.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0
>ENST00000440687.1,13.0,10.0,8.0,8.0,10.0,10.0,10.0,9.0,15.0,11.0,11.0,11.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,0.0,12.0,12.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,11.0,8.0,11.0,12.0,13.0,16.0,10.0,11.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0
>ENST00000611559.1,11.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,13.0,12.0,8.0,10.0,9.0,11.0,9.0,10.0,12.0,9.0,12.0,13.0,11.0,10.0,10.0,10.0,11.0,12.0,0.0,12.0,10.0,11.0,10.0,12.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,12.0,13.0,10.0,12.0,14.0,10.0,11.0,9.0,11.0,11.0,10.0,9.0,11.0,13.0,9.0
>ENST00000414718.1,14.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,12.0,10.0,8.0,9.0,9.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,12.0,12.0,0.0,10.0,13.0,15.0,10.0,10.0,11.0,10.0,8.0,12.0,10.0,13.0,10.0,9.0,11.0,11.0,12.0,11.0,11.0,7.0,12.0,9.0,9.0,11.0,11.0,10.0,9.0,13.0,9.0,10.0
ENSG00000241943.2,12.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,18.0,17.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,40.0,7.0,8.0,11.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,0.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,7.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,13.0,8.0,8.0
>ENST00000398242.2,11.0,12.0,8.0,9.0,10.0,12.0,10.0,10.0,12.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,11.0,9.0,9.0,9.0,10.0,9.0,11.0,13.0,8.0,0.0,10.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,8.0,12.0,9.0,9.0,11.0,10.0,11.0,8.0,12.0,9.0,9.0
>ENST00000404372.1,11.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,15.0,9.0,10.0,0.0,11.0,9.0,14.0,11.0,9.0,9.0,11.0,9.0,9.0,8.0,8.0,11.0,11.0,10.0,10.0,7.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0
>ENST00000433596.1,14.0,9.0,10.0,13.0,19.0,10.0,10.0,13.0,12.0,11.0,10.0,10.0,8.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,12.0,10.0,9.0,9.0,11.0,0.0,11.0,10.0,11.0,9.0,12.0,10.0,10.0,11.0,11.0,10.0,11.0,12.0,11.0,12.0,11.0,10.0,9.0,12.0,10.0,11.0,11.0,10.0,12.0,9.0,9.0
>ENST00000572103.1,10.0,10.0,8.0,9.0,9.0,11.0,12.0,9.0,11.0,10.0,8.0,9.0,8.0,10.0,7.0,8.0,9.0,8.0,8.0,9.0,12.0,10.0,10.0,8.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,11.0,0.0,10.0,11.0,8.0,8.0,10.0,9.0,9.0,11.0,9.0,10.0,14.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0
>ENST00000454867.2,11.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,12.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,9.0,12.0,12.0,9.0,10.0,11.0,8.0,10.0,14.0,10.0,10.0,0.0,10.0,8.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,12.0,9.0,9.0,12.0,9.0,9.0,11.0,10.0,12.0,10.0,10.0,9.0,9.0
>ENST00000623286.1,10.0,10.0,9.0,10.0,10.0,12.0,9.0,9.0,12.0,11.0,9.0,13.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,12.0,8.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,0.0,9.0,9.0,10.0,9.0,13.0,9.0,9.0,9.0,13.0,10.0,10.0,8.0,10.0,11.0,11.0,9.0,11.0,10.0,11.0,10.0,9.0,9.0
>ENST00000565222.1,10.0,8.0,8.0,7.0,10.0,11.0,8.0,8.0,12.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,11.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0,9.0,7.0,10.0,9.0,8.0,8.0,8.0,9.0,10.0,11.0,6.0,10.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0
>ENST00000623592.1,13.0,9.0,9.0,11.0,13.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,7.0,10.0,11.0,7.0,9.0,8.0,8.0,9.0,10.0,7.0,12.0,9.0,12.0,10.0,10.0,12.0,8.0,10.0,9.0,12.0,8.0,8.0,9.0,9.0,0.0,10.0,13.0,9.0,8.0,8.0,9.0,10.0,15.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,11.0,9.0
>ENST00000438550.1,11.0,8.0,10.0,10.0,10.0,9.0,8.0,8.0,11.0,12.0,7.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,11.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,7.0,10.0,0.0,8.0,8.0,9.0,9.0,8.0,13.0,10.0,9.0,10.0,11.0,8.0,9.0,10.0,9.0,11.0,10.0,9.0,11.0,11.0
>ENST00000381357.4,10.0,9.0,8.0,8.0,9.0,12.0,10.0,8.0,11.0,11.0,9.0,8.0,9.0,9.0,9.0,7.0,7.0,7.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0,9.0,13.0,8.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,13.0,8.0,0.0,10.0,9.0,7.0,7.0,9.0,13.0,12.0,8.0,11.0,8.0,7.0,12.0,9.0,9.0,8.0,9.0,9.0,12.0
>ENST00000436268.2,10.0,9.0,8.0,10.0,9.0,10.0,10.0,11.0,12.0,11.0,10.0,8.0,7.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,15.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,13.0,9.0,9.0,8.0,10.0,0.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,8.0,11.0
>ENST00000572729.1,10.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,14.0,11.0,10.0,9.0,8.0,10.0,8.0,11.0,11.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,0.0,9.0,10.0,12.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,11.0
>ENST00000406202.2,10.0,9.0,8.0,12.0,11.0,9.0,9.0,10.0,10.0,11.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,11.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,0.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,11.0
>ENST00000435908.1,13.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,8.0,9.0,11.0,12.0,11.0,9.0,11.0,11.0,11.0,10.0,10.0,9.0,8.0,9.0,8.0,7.0,9.0,10.0,9.0,0.0,9.0,8.0,11.0,8.0,11.0,8.0,11.0,10.0,9.0,9.0,8.0,14.0,8.0,9.0
>ENST00000419507.1,10.0,9.0,11.0,9.0,12.0,14.0,9.0,11.0,10.0,11.0,11.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,12.0,13.0,12.0,10.0,10.0,11.0,12.0,14.0,11.0,13.0,9.0,10.0,13.0,9.0,10.0,12.0,9.0,9.0,0.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,12.0,10.0,9.0,9.0
>ENST00000567652.1,12.0,13.0,11.0,9.0,12.0,12.0,11.0,10.0,12.0,12.0,9.0,8.0,10.0,11.0,10.0,10.0,8.0,11.0,9.0,10.0,11.0,13.0,10.0,11.0,14.0,13.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,12.0,10.0,10.0,15.0,10.0,13.0,9.0,10.0,11.0,8.0,11.0,0.0,12.0,8.0,11.0,10.0,8.0,11.0,11.0,12.0,9.0,11.0,12.0,10.0
>ENST00000399474.2,11.0,11.0,9.0,9.0,11.0,11.0,9.0,9.0,12.0,11.0,9.0,9.0,9.0,11.0,9.0,7.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,16.0,12.0,11.0,10.0,9.0,10.0,12.0,10.0,9.0,10.0,11.0,9.0,9.0,12.0,10.0,10.0,9.0,11.0,11.0,12.0,0.0,8.0,11.0,9.0,10.0,10.0,12.0,9.0,10.0,12.0,15.0,11.0
ENSG00000222667.1,8.0,8.0,11.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,7.0,9.0,8.0,8.0,10.0,7.0,8.0,7.0,10.0,7.0,10.0,6.0,8.0,10.0,14.0,7.0,7.0,8.0,7.0,11.0,8.0,9.0,8.0,6.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,0.0,9.0,7.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0,8.0
>ENST00000454917.1,11.0,11.0,11.0,11.0,12.0,10.0,11.0,9.0,13.0,11.0,12.0,9.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,11.0,12.0,12.0,10.0,13.0,10.0,11.0,10.0,12.0,10.0,12.0,11.0,10.0,10.0,12.0,10.0,10.0,9.0,11.0,11.0,11.0,9.0,9.0,11.0,10.0,11.0,11.0,9.0,0.0,10.0,9.0,11.0,10.0,11.0,10.0,13.0,10.0,10.0
>ENST00000450956.2,9.0,11.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,11.0,8.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,11.0,8.0,9.0,9.0,10.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,11.0,10.0,9.0,7.0,10.0,0.0,10.0,9.0,9.0,11.0,8.0,9.0,9.0,9.0
>ENST00000469425.1,10.0,8.0,11.0,10.0,9.0,9.0,11.0,8.0,11.0,9.0,9.0,8.0,6.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,10.0,7.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,12.0,9.0,9.0,11.0,8.0,9.0,9.0,7.0,10.0,8.0,10.0,11.0,10.0,8.0,10.0,8.0,9.0,10.0,0.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0
>ENST00000429208.1,12.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,11.0,11.0,8.0,11.0,10.0,11.0,10.0,9.0,10.0,8.0,9.0,10.0,12.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,8.0,11.0,9.0,9.0,0.0,10.0,11.0,10.0,11.0,11.0,11.0
>ENST00000624547.1,10.0,10.0,8.0,9.0,11.0,11.0,10.0,13.0,12.0,11.0,10.0,11.0,10.0,11.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,10.0,0.0,11.0,10.0,10.0,8.0,10.0
>ENST00000424230.1,11.0,11.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,12.0,9.0,11.0,9.0,10.0,8.0,9.0,11.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,11.0,10.0,12.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,8.0,11.0,11.0,9.0,11.0,11.0,0.0,9.0,10.0,10.0,9.0
