,>ENST00000407035.1,>ENST00000421913.1,>ENST00000423358.2,>ENST00000407371.1,>ENST00000438176.2,>ENST00000502652.2,>ENST00000431545.1,>ENST00000604283.1,ENSG00000123570.3,>ENST00000614366.1,>ENST00000603395.1,>ENST00000566722.1,>ENST00000443385.1,>ENST00000414016.1,>ENST00000408004.1,>ENST00000567548.2,ENSG00000185614.4,>ENST00000511788.1,>ENST00000421444.1,>ENST00000423288.1,>ENST00000413819.1,>ENST00000521832.1,>ENST00000526498.1,>ENST00000610373.1,>ENST00000419888.1,>ENST00000473603.1,>ENST00000505954.1,>ENST00000412179.5,>ENST00000611470.1,>ENST00000412638.2,>ENST00000532033.1,>ENST00000532644.1,>ENST00000604114.1,>ENST00000618617.1,>ENST00000479573.2,>ENST00000422100.1,ENSG00000215968.2,>ENST00000446382.2,>ENST00000414628.1,>ENST00000422857.1,>ENST00000423971.1
>ENST00000603395.1,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,6.0,0.0,9.0,8.0,8.0,8.0,10.0,14.0,8.0,7.0,9.0,7.0,10.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,12.0,8.0,8.0,9.0,9.0,8.0,11.0,7.0,8.0,9.0,10.0,10.0
>ENST00000566722.1,10.0,10.0,11.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,9.0,0.0,9.0,9.0,11.0,11.0,15.0,8.0,12.0,10.0,9.0,10.0,8.0,11.0,9.0,8.0,11.0,11.0,12.0,12.0,12.0,9.0,10.0,10.0,9.0,11.0,8.0,11.0,10.0,8.0,11.0
>ENST00000443385.1,8.0,10.0,10.0,10.0,10.0,11.0,10.0,8.0,11.0,8.0,8.0,9.0,0.0,10.0,9.0,12.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,11.0,12.0,9.0,9.0,9.0,10.0,11.0,12.0,11.0,9.0,10.0,10.0,10.0,7.0,10.0,9.0,10.0,10.0
>ENST00000414016.1,10.0,15.0,9.0,12.0,10.0,10.0,9.0,9.0,12.0,7.0,8.0,9.0,10.0,0.0,8.0,13.0,9.0,8.0,8.0,12.0,7.0,9.0,8.0,9.0,10.0,9.0,10.0,11.0,9.0,13.0,9.0,10.0,10.0,9.0,9.0,8.0,11.0,8.0,10.0,10.0,13.0
>ENST00000408004.1,12.0,11.0,10.0,13.0,10.0,11.0,10.0,11.0,13.0,8.0,8.0,11.0,9.0,8.0,0.0,10.0,15.0,9.0,12.0,15.0,9.0,10.0,8.0,11.0,13.0,9.0,10.0,12.0,8.0,11.0,11.0,9.0,11.0,13.0,8.0,10.0,8.0,10.0,10.0,9.0,10.0
>ENST00000567548.2,11.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,13.0,9.0,10.0,11.0,12.0,13.0,10.0,0.0,12.0,10.0,9.0,12.0,9.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,11.0,11.0,11.0,11.0,12.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0
ENSG00000185614.4,11.0,10.0,10.0,12.0,12.0,12.0,9.0,10.0,14.0,9.0,14.0,15.0,9.0,9.0,15.0,12.0,0.0,7.0,12.0,11.0,10.0,10.0,9.0,10.0,12.0,9.0,13.0,9.0,11.0,10.0,10.0,9.0,9.0,15.0,9.0,10.0,7.0,11.0,10.0,9.0,14.0
>ENST00000511788.1,8.0,10.0,10.0,9.0,9.0,9.0,12.0,7.0,11.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,7.0,0.0,8.0,11.0,6.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,7.0,10.0,7.0,8.0,10.0,8.0,10.0
>ENST00000421444.1,8.0,10.0,11.0,11.0,9.0,9.0,12.0,7.0,11.0,7.0,7.0,12.0,10.0,8.0,12.0,9.0,12.0,8.0,0.0,9.0,8.0,7.0,10.0,9.0,12.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,6.0,11.0,10.0,8.0,10.0
>ENST00000423288.1,12.0,14.0,10.0,10.0,11.0,11.0,12.0,10.0,12.0,9.0,9.0,10.0,10.0,12.0,15.0,12.0,11.0,11.0,9.0,0.0,10.0,10.0,10.0,9.0,10.0,11.0,11.0,11.0,11.0,13.0,14.0,14.0,11.0,11.0,12.0,11.0,8.0,13.0,11.0,9.0,15.0
>ENST00000413819.1,10.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,12.0,9.0,7.0,9.0,9.0,7.0,9.0,9.0,10.0,6.0,8.0,10.0,0.0,13.0,8.0,9.0,10.0,9.0,12.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,6.0,13.0,10.0,7.0,10.0
>ENST00000521832.1,9.0,9.0,9.0,9.0,11.0,10.0,12.0,9.0,10.0,7.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,8.0,7.0,10.0,13.0,0.0,9.0,9.0,9.0,10.0,11.0,13.0,9.0,9.0,8.0,8.0,12.0,9.0,10.0,9.0,7.0,10.0,8.0,8.0,10.0
>ENST00000526498.1,10.0,9.0,11.0,8.0,9.0,9.0,10.0,7.0,10.0,10.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,0.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,12.0,8.0,10.0,7.0,9.0,8.0,9.0,8.0,10.0,13.0
>ENST00000610373.1,9.0,12.0,9.0,10.0,9.0,9.0,8.0,10.0,12.0,7.0,10.0,11.0,11.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,0.0,9.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0
>ENST00000419888.1,11.0,13.0,10.0,10.0,12.0,13.0,9.0,9.0,11.0,8.0,9.0,9.0,12.0,10.0,13.0,10.0,12.0,9.0,12.0,10.0,10.0,9.0,10.0,9.0,0.0,9.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,12.0,11.0,7.0,11.0,10.0,9.0,15.0
>ENST00000473603.1,9.0,11.0,10.0,12.0,11.0,8.0,10.0,10.0,12.0,8.0,8.0,8.0,9.0,9.0,9.0,12.0,9.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,9.0,0.0,10.0,9.0,8.0,9.0,8.0,11.0,11.0,8.0,7.0,10.0,8.0,8.0,10.0,9.0,11.0
>ENST00000505954.1,11.0,10.0,11.0,10.0,10.0,11.0,11.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,13.0,9.0,9.0,11.0,12.0,11.0,8.0,8.0,11.0,10.0,0.0,9.0,11.0,12.0,12.0,10.0,10.0,10.0,9.0,8.0,8.0,11.0,11.0,10.0,12.0
>ENST00000412179.5,9.0,9.0,10.0,11.0,10.0,11.0,10.0,9.0,13.0,8.0,8.0,11.0,9.0,11.0,12.0,10.0,9.0,9.0,9.0,11.0,8.0,13.0,9.0,9.0,11.0,9.0,9.0,0.0,11.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,7.0,10.0,11.0,10.0,13.0
>ENST00000611470.1,10.0,9.0,8.0,10.0,10.0,10.0,11.0,9.0,13.0,7.0,9.0,12.0,10.0,9.0,8.0,11.0,11.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,8.0,11.0,11.0,0.0,10.0,9.0,11.0,9.0,10.0,8.0,12.0,8.0,10.0,11.0,8.0,12.0
>ENST00000412638.2,10.0,40.0,10.0,9.0,10.0,10.0,13.0,12.0,13.0,8.0,12.0,12.0,11.0,13.0,11.0,11.0,10.0,10.0,9.0,13.0,9.0,9.0,10.0,11.0,11.0,9.0,12.0,10.0,10.0,0.0,9.0,11.0,12.0,13.0,11.0,12.0,7.0,11.0,9.0,10.0,11.0
>ENST00000532033.1,10.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,13.0,8.0,8.0,12.0,12.0,9.0,11.0,11.0,10.0,11.0,9.0,14.0,9.0,8.0,9.0,9.0,10.0,8.0,12.0,8.0,9.0,9.0,0.0,10.0,13.0,12.0,10.0,9.0,9.0,10.0,11.0,9.0,12.0
>ENST00000532644.1,11.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,11.0,8.0,8.0,9.0,11.0,10.0,9.0,11.0,9.0,10.0,9.0,14.0,9.0,8.0,12.0,10.0,11.0,11.0,10.0,9.0,11.0,11.0,10.0,0.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,10.0,11.0
>ENST00000604114.1,10.0,11.0,11.0,11.0,10.0,9.0,10.0,8.0,14.0,7.0,9.0,10.0,9.0,10.0,11.0,12.0,9.0,8.0,9.0,11.0,10.0,12.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,12.0,13.0,10.0,0.0,10.0,9.0,12.0,10.0,10.0,9.0,10.0,11.0
>ENST00000618617.1,12.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,11.0,8.0,9.0,10.0,10.0,9.0,13.0,10.0,15.0,9.0,10.0,11.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,13.0,12.0,11.0,10.0,0.0,10.0,10.0,6.0,11.0,10.0,9.0,10.0
>ENST00000479573.2,10.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,11.0,7.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0,9.0,12.0,9.0,10.0,7.0,8.0,12.0,7.0,9.0,9.0,8.0,11.0,10.0,9.0,9.0,10.0,0.0,9.0,7.0,9.0,9.0,7.0,10.0
>ENST00000422100.1,11.0,12.0,10.0,10.0,10.0,8.0,11.0,9.0,12.0,8.0,11.0,11.0,10.0,8.0,10.0,9.0,10.0,10.0,8.0,11.0,8.0,9.0,9.0,9.0,11.0,10.0,8.0,10.0,12.0,12.0,9.0,9.0,12.0,10.0,9.0,0.0,9.0,9.0,10.0,11.0,11.0
ENSG00000215968.2,9.0,8.0,7.0,8.0,8.0,8.0,9.0,6.0,11.0,5.0,7.0,8.0,7.0,11.0,8.0,9.0,7.0,7.0,6.0,8.0,6.0,7.0,8.0,10.0,7.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,10.0,6.0,7.0,9.0,0.0,7.0,11.0,6.0,10.0
>ENST00000446382.2,12.0,10.0,9.0,8.0,12.0,10.0,9.0,9.0,12.0,8.0,8.0,11.0,10.0,8.0,10.0,10.0,11.0,8.0,11.0,13.0,13.0,10.0,9.0,9.0,11.0,8.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0,7.0,0.0,13.0,10.0,22.0
>ENST00000414628.1,11.0,12.0,12.0,10.0,14.0,9.0,9.0,9.0,11.0,7.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,8.0,8.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,13.0,0.0,11.0,13.0
>ENST00000422857.1,9.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,11.0,7.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,8.0,8.0,9.0,7.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,7.0,11.0,6.0,10.0,11.0,0.0,10.0
>ENST00000423971.1,12.0,15.0,14.0,12.0,12.0,12.0,11.0,14.0,13.0,10.0,10.0,11.0,10.0,13.0,10.0,11.0,14.0,10.0,10.0,15.0,10.0,10.0,13.0,9.0,15.0,11.0,12.0,13.0,12.0,11.0,12.0,11.0,11.0,10.0,10.0,11.0,10.0,22.0,13.0,10.0,0.0
