,>ENST00000452854.1,>ENST00000441761.1,>ENST00000477681.2,>ENST00000392493.3,>ENST00000424940.1,>ENST00000581547.1,>ENST00000566382.2,>ENST00000512082.1,>ENST00000414330.2,>ENST00000604613.1,>ENST00000517888.1,>ENST00000605481.1,>ENST00000420457.1,>ENST00000514575.1,>ENST00000425328.1,>ENST00000621479.1,>ENST00000476502.1,>ENST00000506306.1,>ENST00000449108.1,>ENST00000618416.1,>ENST00000441404.1,>ENST00000472104.1,>ENST00000479662.1,>ENST00000504408.1,>ENST00000429309.1,>ENST00000616471.1,ENSG00000261857.6,>ENST00000510791.1,>ENST00000592985.1,>ENST00000444850.1,>ENST00000621828.1,>ENST00000434369.1,>ENST00000603476.1,>ENST00000403509.1,>ENST00000506036.1,>ENST00000446806.1,>ENST00000431853.1
>ENST00000517888.1,8.0,9.0,9.0,8.0,12.0,11.0,11.0,8.0,8.0,8.0,0.0,10.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,7.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0
>ENST00000605481.1,13.0,11.0,10.0,8.0,9.0,10.0,9.0,10.0,7.0,9.0,10.0,0.0,10.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,11.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0
>ENST00000420457.1,10.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0,0.0,8.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,11.0,8.0,11.0,9.0,8.0,8.0,8.0,9.0,12.0,8.0,9.0
>ENST00000514575.1,11.0,9.0,8.0,9.0,7.0,9.0,9.0,9.0,11.0,7.0,8.0,7.0,8.0,0.0,9.0,9.0,7.0,7.0,7.0,8.0,10.0,9.0,8.0,8.0,8.0,12.0,10.0,10.0,10.0,11.0,10.0,8.0,9.0,8.0,11.0,9.0,6.0
>ENST00000425328.1,9.0,10.0,8.0,10.0,9.0,10.0,11.0,9.0,13.0,8.0,9.0,9.0,10.0,9.0,0.0,8.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,12.0,10.0,11.0,10.0
>ENST00000621479.1,9.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,0.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,12.0,8.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,9.0
>ENST00000476502.1,8.0,9.0,9.0,10.0,8.0,12.0,10.0,9.0,9.0,7.0,8.0,8.0,9.0,7.0,10.0,9.0,0.0,7.0,8.0,9.0,11.0,8.0,11.0,11.0,8.0,8.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0
>ENST00000506306.1,8.0,9.0,10.0,8.0,11.0,11.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,7.0,10.0,11.0,7.0,0.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,11.0,9.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,10.0,7.0,9.0
>ENST00000449108.1,8.0,19.0,10.0,8.0,10.0,11.0,8.0,9.0,10.0,7.0,8.0,8.0,8.0,7.0,10.0,9.0,8.0,8.0,0.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,7.0
>ENST00000618416.1,9.0,10.0,11.0,9.0,12.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,0.0,10.0,8.0,9.0,8.0,8.0,10.0,12.0,9.0,11.0,9.0,14.0,11.0,9.0,11.0,11.0,10.0,10.0
>ENST00000441404.1,9.0,8.0,12.0,10.0,10.0,11.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,0.0,11.0,10.0,10.0,9.0,10.0,12.0,11.0,13.0,11.0,9.0,9.0,8.0,10.0,10.0,12.0,9.0
>ENST00000472104.1,9.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,11.0,8.0,9.0,9.0,11.0,8.0,8.0,9.0,8.0,11.0,0.0,8.0,7.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,11.0,7.0,9.0,10.0,8.0,9.0
>ENST00000479662.1,9.0,8.0,9.0,11.0,9.0,11.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,8.0,0.0,9.0,9.0,10.0,12.0,8.0,9.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0
>ENST00000504408.1,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,10.0,11.0,8.0,8.0,8.0,10.0,7.0,9.0,0.0,8.0,9.0,12.0,8.0,10.0,8.0,7.0,8.0,8.0,8.0,10.0,9.0,8.0
>ENST00000429309.1,8.0,8.0,12.0,8.0,10.0,10.0,11.0,8.0,9.0,7.0,7.0,8.0,9.0,8.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,0.0,9.0,10.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0
>ENST00000616471.1,9.0,9.0,10.0,9.0,10.0,10.0,22.0,9.0,15.0,8.0,9.0,9.0,9.0,12.0,11.0,9.0,8.0,11.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,0.0,22.0,12.0,9.0,11.0,8.0,8.0,11.0,11.0,13.0,9.0,8.0
ENSG00000261857.6,10.0,14.0,10.0,12.0,11.0,16.0,20.0,10.0,19.0,9.0,9.0,10.0,11.0,10.0,10.0,12.0,10.0,9.0,9.0,12.0,12.0,10.0,12.0,12.0,10.0,22.0,0.0,10.0,12.0,11.0,9.0,10.0,12.0,12.0,12.0,14.0,11.0
>ENST00000510791.1,8.0,8.0,8.0,9.0,10.0,10.0,11.0,8.0,10.0,10.0,7.0,10.0,8.0,10.0,9.0,8.0,8.0,7.0,8.0,9.0,11.0,8.0,8.0,8.0,7.0,12.0,10.0,0.0,12.0,10.0,8.0,10.0,12.0,9.0,12.0,9.0,10.0
>ENST00000592985.1,11.0,13.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,8.0,8.0,9.0,11.0,13.0,10.0,9.0,10.0,9.0,9.0,12.0,12.0,0.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0
>ENST00000444850.1,11.0,11.0,9.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,8.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,11.0,8.0,9.0,11.0,11.0,10.0,10.0,0.0,9.0,11.0,12.0,11.0,11.0,9.0,9.0
>ENST00000621828.1,7.0,10.0,8.0,9.0,10.0,11.0,9.0,75.0,11.0,8.0,8.0,8.0,8.0,10.0,9.0,11.0,11.0,8.0,10.0,14.0,9.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,10.0,9.0,0.0,10.0,8.0,8.0,9.0,8.0,10.0
>ENST00000434369.1,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,9.0,7.0,10.0,11.0,9.0,11.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,11.0,10.0,0.0,9.0,9.0,10.0,13.0,8.0
>ENST00000603476.1,10.0,8.0,8.0,8.0,9.0,9.0,12.0,8.0,12.0,8.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,11.0,12.0,12.0,9.0,12.0,8.0,9.0,0.0,8.0,9.0,8.0,7.0
>ENST00000403509.1,8.0,10.0,8.0,9.0,10.0,11.0,11.0,8.0,12.0,11.0,9.0,9.0,9.0,8.0,12.0,11.0,8.0,8.0,9.0,11.0,10.0,9.0,9.0,8.0,8.0,11.0,12.0,9.0,10.0,11.0,8.0,9.0,8.0,0.0,10.0,11.0,9.0
>ENST00000506036.1,10.0,10.0,9.0,10.0,12.0,10.0,11.0,10.0,13.0,9.0,9.0,10.0,12.0,11.0,10.0,11.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,10.0,10.0,13.0,12.0,12.0,11.0,11.0,9.0,10.0,9.0,10.0,0.0,9.0,9.0
>ENST00000446806.1,11.0,10.0,9.0,9.0,10.0,11.0,10.0,8.0,10.0,8.0,9.0,10.0,8.0,9.0,11.0,9.0,8.0,7.0,10.0,10.0,12.0,8.0,9.0,9.0,8.0,9.0,14.0,9.0,10.0,9.0,8.0,13.0,8.0,11.0,9.0,0.0,9.0
>ENST00000431853.1,7.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,6.0,10.0,9.0,10.0,9.0,7.0,10.0,9.0,9.0,11.0,8.0,9.0,8.0,11.0,10.0,9.0,9.0,10.0,8.0,7.0,9.0,9.0,9.0,0.0
