,>ENST00000427409.1,>ENST00000598909.1,>ENST00000420241.1,>ENST00000603579.1,>ENST00000508672.1,ENSG00000274589.1,>ENST00000605375.1,>ENST00000550961.6,>ENST00000534129.1,>ENST00000483483.1,>ENST00000520721.1,ENSG00000274428.1,>ENST00000430907.2,>ENST00000366160.3,>ENST00000428703.1,>ENST00000556349.1,>ENST00000610567.1,>ENST00000461922.1,>ENST00000452083.1,>ENST00000513866.1,>ENST00000443195.1,>ENST00000438811.1,>ENST00000424028.1,>ENST00000483812.3,>ENST00000565840.2,>ENST00000519514.1,ENSG00000170122.5,>ENST00000514668.3,>ENST00000497012.2,>ENST00000419283.1,>ENST00000605642.1
>ENST00000520721.1,9.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,9.0,6.0,0.0,7.0,8.0,9.0,7.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,12.0,9.0,9.0,7.0,10.0,9.0,11.0,10.0,8.0
ENSG00000274428.1,9.0,8.0,8.0,8.0,9.0,7.0,7.0,9.0,9.0,9.0,7.0,0.0,9.0,10.0,7.0,7.0,8.0,9.0,9.0,9.0,7.0,7.0,8.0,9.0,8.0,7.0,8.0,10.0,10.0,8.0,10.0
>ENST00000430907.2,9.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,0.0,11.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0
>ENST00000366160.3,9.0,10.0,11.0,9.0,11.0,10.0,9.0,12.0,10.0,9.0,9.0,10.0,11.0,0.0,10.0,10.0,10.0,10.0,14.0,11.0,10.0,10.0,12.0,9.0,11.0,11.0,11.0,10.0,12.0,11.0,11.0
>ENST00000428703.1,9.0,9.0,10.0,8.0,11.0,8.0,7.0,9.0,9.0,8.0,7.0,7.0,9.0,10.0,0.0,8.0,9.0,9.0,8.0,11.0,9.0,7.0,12.0,8.0,9.0,8.0,8.0,11.0,8.0,8.0,10.0
>ENST00000556349.1,9.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,9.0,10.0,8.0,0.0,10.0,7.0,11.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,13.0,10.0,9.0,9.0,9.0
>ENST00000610567.1,8.0,10.0,11.0,11.0,9.0,13.0,8.0,9.0,12.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,0.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,11.0,9.0,10.0,10.0,8.0,8.0,9.0
>ENST00000461922.1,8.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,7.0,7.0,9.0,10.0,10.0,9.0,7.0,8.0,0.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,12.0,9.0,8.0,10.0,8.0,13.0
>ENST00000452083.1,9.0,11.0,13.0,10.0,12.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,14.0,8.0,11.0,9.0,10.0,0.0,10.0,10.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0,10.0,8.0,10.0
>ENST00000513866.1,10.0,10.0,10.0,10.0,14.0,8.0,8.0,11.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,11.0,8.0,10.0,10.0,0.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0
>ENST00000443195.1,10.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,12.0,8.0,9.0,7.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,0.0,8.0,9.0,12.0,9.0,8.0,12.0,11.0,11.0,9.0,10.0
>ENST00000438811.1,7.0,9.0,8.0,9.0,11.0,9.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,10.0,9.0,9.0,8.0,0.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0
>ENST00000424028.1,9.0,11.0,11.0,8.0,10.0,9.0,10.0,10.0,11.0,9.0,12.0,8.0,10.0,12.0,12.0,10.0,9.0,9.0,12.0,10.0,9.0,9.0,0.0,10.0,10.0,10.0,13.0,11.0,11.0,10.0,11.0
>ENST00000483812.3,8.0,9.0,9.0,10.0,11.0,11.0,8.0,9.0,11.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,12.0,10.0,10.0,0.0,10.0,8.0,10.0,8.0,9.0,8.0,9.0
>ENST00000565840.2,10.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,0.0,9.0,10.0,10.0,11.0,9.0,11.0
>ENST00000519514.1,8.0,8.0,9.0,8.0,11.0,9.0,11.0,10.0,10.0,10.0,7.0,7.0,9.0,11.0,8.0,9.0,9.0,12.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,0.0,9.0,11.0,9.0,10.0,9.0
ENSG00000170122.5,10.0,10.0,11.0,9.0,10.0,12.0,9.0,14.0,11.0,9.0,10.0,8.0,9.0,11.0,8.0,13.0,10.0,9.0,9.0,10.0,12.0,9.0,13.0,10.0,10.0,9.0,0.0,10.0,10.0,10.0,10.0
>ENST00000514668.3,10.0,10.0,9.0,8.0,11.0,10.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,8.0,11.0,9.0,11.0,9.0,11.0,8.0,10.0,11.0,10.0,0.0,9.0,9.0,12.0
>ENST00000497012.2,10.0,10.0,9.0,10.0,11.0,8.0,8.0,10.0,14.0,8.0,11.0,10.0,8.0,12.0,8.0,9.0,8.0,10.0,10.0,8.0,11.0,8.0,11.0,9.0,11.0,9.0,10.0,9.0,0.0,8.0,10.0
>ENST00000419283.1,10.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,10.0,7.0,10.0,8.0,9.0,11.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,8.0,0.0,9.0
>ENST00000605642.1,11.0,11.0,11.0,9.0,12.0,10.0,10.0,11.0,10.0,8.0,8.0,10.0,10.0,11.0,10.0,9.0,9.0,13.0,10.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,12.0,10.0,9.0,0.0
