,>ENST00000541141.1,>ENST00000480271.1,>ENST00000506966.1,>ENST00000456663.1,>ENST00000562845.1,>ENST00000484956.1,>ENST00000462007.1,ENSG00000220989.1,>ENST00000454419.1,>ENST00000463169.1,>ENST00000323164.5,>ENST00000579873.1,>ENST00000413771.1,>ENST00000559063.1,>ENST00000442855.2,>ENST00000468161.1,>ENST00000509439.1,ENSG00000126860.11,>ENST00000622242.4,>ENST00000604755.1,>ENST00000486251.1,>ENST00000445594.1,>ENST00000432666.2,>ENST00000443005.1,>ENST00000419731.1,>ENST00000425319.1
>ENST00000468161.1,8.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0,8.0,0.0,8.0,11.0,10.0,9.0,13.0,10.0,12.0,11.0,8.0,9.0
>ENST00000509439.1,10.0,10.0,10.0,9.0,10.0,9.0,8.0,6.0,9.0,9.0,10.0,8.0,10.0,9.0,7.0,8.0,0.0,11.0,8.0,10.0,9.0,12.0,9.0,9.0,10.0,9.0
ENSG00000126860.11,10.0,10.0,9.0,13.0,12.0,10.0,11.0,9.0,11.0,11.0,15.0,10.0,11.0,11.0,10.0,11.0,11.0,0.0,12.0,14.0,17.0,13.0,12.0,11.0,10.0,11.0
>ENST00000622242.4,9.0,10.0,10.0,9.0,10.0,9.0,11.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,12.0,0.0,9.0,10.0,11.0,10.0,12.0,9.0,10.0
>ENST00000604755.1,10.0,9.0,8.0,8.0,10.0,14.0,9.0,8.0,9.0,10.0,12.0,9.0,10.0,8.0,10.0,9.0,10.0,14.0,9.0,0.0,9.0,10.0,10.0,9.0,9.0,9.0
>ENST00000486251.1,13.0,12.0,8.0,7.0,10.0,8.0,9.0,6.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,13.0,9.0,17.0,10.0,9.0,0.0,9.0,9.0,8.0,7.0,8.0
>ENST00000445594.1,10.0,11.0,8.0,10.0,11.0,9.0,12.0,9.0,12.0,10.0,11.0,9.0,11.0,12.0,9.0,10.0,12.0,13.0,11.0,10.0,9.0,0.0,12.0,13.0,10.0,10.0
>ENST00000432666.2,9.0,10.0,9.0,10.0,11.0,11.0,9.0,8.0,12.0,9.0,10.0,11.0,9.0,10.0,9.0,12.0,9.0,12.0,10.0,10.0,9.0,12.0,0.0,10.0,9.0,10.0
>ENST00000443005.1,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,11.0,12.0,9.0,8.0,13.0,10.0,0.0,9.0,11.0
>ENST00000419731.1,10.0,8.0,8.0,8.0,12.0,8.0,8.0,12.0,9.0,7.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,7.0,10.0,9.0,9.0,0.0,8.0
>ENST00000425319.1,9.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,8.0,10.0,10.0,11.0,8.0,0.0
