,>ENST00000448974.1,>ENST00000341390.7,>ENST00000509706.1,>ENST00000504195.1,>ENST00000457191.1,ENSG00000174450.11,>ENST00000603758.1,>ENST00000437701.1,>ENST00000557537.2,>ENST00000455527.5,>ENST00000404883.2,>ENST00000605967.1,>ENST00000502875.1,>ENST00000507976.2,>ENST00000504939.1,>ENST00000568969.1,>ENST00000513479.1,>ENST00000443377.1,>ENST00000441314.1,>ENST00000536916.1,>ENST00000471982.1,>ENST00000418437.1,>ENST00000510352.2,>ENST00000522215.1,ENSG00000206688.1,>ENST00000422363.1,>ENST00000455287.1,>ENST00000463339.1,>ENST00000603212.1,>ENST00000605525.1,>ENST00000443682.1,>ENST00000402907.1,>ENST00000412255.1,>ENST00000439856.1,>ENST00000495716.1,>ENST00000593402.6,>ENST00000451069.1,>ENST00000629326.1,>ENST00000455560.1,>ENST00000605701.1,>ENST00000400497.2,>ENST00000597330.1,>ENST00000453800.1,>ENST00000623058.3,>ENST00000620999.1,>ENST00000443470.1,>ENST00000612861.1,>ENST00000506236.2,>ENST00000466578.1
>ENST00000404883.2,9.0,11.0,10.0,10.0,11.0,12.0,11.0,9.0,8.0,11.0,0.0,10.0,11.0,10.0,11.0,11.0,9.0,12.0,10.0,9.0,10.0,12.0,14.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,12.0,9.0,10.0,11.0,10.0,11.0,8.0,11.0
>ENST00000605967.1,10.0,11.0,10.0,12.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,0.0,10.0,9.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,13.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,8.0,10.0,10.0,10.0,10.0,9.0,13.0,11.0,10.0,10.0
>ENST00000502875.1,10.0,13.0,11.0,14.0,13.0,13.0,10.0,12.0,12.0,11.0,11.0,10.0,0.0,12.0,10.0,12.0,9.0,11.0,11.0,12.0,13.0,11.0,12.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,13.0,11.0,10.0,10.0,14.0,12.0,10.0,12.0,9.0,11.0,12.0,14.0,11.0,11.0,11.0,11.0,13.0,12.0,11.0
>ENST00000507976.2,10.0,11.0,10.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,12.0,0.0,9.0,7.0,8.0,9.0,9.0,13.0,8.0,9.0,10.0,12.0,8.0,7.0,9.0,10.0,9.0,11.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,7.0,9.0
>ENST00000504939.1,9.0,11.0,9.0,9.0,12.0,13.0,10.0,8.0,11.0,10.0,11.0,10.0,10.0,9.0,0.0,7.0,9.0,10.0,8.0,10.0,8.0,10.0,10.0,9.0,7.0,11.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,12.0,12.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,622.0
>ENST00000568969.1,10.0,13.0,9.0,8.0,10.0,10.0,7.0,7.0,9.0,9.0,11.0,10.0,12.0,7.0,7.0,0.0,8.0,8.0,10.0,15.0,7.0,10.0,12.0,7.0,10.0,10.0,8.0,7.0,7.0,8.0,10.0,9.0,7.0,8.0,10.0,11.0,8.0,10.0,7.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,7.0,9.0
>ENST00000513479.1,9.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,0.0,8.0,9.0,10.0,7.0,9.0,8.0,9.0,8.0,9.0,10.0,11.0,7.0,8.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,7.0,9.0
>ENST00000443377.1,9.0,10.0,10.0,10.0,11.0,11.0,10.0,8.0,9.0,10.0,12.0,10.0,11.0,9.0,10.0,8.0,8.0,0.0,8.0,10.0,9.0,10.0,10.0,7.0,7.0,9.0,9.0,8.0,10.0,9.0,13.0,9.0,8.0,11.0,10.0,9.0,9.0,9.0,12.0,9.0,10.0,11.0,8.0,10.0,8.0,11.0,10.0,8.0,10.0
>ENST00000441314.1,9.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,12.0,11.0,9.0,8.0,10.0,9.0,8.0,0.0,9.0,9.0,10.0,9.0,8.0,7.0,11.0,10.0,7.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,7.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,10.0,7.0,8.0
>ENST00000536916.1,10.0,12.0,13.0,11.0,13.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,12.0,13.0,10.0,15.0,10.0,10.0,9.0,0.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,12.0,10.0,11.0,11.0,10.0,12.0,11.0,11.0,11.0,10.0,12.0,13.0,10.0,13.0,10.0,11.0,11.0,11.0,10.0
>ENST00000471982.1,9.0,10.0,9.0,11.0,10.0,13.0,9.0,9.0,7.0,10.0,10.0,10.0,13.0,8.0,8.0,7.0,7.0,9.0,9.0,9.0,0.0,11.0,9.0,9.0,7.0,10.0,8.0,10.0,8.0,8.0,13.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,7.0,10.0,11.0,10.0,9.0,8.0,9.0,11.0,8.0,10.0
>ENST00000418437.1,12.0,13.0,9.0,11.0,12.0,14.0,9.0,9.0,10.0,12.0,12.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,0.0,11.0,8.0,8.0,10.0,10.0,10.0,12.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,12.0,11.0,10.0
>ENST00000510352.2,10.0,11.0,12.0,11.0,13.0,13.0,11.0,8.0,11.0,11.0,14.0,9.0,12.0,10.0,10.0,12.0,8.0,10.0,9.0,10.0,9.0,11.0,0.0,8.0,8.0,9.0,9.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,11.0,12.0,11.0,10.0,10.0,10.0,12.0,11.0,9.0,10.0,9.0,10.0,15.0,8.0,10.0
>ENST00000522215.1,8.0,11.0,9.0,9.0,8.0,11.0,8.0,8.0,9.0,11.0,10.0,10.0,10.0,12.0,9.0,7.0,9.0,7.0,8.0,10.0,9.0,8.0,8.0,0.0,9.0,8.0,9.0,9.0,6.0,8.0,11.0,10.0,8.0,10.0,12.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,7.0,9.0,11.0,9.0,10.0,7.0,9.0
ENSG00000206688.1,9.0,10.0,8.0,7.0,8.0,8.0,8.0,9.0,11.0,8.0,9.0,8.0,10.0,8.0,7.0,10.0,8.0,7.0,7.0,9.0,7.0,8.0,8.0,9.0,0.0,7.0,9.0,7.0,6.0,7.0,8.0,8.0,8.0,7.0,8.0,11.0,6.0,8.0,7.0,6.0,9.0,8.0,8.0,10.0,7.0,10.0,8.0,6.0,7.0
>ENST00000422363.1,9.0,10.0,10.0,9.0,9.0,12.0,8.0,8.0,9.0,10.0,10.0,9.0,11.0,7.0,11.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,7.0,0.0,12.0,8.0,9.0,8.0,10.0,10.0,7.0,8.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,11.0,7.0,9.0,8.0,8.0,12.0,7.0,10.0
>ENST00000455287.1,9.0,11.0,10.0,10.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,12.0,0.0,9.0,9.0,9.0,13.0,9.0,8.0,9.0,11.0,10.0,9.0,11.0,9.0,7.0,11.0,11.0,8.0,9.0,9.0,10.0,10.0,8.0,11.0
>ENST00000463339.1,9.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,8.0,13.0,10.0,10.0,8.0,7.0,11.0,8.0,7.0,10.0,10.0,10.0,11.0,9.0,7.0,8.0,9.0,0.0,9.0,10.0,12.0,11.0,8.0,9.0,10.0,10.0,8.0,11.0,10.0,8.0,9.0,14.0,9.0,11.0,8.0,10.0,11.0,9.0,10.0
>ENST00000603212.1,9.0,12.0,8.0,8.0,10.0,12.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,7.0,7.0,10.0,8.0,8.0,8.0,12.0,10.0,6.0,6.0,9.0,9.0,9.0,0.0,8.0,10.0,9.0,7.0,8.0,9.0,9.0,8.0,10.0,7.0,12.0,10.0,12.0,7.0,10.0,8.0,9.0,11.0,9.0,9.0
>ENST00000605525.1,8.0,10.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,11.0,8.0,7.0,8.0,9.0,10.0,8.0,0.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,9.0,12.0,9.0,9.0,8.0,9.0,12.0,7.0,9.0
>ENST00000443682.1,9.0,11.0,10.0,9.0,12.0,12.0,10.0,9.0,11.0,10.0,10.0,10.0,13.0,11.0,10.0,10.0,10.0,13.0,8.0,12.0,13.0,10.0,10.0,11.0,8.0,10.0,13.0,12.0,10.0,10.0,0.0,10.0,8.0,9.0,11.0,10.0,12.0,12.0,13.0,10.0,12.0,14.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0
>ENST00000402907.1,9.0,10.0,10.0,12.0,10.0,12.0,9.0,11.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,9.0,11.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0,11.0,9.0,9.0,10.0,0.0,11.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,8.0,10.0
>ENST00000412255.1,8.0,9.0,9.0,8.0,10.0,10.0,11.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,11.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,11.0,0.0,7.0,9.0,10.0,7.0,9.0,10.0,6.0,10.0,10.0,9.0,8.0,7.0,9.0,10.0,7.0,8.0
>ENST00000439856.1,8.0,10.0,10.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,8.0,10.0,11.0,10.0,11.0,9.0,9.0,9.0,10.0,7.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,0.0,12.0,10.0,8.0,9.0,9.0,8.0,11.0,14.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
>ENST00000495716.1,10.0,13.0,11.0,12.0,11.0,12.0,11.0,8.0,11.0,13.0,10.0,10.0,14.0,11.0,12.0,10.0,10.0,10.0,8.0,10.0,10.0,11.0,11.0,12.0,8.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,12.0,0.0,11.0,9.0,11.0,11.0,9.0,12.0,10.0,11.0,9.0,11.0,11.0,11.0,9.0,12.0
>ENST00000593402.6,12.0,12.0,10.0,10.0,13.0,13.0,11.0,9.0,10.0,12.0,10.0,11.0,12.0,10.0,12.0,11.0,9.0,9.0,9.0,12.0,9.0,10.0,12.0,8.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,0.0,9.0,10.0,12.0,10.0,12.0,11.0,8.0,9.0,10.0,10.0,14.0,10.0,11.0
>ENST00000451069.1,8.0,12.0,9.0,11.0,9.0,10.0,10.0,8.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,7.0,11.0,8.0,9.0,11.0,9.0,6.0,8.0,9.0,8.0,8.0,11.0,12.0,9.0,7.0,8.0,9.0,9.0,0.0,13.0,8.0,6.0,10.0,11.0,10.0,9.0,8.0,9.0,13.0,8.0,9.0
>ENST00000629326.1,13.0,13.0,10.0,12.0,11.0,11.0,13.0,10.0,14.0,13.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,11.0,10.0,11.0,8.0,9.0,11.0,11.0,10.0,9.0,12.0,11.0,9.0,9.0,11.0,10.0,13.0,0.0,10.0,9.0,11.0,11.0,9.0,10.0,12.0,11.0,10.0,9.0,12.0
>ENST00000455560.1,11.0,12.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,8.0,8.0,7.0,9.0,12.0,8.0,11.0,9.0,11.0,10.0,9.0,7.0,8.0,9.0,10.0,7.0,10.0,13.0,9.0,10.0,9.0,11.0,12.0,8.0,10.0,0.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,11.0,8.0,8.0
>ENST00000605701.1,9.0,12.0,10.0,7.0,10.0,10.0,8.0,7.0,9.0,12.0,9.0,8.0,11.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,7.0,11.0,10.0,7.0,6.0,9.0,7.0,8.0,12.0,8.0,10.0,9.0,6.0,8.0,9.0,10.0,6.0,9.0,8.0,0.0,12.0,13.0,9.0,9.0,8.0,8.0,11.0,7.0,8.0
>ENST00000400497.2,11.0,11.0,12.0,11.0,11.0,12.0,12.0,9.0,11.0,10.0,11.0,10.0,12.0,9.0,9.0,8.0,10.0,10.0,9.0,12.0,10.0,11.0,12.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,12.0,11.0,10.0,11.0,12.0,12.0,10.0,11.0,10.0,12.0,0.0,11.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0
>ENST00000597330.1,12.0,17.0,10.0,11.0,12.0,14.0,10.0,11.0,11.0,11.0,12.0,10.0,14.0,9.0,10.0,9.0,9.0,11.0,10.0,13.0,11.0,11.0,11.0,9.0,8.0,11.0,11.0,14.0,12.0,12.0,14.0,10.0,10.0,14.0,10.0,11.0,11.0,11.0,9.0,13.0,11.0,0.0,9.0,10.0,10.0,12.0,12.0,12.0,10.0
>ENST00000453800.1,11.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,7.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,7.0,8.0,7.0,8.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,0.0,8.0,8.0,8.0,10.0,7.0,9.0
>ENST00000623058.3,8.0,11.0,9.0,9.0,10.0,13.0,12.0,9.0,10.0,11.0,10.0,10.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,13.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,0.0,9.0,11.0,11.0,10.0,9.0
>ENST00000620999.1,9.0,12.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,11.0,9.0,11.0,10.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,11.0,9.0,11.0,7.0,8.0,9.0,8.0,8.0,8.0,10.0,10.0,7.0,9.0,11.0,10.0,8.0,12.0,8.0,8.0,9.0,10.0,8.0,9.0,0.0,14.0,10.0,8.0,9.0
>ENST00000443470.1,10.0,11.0,9.0,14.0,10.0,12.0,9.0,11.0,9.0,10.0,10.0,13.0,11.0,9.0,11.0,9.0,10.0,11.0,9.0,11.0,9.0,11.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0,10.0,8.0,10.0,12.0,8.0,11.0,14.0,0.0,12.0,10.0,11.0
>ENST00000612861.1,9.0,11.0,10.0,11.0,13.0,13.0,11.0,10.0,11.0,11.0,11.0,11.0,13.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,15.0,10.0,8.0,12.0,10.0,11.0,11.0,12.0,12.0,11.0,10.0,9.0,11.0,14.0,13.0,10.0,11.0,11.0,11.0,12.0,10.0,11.0,10.0,12.0,0.0,13.0,11.0
>ENST00000506236.2,8.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,8.0,8.0,10.0,12.0,7.0,10.0,7.0,7.0,8.0,7.0,11.0,8.0,11.0,8.0,7.0,6.0,7.0,8.0,9.0,9.0,7.0,9.0,8.0,7.0,9.0,9.0,10.0,8.0,9.0,8.0,7.0,9.0,12.0,7.0,10.0,8.0,10.0,13.0,0.0,8.0
>ENST00000466578.1,8.0,10.0,9.0,10.0,12.0,12.0,10.0,8.0,11.0,11.0,11.0,10.0,11.0,9.0,622.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,7.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,12.0,11.0,9.0,12.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,11.0,8.0,0.0
