,>ENST00000504587.1,>ENST00000605743.1,ENSG00000199529.1,>ENST00000616792.1,>ENST00000423877.2,>ENST00000585756.1,>ENST00000457517.1,>ENST00000432149.1,>ENST00000488218.1,>ENST00000606284.1,>ENST00000404534.1,ENSG00000152778.8,>ENST00000452415.1,>ENST00000447985.1,>ENST00000366304.3,>ENST00000478252.1,>ENST00000436281.1,>ENST00000618594.1,>ENST00000512696.1,>ENST00000517744.1,>ENST00000624153.1,>ENST00000435390.2,>ENST00000376909.6,>ENST00000437325.2,>ENST00000406845.1
>ENST00000404534.1,9.0,11.0,13.0,11.0,11.0,10.0,13.0,11.0,10.0,10.0,0.0,11.0,13.0,14.0,11.0,11.0,9.0,10.0,11.0,10.0,13.0,10.0,12.0,10.0,13.0
ENSG00000152778.8,12.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,0.0,11.0,12.0,95.0,13.0,11.0,12.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0
>ENST00000452415.1,9.0,9.0,11.0,11.0,9.0,10.0,11.0,11.0,10.0,10.0,13.0,11.0,0.0,14.0,12.0,11.0,11.0,11.0,11.0,12.0,10.0,10.0,9.0,10.0,10.0
>ENST00000447985.1,10.0,10.0,10.0,11.0,10.0,9.0,10.0,8.0,10.0,11.0,14.0,12.0,14.0,0.0,11.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0
>ENST00000366304.3,9.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,10.0,10.0,11.0,95.0,12.0,11.0,0.0,12.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0
>ENST00000478252.1,10.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,13.0,14.0,11.0,13.0,11.0,11.0,12.0,0.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,10.0,11.0
>ENST00000436281.1,8.0,11.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,9.0,0.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0
>ENST00000618594.1,8.0,10.0,9.0,9.0,8.0,9.0,11.0,11.0,8.0,9.0,10.0,12.0,11.0,11.0,10.0,10.0,8.0,0.0,10.0,9.0,9.0,9.0,10.0,9.0,17.0
>ENST00000512696.1,10.0,11.0,7.0,9.0,9.0,8.0,9.0,9.0,12.0,10.0,11.0,12.0,11.0,10.0,11.0,11.0,9.0,10.0,0.0,10.0,10.0,10.0,14.0,9.0,10.0
>ENST00000517744.1,9.0,8.0,7.0,8.0,8.0,7.0,10.0,9.0,10.0,9.0,10.0,12.0,12.0,10.0,9.0,9.0,10.0,9.0,10.0,0.0,9.0,9.0,8.0,11.0,9.0
>ENST00000624153.1,10.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,13.0,13.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,0.0,9.0,9.0,11.0,10.0
>ENST00000435390.2,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,10.0,12.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0,0.0,8.0,13.0,9.0
>ENST00000376909.6,11.0,9.0,8.0,9.0,13.0,8.0,11.0,12.0,10.0,10.0,12.0,11.0,9.0,10.0,11.0,10.0,8.0,10.0,14.0,8.0,9.0,8.0,0.0,9.0,10.0
>ENST00000437325.2,9.0,9.0,8.0,11.0,9.0,9.0,10.0,13.0,11.0,9.0,10.0,12.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,13.0,9.0,0.0,9.0
>ENST00000406845.1,10.0,12.0,9.0,9.0,11.0,9.0,11.0,11.0,9.0,12.0,13.0,12.0,10.0,10.0,10.0,11.0,9.0,17.0,10.0,9.0,10.0,9.0,10.0,9.0,0.0
