,>ENST00000530317.1,>ENST00000395315.2,>ENST00000432657.1,>ENST00000469738.2,>ENST00000447253.1,>ENST00000427885.1,ENSG00000184478.6,>ENST00000411559.1,>ENST00000562436.1,>ENST00000580112.1,>ENST00000497731.2,>ENST00000435879.2,>ENST00000605512.1,>ENST00000415378.1,>ENST00000432461.1,>ENST00000442064.1,>ENST00000507622.2,>ENST00000452998.1,>ENST00000446623.2,>ENST00000443279.1,>ENST00000548391.1,ENSG00000207150.1,>ENST00000553698.2,>ENST00000412159.1,>ENST00000532034.1,>ENST00000604304.1,>ENST00000423216.2,>ENST00000445535.1,>ENST00000432363.1,>ENST00000424567.1,>ENST00000307165.4,>ENST00000478818.1,>ENST00000473808.1,>ENST00000614593.1,>ENST00000381974.3,>ENST00000419045.1,>ENST00000568872.1,>ENST00000505650.2,>ENST00000467189.1,>ENST00000555790.2,>ENST00000490729.1,>ENST00000490285.1,>ENST00000490865.1,>ENST00000532955.1,>ENST00000509725.1,>ENST00000282964.5,>ENST00000455912.1,>ENST00000570871.2,ENSG00000233732.5,>ENST00000473228.1,>ENST00000436585.1,>ENST00000519308.1
>ENST00000497731.2,11.0,10.0,10.0,9.0,10.0,9.0,10.0,12.0,8.0,11.0,0.0,10.0,12.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,13.0,8.0,8.0,10.0,10.0,10.0,11.0,12.0,8.0,10.0,10.0,9.0,10.0,9.0,12.0,10.0,11.0,10.0,9.0,11.0,9.0,8.0,11.0,9.0,11.0,9.0,9.0,8.0,10.0
>ENST00000435879.2,9.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,0.0,8.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,8.0,10.0
>ENST00000605512.1,8.0,8.0,9.0,8.0,9.0,9.0,10.0,11.0,7.0,9.0,12.0,8.0,0.0,10.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,9.0,7.0,9.0,9.0,10.0,7.0,7.0,11.0,8.0,9.0,9.0,8.0,12.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,8.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0
>ENST00000415378.1,13.0,11.0,12.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,10.0,10.0,0.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,11.0,9.0,9.0,11.0,10.0,10.0,11.0,11.0,11.0,12.0,10.0,12.0,11.0,10.0,10.0,9.0,11.0,12.0,9.0,9.0,14.0
>ENST00000432461.1,9.0,8.0,10.0,8.0,9.0,9.0,13.0,10.0,7.0,9.0,9.0,10.0,8.0,9.0,0.0,8.0,8.0,8.0,9.0,11.0,10.0,8.0,9.0,11.0,7.0,8.0,9.0,10.0,8.0,7.0,9.0,10.0,8.0,7.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,11.0,9.0,10.0
>ENST00000442064.1,9.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,10.0,9.0,9.0,10.0,9.0,8.0,0.0,8.0,7.0,8.0,9.0,10.0,7.0,9.0,11.0,7.0,8.0,8.0,11.0,8.0,7.0,9.0,11.0,10.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0
>ENST00000507622.2,9.0,9.0,10.0,11.0,9.0,8.0,12.0,8.0,7.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,0.0,8.0,10.0,11.0,11.0,7.0,11.0,10.0,7.0,10.0,8.0,12.0,10.0,9.0,15.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,13.0,10.0,9.0,8.0,11.0,10.0,11.0,7.0,9.0,10.0,9.0
>ENST00000452998.1,10.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,9.0,11.0,8.0,10.0,8.0,7.0,8.0,0.0,8.0,10.0,11.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,11.0,8.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,7.0,10.0,10.0,7.0,7.0,10.0
>ENST00000446623.2,8.0,9.0,9.0,10.0,11.0,8.0,8.0,8.0,7.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,0.0,9.0,10.0,8.0,8.0,9.0,7.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,13.0,8.0,8.0,9.0,9.0,8.0,12.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,8.0,9.0,8.0,10.0
>ENST00000443279.1,10.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,11.0,10.0,9.0,0.0,12.0,9.0,12.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,14.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,13.0,10.0,10.0,9.0,10.0
>ENST00000548391.1,11.0,10.0,13.0,11.0,10.0,9.0,12.0,9.0,7.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,11.0,11.0,10.0,12.0,0.0,8.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,11.0,13.0,8.0,11.0,13.0,13.0,11.0,11.0,9.0,10.0,11.0,12.0,10.0,11.0,10.0,10.0,11.0,12.0,10.0,11.0
ENSG00000207150.1,10.0,10.0,7.0,9.0,8.0,6.0,7.0,8.0,6.0,7.0,9.0,8.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,9.0,8.0,0.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,7.0,7.0,8.0,10.0,7.0,8.0,11.0,7.0,7.0,10.0,9.0,9.0,8.0,7.0,10.0,6.0,7.0,9.0,11.0,7.0,9.0,7.0,9.0
>ENST00000553698.2,12.0,9.0,11.0,9.0,9.0,8.0,11.0,8.0,8.0,11.0,10.0,10.0,8.0,10.0,9.0,9.0,11.0,8.0,8.0,12.0,11.0,7.0,0.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0
>ENST00000412159.1,11.0,10.0,11.0,8.0,10.0,10.0,11.0,12.0,10.0,10.0,13.0,10.0,9.0,11.0,11.0,11.0,10.0,9.0,9.0,10.0,11.0,8.0,9.0,0.0,8.0,11.0,11.0,11.0,10.0,9.0,13.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,12.0,10.0,9.0,12.0,10.0,12.0,11.0,10.0,10.0,10.0,12.0
>ENST00000532034.1,9.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,9.0,8.0,10.0,7.0,11.0,7.0,7.0,7.0,7.0,7.0,9.0,10.0,7.0,8.0,8.0,0.0,7.0,8.0,9.0,8.0,7.0,11.0,9.0,8.0,8.0,8.0,9.0,8.0,10.0,13.0,9.0,7.0,12.0,9.0,9.0,10.0,8.0,11.0,8.0,7.0,8.0,7.0,9.0
>ENST00000604304.1,11.0,11.0,10.0,12.0,10.0,7.0,10.0,8.0,7.0,9.0,8.0,11.0,9.0,10.0,8.0,8.0,10.0,8.0,10.0,9.0,10.0,7.0,8.0,11.0,7.0,0.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0
>ENST00000423216.2,10.0,7.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,7.0,8.0,11.0,8.0,10.0,0.0,10.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0,11.0,10.0,13.0,9.0,9.0,10.0,10.0,11.0,12.0,11.0,9.0,10.0,7.0,10.0
>ENST00000445535.1,14.0,11.0,10.0,9.0,11.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,12.0,8.0,9.0,11.0,11.0,8.0,10.0,11.0,9.0,11.0,10.0,0.0,11.0,7.0,11.0,9.0,9.0,14.0,10.0,10.0,10.0,11.0,12.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0
>ENST00000432363.1,9.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,7.0,8.0,10.0,11.0,7.0,10.0,8.0,8.0,10.0,8.0,10.0,8.0,10.0,6.0,8.0,10.0,8.0,10.0,10.0,11.0,0.0,8.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,12.0,8.0,11.0,9.0,10.0,11.0,14.0,9.0,8.0,8.0,7.0,10.0
>ENST00000424567.1,8.0,10.0,9.0,9.0,11.0,7.0,7.0,7.0,7.0,9.0,11.0,8.0,7.0,10.0,7.0,7.0,9.0,8.0,10.0,9.0,9.0,7.0,8.0,9.0,7.0,9.0,8.0,7.0,8.0,0.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,12.0,7.0,9.0,8.0,8.0,10.0,7.0,9.0,8.0,8.0,9.0,9.0
>ENST00000307165.4,11.0,12.0,10.0,8.0,12.0,9.0,14.0,8.0,8.0,10.0,12.0,11.0,11.0,9.0,9.0,9.0,15.0,9.0,10.0,10.0,10.0,7.0,9.0,13.0,11.0,10.0,9.0,11.0,9.0,8.0,0.0,10.0,11.0,9.0,9.0,10.0,12.0,10.0,9.0,10.0,8.0,14.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,11.0
>ENST00000478818.1,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,7.0,10.0,8.0,9.0,8.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0,0.0,11.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,8.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0
>ENST00000473808.1,9.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,13.0,10.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0,11.0,0.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,12.0,7.0,10.0,12.0,11.0,9.0,9.0,9.0,9.0
>ENST00000614593.1,10.0,10.0,11.0,10.0,11.0,10.0,12.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,7.0,11.0,10.0,11.0,8.0,10.0,13.0,7.0,10.0,11.0,8.0,11.0,9.0,14.0,9.0,8.0,9.0,8.0,9.0,0.0,8.0,10.0,9.0,12.0,12.0,10.0,10.0,11.0,10.0,8.0,9.0,8.0,9.0,13.0,9.0,10.0,8.0,10.0
>ENST00000381974.3,10.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,6.0,9.0,9.0,10.0,8.0,11.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,0.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,7.0,10.0,10.0,10.0,8.0,8.0,7.0,11.0
>ENST00000419045.1,9.0,9.0,9.0,9.0,11.0,9.0,12.0,9.0,12.0,9.0,10.0,10.0,12.0,10.0,9.0,9.0,10.0,11.0,9.0,14.0,11.0,11.0,10.0,10.0,9.0,11.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,0.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0
>ENST00000568872.1,10.0,10.0,10.0,7.0,9.0,9.0,11.0,8.0,7.0,11.0,9.0,12.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,12.0,13.0,7.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,12.0,10.0,9.0,9.0,10.0,11.0,0.0,11.0,11.0,11.0,9.0,12.0,10.0,11.0,8.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0
>ENST00000505650.2,11.0,12.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,12.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,8.0,11.0,13.0,7.0,12.0,10.0,10.0,10.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,12.0,8.0,10.0,11.0,0.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,8.0,9.0,11.0,8.0,10.0,11.0,12.0
>ENST00000467189.1,10.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,11.0,8.0,9.0,10.0,9.0,12.0,11.0,11.0,10.0,9.0,11.0,13.0,9.0,11.0,12.0,9.0,9.0,9.0,10.0,10.0,12.0,9.0,9.0,11.0,11.0,0.0,9.0,10.0,11.0,11.0,8.0,8.0,11.0,9.0,11.0,9.0,11.0,9.0,11.0
>ENST00000555790.2,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,8.0,11.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,8.0,8.0,10.0,9.0,10.0,10.0,8.0,10.0,11.0,10.0,9.0,0.0,13.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0
>ENST00000490729.1,9.0,8.0,10.0,13.0,11.0,9.0,10.0,10.0,7.0,8.0,10.0,10.0,8.0,12.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,13.0,9.0,12.0,12.0,8.0,11.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,13.0,0.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0
>ENST00000490285.1,20.0,9.0,13.0,9.0,9.0,10.0,27.0,8.0,9.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,13.0,8.0,10.0,10.0,10.0,8.0,10.0,12.0,12.0,9.0,9.0,11.0,8.0,7.0,14.0,9.0,9.0,11.0,9.0,10.0,12.0,10.0,11.0,10.0,10.0,0.0,10.0,11.0,8.0,9.0,9.0,11.0,12.0,9.0,9.0,11.0
>ENST00000490865.1,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,12.0,11.0,10.0,8.0,12.0,8.0,9.0,10.0,9.0,10.0,11.0,11.0,7.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,0.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0
>ENST00000532955.1,9.0,10.0,10.0,9.0,11.0,9.0,11.0,9.0,7.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,12.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,12.0,8.0,10.0,9.0,11.0,11.0,8.0,9.0,10.0,11.0,10.0,0.0,8.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0
>ENST00000509725.1,10.0,8.0,9.0,7.0,10.0,9.0,8.0,9.0,6.0,12.0,8.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,10.0,6.0,9.0,12.0,10.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0,7.0,9.0,7.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,0.0,7.0,9.0,10.0,9.0,9.0,9.0,11.0
>ENST00000282964.5,9.0,11.0,9.0,9.0,11.0,9.0,10.0,8.0,8.0,8.0,11.0,11.0,11.0,10.0,8.0,9.0,11.0,9.0,10.0,10.0,11.0,7.0,8.0,10.0,8.0,10.0,11.0,10.0,11.0,10.0,9.0,11.0,10.0,8.0,10.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,10.0,11.0,7.0,0.0,8.0,11.0,9.0,10.0,7.0,10.0
>ENST00000455912.1,10.0,10.0,8.0,9.0,11.0,9.0,11.0,8.0,7.0,11.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,7.0,9.0,10.0,10.0,9.0,8.0,12.0,11.0,9.0,12.0,9.0,14.0,7.0,9.0,8.0,12.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,0.0,11.0,9.0,9.0,8.0,12.0
>ENST00000570871.2,10.0,11.0,10.0,9.0,11.0,9.0,13.0,11.0,9.0,10.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,13.0,10.0,11.0,10.0,11.0,8.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0,11.0,13.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,0.0,11.0,10.0,9.0,12.0
ENSG00000233732.5,11.0,10.0,11.0,8.0,11.0,8.0,11.0,9.0,7.0,10.0,9.0,9.0,10.0,12.0,8.0,9.0,7.0,10.0,8.0,10.0,11.0,7.0,8.0,10.0,7.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,11.0,0.0,10.0,9.0,11.0
>ENST00000473228.1,9.0,10.0,10.0,8.0,10.0,8.0,15.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,7.0,9.0,10.0,12.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,11.0,8.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,0.0,8.0,10.0
>ENST00000436585.1,8.0,8.0,9.0,8.0,10.0,7.0,9.0,8.0,6.0,11.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,7.0,8.0,9.0,10.0,7.0,9.0,10.0,7.0,8.0,7.0,9.0,7.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,7.0,8.0,9.0,9.0,8.0,0.0,9.0
>ENST00000519308.1,11.0,10.0,12.0,12.0,10.0,11.0,11.0,9.0,7.0,10.0,10.0,10.0,9.0,14.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,12.0,11.0,10.0,9.0,11.0,11.0,9.0,11.0,10.0,12.0,12.0,11.0,10.0,9.0,0.0
