,>ENST00000444323.1,>ENST00000603398.1,>ENST00000615678.1,>ENST00000437639.1,>ENST00000574529.1,>ENST00000524640.1,>ENST00000403990.2,>ENST00000557145.1,>ENST00000450164.2,>ENST00000415662.1,ENSG00000221382.1,>ENST00000517316.1,>ENST00000397037.2,>ENST00000444843.1,>ENST00000456074.1,>ENST00000415623.1,>ENST00000439497.1,>ENST00000416042.1,>ENST00000586571.1,>ENST00000505723.2,>ENST00000525816.1,>ENST00000339626.5,>ENST00000582111.2,>ENST00000414823.1,>ENST00000490784.1,>ENST00000525520.1,>ENST00000414917.1,>ENST00000445099.2,>ENST00000423480.1,>ENST00000421129.1,>ENST00000604684.1,>ENST00000404287.2,>ENST00000473944.1,>ENST00000450062.1,>ENST00000522454.1,>ENST00000447543.1,>ENST00000485801.1,>ENST00000619258.1,>ENST00000438855.1,>ENST00000452432.1,>ENST00000405027.1,>ENST00000585668.1,>ENST00000453735.1
>ENST00000439497.1,10.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0,6.0,7.0,7.0,10.0,10.0,7.0,0.0,7.0,8.0,10.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,7.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0
>ENST00000416042.1,10.0,7.0,9.0,11.0,11.0,8.0,10.0,8.0,8.0,8.0,6.0,7.0,8.0,9.0,9.0,8.0,7.0,0.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,6.0,9.0,9.0,7.0,8.0,8.0,8.0,7.0,9.0,11.0,8.0,8.0,8.0
>ENST00000586571.1,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,7.0,7.0,9.0,10.0,9.0,9.0,8.0,9.0,0.0,7.0,9.0,9.0,7.0,7.0,8.0,11.0,9.0,11.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,8.0
>ENST00000505723.2,9.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,6.0,10.0,9.0,9.0,11.0,10.0,9.0,7.0,0.0,10.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,11.0,9.0,8.0,9.0,8.0,10.0,8.0,12.0
>ENST00000525816.1,9.0,10.0,10.0,12.0,12.0,11.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,13.0,10.0,8.0,10.0,9.0,10.0,0.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,12.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,12.0,10.0,9.0
>ENST00000339626.5,12.0,11.0,10.0,11.0,13.0,11.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,0.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,12.0,10.0,12.0,10.0,11.0,11.0,12.0
>ENST00000582111.2,9.0,8.0,8.0,10.0,12.0,9.0,10.0,9.0,9.0,8.0,7.0,6.0,8.0,8.0,10.0,9.0,7.0,8.0,7.0,11.0,8.0,9.0,0.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0
>ENST00000414823.1,8.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,12.0,10.0,8.0,7.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0
>ENST00000490784.1,8.0,8.0,9.0,11.0,10.0,9.0,9.0,7.0,8.0,8.0,10.0,7.0,12.0,8.0,10.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,0.0,8.0,10.0,10.0,9.0,9.0,6.0,9.0,11.0,7.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0
>ENST00000525520.1,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,11.0,10.0,9.0,9.0,8.0,9.0,8.0,0.0,9.0,10.0,9.0,11.0,8.0,10.0,10.0,9.0,9.0,9.0,13.0,8.0,10.0,9.0,10.0,9.0,11.0
>ENST00000414917.1,11.0,9.0,9.0,11.0,11.0,10.0,9.0,12.0,10.0,10.0,8.0,7.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0,8.0,9.0,10.0,9.0,0.0,10.0,10.0,9.0,8.0,12.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,12.0
>ENST00000445099.2,11.0,11.0,11.0,11.0,12.0,10.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,12.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,12.0,10.0,10.0,10.0,0.0,10.0,9.0,12.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,12.0,11.0,10.0
>ENST00000423480.1,10.0,10.0,10.0,11.0,11.0,11.0,11.0,9.0,9.0,8.0,9.0,7.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,0.0,9.0,7.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0
>ENST00000421129.1,8.0,9.0,10.0,13.0,10.0,10.0,9.0,8.0,11.0,8.0,8.0,6.0,10.0,8.0,11.0,9.0,8.0,9.0,8.0,9.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,0.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,10.0
>ENST00000604684.1,7.0,9.0,9.0,8.0,9.0,10.0,8.0,7.0,10.0,8.0,7.0,5.0,9.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,9.0,9.0,8.0,7.0,6.0,8.0,8.0,12.0,7.0,8.0,0.0,7.0,10.0,7.0,11.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0
>ENST00000404287.2,9.0,9.0,8.0,12.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,11.0,9.0,8.0,9.0,9.0,10.0,12.0,10.0,9.0,10.0,7.0,0.0,10.0,8.0,9.0,11.0,11.0,10.0,11.0,9.0,11.0,11.0,10.0
>ENST00000473944.1,9.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,8.0,9.0,10.0,8.0,10.0,10.0,0.0,7.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0
>ENST00000450062.1,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,8.0,7.0,6.0,10.0,8.0,11.0,9.0,10.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,7.0,0.0,9.0,8.0,8.0,8.0,9.0,8.0,10.0,10.0,9.0
>ENST00000522454.1,8.0,8.0,10.0,10.0,13.0,9.0,9.0,10.0,9.0,8.0,6.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,8.0,11.0,9.0,9.0,9.0,0.0,9.0,10.0,7.0,10.0,9.0,9.0,10.0,9.0
>ENST00000447543.1,8.0,8.0,8.0,10.0,11.0,12.0,11.0,8.0,8.0,7.0,9.0,6.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,11.0,9.0,10.0,7.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,7.0,11.0,9.0,8.0,9.0,0.0,10.0,8.0,9.0,7.0,9.0,10.0,8.0
>ENST00000485801.1,9.0,7.0,8.0,10.0,10.0,9.0,10.0,8.0,11.0,8.0,8.0,7.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,12.0,10.0,8.0,9.0,13.0,8.0,9.0,9.0,9.0,8.0,11.0,11.0,8.0,10.0,10.0,0.0,9.0,9.0,9.0,9.0,10.0,10.0
>ENST00000619258.1,9.0,8.0,8.0,9.0,9.0,8.0,10.0,7.0,9.0,10.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,7.0,10.0,9.0,8.0,7.0,8.0,9.0,0.0,9.0,7.0,9.0,9.0,7.0
>ENST00000438855.1,10.0,8.0,9.0,11.0,10.0,11.0,11.0,9.0,10.0,8.0,10.0,8.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,0.0,9.0,9.0,11.0,10.0
>ENST00000452432.1,9.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,7.0,8.0,8.0,9.0,8.0,8.0,11.0,9.0,8.0,8.0,10.0,9.0,7.0,8.0,9.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,7.0,9.0,7.0,9.0,0.0,8.0,12.0,9.0
>ENST00000405027.1,11.0,9.0,10.0,11.0,11.0,11.0,12.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,12.0,9.0,8.0,9.0,10.0,12.0,11.0,10.0,9.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,0.0,9.0,11.0
>ENST00000585668.1,9.0,8.0,9.0,13.0,9.0,10.0,9.0,10.0,10.0,12.0,9.0,9.0,9.0,12.0,10.0,11.0,8.0,8.0,10.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,12.0,9.0,0.0,8.0
>ENST00000453735.1,9.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,8.0,12.0,9.0,12.0,8.0,8.0,9.0,11.0,12.0,10.0,9.0,10.0,7.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,10.0,9.0,11.0,8.0,0.0
