,>ENST00000511402.1,>ENST00000460287.2,>ENST00000432182.1,>ENST00000469402.1,>ENST00000439199.1,>ENST00000604034.1,>ENST00000613682.1,>ENST00000456364.1,>ENST00000557911.1,>ENST00000445829.1,>ENST00000436626.1,>ENST00000426192.1,ENSG00000254324.2,>ENST00000414990.2,>ENST00000468193.1,>ENST00000592443.1,>ENST00000401091.2,>ENST00000529817.2,>ENST00000618128.1,>ENST00000515599.1,>ENST00000475149.1,>ENST00000439132.1,>ENST00000615674.1,>ENST00000560843.1,>ENST00000438388.1,>ENST00000553618.1,>ENST00000440565.1,>ENST00000478775.1,>ENST00000446943.1,>ENST00000580004.1,>ENST00000523992.1
>ENST00000426192.1,9.0,10.0,9.0,9.0,9.0,11.0,9.0,12.0,10.0,13.0,11.0,0.0,8.0,13.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,12.0,9.0,9.0,9.0,12.0,10.0,9.0,10.0,10.0,10.0
ENSG00000254324.2,7.0,7.0,8.0,7.0,8.0,7.0,7.0,6.0,9.0,8.0,8.0,8.0,0.0,9.0,7.0,9.0,7.0,7.0,7.0,11.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0
>ENST00000414990.2,9.0,9.0,10.0,9.0,13.0,9.0,9.0,10.0,10.0,13.0,13.0,13.0,9.0,0.0,11.0,11.0,11.0,9.0,11.0,12.0,12.0,10.0,9.0,10.0,10.0,13.0,10.0,14.0,9.0,11.0,11.0
>ENST00000468193.1,7.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,11.0,8.0,9.0,9.0,7.0,11.0,0.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,10.0,8.0,10.0,10.0,11.0
>ENST00000592443.1,10.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,11.0,12.0,10.0,9.0,11.0,9.0,0.0,10.0,10.0,11.0,520.0,10.0,10.0,9.0,11.0,12.0,10.0,10.0,9.0,11.0,11.0,10.0
>ENST00000401091.2,8.0,8.0,7.0,11.0,10.0,9.0,8.0,7.0,9.0,9.0,9.0,10.0,7.0,11.0,8.0,10.0,0.0,9.0,9.0,10.0,8.0,8.0,11.0,10.0,8.0,9.0,10.0,8.0,11.0,9.0,10.0
>ENST00000529817.2,10.0,9.0,9.0,9.0,11.0,12.0,10.0,8.0,10.0,12.0,10.0,11.0,7.0,9.0,10.0,10.0,9.0,0.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0
>ENST00000618128.1,9.0,10.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,10.0,9.0,9.0,7.0,11.0,11.0,11.0,9.0,10.0,0.0,11.0,12.0,10.0,9.0,11.0,9.0,12.0,10.0,10.0,10.0,13.0,10.0
>ENST00000515599.1,9.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,12.0,10.0,11.0,11.0,12.0,9.0,520.0,10.0,10.0,11.0,0.0,10.0,11.0,9.0,11.0,12.0,10.0,10.0,9.0,13.0,10.0,10.0
>ENST00000475149.1,7.0,9.0,7.0,10.0,8.0,10.0,8.0,8.0,11.0,11.0,10.0,9.0,8.0,12.0,9.0,10.0,8.0,9.0,12.0,10.0,0.0,9.0,9.0,11.0,8.0,9.0,10.0,8.0,9.0,11.0,9.0
>ENST00000439132.1,9.0,9.0,8.0,9.0,11.0,11.0,10.0,7.0,11.0,9.0,11.0,12.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,0.0,9.0,10.0,8.0,11.0,9.0,10.0,9.0,9.0,9.0
>ENST00000615674.1,8.0,9.0,8.0,8.0,11.0,9.0,8.0,7.0,11.0,8.0,9.0,9.0,8.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0
>ENST00000560843.1,11.0,9.0,9.0,14.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,11.0,10.0,9.0,11.0,11.0,11.0,10.0,9.0,0.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0
>ENST00000438388.1,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,12.0,8.0,10.0,9.0,12.0,8.0,8.0,8.0,9.0,0.0,10.0,9.0,9.0,9.0,11.0,8.0
>ENST00000553618.1,9.0,9.0,9.0,9.0,10.0,8.0,12.0,8.0,10.0,11.0,10.0,12.0,9.0,13.0,8.0,10.0,9.0,10.0,12.0,10.0,9.0,11.0,9.0,9.0,10.0,0.0,10.0,10.0,9.0,11.0,10.0
>ENST00000440565.1,8.0,9.0,10.0,11.0,10.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,0.0,9.0,8.0,10.0,10.0
>ENST00000478775.1,8.0,8.0,8.0,8.0,9.0,10.0,7.0,9.0,9.0,11.0,10.0,9.0,7.0,14.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,11.0,9.0,10.0,9.0,0.0,13.0,10.0,12.0
>ENST00000446943.1,10.0,9.0,9.0,8.0,12.0,11.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,11.0,9.0,10.0,13.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,13.0,0.0,11.0,10.0
>ENST00000580004.1,9.0,9.0,7.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,7.0,11.0,10.0,11.0,9.0,10.0,13.0,10.0,11.0,9.0,8.0,9.0,11.0,11.0,10.0,10.0,11.0,0.0,11.0
>ENST00000523992.1,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,11.0,12.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,10.0,10.0,12.0,10.0,11.0,0.0
