,>ENST00000520205.1,>ENST00000555838.1,>ENST00000450734.1,>ENST00000435808.1,>ENST00000556233.2,>ENST00000419089.1,ENSG00000201168.1,>ENST00000475112.1,>ENST00000470828.1,>ENST00000542812.1,>ENST00000485147.1,>ENST00000450131.2,>ENST00000419031.2,>ENST00000436365.1,>ENST00000428504.2,>ENST00000457695.2,>ENST00000589958.1,>ENST00000415681.1,>ENST00000416300.1,>ENST00000442562.1,>ENST00000416609.1,>ENST00000411493.1,>ENST00000568934.1,>ENST00000561269.2,>ENST00000558731.1,>ENST00000624968.1,>ENST00000479411.1,>ENST00000463604.1,>ENST00000419943.1,>ENST00000635332.1,>ENST00000606318.1,ENSG00000179919.3,>ENST00000422735.1,>ENST00000540749.1,>ENST00000598511.1,>ENST00000515381.1,>ENST00000534066.1,>ENST00000412876.1,>ENST00000421023.1,>ENST00000393368.2,>ENST00000502398.1,>ENST00000493631.1
>ENST00000485147.1,10.0,11.0,8.0,9.0,12.0,8.0,9.0,8.0,9.0,9.0,0.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,13.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,7.0,9.0,10.0,11.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0
>ENST00000450131.2,10.0,10.0,9.0,9.0,10.0,9.0,7.0,10.0,10.0,9.0,9.0,0.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0,8.0,10.0,9.0,9.0,10.0,13.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0
>ENST00000419031.2,9.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,12.0,10.0,8.0,9.0,0.0,11.0,12.0,9.0,14.0,9.0,10.0,10.0,10.0,11.0,10.0,13.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0
>ENST00000436365.1,9.0,9.0,9.0,10.0,11.0,8.0,8.0,12.0,11.0,8.0,10.0,10.0,11.0,0.0,8.0,11.0,11.0,11.0,10.0,10.0,9.0,12.0,9.0,14.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,12.0,10.0,11.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0
>ENST00000428504.2,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,12.0,8.0,0.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0
>ENST00000457695.2,10.0,11.0,9.0,13.0,11.0,9.0,10.0,9.0,12.0,11.0,9.0,10.0,9.0,11.0,9.0,0.0,10.0,10.0,12.0,8.0,11.0,11.0,12.0,11.0,13.0,8.0,11.0,9.0,9.0,11.0,7.0,10.0,10.0,10.0,9.0,13.0,8.0,10.0,10.0,10.0,10.0,10.0
>ENST00000589958.1,12.0,9.0,9.0,11.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,14.0,11.0,9.0,10.0,0.0,11.0,11.0,7.0,11.0,9.0,9.0,10.0,12.0,12.0,9.0,10.0,11.0,10.0,8.0,11.0,9.0,11.0,10.0,9.0,9.0,15.0,16.0,11.0,9.0,10.0
>ENST00000415681.1,11.0,9.0,9.0,10.0,12.0,8.0,8.0,9.0,12.0,9.0,9.0,12.0,9.0,11.0,11.0,10.0,11.0,0.0,11.0,10.0,10.0,12.0,9.0,12.0,13.0,9.0,11.0,10.0,9.0,9.0,8.0,11.0,12.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,8.0,9.0
>ENST00000416300.1,8.0,9.0,9.0,11.0,11.0,9.0,7.0,9.0,9.0,9.0,13.0,10.0,10.0,10.0,9.0,12.0,11.0,11.0,0.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,11.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,8.0,8.0,13.0,9.0,9.0
>ENST00000442562.1,9.0,10.0,11.0,8.0,8.0,11.0,6.0,8.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0,8.0,7.0,10.0,8.0,0.0,8.0,8.0,8.0,8.0,9.0,10.0,7.0,9.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,9.0,9.0,8.0,8.0
>ENST00000416609.1,10.0,9.0,8.0,10.0,10.0,10.0,7.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,10.0,8.0,0.0,9.0,10.0,11.0,11.0,9.0,12.0,10.0,10.0,9.0,8.0,12.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,8.0,11.0
>ENST00000411493.1,11.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,12.0,9.0,11.0,12.0,10.0,11.0,9.0,12.0,10.0,8.0,9.0,0.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,12.0,8.0,10.0,11.0,10.0,10.0,8.0
>ENST00000568934.1,10.0,10.0,11.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,8.0,10.0,9.0,0.0,13.0,12.0,8.0,10.0,9.0,11.0,9.0,9.0,15.0,10.0,9.0,11.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0
>ENST00000561269.2,13.0,10.0,10.0,10.0,12.0,8.0,10.0,13.0,12.0,10.0,10.0,10.0,13.0,14.0,9.0,11.0,10.0,12.0,9.0,8.0,11.0,10.0,13.0,0.0,12.0,11.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,9.0,10.0,13.0,9.0,9.0
>ENST00000558731.1,12.0,11.0,10.0,11.0,12.0,10.0,8.0,10.0,11.0,15.0,9.0,13.0,10.0,12.0,11.0,13.0,12.0,13.0,10.0,9.0,11.0,10.0,12.0,12.0,0.0,12.0,11.0,12.0,12.0,10.0,15.0,10.0,11.0,13.0,11.0,13.0,9.0,10.0,10.0,11.0,11.0,9.0
>ENST00000624968.1,9.0,9.0,13.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,12.0,9.0,9.0,10.0,9.0,8.0,8.0,11.0,12.0,0.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,7.0,7.0,10.0,13.0,9.0,10.0
>ENST00000479411.1,13.0,9.0,9.0,10.0,12.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,11.0,9.0,11.0,8.0,7.0,12.0,9.0,10.0,9.0,11.0,8.0,0.0,9.0,9.0,8.0,8.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0,10.0,12.0
>ENST00000463604.1,10.0,9.0,8.0,10.0,10.0,9.0,7.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0,9.0,9.0,0.0,10.0,10.0,7.0,9.0,12.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0,9.0
>ENST00000419943.1,9.0,12.0,10.0,11.0,10.0,8.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,10.0,11.0,11.0,12.0,9.0,9.0,10.0,0.0,12.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0
>ENST00000635332.1,9.0,8.0,8.0,9.0,10.0,8.0,7.0,7.0,9.0,10.0,11.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,12.0,0.0,8.0,8.0,11.0,10.0,9.0,10.0,10.0,7.0,8.0,12.0,13.0,9.0
>ENST00000606318.1,9.0,8.0,9.0,9.0,7.0,8.0,7.0,6.0,9.0,9.0,7.0,8.0,9.0,9.0,10.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,10.0,15.0,9.0,8.0,7.0,8.0,8.0,0.0,12.0,10.0,9.0,8.0,11.0,6.0,6.0,8.0,9.0,8.0,9.0
ENSG00000179919.3,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,12.0,10.0,15.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,12.0,0.0,11.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,8.0,10.0
>ENST00000422735.1,9.0,10.0,10.0,11.0,12.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0,10.0,9.0,12.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0,11.0,12.0,10.0,11.0,10.0,11.0,0.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,8.0,11.0
>ENST00000540749.1,10.0,10.0,8.0,10.0,10.0,11.0,7.0,8.0,8.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,11.0,13.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,0.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0
>ENST00000598511.1,10.0,9.0,10.0,10.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,0.0,8.0,9.0,14.0,9.0,11.0,13.0,9.0
>ENST00000515381.1,10.0,11.0,9.0,9.0,10.0,9.0,7.0,12.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,13.0,9.0,11.0,8.0,8.0,8.0,12.0,11.0,11.0,13.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,8.0,0.0,8.0,10.0,9.0,11.0,9.0,10.0
>ENST00000534066.1,12.0,9.0,8.0,9.0,9.0,7.0,6.0,7.0,9.0,7.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,11.0,8.0,10.0,11.0,9.0,7.0,9.0,8.0,9.0,10.0,6.0,8.0,9.0,9.0,9.0,8.0,0.0,8.0,10.0,8.0,7.0,8.0
>ENST00000412876.1,9.0,7.0,10.0,11.0,9.0,7.0,8.0,7.0,7.0,8.0,9.0,8.0,10.0,10.0,8.0,10.0,15.0,8.0,8.0,7.0,9.0,10.0,9.0,9.0,10.0,7.0,9.0,8.0,8.0,7.0,6.0,9.0,10.0,9.0,14.0,10.0,8.0,0.0,10.0,9.0,7.0,9.0
>ENST00000421023.1,9.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,16.0,9.0,8.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,0.0,11.0,8.0,10.0
>ENST00000393368.2,10.0,9.0,10.0,12.0,12.0,10.0,7.0,9.0,10.0,11.0,9.0,8.0,10.0,10.0,8.0,10.0,11.0,10.0,13.0,9.0,9.0,10.0,9.0,13.0,11.0,13.0,10.0,10.0,10.0,12.0,9.0,8.0,11.0,8.0,11.0,11.0,8.0,9.0,11.0,0.0,7.0,10.0
>ENST00000502398.1,10.0,8.0,9.0,10.0,9.0,8.0,6.0,7.0,7.0,8.0,8.0,8.0,10.0,10.0,7.0,10.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,11.0,9.0,10.0,7.0,9.0,13.0,8.0,8.0,8.0,9.0,13.0,9.0,7.0,7.0,8.0,7.0,0.0,9.0
>ENST00000493631.1,8.0,10.0,9.0,11.0,10.0,8.0,8.0,8.0,11.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,0.0
