,>ENST00000332869.5,ENSG00000238365.2,>ENST00000450192.1,>ENST00000404609.2,>ENST00000445875.1,>ENST00000440201.2,>ENST00000533995.1,ENSG00000206588.1,>ENST00000380526.2,>ENST00000532185.1,>ENST00000549567.1,>ENST00000442890.1,>ENST00000442005.1,>ENST00000430995.1,>ENST00000524362.1,>ENST00000564187.1,>ENST00000412576.3,>ENST00000512513.2,>ENST00000555594.1,>ENST00000406011.1,>ENST00000481759.1,ENSG00000222259.1,>ENST00000372451.2,>ENST00000455305.1,>ENST00000405418.2,>ENST00000437905.2,>ENST00000426570.3,ENSG00000221413.1,>ENST00000532329.1,>ENST00000623123.1
>ENST00000406011.1,10.0,6.0,11.0,8.0,8.0,10.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,11.0,10.0,8.0,9.0,11.0,8.0,0.0,10.0,8.0,9.0,11.0,9.0,10.0,8.0,8.0,10.0,10.0
>ENST00000481759.1,10.0,9.0,9.0,13.0,9.0,11.0,8.0,8.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,0.0,10.0,9.0,11.0,8.0,9.0,9.0,8.0,8.0,9.0
ENSG00000222259.1,9.0,7.0,10.0,8.0,9.0,10.0,8.0,7.0,9.0,12.0,10.0,7.0,8.0,9.0,8.0,10.0,9.0,8.0,7.0,8.0,10.0,0.0,8.0,8.0,8.0,11.0,8.0,6.0,6.0,8.0
>ENST00000372451.2,10.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,14.0,9.0,12.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,0.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0
>ENST00000455305.1,10.0,9.0,13.0,9.0,10.0,11.0,12.0,9.0,11.0,10.0,12.0,10.0,12.0,12.0,9.0,10.0,10.0,12.0,10.0,11.0,11.0,8.0,10.0,0.0,11.0,10.0,10.0,9.0,11.0,10.0
>ENST00000405418.2,10.0,7.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,7.0,10.0,8.0,9.0,8.0,8.0,10.0,11.0,0.0,10.0,9.0,9.0,8.0,8.0
>ENST00000437905.2,8.0,7.0,8.0,12.0,10.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,10.0,9.0,11.0,10.0,10.0,10.0,0.0,8.0,11.0,8.0,9.0
>ENST00000426570.3,8.0,7.0,8.0,8.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,11.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,0.0,6.0,8.0,9.0
ENSG00000221413.1,7.0,6.0,8.0,6.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,6.0,7.0,8.0,11.0,8.0,8.0,8.0,6.0,10.0,9.0,9.0,11.0,6.0,0.0,8.0,7.0
>ENST00000532329.1,9.0,5.0,10.0,7.0,10.0,12.0,8.0,9.0,8.0,9.0,7.0,7.0,9.0,8.0,7.0,11.0,8.0,9.0,7.0,10.0,8.0,6.0,8.0,11.0,8.0,8.0,8.0,8.0,0.0,11.0
>ENST00000623123.1,9.0,7.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,7.0,11.0,0.0
