,>ENST00000586747.1,>ENST00000606304.1,>ENST00000492525.1,>ENST00000448832.1,>ENST00000517906.1,>ENST00000619807.1,>ENST00000431378.2,>ENST00000430740.1,>ENST00000549576.2,>ENST00000413036.1,>ENST00000425960.1,ENSG00000240877.3,ENSG00000204887.4,>ENST00000429844.2,>ENST00000418731.1,>ENST00000416794.1,>ENST00000513630.1,>ENST00000548625.2,ENSG00000223197.1,ENSG00000199695.1,>ENST00000619632.1,ENSG00000203747.9,>ENST00000506559.2,>ENST00000487828.1,>ENST00000428776.1,>ENST00000496042.1,>ENST00000417338.1,>ENST00000416871.2
>ENST00000513630.1,10.0,9.0,11.0,10.0,9.0,7.0,8.0,9.0,9.0,9.0,11.0,8.0,8.0,12.0,8.0,8.0,0.0,8.0,6.0,8.0,9.0,11.0,11.0,8.0,10.0,9.0,11.0,9.0
>ENST00000548625.2,9.0,8.0,7.0,9.0,12.0,7.0,6.0,12.0,8.0,9.0,9.0,7.0,10.0,9.0,8.0,8.0,8.0,0.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,10.0,9.0,8.0
ENSG00000223197.1,8.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,9.0,9.0,6.0,7.0,8.0,6.0,6.0,6.0,9.0,0.0,12.0,9.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0
ENSG00000199695.1,8.0,9.0,7.0,8.0,11.0,6.0,8.0,8.0,8.0,7.0,10.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,12.0,0.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0
>ENST00000619632.1,10.0,11.0,11.0,10.0,9.0,7.0,10.0,10.0,9.0,9.0,10.0,7.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,0.0,12.0,10.0,9.0,10.0,9.0,11.0,9.0
ENSG00000203747.9,11.0,11.0,11.0,10.0,11.0,10.0,12.0,11.0,11.0,13.0,14.0,10.0,12.0,12.0,9.0,12.0,11.0,11.0,10.0,9.0,12.0,0.0,12.0,11.0,13.0,10.0,12.0,11.0
>ENST00000506559.2,10.0,12.0,9.0,11.0,10.0,7.0,9.0,11.0,9.0,9.0,11.0,7.0,9.0,11.0,9.0,12.0,11.0,9.0,8.0,8.0,10.0,12.0,0.0,9.0,9.0,9.0,11.0,11.0
>ENST00000487828.1,11.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,13.0,9.0,6.0,9.0,9.0,7.0,8.0,8.0,10.0,7.0,8.0,9.0,11.0,9.0,0.0,10.0,7.0,8.0,9.0
>ENST00000428776.1,8.0,10.0,9.0,10.0,9.0,6.0,8.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,7.0,8.0,10.0,8.0,8.0,8.0,10.0,13.0,9.0,10.0,0.0,9.0,9.0,8.0
>ENST00000496042.1,10.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,12.0,10.0,11.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,7.0,9.0,0.0,10.0,10.0
>ENST00000417338.1,11.0,9.0,10.0,9.0,10.0,8.0,8.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,9.0,11.0,9.0,8.0,8.0,11.0,12.0,11.0,8.0,9.0,10.0,0.0,10.0
>ENST00000416871.2,10.0,9.0,7.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0,12.0,9.0,9.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,9.0,11.0,11.0,9.0,8.0,10.0,10.0,0.0
