,>ENST00000521584.1,>ENST00000450472.1,>ENST00000415349.1,>ENST00000514821.1,>ENST00000427935.1,>ENST00000426027.1,>ENST00000450588.1,>ENST00000472300.1,>ENST00000434910.1,>ENST00000509510.1,>ENST00000438498.2,>ENST00000441221.1,>ENST00000433537.1,>ENST00000428342.1,>ENST00000449381.1,>ENST00000610665.1,>ENST00000603429.1,>ENST00000430194.1,>ENST00000420064.1,>ENST00000540341.1,ENSG00000222375.1,>ENST00000581653.1,>ENST00000513715.2,>ENST00000436571.1,>ENST00000452941.1,>ENST00000435590.1,>ENST00000481709.1,>ENST00000430812.1,>ENST00000443998.1,>ENST00000507274.1,>ENST00000523689.1,>ENST00000510977.1,>ENST00000595243.1,>ENST00000399515.2,>ENST00000610931.1,>ENST00000421856.1,>ENST00000428997.1,>ENST00000430654.2,>ENST00000621574.1,>ENST00000433582.1,>ENST00000612939.1,>ENST00000417375.1,>ENST00000430745.1,>ENST00000559481.5,>ENST00000434905.1,>ENST00000584929.6,>ENST00000554223.1,>ENST00000446970.1,>ENST00000543442.1
>ENST00000513715.2,10.0,10.0,14.0,12.0,10.0,10.0,8.0,9.0,11.0,11.0,10.0,10.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,10.0,11.0,7.0,0.0,10.0,10.0,9.0,8.0,12.0,9.0,9.0,9.0,9.0,8.0,12.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,6.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0
>ENST00000436571.1,9.0,9.0,11.0,9.0,8.0,8.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,8.0,10.0,8.0,10.0,8.0,10.0,9.0,8.0,8.0,10.0,0.0,10.0,11.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,10.0
>ENST00000452941.1,10.0,13.0,11.0,11.0,8.0,11.0,10.0,9.0,11.0,11.0,10.0,10.0,9.0,8.0,11.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,0.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,11.0
>ENST00000435590.1,11.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,13.0,11.0,10.0,9.0,10.0,11.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0,0.0,9.0,10.0,12.0,10.0,10.0,9.0,11.0,11.0,11.0,11.0,10.0,9.0,10.0,11.0,14.0,9.0,11.0,11.0,9.0,11.0,9.0,10.0,11.0
>ENST00000481709.1,8.0,9.0,9.0,8.0,7.0,8.0,7.0,8.0,10.0,12.0,8.0,8.0,8.0,6.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,7.0,8.0,7.0,8.0,9.0,0.0,9.0,7.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,7.0,6.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0
>ENST00000430812.1,11.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,12.0,9.0,10.0,10.0,9.0,0.0,10.0,11.0,9.0,10.0,12.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,10.0,9.0,9.0,12.0,9.0,11.0,8.0,10.0,11.0
>ENST00000443998.1,9.0,9.0,10.0,10.0,7.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,7.0,9.0,11.0,7.0,10.0,9.0,9.0,9.0,12.0,7.0,10.0,0.0,8.0,10.0,9.0,10.0,9.0,12.0,9.0,8.0,8.0,11.0,9.0,9.0,7.0,10.0,8.0,9.0,11.0,8.0,9.0,10.0
>ENST00000507274.1,9.0,9.0,9.0,11.0,8.0,10.0,9.0,8.0,11.0,9.0,12.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,11.0,8.0,0.0,8.0,7.0,11.0,8.0,9.0,8.0,8.0,8.0,10.0,10.0,12.0,7.0,9.0,10.0,8.0,9.0,11.0,8.0,9.0
>ENST00000523689.1,11.0,9.0,11.0,12.0,8.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,0.0,8.0,10.0,13.0,10.0,12.0,9.0,12.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,9.0,11.0,11.0
>ENST00000510977.1,10.0,10.0,9.0,10.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,7.0,8.0,0.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0,10.0,10.0,8.0,11.0,8.0,7.0,9.0
>ENST00000595243.1,11.0,11.0,11.0,10.0,9.0,8.0,12.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,8.0,10.0,10.0,11.0,10.0,12.0,10.0,11.0,10.0,9.0,0.0,10.0,11.0,11.0,9.0,13.0,11.0,11.0,10.0,7.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0
>ENST00000399515.2,10.0,8.0,10.0,15.0,8.0,11.0,12.0,11.0,10.0,9.0,10.0,9.0,11.0,8.0,11.0,10.0,13.0,9.0,11.0,11.0,9.0,9.0,12.0,10.0,11.0,11.0,9.0,9.0,9.0,8.0,13.0,9.0,10.0,0.0,11.0,9.0,11.0,12.0,11.0,10.0,11.0,8.0,11.0,10.0,10.0,9.0,10.0,9.0,12.0
>ENST00000610931.1,9.0,11.0,11.0,11.0,9.0,9.0,10.0,11.0,11.0,16.0,11.0,11.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,11.0,8.0,10.0,12.0,9.0,10.0,9.0,11.0,11.0,0.0,12.0,10.0,10.0,11.0,11.0,10.0,8.0,11.0,12.0,11.0,12.0,10.0,9.0,10.0
>ENST00000421856.1,8.0,11.0,9.0,10.0,8.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,8.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,11.0,9.0,8.0,8.0,11.0,8.0,9.0,9.0,8.0,12.0,9.0,11.0,9.0,12.0,0.0,9.0,10.0,11.0,9.0,9.0,7.0,9.0,10.0,9.0,12.0,10.0,8.0,9.0
>ENST00000428997.1,10.0,10.0,9.0,13.0,9.0,8.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,14.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,11.0,10.0,9.0,0.0,9.0,9.0,10.0,9.0,7.0,12.0,9.0,8.0,11.0,8.0,8.0,8.0
>ENST00000430654.2,8.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,8.0,12.0,8.0,13.0,12.0,10.0,10.0,9.0,0.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,11.0,8.0,8.0,9.0
>ENST00000621574.1,9.0,10.0,11.0,12.0,9.0,9.0,8.0,9.0,11.0,11.0,10.0,12.0,9.0,8.0,12.0,11.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,8.0,11.0,11.0,11.0,11.0,9.0,9.0,0.0,10.0,11.0,7.0,14.0,10.0,9.0,9.0,8.0,10.0,10.0
>ENST00000433582.1,10.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,12.0,7.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,11.0,7.0,12.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,0.0,10.0,6.0,10.0,10.0,8.0,11.0,8.0,9.0,9.0
>ENST00000612939.1,11.0,10.0,10.0,12.0,12.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,8.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,14.0,7.0,10.0,9.0,12.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,0.0,8.0,9.0,11.0,10.0,9.0,8.0,8.0,10.0
>ENST00000417375.1,8.0,8.0,7.0,8.0,6.0,8.0,8.0,10.0,12.0,9.0,7.0,9.0,7.0,7.0,8.0,7.0,9.0,6.0,7.0,8.0,9.0,6.0,6.0,8.0,9.0,9.0,6.0,9.0,7.0,7.0,9.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,8.0,0.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0
>ENST00000430745.1,11.0,10.0,11.0,10.0,10.0,13.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,14.0,10.0,12.0,9.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,12.0,9.0,14.0,10.0,9.0,7.0,0.0,11.0,10.0,11.0,9.0,8.0,11.0
>ENST00000559481.5,9.0,11.0,10.0,9.0,8.0,11.0,11.0,9.0,11.0,12.0,10.0,12.0,10.0,10.0,11.0,9.0,12.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,12.0,8.0,10.0,11.0,10.0,11.0,10.0,12.0,10.0,9.0,9.0,10.0,10.0,11.0,6.0,11.0,0.0,10.0,10.0,9.0,8.0,9.0
>ENST00000434905.1,8.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,12.0,9.0,9.0,8.0,7.0,11.0,8.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0,7.0,10.0,10.0,0.0,8.0,9.0,10.0,11.0
>ENST00000584929.6,9.0,11.0,10.0,10.0,9.0,9.0,9.0,12.0,11.0,13.0,10.0,14.0,9.0,8.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,11.0,11.0,9.0,10.0,11.0,10.0,9.0,12.0,12.0,11.0,11.0,9.0,11.0,9.0,8.0,11.0,10.0,8.0,0.0,9.0,9.0,10.0
>ENST00000554223.1,9.0,10.0,9.0,9.0,7.0,8.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,11.0,9.0,8.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,0.0,10.0,9.0
>ENST00000446970.1,9.0,10.0,11.0,9.0,7.0,8.0,10.0,8.0,11.0,12.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,12.0,10.0,8.0,8.0,10.0,7.0,10.0,9.0,8.0,11.0,7.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,0.0,10.0
>ENST00000543442.1,10.0,9.0,9.0,20.0,9.0,10.0,10.0,10.0,12.0,12.0,12.0,11.0,11.0,9.0,10.0,9.0,10.0,7.0,11.0,13.0,13.0,9.0,10.0,10.0,11.0,11.0,8.0,11.0,10.0,9.0,11.0,9.0,10.0,12.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,7.0,11.0,9.0,11.0,10.0,9.0,10.0,0.0
