,>ENST00000394996.2,>ENST00000452808.1,>ENST00000430344.1,>ENST00000477971.3,>ENST00000475129.1,>ENST00000504533.2,>ENST00000454534.1,>ENST00000603137.1,>ENST00000366492.1,>ENST00000443167.1,>ENST00000611928.2,>ENST00000510464.1,>ENST00000613512.4,>ENST00000594454.1,>ENST00000452007.1,>ENST00000435410.1,>ENST00000451582.1,>ENST00000414727.2,>ENST00000412199.1,>ENST00000415634.1,>ENST00000441047.1,>ENST00000597341.1,>ENST00000603896.1,>ENST00000617851.1
>ENST00000611928.2,11.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,0.0,9.0,11.0,9.0,10.0,13.0,11.0,11.0,9.0,10.0,10.0,12.0,9.0,9.0
>ENST00000510464.1,10.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,16.0,12.0,9.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,12.0,8.0,9.0,10.0
>ENST00000613512.4,11.0,10.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,0.0,9.0,13.0,10.0,12.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0
>ENST00000594454.1,9.0,9.0,10.0,8.0,8.0,9.0,9.0,7.0,11.0,10.0,9.0,10.0,9.0,0.0,9.0,10.0,8.0,11.0,7.0,8.0,10.0,9.0,8.0,7.0
>ENST00000452007.1,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,13.0,9.0,0.0,11.0,12.0,10.0,9.0,11.0,8.0,10.0,9.0,8.0
>ENST00000435410.1,9.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,13.0,13.0,10.0,10.0,10.0,11.0,0.0,10.0,10.0,10.0,12.0,13.0,9.0,8.0,9.0
>ENST00000451582.1,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,10.0,12.0,8.0,12.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0
>ENST00000414727.2,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,10.0,9.0,0.0,9.0,7.0,9.0,8.0,9.0,10.0
>ENST00000412199.1,9.0,9.0,11.0,10.0,9.0,10.0,8.0,10.0,9.0,12.0,9.0,10.0,10.0,7.0,9.0,10.0,9.0,9.0,0.0,8.0,9.0,8.0,9.0,10.0
>ENST00000415634.1,8.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,9.0,10.0,10.0,9.0,10.0,8.0,11.0,12.0,9.0,7.0,8.0,0.0,10.0,8.0,8.0,9.0
>ENST00000441047.1,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,13.0,10.0,12.0,9.0,10.0,8.0,13.0,9.0,9.0,9.0,10.0,0.0,9.0,10.0,11.0
>ENST00000597341.1,8.0,9.0,9.0,8.0,8.0,10.0,8.0,7.0,9.0,8.0,12.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,0.0,8.0,9.0
>ENST00000603896.1,8.0,9.0,9.0,9.0,8.0,11.0,10.0,12.0,11.0,11.0,9.0,9.0,11.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,10.0,8.0,0.0,7.0
>ENST00000617851.1,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,10.0,11.0,7.0,8.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,7.0,0.0
