,>ENST00000534330.1,>ENST00000452483.1,>ENST00000482930.1,>ENST00000406090.1,>ENST00000413631.1,>ENST00000473818.1,>ENST00000441945.2,>ENST00000506768.1,>ENST00000456374.2,>ENST00000438548.2,>ENST00000413321.2,>ENST00000511830.2,>ENST00000602428.1,>ENST00000440037.1,>ENST00000393779.2,>ENST00000600827.1,>ENST00000394192.2,>ENST00000452914.2,>ENST00000509650.1,>ENST00000509149.1,>ENST00000621395.1,>ENST00000414230.2,>ENST00000503499.1,>ENST00000618763.1,>ENST00000455650.1,>ENST00000434269.1,>ENST00000618497.1
>ENST00000393779.2,10.0,11.0,9.0,8.0,12.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,0.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,10.0,10.0
>ENST00000600827.1,9.0,10.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,0.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,7.0,11.0,10.0,9.0
>ENST00000394192.2,10.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,7.0,9.0,9.0,0.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0
>ENST00000452914.2,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,8.0,12.0,11.0,8.0,9.0,8.0,9.0,0.0,9.0,8.0,8.0,9.0,10.0,6.0,7.0,11.0,9.0
>ENST00000509650.1,10.0,8.0,8.0,9.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,0.0,8.0,7.0,9.0,10.0,9.0,7.0,15.0,9.0
>ENST00000509149.1,8.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,20.0,9.0,10.0,6.0,8.0,9.0,9.0
>ENST00000621395.1,7.0,8.0,7.0,8.0,9.0,9.0,8.0,7.0,8.0,7.0,11.0,13.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,20.0,0.0,7.0,9.0,6.0,11.0,9.0,9.0
>ENST00000414230.2,8.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,7.0,0.0,9.0,7.0,9.0,10.0,8.0
>ENST00000503499.1,11.0,10.0,9.0,9.0,12.0,10.0,11.0,10.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,0.0,9.0,11.0,11.0,9.0
>ENST00000618763.1,8.0,7.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,10.0,10.0,7.0,7.0,7.0,9.0,6.0,9.0,6.0,6.0,7.0,9.0,0.0,8.0,8.0,9.0
>ENST00000455650.1,9.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,9.0,7.0,7.0,8.0,11.0,9.0,11.0,8.0,0.0,11.0,9.0
>ENST00000434269.1,10.0,10.0,9.0,9.0,13.0,10.0,11.0,9.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,15.0,9.0,9.0,10.0,11.0,8.0,11.0,0.0,9.0
>ENST00000618497.1,11.0,11.0,11.0,11.0,11.0,9.0,10.0,11.0,10.0,9.0,11.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,0.0
