,ENSG00000137094.14,>ENST00000439552.1,>ENST00000556999.1,>ENST00000457546.1,>ENST00000514634.1,>ENST00000492327.1,>ENST00000577632.1,>ENST00000620964.1,>ENST00000556118.1,>ENST00000517591.1,>ENST00000518709.5,>ENST00000505876.1,>ENST00000421191.1,>ENST00000440405.2,>ENST00000594186.1,>ENST00000553000.1,>ENST00000621330.1,>ENST00000526810.1,>ENST00000451718.1,ENSG00000198553.8,>ENST00000523346.1,>ENST00000511259.1,>ENST00000478867.1,>ENST00000450340.1,>ENST00000394301.2,>ENST00000557231.2,>ENST00000418231.2,>ENST00000422905.2,>ENST00000438892.1,>ENST00000534243.1,>ENST00000617487.1,>ENST00000598990.1,>ENST00000503722.1,>ENST00000495167.3,>ENST00000616842.1,>ENST00000414228.1,>ENST00000528030.1,>ENST00000591086.1,>ENST00000529624.5,>ENST00000433995.1,>ENST00000447117.1
>ENST00000621330.1,11.0,9.0,13.0,10.0,10.0,10.0,11.0,10.0,7.0,8.0,12.0,11.0,9.0,8.0,11.0,8.0,0.0,9.0,11.0,12.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,13.0,10.0,10.0,10.0,11.0,8.0,10.0,12.0,10.0,10.0,9.0,12.0,8.0,10.0
>ENST00000526810.1,11.0,10.0,9.0,10.0,10.0,12.0,10.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,0.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0,10.0,10.0,11.0,9.0,12.0,9.0,10.0,10.0,8.0,13.0,9.0,13.0,12.0,9.0
>ENST00000451718.1,13.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,7.0,13.0,7.0,10.0,9.0,9.0,7.0,11.0,9.0,0.0,10.0,9.0,10.0,9.0,7.0,11.0,10.0,10.0,8.0,9.0,12.0,9.0,10.0,10.0,11.0,10.0,7.0,10.0,8.0,10.0,9.0,10.0
ENSG00000198553.8,45.0,12.0,10.0,9.0,14.0,10.0,11.0,11.0,9.0,12.0,13.0,10.0,9.0,10.0,11.0,12.0,12.0,11.0,10.0,0.0,12.0,12.0,12.0,9.0,14.0,10.0,13.0,11.0,13.0,12.0,9.0,11.0,10.0,14.0,11.0,9.0,11.0,13.0,14.0,11.0,14.0
>ENST00000523346.1,10.0,10.0,10.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,12.0,0.0,8.0,9.0,7.0,8.0,8.0,12.0,10.0,10.0,11.0,9.0,11.0,8.0,8.0,10.0,7.0,13.0,9.0,9.0,9.0,11.0
>ENST00000511259.1,12.0,10.0,9.0,8.0,12.0,11.0,9.0,9.0,8.0,10.0,11.0,10.0,8.0,12.0,9.0,8.0,9.0,10.0,10.0,12.0,8.0,0.0,10.0,7.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,11.0,9.0,10.0
>ENST00000478867.1,11.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,11.0,8.0,11.0,9.0,10.0,9.0,12.0,9.0,10.0,0.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,8.0,11.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0
>ENST00000450340.1,11.0,8.0,7.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,7.0,9.0,7.0,7.0,9.0,0.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,12.0,9.0,10.0,9.0,9.0
>ENST00000394301.2,12.0,9.0,8.0,7.0,9.0,11.0,10.0,10.0,7.0,10.0,11.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,11.0,14.0,8.0,10.0,9.0,8.0,0.0,8.0,12.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,7.0,9.0,9.0,13.0,9.0,9.0
>ENST00000557231.2,11.0,8.0,11.0,7.0,11.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,8.0,0.0,10.0,10.0,10.0,8.0,10.0,8.0,9.0,8.0,8.0,7.0,8.0,10.0,14.0,9.0,9.0
>ENST00000418231.2,12.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,9.0,11.0,11.0,14.0,8.0,9.0,13.0,9.0,11.0,12.0,10.0,13.0,12.0,10.0,11.0,9.0,12.0,10.0,0.0,9.0,11.0,9.0,11.0,11.0,9.0,11.0,13.0,9.0,9.0,11.0,12.0,10.0,11.0
>ENST00000422905.2,13.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,13.0,10.0,8.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,0.0,10.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,11.0,10.0,13.0,10.0,11.0
>ENST00000438892.1,13.0,9.0,10.0,9.0,11.0,10.0,8.0,9.0,9.0,8.0,12.0,12.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,13.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,0.0,10.0,12.0,13.0,11.0,9.0,11.0,9.0,10.0,11.0,13.0,9.0,10.0
>ENST00000534243.1,13.0,9.0,10.0,8.0,13.0,10.0,11.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,11.0,12.0,12.0,11.0,9.0,11.0,9.0,10.0,8.0,9.0,10.0,10.0,0.0,9.0,11.0,7.0,11.0,11.0,9.0,68.0,11.0,11.0,10.0,9.0
>ENST00000617487.1,13.0,9.0,9.0,8.0,11.0,11.0,9.0,12.0,7.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,8.0,12.0,9.0,0.0,9.0,7.0,11.0,10.0,8.0,7.0,8.0,10.0,10.0,10.0
>ENST00000598990.1,15.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,11.0,12.0,10.0,11.0,11.0,9.0,10.0,8.0,10.0,8.0,11.0,10.0,13.0,11.0,9.0,0.0,9.0,10.0,12.0,9.0,10.0,10.0,12.0,8.0,10.0
>ENST00000503722.1,13.0,9.0,9.0,7.0,9.0,9.0,10.0,9.0,6.0,8.0,12.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,11.0,7.0,7.0,9.0,0.0,11.0,9.0,8.0,8.0,9.0,11.0,7.0,9.0
>ENST00000495167.3,13.0,9.0,8.0,10.0,9.0,10.0,11.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,13.0,9.0,10.0,10.0,11.0,14.0,8.0,10.0,11.0,8.0,9.0,8.0,11.0,9.0,9.0,11.0,11.0,10.0,11.0,0.0,10.0,11.0,9.0,11.0,11.0,9.0,10.0
>ENST00000616842.1,12.0,9.0,11.0,10.0,14.0,12.0,11.0,11.0,7.0,9.0,11.0,9.0,12.0,12.0,10.0,9.0,12.0,10.0,10.0,11.0,10.0,11.0,11.0,8.0,9.0,8.0,13.0,11.0,11.0,11.0,10.0,12.0,9.0,10.0,0.0,9.0,12.0,9.0,12.0,11.0,10.0
>ENST00000414228.1,10.0,7.0,7.0,8.0,9.0,8.0,11.0,10.0,6.0,7.0,9.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,7.0,9.0,7.0,11.0,9.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,0.0,8.0,8.0,11.0,10.0,8.0
>ENST00000528030.1,11.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,7.0,10.0,13.0,10.0,11.0,13.0,9.0,9.0,12.0,9.0,8.0,9.0,11.0,10.0,68.0,7.0,10.0,8.0,9.0,12.0,8.0,0.0,14.0,11.0,10.0,9.0
>ENST00000591086.1,13.0,8.0,10.0,9.0,9.0,9.0,9.0,12.0,7.0,10.0,11.0,10.0,7.0,10.0,10.0,8.0,9.0,9.0,8.0,13.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,10.0,11.0,11.0,8.0,10.0,9.0,11.0,9.0,8.0,14.0,0.0,14.0,9.0,11.0
>ENST00000529624.5,13.0,12.0,10.0,11.0,11.0,13.0,12.0,10.0,10.0,10.0,12.0,13.0,10.0,11.0,11.0,10.0,12.0,13.0,10.0,14.0,9.0,11.0,10.0,10.0,13.0,14.0,12.0,13.0,13.0,11.0,10.0,12.0,11.0,11.0,12.0,11.0,11.0,14.0,0.0,12.0,10.0
>ENST00000433995.1,13.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0,7.0,9.0,11.0,8.0,7.0,9.0,10.0,7.0,8.0,12.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,11.0,10.0,10.0,9.0,12.0,0.0,9.0
>ENST00000447117.1,14.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,8.0,11.0,12.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,14.0,11.0,10.0,10.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,11.0,10.0,9.0,0.0
