,>ENST00000469465.1,>ENST00000608850.1,>ENST00000507604.1,>ENST00000534504.2,>ENST00000601077.1,>ENST00000556706.1,>ENST00000483197.1,>ENST00000437273.1,>ENST00000415779.1,>ENST00000416102.1,ENSG00000202124.1,>ENST00000579578.6,>ENST00000407030.4,>ENST00000440592.1,>ENST00000444161.1,>ENST00000423837.1,>ENST00000519029.1,>ENST00000504656.1,>ENST00000338711.9,>ENST00000413485.1,>ENST00000583587.1,>ENST00000402078.1,>ENST00000611488.1,>ENST00000509926.2,>ENST00000517968.1,>ENST00000528631.1,>ENST00000506566.1,>ENST00000597833.2,>ENST00000449477.1,>ENST00000246222.3,>ENST00000428810.1,>ENST00000415716.1,>ENST00000603598.1,>ENST00000513014.1
ENSG00000202124.1,8.0,7.0,7.0,8.0,7.0,9.0,7.0,8.0,10.0,8.0,0.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,6.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,6.0
>ENST00000579578.6,9.0,9.0,11.0,10.0,11.0,9.0,12.0,10.0,11.0,10.0,7.0,0.0,10.0,9.0,10.0,10.0,11.0,12.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,9.0,10.0,9.0,9.0
>ENST00000407030.4,10.0,12.0,14.0,11.0,10.0,11.0,11.0,8.0,10.0,10.0,8.0,10.0,0.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,11.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0
>ENST00000440592.1,9.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,0.0,9.0,11.0,10.0,9.0,8.0,7.0,10.0,8.0,12.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0
>ENST00000444161.1,10.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,0.0,8.0,11.0,8.0,10.0,11.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,11.0,8.0,9.0,7.0,8.0,7.0,8.0
>ENST00000423837.1,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,11.0,8.0,0.0,11.0,11.0,9.0,8.0,11.0,11.0,13.0,10.0,9.0,10.0,11.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0
>ENST00000519029.1,10.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,9.0,9.0,11.0,11.0,10.0,11.0,11.0,0.0,11.0,10.0,10.0,10.0,10.0,12.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,10.0
>ENST00000504656.1,10.0,10.0,11.0,11.0,12.0,9.0,14.0,11.0,12.0,10.0,8.0,12.0,10.0,9.0,8.0,11.0,11.0,0.0,10.0,11.0,10.0,10.0,10.0,10.0,8.0,9.0,11.0,9.0,10.0,10.0,10.0,12.0,9.0,9.0
>ENST00000338711.9,9.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,11.0,11.0,8.0,10.0,9.0,10.0,10.0,0.0,8.0,10.0,10.0,11.0,9.0,8.0,11.0,10.0,9.0,8.0,13.0,9.0,9.0,8.0,11.0
>ENST00000413485.1,10.0,10.0,9.0,8.0,8.0,8.0,9.0,7.0,11.0,10.0,7.0,9.0,10.0,7.0,11.0,8.0,10.0,11.0,8.0,0.0,8.0,8.0,9.0,8.0,11.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0
>ENST00000583587.1,9.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,12.0,9.0,8.0,9.0,11.0,10.0,8.0,11.0,10.0,10.0,10.0,8.0,0.0,9.0,10.0,11.0,8.0,11.0,11.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0
>ENST00000402078.1,10.0,10.0,9.0,10.0,13.0,76.0,9.0,9.0,12.0,8.0,9.0,10.0,8.0,8.0,8.0,11.0,10.0,10.0,10.0,8.0,9.0,0.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,11.0,11.0,9.0,9.0,12.0
>ENST00000611488.1,9.0,9.0,12.0,11.0,12.0,11.0,10.0,10.0,10.0,11.0,9.0,11.0,10.0,12.0,9.0,13.0,12.0,10.0,11.0,9.0,10.0,10.0,0.0,10.0,9.0,10.0,11.0,9.0,8.0,9.0,10.0,11.0,10.0,10.0
>ENST00000509926.2,11.0,9.0,8.0,9.0,10.0,11.0,10.0,10.0,12.0,10.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,10.0,0.0,8.0,10.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0
>ENST00000517968.1,8.0,8.0,11.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,6.0,10.0,8.0,10.0,7.0,9.0,10.0,8.0,8.0,11.0,8.0,10.0,9.0,8.0,0.0,9.0,7.0,9.0,8.0,9.0,9.0,7.0,7.0,8.0
>ENST00000528631.1,11.0,11.0,10.0,11.0,10.0,8.0,11.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0,10.0,10.0,10.0,9.0,0.0,12.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0
>ENST00000506566.1,9.0,10.0,11.0,10.0,13.0,10.0,10.0,9.0,11.0,10.0,7.0,11.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0,11.0,11.0,7.0,12.0,0.0,10.0,8.0,10.0,9.0,11.0,8.0,10.0
>ENST00000597833.2,13.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,0.0,8.0,9.0,10.0,9.0,10.0,10.0
>ENST00000449477.1,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,7.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,0.0,8.0,7.0,7.0,6.0,7.0
>ENST00000246222.3,10.0,9.0,12.0,10.0,10.0,9.0,11.0,10.0,12.0,9.0,7.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,13.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,0.0,8.0,9.0,9.0,9.0
>ENST00000428810.1,9.0,11.0,10.0,10.0,9.0,7.0,8.0,10.0,9.0,11.0,7.0,9.0,9.0,8.0,7.0,8.0,11.0,10.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,7.0,8.0,0.0,7.0,7.0,8.0
>ENST00000415716.1,8.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,7.0,10.0,8.0,8.0,8.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0,11.0,9.0,7.0,10.0,11.0,9.0,7.0,9.0,7.0,0.0,9.0,8.0
>ENST00000603598.1,9.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,10.0,7.0,8.0,9.0,8.0,8.0,7.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,7.0,10.0,8.0,10.0,6.0,9.0,7.0,9.0,0.0,10.0
>ENST00000513014.1,8.0,10.0,9.0,11.0,10.0,8.0,9.0,10.0,10.0,10.0,6.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,8.0,9.0,12.0,10.0,9.0,8.0,10.0,10.0,10.0,7.0,9.0,8.0,8.0,10.0,0.0
