,>ENST00000446144.2,>ENST00000411665.1,>ENST00000450729.1,>ENST00000621768.1,>ENST00000405542.1,>ENST00000491343.2,>ENST00000466725.1,>ENST00000486001.1,>ENST00000605294.1,>ENST00000616893.1,>ENST00000430515.1,>ENST00000508324.1,>ENST00000634565.1,>ENST00000415667.1,>ENST00000429435.1,>ENST00000554342.1,>ENST00000574386.1,>ENST00000611504.1,>ENST00000382656.1,>ENST00000605632.1,>ENST00000411522.1,>ENST00000604345.1,>ENST00000496846.1,>ENST00000454030.1,>ENST00000428816.1,>ENST00000327215.6,>ENST00000605222.1,>ENST00000604530.1,>ENST00000445758.3,>ENST00000556294.2,>ENST00000488148.1,>ENST00000438452.1,>ENST00000431260.1,ENSG00000267828.1,>ENST00000435593.1,>ENST00000340858.4
>ENST00000430515.1,13.0,10.0,10.0,13.0,12.0,11.0,8.0,10.0,9.0,9.0,0.0,11.0,12.0,8.0,10.0,8.0,13.0,13.0,11.0,8.0,10.0,9.0,10.0,13.0,9.0,9.0,11.0,10.0,12.0,10.0,9.0,10.0,11.0,8.0,10.0,11.0
>ENST00000508324.1,11.0,8.0,8.0,11.0,9.0,11.0,10.0,8.0,10.0,10.0,11.0,0.0,10.0,10.0,10.0,9.0,10.0,8.0,7.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,12.0,8.0,11.0,8.0,8.0,11.0
>ENST00000634565.1,12.0,8.0,8.0,9.0,11.0,8.0,8.0,10.0,7.0,11.0,12.0,10.0,0.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,7.0,10.0,7.0,9.0,9.0
>ENST00000415667.1,11.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,10.0,8.0,0.0,9.0,7.0,11.0,9.0,7.0,7.0,9.0,7.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,11.0,8.0,10.0,7.0,6.0,11.0
>ENST00000429435.1,10.0,9.0,7.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,0.0,7.0,10.0,8.0,10.0,11.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,11.0,8.0,8.0,8.0,10.0,7.0,8.0,10.0
>ENST00000554342.1,11.0,8.0,7.0,8.0,7.0,10.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,0.0,9.0,8.0,6.0,8.0,7.0,7.0,9.0,8.0,10.0,8.0,10.0,7.0,10.0,7.0,7.0,9.0,8.0,6.0,7.0,10.0
>ENST00000574386.1,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,13.0,10.0,10.0,11.0,10.0,9.0,0.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,12.0,8.0,9.0,12.0,12.0,9.0,11.0,13.0
>ENST00000611504.1,12.0,10.0,10.0,10.0,8.0,13.0,9.0,13.0,10.0,11.0,13.0,8.0,9.0,9.0,8.0,8.0,10.0,0.0,8.0,10.0,9.0,8.0,11.0,11.0,11.0,9.0,11.0,9.0,10.0,11.0,8.0,8.0,10.0,7.0,8.0,13.0
>ENST00000382656.1,13.0,7.0,8.0,9.0,9.0,11.0,7.0,9.0,8.0,8.0,11.0,7.0,8.0,7.0,10.0,6.0,10.0,8.0,0.0,8.0,9.0,9.0,11.0,8.0,8.0,8.0,7.0,8.0,10.0,7.0,8.0,7.0,11.0,7.0,9.0,9.0
>ENST00000605632.1,11.0,10.0,7.0,9.0,10.0,11.0,7.0,9.0,10.0,9.0,8.0,8.0,9.0,7.0,11.0,8.0,8.0,10.0,8.0,0.0,7.0,7.0,10.0,11.0,8.0,12.0,9.0,8.0,10.0,8.0,9.0,8.0,10.0,7.0,7.0,9.0
>ENST00000411522.1,11.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,7.0,0.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,10.0
>ENST00000604345.1,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,7.0,9.0,8.0,9.0,7.0,9.0,0.0,10.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0
>ENST00000496846.1,13.0,9.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,0.0,10.0,10.0,9.0,10.0,10.0,10.0,12.0,10.0,12.0,13.0,9.0,8.0,13.0
>ENST00000454030.1,13.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,14.0,13.0,10.0,10.0,8.0,10.0,8.0,10.0,11.0,8.0,11.0,9.0,10.0,10.0,0.0,14.0,11.0,9.0,9.0,12.0,12.0,8.0,8.0,9.0,8.0,10.0,11.0
>ENST00000428816.1,11.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,10.0,7.0,8.0,10.0,9.0,11.0,8.0,8.0,9.0,8.0,10.0,14.0,0.0,9.0,8.0,9.0,10.0,11.0,9.0,11.0,9.0,7.0,8.0,11.0
>ENST00000327215.6,12.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,10.0,9.0,8.0,12.0,9.0,10.0,9.0,11.0,9.0,0.0,11.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,10.0
>ENST00000605222.1,10.0,10.0,7.0,9.0,10.0,8.0,8.0,8.0,7.0,9.0,11.0,10.0,10.0,7.0,8.0,10.0,9.0,11.0,7.0,9.0,8.0,8.0,10.0,9.0,8.0,11.0,0.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0
>ENST00000604530.1,12.0,9.0,12.0,10.0,9.0,8.0,8.0,8.0,10.0,149.0,10.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,0.0,11.0,8.0,8.0,8.0,9.0,9.0,8.0,11.0
>ENST00000445758.3,11.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,11.0,13.0,12.0,10.0,9.0,8.0,11.0,10.0,12.0,10.0,10.0,10.0,9.0,9.0,10.0,12.0,10.0,10.0,9.0,11.0,0.0,9.0,9.0,10.0,10.0,8.0,10.0,11.0
>ENST00000556294.2,12.0,8.0,7.0,12.0,9.0,10.0,8.0,10.0,7.0,9.0,10.0,9.0,9.0,7.0,8.0,7.0,8.0,11.0,7.0,8.0,7.0,9.0,12.0,12.0,11.0,9.0,8.0,8.0,9.0,0.0,8.0,8.0,10.0,8.0,7.0,11.0
>ENST00000488148.1,11.0,9.0,8.0,8.0,9.0,8.0,11.0,7.0,8.0,10.0,9.0,12.0,8.0,11.0,8.0,7.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,0.0,10.0,9.0,8.0,7.0,10.0
>ENST00000438452.1,11.0,9.0,8.0,8.0,8.0,10.0,7.0,7.0,10.0,9.0,10.0,8.0,7.0,8.0,8.0,9.0,12.0,8.0,7.0,8.0,11.0,9.0,12.0,8.0,11.0,8.0,8.0,8.0,10.0,8.0,10.0,0.0,9.0,7.0,9.0,9.0
>ENST00000431260.1,13.0,10.0,10.0,9.0,9.0,9.0,12.0,9.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,8.0,12.0,10.0,11.0,10.0,9.0,9.0,13.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,9.0,9.0,9.0
ENSG00000267828.1,10.0,7.0,7.0,8.0,7.0,9.0,8.0,7.0,10.0,10.0,8.0,8.0,7.0,7.0,7.0,6.0,9.0,7.0,7.0,7.0,8.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,9.0,0.0,7.0,8.0
>ENST00000435593.1,11.0,12.0,7.0,11.0,11.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0,6.0,8.0,7.0,11.0,8.0,9.0,7.0,8.0,11.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,7.0,7.0,9.0,9.0,7.0,0.0,10.0
>ENST00000340858.4,12.0,11.0,9.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,13.0,13.0,9.0,9.0,10.0,10.0,13.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,9.0,9.0,8.0,10.0,0.0
