,>ENST00000394191.2,>ENST00000616013.1,>ENST00000447779.1,>ENST00000585345.1,>ENST00000403415.1,>ENST00000531724.1,>ENST00000444097.2,>ENST00000604699.1,>ENST00000603287.1,>ENST00000445678.1,>ENST00000510152.1,ENSG00000222722.1,>ENST00000571784.1,>ENST00000528684.5,>ENST00000481016.1,>ENST00000508721.5,ENSG00000207734.1,>ENST00000415892.1,>ENST00000403956.2,>ENST00000604565.1,>ENST00000427426.1,>ENST00000492781.1,>ENST00000445867.1,>ENST00000634512.1,>ENST00000431428.1,>ENST00000446181.1,>ENST00000522143.1,>ENST00000439409.2,>ENST00000526931.2,>ENST00000420409.1,>ENST00000436307.1,>ENST00000619764.1,>ENST00000590052.1,>ENST00000451071.5,>ENST00000431719.1,>ENST00000468100.1,>ENST00000327086.8,>ENST00000439531.1,>ENST00000454320.1
>ENST00000510152.1,9.0,8.0,10.0,12.0,9.0,9.0,10.0,8.0,6.0,9.0,0.0,7.0,8.0,11.0,9.0,11.0,7.0,7.0,11.0,8.0,8.0,7.0,9.0,11.0,13.0,12.0,8.0,9.0,9.0,11.0,13.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0
ENSG00000222722.1,7.0,8.0,7.0,8.0,8.0,7.0,6.0,9.0,6.0,7.0,7.0,0.0,10.0,7.0,7.0,7.0,5.0,6.0,6.0,9.0,7.0,6.0,7.0,7.0,8.0,8.0,6.0,11.0,8.0,9.0,9.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0
>ENST00000571784.1,10.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,0.0,9.0,13.0,9.0,7.0,7.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,12.0,9.0,9.0,12.0,10.0,12.0,11.0,9.0,9.0,9.0,8.0
>ENST00000528684.5,10.0,10.0,8.0,10.0,10.0,11.0,12.0,9.0,8.0,12.0,11.0,7.0,9.0,0.0,11.0,10.0,7.0,9.0,8.0,9.0,9.0,11.0,12.0,9.0,11.0,9.0,9.0,10.0,9.0,12.0,10.0,9.0,11.0,10.0,16.0,10.0,11.0,10.0,9.0
>ENST00000481016.1,9.0,10.0,10.0,11.0,11.0,9.0,11.0,11.0,8.0,11.0,9.0,7.0,13.0,11.0,0.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,11.0,100.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0
>ENST00000508721.5,11.0,11.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,11.0,11.0,7.0,9.0,10.0,11.0,0.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,8.0,9.0,8.0
ENSG00000207734.1,9.0,8.0,7.0,9.0,7.0,7.0,8.0,7.0,6.0,8.0,7.0,5.0,7.0,7.0,10.0,8.0,0.0,7.0,6.0,8.0,7.0,7.0,7.0,8.0,9.0,6.0,6.0,8.0,7.0,8.0,10.0,9.0,6.0,8.0,9.0,7.0,6.0,9.0,6.0
>ENST00000415892.1,9.0,8.0,7.0,9.0,9.0,6.0,8.0,7.0,8.0,10.0,7.0,6.0,7.0,9.0,9.0,9.0,7.0,0.0,10.0,8.0,10.0,7.0,10.0,9.0,10.0,7.0,8.0,9.0,10.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0
>ENST00000403956.2,11.0,10.0,9.0,9.0,10.0,7.0,8.0,10.0,8.0,11.0,11.0,6.0,8.0,8.0,9.0,9.0,6.0,10.0,0.0,8.0,8.0,7.0,9.0,9.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0
>ENST00000604565.1,9.0,10.0,8.0,10.0,11.0,8.0,9.0,9.0,10.0,12.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,0.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,11.0
>ENST00000427426.1,9.0,9.0,9.0,9.0,10.0,9.0,8.0,11.0,8.0,10.0,8.0,7.0,9.0,9.0,9.0,9.0,7.0,10.0,8.0,9.0,0.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,11.0,13.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0
>ENST00000492781.1,10.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,7.0,10.0,7.0,6.0,8.0,11.0,9.0,9.0,7.0,7.0,7.0,10.0,8.0,0.0,10.0,9.0,10.0,7.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0
>ENST00000445867.1,10.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,7.0,10.0,9.0,7.0,10.0,12.0,9.0,10.0,7.0,10.0,9.0,10.0,9.0,10.0,0.0,9.0,10.0,8.0,8.0,10.0,10.0,10.0,11.0,9.0,14.0,9.0,9.0,8.0,12.0,9.0,8.0
>ENST00000634512.1,9.0,8.0,10.0,10.0,8.0,9.0,8.0,8.0,7.0,10.0,11.0,7.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,0.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0
>ENST00000431428.1,10.0,9.0,10.0,10.0,12.0,8.0,10.0,8.0,8.0,9.0,13.0,8.0,9.0,11.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,0.0,11.0,9.0,11.0,9.0,10.0,11.0,8.0,9.0,11.0,10.0,8.0,10.0,8.0,9.0
>ENST00000446181.1,9.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,7.0,8.0,12.0,8.0,9.0,9.0,10.0,9.0,6.0,7.0,12.0,10.0,10.0,7.0,8.0,9.0,11.0,0.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0
>ENST00000522143.1,9.0,8.0,7.0,9.0,9.0,10.0,11.0,8.0,6.0,10.0,8.0,6.0,8.0,9.0,9.0,9.0,6.0,8.0,9.0,11.0,8.0,9.0,8.0,10.0,9.0,10.0,0.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0
>ENST00000439409.2,17.0,9.0,8.0,10.0,9.0,8.0,11.0,8.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,10.0,9.0,0.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,8.0,11.0,10.0,9.0
>ENST00000526931.2,9.0,11.0,8.0,10.0,7.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,12.0,9.0,10.0,11.0,7.0,10.0,9.0,11.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,0.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0
>ENST00000420409.1,10.0,10.0,8.0,11.0,9.0,10.0,11.0,10.0,9.0,11.0,11.0,9.0,9.0,12.0,11.0,10.0,8.0,11.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,0.0,15.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0
>ENST00000436307.1,10.0,11.0,9.0,11.0,12.0,9.0,10.0,11.0,9.0,12.0,13.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,13.0,9.0,11.0,10.0,11.0,9.0,9.0,10.0,11.0,15.0,0.0,10.0,13.0,11.0,11.0,12.0,11.0,10.0,11.0
>ENST00000619764.1,11.0,12.0,11.0,11.0,10.0,9.0,13.0,8.0,7.0,11.0,9.0,7.0,12.0,9.0,100.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,0.0,10.0,11.0,12.0,10.0,11.0,9.0,8.0
>ENST00000590052.1,9.0,11.0,7.0,9.0,13.0,10.0,10.0,8.0,10.0,12.0,8.0,9.0,10.0,11.0,10.0,10.0,6.0,8.0,9.0,11.0,9.0,8.0,14.0,11.0,9.0,8.0,9.0,11.0,9.0,10.0,13.0,10.0,0.0,9.0,10.0,12.0,8.0,9.0,9.0
>ENST00000451071.5,9.0,10.0,10.0,11.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,12.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,0.0,12.0,9.0,9.0,9.0,11.0
>ENST00000431719.1,10.0,12.0,7.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,11.0,7.0,11.0,16.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,11.0,8.0,12.0,11.0,12.0,10.0,12.0,0.0,8.0,10.0,9.0,9.0
>ENST00000468100.1,9.0,8.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,11.0,10.0,7.0,9.0,10.0,10.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,12.0,10.0,12.0,9.0,8.0,0.0,9.0,9.0,8.0
>ENST00000327086.8,8.0,15.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,10.0,9.0,7.0,9.0,11.0,9.0,8.0,6.0,8.0,9.0,10.0,10.0,8.0,12.0,8.0,10.0,9.0,8.0,11.0,8.0,10.0,11.0,11.0,8.0,9.0,10.0,9.0,0.0,10.0,9.0
>ENST00000439531.1,10.0,9.0,9.0,12.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,0.0,10.0
>ENST00000454320.1,9.0,8.0,9.0,11.0,8.0,7.0,10.0,8.0,6.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,6.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,0.0
