,>ENST00000447582.1,ENSG00000172215.5,>ENST00000592975.1,>ENST00000436067.1,>ENST00000457236.1,>ENST00000523272.1,>ENST00000549485.1,>ENST00000529746.2,>ENST00000588007.1,>ENST00000461060.1,>ENST00000503971.1,>ENST00000527904.1,>ENST00000612510.1,>ENST00000545069.1,>ENST00000605714.1,>ENST00000511142.1,>ENST00000401540.2,>ENST00000415286.1,ENSG00000253031.1,>ENST00000447665.2,ENSG00000121318.2,>ENST00000459978.1,>ENST00000445455.1,>ENST00000407015.1,>ENST00000510646.1,>ENST00000507189.2,>ENST00000421347.2,ENSG00000200597.1,>ENST00000616818.1,>ENST00000558683.2,>ENST00000559181.3
>ENST00000503971.1,11.0,12.0,12.0,10.0,12.0,10.0,10.0,10.0,9.0,11.0,0.0,10.0,9.0,12.0,11.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0,12.0,13.0,11.0,13.0,10.0,11.0,9.0,13.0,12.0
>ENST00000527904.1,9.0,13.0,12.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,10.0,0.0,11.0,12.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,13.0,15.0,10.0,11.0,9.0,10.0,9.0,10.0,11.0
>ENST00000612510.1,6.0,11.0,10.0,8.0,9.0,8.0,6.0,9.0,8.0,7.0,9.0,11.0,0.0,9.0,9.0,8.0,8.0,9.0,6.0,10.0,10.0,7.0,9.0,10.0,8.0,9.0,8.0,7.0,7.0,8.0,8.0
>ENST00000545069.1,8.0,11.0,10.0,10.0,12.0,9.0,8.0,10.0,10.0,10.0,12.0,12.0,9.0,0.0,11.0,9.0,11.0,10.0,9.0,16.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0
>ENST00000605714.1,11.0,12.0,10.0,11.0,9.0,9.0,8.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,0.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,12.0,9.0,9.0,11.0,8.0,11.0,11.0,10.0
>ENST00000511142.1,7.0,10.0,10.0,9.0,8.0,10.0,6.0,9.0,7.0,8.0,10.0,11.0,8.0,9.0,10.0,0.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,10.0,10.0
>ENST00000401540.2,9.0,11.0,12.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,8.0,11.0,11.0,9.0,0.0,10.0,7.0,9.0,10.0,11.0,11.0,10.0,12.0,10.0,11.0,9.0,9.0,10.0,9.0
>ENST00000415286.1,9.0,10.0,8.0,8.0,9.0,9.0,11.0,8.0,12.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,0.0,7.0,9.0,8.0,8.0,11.0,9.0,9.0,8.0,8.0,7.0,11.0,8.0,9.0
ENSG00000253031.1,6.0,11.0,7.0,7.0,9.0,7.0,6.0,7.0,6.0,8.0,8.0,8.0,6.0,9.0,9.0,8.0,7.0,7.0,0.0,10.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0
>ENST00000447665.2,7.0,11.0,10.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,16.0,9.0,9.0,9.0,9.0,10.0,0.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0
ENSG00000121318.2,8.0,13.0,10.0,10.0,10.0,11.0,8.0,12.0,8.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,7.0,9.0,0.0,9.0,11.0,11.0,11.0,11.0,10.0,9.0,8.0,10.0,9.0
>ENST00000459978.1,8.0,11.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,11.0,8.0,8.0,10.0,9.0,0.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0
>ENST00000445455.1,10.0,13.0,11.0,12.0,11.0,9.0,9.0,10.0,13.0,11.0,12.0,13.0,9.0,11.0,11.0,9.0,11.0,11.0,7.0,11.0,11.0,10.0,0.0,10.0,11.0,11.0,12.0,8.0,10.0,10.0,12.0
>ENST00000407015.1,8.0,12.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,13.0,15.0,10.0,9.0,12.0,10.0,10.0,9.0,8.0,9.0,11.0,8.0,10.0,0.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0
>ENST00000510646.1,8.0,12.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,12.0,9.0,9.0,9.0,11.0,10.0,11.0,11.0,0.0,10.0,10.0,8.0,10.0,11.0,9.0
>ENST00000507189.2,11.0,11.0,10.0,11.0,10.0,8.0,7.0,10.0,9.0,7.0,13.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,11.0,9.0,11.0,10.0,10.0,0.0,9.0,10.0,8.0,8.0,9.0
>ENST00000421347.2,8.0,12.0,17.0,12.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,11.0,8.0,8.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,0.0,8.0,8.0,9.0,9.0
ENSG00000200597.1,7.0,9.0,8.0,11.0,10.0,8.0,6.0,8.0,8.0,8.0,11.0,10.0,7.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,0.0,7.0,9.0,8.0
>ENST00000616818.1,8.0,10.0,8.0,7.0,10.0,9.0,7.0,8.0,7.0,8.0,9.0,9.0,7.0,8.0,11.0,7.0,9.0,11.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,8.0,8.0,7.0,0.0,9.0,8.0
>ENST00000558683.2,8.0,10.0,12.0,11.0,9.0,9.0,8.0,8.0,8.0,8.0,13.0,10.0,8.0,9.0,11.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,11.0,11.0,8.0,9.0,9.0,9.0,0.0,9.0
>ENST00000559181.3,7.0,11.0,10.0,8.0,11.0,9.0,6.0,11.0,9.0,9.0,12.0,11.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0
