,>ENST00000553642.1,ENSG00000228836.8,>ENST00000418634.1,>ENST00000615738.1,>ENST00000413248.1,>ENST00000417863.1,>ENST00000419150.2,>ENST00000528404.2,>ENST00000568522.1,>ENST00000515696.1,>ENST00000405081.1,>ENST00000558737.2,>ENST00000358455.4,>ENST00000416715.1,>ENST00000536597.2,>ENST00000567585.2,>ENST00000439152.1,>ENST00000565135.1,>ENST00000399720.4,>ENST00000605353.1,>ENST00000436766.2,>ENST00000398143.2,>ENST00000440791.1,>ENST00000424918.1,>ENST00000552837.1,>ENST00000426241.5,>ENST00000540641.1,>ENST00000457591.1
>ENST00000536597.2,10.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,8.0,11.0,9.0,9.0,10.0,0.0,12.0,10.0,10.0,12.0,7.0,11.0,10.0,10.0,8.0,8.0,11.0,9.0,12.0
>ENST00000567585.2,8.0,12.0,11.0,14.0,13.0,12.0,11.0,12.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,0.0,10.0,12.0,9.0,10.0,10.0,12.0,9.0,9.0,9.0,12.0,9.0,11.0
>ENST00000439152.1,9.0,15.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,11.0,10.0,10.0,0.0,11.0,10.0,10.0,9.0,10.0,9.0,21.0,9.0,10.0,8.0,12.0
>ENST00000565135.1,10.0,14.0,11.0,11.0,12.0,11.0,10.0,11.0,10.0,10.0,10.0,12.0,9.0,11.0,10.0,12.0,11.0,0.0,10.0,9.0,10.0,11.0,10.0,11.0,9.0,11.0,9.0,12.0
>ENST00000399720.4,8.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0,0.0,9.0,8.0,10.0,8.0,11.0,11.0,9.0,8.0,11.0
>ENST00000605353.1,9.0,10.0,10.0,10.0,8.0,10.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,8.0,7.0,10.0,10.0,9.0,9.0,0.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0
>ENST00000436766.2,7.0,12.0,12.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,8.0,10.0,11.0,10.0,9.0,10.0,8.0,8.0,0.0,9.0,9.0,11.0,8.0,9.0,9.0,11.0
>ENST00000398143.2,10.0,12.0,10.0,14.0,10.0,10.0,9.0,10.0,9.0,8.0,12.0,9.0,9.0,10.0,10.0,12.0,10.0,11.0,10.0,8.0,9.0,0.0,9.0,11.0,9.0,10.0,8.0,12.0
>ENST00000440791.1,8.0,12.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,0.0,9.0,8.0,10.0,11.0,10.0
>ENST00000424918.1,8.0,13.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,13.0,11.0,8.0,9.0,21.0,11.0,11.0,9.0,11.0,11.0,9.0,0.0,9.0,9.0,7.0,10.0
>ENST00000552837.1,7.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,11.0,8.0,8.0,9.0,8.0,9.0,0.0,9.0,7.0,8.0
>ENST00000426241.5,8.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,9.0,10.0,11.0,12.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,9.0,12.0
>ENST00000540641.1,10.0,10.0,7.0,8.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,11.0,7.0,7.0,9.0,0.0,10.0
>ENST00000457591.1,11.0,12.0,13.0,10.0,9.0,11.0,10.0,10.0,11.0,9.0,11.0,9.0,12.0,11.0,12.0,11.0,12.0,12.0,11.0,8.0,11.0,12.0,10.0,10.0,8.0,12.0,10.0,0.0
