,>ENST00000520175.1,>ENST00000511509.1,>ENST00000621416.1,>ENST00000425174.1,>ENST00000435125.1,>ENST00000595968.1,>ENST00000469035.1,>ENST00000444526.1,>ENST00000419906.1,>ENST00000624801.3,>ENST00000510601.2,>ENST00000417797.1,>ENST00000472867.2,>ENST00000419629.1,>ENST00000401029.3,>ENST00000433923.1,>ENST00000585232.1,>ENST00000458237.1,>ENST00000482216.1,>ENST00000552265.2,>ENST00000418901.1,>ENST00000521874.1,>ENST00000509604.2,>ENST00000453620.1,>ENST00000531567.1,>ENST00000448575.5,>ENST00000603448.1,>ENST00000445475.1,>ENST00000441984.1,>ENST00000604229.1,>ENST00000605596.1,>ENST00000435496.1,>ENST00000431978.1,>ENST00000520143.1,>ENST00000620593.1,>ENST00000455300.1,>ENST00000494673.1,>ENST00000514557.1,>ENST00000618038.1,>ENST00000424595.1,>ENST00000414414.1,>ENST00000512837.1,>ENST00000562497.1,>ENST00000440076.1,>ENST00000526613.1,>ENST00000546650.1,>ENST00000421421.1,>ENST00000494533.2
>ENST00000510601.2,10.0,10.0,9.0,8.0,10.0,11.0,11.0,9.0,9.0,14.0,0.0,11.0,10.0,14.0,10.0,9.0,12.0,9.0,9.0,13.0,9.0,9.0,10.0,9.0,11.0,12.0,9.0,8.0,11.0,9.0,9.0,12.0,12.0,9.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,11.0,10.0
>ENST00000417797.1,9.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,11.0,0.0,13.0,11.0,9.0,8.0,10.0,9.0,9.0,15.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,6.0,9.0,9.0,8.0,11.0,11.0,9.0,6.0,10.0,12.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,11.0
>ENST00000472867.2,10.0,12.0,11.0,7.0,10.0,8.0,11.0,8.0,9.0,21.0,10.0,13.0,0.0,9.0,9.0,8.0,12.0,11.0,10.0,12.0,10.0,9.0,9.0,10.0,10.0,12.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,8.0,8.0,10.0,10.0
>ENST00000419629.1,10.0,10.0,12.0,8.0,11.0,8.0,9.0,10.0,9.0,9.0,14.0,11.0,9.0,0.0,11.0,8.0,11.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,8.0,10.0,10.0,8.0,10.0,11.0,9.0,10.0,14.0,11.0,8.0,10.0,11.0,8.0,8.0,11.0,9.0,9.0,11.0,8.0,8.0,8.0,9.0,11.0
>ENST00000401029.3,9.0,10.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,0.0,8.0,10.0,10.0,10.0,12.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,16.0,8.0,12.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0
>ENST00000433923.1,10.0,9.0,8.0,6.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,0.0,9.0,9.0,10.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,7.0,7.0,8.0,11.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,7.0,11.0,9.0
>ENST00000585232.1,9.0,10.0,11.0,7.0,9.0,10.0,12.0,10.0,9.0,11.0,12.0,10.0,12.0,11.0,10.0,9.0,0.0,11.0,10.0,11.0,8.0,9.0,8.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,13.0,9.0,8.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0,10.0,12.0,11.0,12.0,10.0,11.0
>ENST00000458237.1,10.0,10.0,10.0,7.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,11.0,0.0,10.0,11.0,11.0,9.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,12.0,11.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0
>ENST00000482216.1,9.0,9.0,10.0,8.0,10.0,8.0,9.0,13.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,12.0,11.0,9.0,10.0,9.0,8.0,9.0,13.0,7.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,10.0,8.0,7.0,10.0,8.0
>ENST00000552265.2,9.0,10.0,13.0,9.0,9.0,10.0,12.0,9.0,12.0,11.0,13.0,15.0,12.0,10.0,12.0,9.0,11.0,11.0,12.0,0.0,9.0,10.0,10.0,10.0,11.0,10.0,12.0,8.0,9.0,10.0,9.0,10.0,12.0,11.0,8.0,10.0,12.0,11.0,9.0,11.0,11.0,11.0,9.0,11.0,10.0,9.0,11.0,13.0
>ENST00000418901.1,9.0,11.0,8.0,9.0,8.0,7.0,8.0,13.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,11.0,11.0,9.0,0.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,7.0,7.0,7.0,11.0,9.0,9.0,11.0,10.0,8.0,9.0,8.0,8.0,10.0,12.0,9.0
>ENST00000521874.1,9.0,11.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,11.0,8.0,7.0,9.0,9.0,9.0,10.0,8.0,0.0,10.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,10.0,10.0,8.0,7.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,11.0
>ENST00000509604.2,9.0,9.0,10.0,6.0,9.0,8.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,11.0,10.0,10.0,10.0,10.0,0.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,14.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0
>ENST00000453620.1,9.0,9.0,10.0,9.0,9.0,8.0,11.0,12.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,9.0,0.0,9.0,10.0,10.0,9.0,11.0,13.0,8.0,12.0,12.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,11.0,8.0,9.0,8.0,11.0,9.0
>ENST00000531567.1,12.0,10.0,12.0,9.0,9.0,14.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0,8.0,11.0,9.0,8.0,9.0,9.0,0.0,10.0,9.0,11.0,10.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,12.0,12.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,12.0
>ENST00000448575.5,9.0,10.0,12.0,7.0,11.0,10.0,11.0,9.0,10.0,10.0,12.0,9.0,12.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,0.0,10.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,8.0,11.0,12.0,9.0,9.0,13.0,10.0,10.0,10.0,10.0,9.0,8.0,11.0,10.0
>ENST00000603448.1,8.0,11.0,9.0,6.0,8.0,9.0,12.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,10.0,13.0,12.0,9.0,8.0,9.0,10.0,9.0,10.0,0.0,10.0,11.0,9.0,9.0,12.0,12.0,10.0,9.0,11.0,14.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0
>ENST00000445475.1,7.0,8.0,8.0,6.0,10.0,10.0,8.0,9.0,8.0,7.0,8.0,6.0,8.0,8.0,9.0,7.0,10.0,9.0,7.0,8.0,8.0,8.0,8.0,9.0,11.0,9.0,10.0,0.0,10.0,7.0,6.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,10.0,11.0,10.0,8.0,9.0,9.0
>ENST00000441984.1,10.0,11.0,11.0,8.0,11.0,9.0,10.0,10.0,10.0,13.0,11.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0,10.0,0.0,8.0,8.0,11.0,10.0,11.0,8.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,12.0,11.0,9.0,14.0
>ENST00000604229.1,10.0,9.0,10.0,6.0,10.0,7.0,9.0,8.0,8.0,12.0,9.0,9.0,10.0,11.0,16.0,8.0,11.0,11.0,8.0,10.0,7.0,8.0,9.0,13.0,8.0,10.0,9.0,7.0,8.0,0.0,9.0,9.0,11.0,8.0,7.0,10.0,11.0,9.0,8.0,9.0,7.0,9.0,10.0,7.0,7.0,8.0,8.0,9.0
>ENST00000605596.1,7.0,12.0,9.0,6.0,8.0,7.0,8.0,11.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,7.0,10.0,8.0,9.0,9.0,9.0,6.0,8.0,9.0,0.0,9.0,10.0,8.0,7.0,9.0,14.0,9.0,9.0,10.0,9.0,11.0,9.0,6.0,7.0,8.0,8.0,12.0
>ENST00000435496.1,9.0,11.0,12.0,8.0,9.0,9.0,11.0,13.0,10.0,11.0,12.0,11.0,10.0,10.0,12.0,9.0,11.0,9.0,10.0,10.0,8.0,10.0,9.0,12.0,9.0,12.0,12.0,8.0,11.0,9.0,9.0,0.0,13.0,10.0,7.0,9.0,11.0,11.0,9.0,10.0,11.0,11.0,10.0,11.0,9.0,10.0,13.0,10.0
>ENST00000431978.1,11.0,12.0,10.0,8.0,11.0,10.0,10.0,11.0,11.0,9.0,12.0,11.0,10.0,14.0,10.0,9.0,13.0,12.0,10.0,12.0,9.0,10.0,14.0,12.0,10.0,10.0,12.0,8.0,10.0,11.0,10.0,13.0,0.0,12.0,8.0,11.0,12.0,9.0,12.0,9.0,12.0,11.0,11.0,9.0,8.0,9.0,12.0,11.0
>ENST00000520143.1,8.0,9.0,10.0,7.0,8.0,10.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,11.0,8.0,7.0,9.0,11.0,8.0,11.0,7.0,8.0,10.0,9.0,8.0,10.0,10.0,8.0,11.0,8.0,8.0,10.0,12.0,0.0,6.0,8.0,10.0,8.0,11.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0
>ENST00000620593.1,7.0,8.0,8.0,6.0,8.0,9.0,7.0,9.0,6.0,7.0,8.0,6.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,0.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,7.0,6.0,9.0,10.0,9.0
>ENST00000455300.1,7.0,9.0,8.0,8.0,11.0,10.0,10.0,9.0,12.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,7.0,8.0,10.0,9.0,8.0,11.0,11.0,8.0,11.0,10.0,9.0,9.0,11.0,8.0,7.0,0.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0,10.0,10.0
>ENST00000494673.1,11.0,10.0,11.0,8.0,12.0,9.0,11.0,12.0,11.0,12.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,12.0,11.0,10.0,10.0,10.0,12.0,12.0,14.0,9.0,12.0,11.0,14.0,11.0,12.0,10.0,9.0,11.0,0.0,10.0,10.0,10.0,11.0,12.0,11.0,11.0,10.0,12.0,10.0,11.0
>ENST00000514557.1,11.0,10.0,10.0,8.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,12.0,9.0,11.0,7.0,11.0,9.0,9.0,11.0,9.0,8.0,8.0,8.0,10.0,0.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,10.0
>ENST00000618038.1,9.0,9.0,9.0,7.0,10.0,7.0,9.0,8.0,8.0,10.0,12.0,9.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,12.0,11.0,8.0,9.0,10.0,9.0,0.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,10.0
>ENST00000424595.1,9.0,13.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,11.0,11.0,11.0,9.0,10.0,11.0,10.0,13.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,0.0,9.0,11.0,12.0,8.0,9.0,9.0,9.0,11.0
>ENST00000414414.1,8.0,9.0,11.0,6.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,8.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0,7.0,9.0,11.0,12.0,8.0,8.0,8.0,11.0,9.0,8.0,9.0,0.0,8.0,8.0,11.0,10.0,8.0,8.0,10.0
>ENST00000512837.1,9.0,12.0,10.0,7.0,9.0,8.0,11.0,8.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,9.0,11.0,11.0,11.0,10.0,8.0,9.0,12.0,9.0,9.0,11.0,8.0,0.0,8.0,9.0,8.0,10.0,9.0,10.0
>ENST00000562497.1,9.0,10.0,11.0,7.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,11.0,9.0,9.0,12.0,8.0,8.0,0.0,8.0,9.0,10.0,9.0,10.0
>ENST00000440076.1,8.0,9.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,9.0,10.0,8.0,10.0,8.0,9.0,8.0,12.0,9.0,10.0,11.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,11.0,11.0,7.0,6.0,11.0,9.0,8.0,7.0,10.0,11.0,8.0,8.0,8.0,11.0,9.0,8.0,0.0,9.0,8.0,8.0,9.0
>ENST00000526613.1,7.0,9.0,11.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,12.0,10.0,12.0,7.0,7.0,9.0,8.0,8.0,6.0,8.0,10.0,11.0,8.0,9.0,10.0,8.0,9.0,9.0,0.0,9.0,8.0,10.0
>ENST00000546650.1,8.0,9.0,8.0,6.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,12.0,10.0,7.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,11.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,12.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,9.0,0.0,10.0,10.0
>ENST00000421421.1,9.0,8.0,9.0,7.0,9.0,8.0,11.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,12.0,8.0,10.0,11.0,10.0,11.0,9.0,9.0,9.0,8.0,8.0,13.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,0.0,10.0
>ENST00000494533.2,8.0,10.0,10.0,8.0,10.0,13.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,11.0,8.0,8.0,13.0,9.0,11.0,10.0,9.0,12.0,10.0,9.0,9.0,14.0,9.0,12.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,0.0
