,ENSG00000238778.1,>ENST00000494737.5,>ENST00000431410.1,>ENST00000469884.1,>ENST00000438300.1,>ENST00000421102.5,ENSG00000272393.1,ENSG00000272166.1,>ENST00000420638.2,>ENST00000502867.2,>ENST00000539757.1,>ENST00000605576.1,>ENST00000511823.1,>ENST00000510501.1,ENSG00000206762.1,>ENST00000422384.2,>ENST00000547218.1,>ENST00000496255.1,>ENST00000505438.2,>ENST00000393023.2,>ENST00000441309.1,>ENST00000447075.1,>ENST00000530158.1,>ENST00000427818.1,>ENST00000452388.1,>ENST00000432690.1,>ENST00000454598.1,>ENST00000442927.1,>ENST00000480827.1
>ENST00000539757.1,8.0,12.0,13.0,13.0,13.0,12.0,9.0,9.0,12.0,11.0,0.0,9.0,11.0,11.0,9.0,11.0,10.0,11.0,13.0,16.0,12.0,10.0,12.0,11.0,9.0,11.0,10.0,11.0,12.0
>ENST00000605576.1,7.0,9.0,10.0,7.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,0.0,10.0,12.0,7.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,12.0,11.0,9.0,10.0,10.0,9.0
>ENST00000511823.1,6.0,12.0,8.0,9.0,11.0,10.0,8.0,7.0,8.0,10.0,11.0,10.0,0.0,9.0,7.0,8.0,12.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,15.0,10.0
>ENST00000510501.1,8.0,10.0,12.0,10.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,12.0,9.0,0.0,8.0,10.0,10.0,12.0,11.0,11.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,10.0
ENSG00000206762.1,6.0,7.0,8.0,8.0,10.0,8.0,8.0,6.0,9.0,7.0,9.0,7.0,7.0,8.0,0.0,7.0,8.0,8.0,10.0,7.0,8.0,7.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0
>ENST00000422384.2,10.0,9.0,9.0,11.0,9.0,10.0,7.0,7.0,11.0,10.0,11.0,8.0,8.0,10.0,7.0,0.0,9.0,11.0,10.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0
>ENST00000547218.1,7.0,9.0,9.0,13.0,11.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,12.0,10.0,8.0,9.0,0.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,12.0,8.0
>ENST00000496255.1,7.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,9.0,9.0,11.0,9.0,8.0,12.0,8.0,11.0,9.0,0.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0
>ENST00000505438.2,8.0,9.0,11.0,10.0,11.0,9.0,9.0,7.0,10.0,10.0,13.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,0.0,12.0,10.0,13.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0
>ENST00000393023.2,7.0,11.0,10.0,10.0,9.0,10.0,11.0,7.0,11.0,9.0,16.0,9.0,10.0,11.0,7.0,9.0,10.0,9.0,12.0,0.0,11.0,8.0,11.0,11.0,10.0,8.0,8.0,12.0,9.0
>ENST00000441309.1,9.0,10.0,10.0,9.0,10.0,10.0,9.0,7.0,11.0,11.0,12.0,9.0,10.0,11.0,8.0,10.0,9.0,10.0,10.0,11.0,0.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0
>ENST00000447075.1,7.0,9.0,11.0,10.0,10.0,11.0,9.0,8.0,11.0,8.0,10.0,10.0,9.0,10.0,7.0,10.0,10.0,8.0,13.0,8.0,9.0,0.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0
>ENST00000530158.1,8.0,11.0,12.0,10.0,12.0,10.0,8.0,7.0,11.0,10.0,12.0,8.0,8.0,11.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,10.0,0.0,10.0,9.0,9.0,9.0,9.0,11.0
>ENST00000427818.1,7.0,9.0,13.0,11.0,10.0,11.0,9.0,8.0,9.0,10.0,11.0,12.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,10.0,10.0,10.0,0.0,8.0,9.0,8.0,10.0,10.0
>ENST00000452388.1,8.0,11.0,9.0,11.0,11.0,10.0,8.0,7.0,11.0,9.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,0.0,10.0,9.0,10.0,10.0
>ENST00000432690.1,7.0,11.0,10.0,10.0,9.0,11.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,10.0,0.0,9.0,10.0,9.0
>ENST00000454598.1,7.0,8.0,8.0,10.0,9.0,10.0,6.0,5.0,8.0,8.0,10.0,10.0,8.0,10.0,7.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,0.0,8.0,8.0
>ENST00000442927.1,9.0,9.0,10.0,11.0,9.0,10.0,8.0,10.0,10.0,11.0,11.0,10.0,15.0,10.0,8.0,9.0,12.0,10.0,9.0,12.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,0.0,9.0
>ENST00000480827.1,8.0,10.0,13.0,12.0,13.0,10.0,7.0,8.0,9.0,9.0,12.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0,0.0
