,>ENST00000480365.1,>ENST00000554603.1,>ENST00000407465.1,>ENST00000594355.1,>ENST00000426065.2,>ENST00000497325.1,>ENST00000401674.1,>ENST00000430369.2,>ENST00000496431.1,>ENST00000566796.2,>ENST00000428602.1,>ENST00000412509.2,>ENST00000438005.1,>ENST00000418613.2,>ENST00000402778.2,>ENST00000614100.1,>ENST00000433735.1,>ENST00000400354.2,>ENST00000515689.1,>ENST00000445436.1,>ENST00000560040.1,>ENST00000556877.2,>ENST00000453883.1,>ENST00000547454.1,>ENST00000618472.1,>ENST00000445109.1,>ENST00000511122.1,>ENST00000451906.2,>ENST00000460914.1,>ENST00000486157.1,>ENST00000443300.1,>ENST00000424380.1,>ENST00000458400.1,>ENST00000605010.1,>ENST00000478088.1,>ENST00000490941.1,>ENST00000515630.2,>ENST00000494197.1,>ENST00000560782.2,>ENST00000465689.1,>ENST00000604895.1,>ENST00000461260.3,>ENST00000584511.1,>ENST00000402141.1,>ENST00000449338.1
>ENST00000412509.2,9.0,10.0,10.0,10.0,11.0,12.0,11.0,8.0,13.0,12.0,10.0,0.0,11.0,10.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,10.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,9.0,13.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,8.0
>ENST00000438005.1,10.0,11.0,10.0,9.0,9.0,10.0,11.0,7.0,10.0,11.0,8.0,11.0,0.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,14.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0
>ENST00000418613.2,11.0,11.0,10.0,9.0,9.0,12.0,9.0,8.0,8.0,10.0,7.0,10.0,9.0,0.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,13.0,11.0,12.0,10.0,11.0,9.0,10.0,11.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,10.0,9.0
>ENST00000402778.2,12.0,9.0,11.0,10.0,8.0,8.0,9.0,7.0,8.0,9.0,7.0,10.0,11.0,9.0,0.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,8.0,9.0,7.0,10.0,8.0,9.0
>ENST00000614100.1,9.0,10.0,13.0,10.0,10.0,10.0,9.0,9.0,10.0,12.0,8.0,12.0,9.0,10.0,9.0,0.0,9.0,9.0,11.0,11.0,10.0,10.0,8.0,10.0,9.0,7.0,8.0,10.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,12.0
>ENST00000433735.1,8.0,10.0,8.0,8.0,8.0,9.0,11.0,7.0,8.0,10.0,6.0,10.0,8.0,9.0,10.0,9.0,0.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,10.0,8.0,8.0
>ENST00000400354.2,9.0,10.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,13.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,10.0,9.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,13.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,12.0
>ENST00000515689.1,9.0,11.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,11.0,8.0,9.0,10.0,8.0,8.0,11.0,8.0,10.0,0.0,8.0,12.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,12.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0
>ENST00000445436.1,8.0,8.0,8.0,10.0,8.0,9.0,7.0,8.0,8.0,11.0,8.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,0.0,8.0,10.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,12.0,11.0,8.0,8.0,9.0,10.0,8.0,10.0
>ENST00000560040.1,8.0,9.0,11.0,10.0,10.0,12.0,8.0,9.0,11.0,14.0,7.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,12.0,8.0,0.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,11.0,8.0,8.0,10.0,9.0,10.0
>ENST00000556877.2,9.0,11.0,7.0,9.0,8.0,10.0,8.0,10.0,10.0,11.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,9.0,0.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,11.0,10.0,9.0,8.0,10.0,10.0,8.0
>ENST00000453883.1,9.0,10.0,8.0,8.0,8.0,10.0,7.0,9.0,10.0,9.0,9.0,8.0,11.0,10.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,0.0,11.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,12.0,9.0,8.0,12.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,8.0,11.0
>ENST00000547454.1,9.0,9.0,11.0,9.0,10.0,11.0,8.0,9.0,8.0,9.0,10.0,12.0,9.0,11.0,8.0,10.0,8.0,11.0,9.0,8.0,10.0,9.0,11.0,0.0,9.0,8.0,9.0,10.0,10.0,10.0,12.0,9.0,9.0,10.0,10.0,15.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,8.0
>ENST00000618472.1,9.0,8.0,8.0,8.0,10.0,10.0,7.0,8.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,11.0,9.0,0.0,7.0,8.0,26.0,8.0,9.0,8.0,11.0,10.0,8.0,12.0,11.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,8.0,8.0
>ENST00000445109.1,7.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,8.0,11.0,6.0,8.0,9.0,8.0,7.0,7.0,7.0,8.0,10.0,7.0,8.0,8.0,9.0,8.0,7.0,0.0,8.0,7.0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,9.0,9.0,7.0
>ENST00000511122.1,9.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,0.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,12.0,8.0,9.0
>ENST00000451906.2,9.0,9.0,9.0,9.0,10.0,9.0,8.0,7.0,9.0,10.0,8.0,10.0,11.0,10.0,9.0,10.0,9.0,13.0,9.0,9.0,9.0,9.0,10.0,10.0,26.0,7.0,9.0,0.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0
>ENST00000460914.1,10.0,10.0,9.0,9.0,9.0,8.0,6.0,8.0,7.0,11.0,6.0,9.0,11.0,13.0,8.0,10.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,0.0,8.0,8.0,10.0,9.0,7.0,9.0,8.0,7.0,9.0,9.0,11.0,11.0,8.0,8.0,8.0,8.0
>ENST00000486157.1,9.0,9.0,9.0,12.0,9.0,388.0,8.0,7.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,12.0,8.0,10.0,10.0,9.0,7.0,10.0,9.0,8.0,0.0,9.0,10.0,9.0,10.0,13.0,11.0,10.0,10.0,11.0,9.0,10.0,11.0,11.0,10.0,8.0
>ENST00000443300.1,10.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,12.0,10.0,9.0,10.0,14.0,12.0,8.0,10.0,8.0,9.0,10.0,8.0,10.0,8.0,10.0,12.0,8.0,9.0,9.0,10.0,8.0,9.0,0.0,10.0,9.0,8.0,10.0,10.0,8.0,8.0,10.0,9.0,11.0,9.0,12.0,9.0,10.0
>ENST00000424380.1,11.0,10.0,9.0,8.0,8.0,11.0,9.0,8.0,8.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,11.0,7.0,9.0,10.0,10.0,10.0,10.0,0.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,7.0,9.0,8.0,11.0,10.0,8.0
>ENST00000458400.1,11.0,10.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,7.0,11.0,9.0,11.0,9.0,10.0,8.0,10.0,10.0,7.0,9.0,9.0,12.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,0.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0
>ENST00000605010.1,10.0,8.0,8.0,9.0,11.0,8.0,7.0,9.0,8.0,9.0,6.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,7.0,8.0,10.0,7.0,10.0,8.0,9.0,10.0,0.0,9.0,9.0,8.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0
>ENST00000478088.1,9.0,9.0,12.0,11.0,8.0,9.0,8.0,11.0,8.0,11.0,12.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,12.0,8.0,9.0,8.0,9.0,13.0,10.0,10.0,8.0,9.0,0.0,10.0,8.0,11.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0
>ENST00000490941.1,9.0,11.0,9.0,9.0,12.0,12.0,9.0,8.0,10.0,10.0,8.0,13.0,10.0,11.0,10.0,12.0,9.0,9.0,9.0,9.0,12.0,9.0,12.0,15.0,11.0,8.0,9.0,11.0,8.0,11.0,10.0,10.0,11.0,9.0,10.0,0.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0
>ENST00000515630.2,10.0,9.0,9.0,9.0,8.0,11.0,8.0,8.0,7.0,12.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,12.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,0.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,7.0
>ENST00000494197.1,14.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,10.0,7.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,12.0,10.0,10.0,9.0,10.0,10.0,7.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,10.0,10.0,0.0,10.0,12.0,9.0,9.0,9.0,10.0,8.0
>ENST00000560782.2,10.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,8.0,11.0,10.0,11.0,10.0,8.0,10.0,7.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,0.0,9.0,9.0,9.0,11.0,14.0,11.0
>ENST00000465689.1,9.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,7.0,10.0,6.0,9.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0,10.0,7.0,8.0,9.0,11.0,9.0,9.0,7.0,9.0,8.0,10.0,10.0,9.0,12.0,9.0,0.0,8.0,10.0,8.0,8.0,9.0
>ENST00000604895.1,10.0,10.0,9.0,10.0,9.0,10.0,11.0,8.0,9.0,10.0,6.0,11.0,10.0,11.0,9.0,10.0,11.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0,10.0,11.0,9.0,11.0,11.0,8.0,8.0,10.0,9.0,9.0,8.0,0.0,8.0,9.0,9.0,7.0
>ENST00000461260.3,9.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,7.0,8.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,0.0,10.0,12.0,8.0
>ENST00000584511.1,11.0,8.0,11.0,9.0,8.0,11.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,12.0,9.0,8.0,11.0,12.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,0.0,9.0,9.0
>ENST00000402141.1,10.0,11.0,8.0,7.0,8.0,10.0,9.0,8.0,9.0,9.0,7.0,10.0,11.0,10.0,8.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,8.0,10.0,8.0,9.0,8.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,14.0,8.0,9.0,12.0,9.0,0.0,8.0
>ENST00000449338.1,9.0,8.0,8.0,10.0,8.0,10.0,7.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,8.0,12.0,10.0,10.0,10.0,8.0,11.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,10.0,7.0,8.0,11.0,9.0,7.0,8.0,9.0,8.0,0.0
