,ENSG00000136997.15,ENSG00000242360.3,ENSG00000222952.1,ENSG00000221333.1,ENSG00000103024.7,ENSG00000187857.3,ENSG00000212273.1,ENSG00000212571.1,ENSG00000259803.6,ENSG00000221432.1,ENSG00000274764.5,ENSG00000277858.1,ENSG00000207287.1,ENSG00000159961.1,ENSG00000264963.2,ENSG00000273717.1,ENSG00000142700.11,ENSG00000223202.1,ENSG00000221428.1,ENSG00000129951.18,ENSG00000264071.2,ENSG00000169327.4,ENSG00000207214.1,ENSG00000207382.1,ENSG00000202016.1,ENSG00000204246.2,ENSG00000222068.1,ENSG00000276525.1,ENSG00000274529.4,ENSG00000221590.1
ENSG00000223202.1,11.0,8.0,8.0,6.0,9.0,8.0,7.0,8.0,10.0,7.0,11.0,8.0,8.0,9.0,8.0,11.0,10.0,0.0,6.0,10.0,7.0,12.0,6.0,7.0,8.0,8.0,49.0,8.0,9.0,6.0
ENSG00000221428.1,13.0,8.0,6.0,25.0,8.0,8.0,8.0,6.0,9.0,40.0,9.0,7.0,6.0,9.0,8.0,6.0,11.0,6.0,0.0,9.0,6.0,10.0,7.0,5.0,6.0,7.0,7.0,7.0,8.0,7.0
ENSG00000129951.18,65.0,30.0,9.0,12.0,17.0,11.0,11.0,10.0,75.0,9.0,75.0,12.0,9.0,12.0,97.0,26.0,15.0,10.0,9.0,0.0,138.0,11.0,9.0,9.0,11.0,12.0,11.0,18.0,12.0,10.0
ENSG00000264071.2,11.0,23.0,8.0,6.0,9.0,8.0,8.0,10.0,11.0,6.0,76.0,10.0,8.0,8.0,63.0,24.0,10.0,7.0,6.0,138.0,0.0,10.0,9.0,7.0,8.0,10.0,7.0,18.0,8.0,10.0
ENSG00000169327.4,15.0,10.0,8.0,9.0,12.0,18.0,7.0,9.0,11.0,10.0,13.0,8.0,8.0,17.0,10.0,10.0,10.0,12.0,10.0,11.0,10.0,0.0,8.0,8.0,9.0,14.0,11.0,11.0,9.0,10.0
ENSG00000207214.1,8.0,7.0,6.0,7.0,8.0,8.0,7.0,9.0,10.0,7.0,13.0,6.0,17.0,9.0,7.0,10.0,9.0,6.0,7.0,9.0,9.0,8.0,0.0,8.0,18.0,10.0,6.0,6.0,7.0,10.0
ENSG00000207382.1,10.0,7.0,7.0,7.0,9.0,8.0,7.0,5.0,10.0,9.0,10.0,6.0,6.0,8.0,6.0,7.0,9.0,7.0,5.0,9.0,7.0,8.0,8.0,0.0,6.0,9.0,7.0,6.0,8.0,7.0
ENSG00000202016.1,9.0,7.0,5.0,6.0,8.0,9.0,7.0,7.0,9.0,5.0,9.0,7.0,32.0,9.0,8.0,7.0,9.0,8.0,6.0,11.0,8.0,9.0,18.0,6.0,0.0,9.0,6.0,8.0,8.0,10.0
ENSG00000204246.2,12.0,9.0,8.0,8.0,9.0,13.0,10.0,7.0,10.0,7.0,12.0,8.0,9.0,19.0,9.0,10.0,10.0,8.0,7.0,12.0,10.0,14.0,10.0,9.0,9.0,0.0,9.0,10.0,9.0,7.0
ENSG00000222068.1,10.0,9.0,7.0,6.0,9.0,10.0,8.0,7.0,11.0,7.0,12.0,7.0,8.0,9.0,8.0,9.0,10.0,49.0,7.0,11.0,7.0,11.0,6.0,7.0,6.0,9.0,0.0,8.0,9.0,7.0
ENSG00000276525.1,9.0,29.0,10.0,9.0,10.0,9.0,7.0,7.0,12.0,6.0,14.0,8.0,7.0,10.0,18.0,26.0,12.0,8.0,7.0,18.0,18.0,11.0,6.0,6.0,8.0,10.0,8.0,0.0,9.0,7.0
ENSG00000274529.4,11.0,10.0,8.0,6.0,10.0,13.0,7.0,8.0,11.0,7.0,12.0,10.0,11.0,11.0,10.0,10.0,13.0,9.0,8.0,12.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,0.0,6.0
ENSG00000221590.1,9.0,7.0,6.0,7.0,8.0,8.0,8.0,6.0,10.0,6.0,10.0,6.0,10.0,8.0,9.0,7.0,9.0,6.0,7.0,10.0,10.0,10.0,10.0,7.0,10.0,7.0,7.0,7.0,6.0,0.0
