,>ENST00000428521.1,>ENST00000442351.1,>ENST00000427866.1,>ENST00000429534.1,>ENST00000439124.1,>ENST00000447387.1,>ENST00000443337.1,>ENST00000461543.1,>ENST00000634531.1,ENSG00000281259.1,>ENST00000594327.1,>ENST00000422642.5,>ENST00000448601.1,>ENST00000496953.1,>ENST00000539347.1,>ENST00000418418.1,>ENST00000520387.1,>ENST00000522436.1,>ENST00000458338.1,>ENST00000402856.2,>ENST00000592589.1,>ENST00000556075.2,>ENST00000432681.1,>ENST00000534767.1,>ENST00000515686.1,>ENST00000469549.3,>ENST00000420303.2,>ENST00000513791.1,>ENST00000511141.1,>ENST00000465845.2,>ENST00000445481.1,>ENST00000555080.1,>ENST00000564816.1,>ENST00000495104.1,>ENST00000493002.2,>ENST00000424928.1,>ENST00000455685.1,>ENST00000441193.1,>ENST00000589299.1,>ENST00000562927.2,>ENST00000422197.2,>ENST00000430398.2,>ENST00000443465.1,>ENST00000603832.1,>ENST00000437672.1,>ENST00000477100.1,>ENST00000328713.5
>ENST00000520387.1,8.0,11.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,6.0,7.0,10.0,8.0,9.0,9.0,7.0,0.0,8.0,7.0,8.0,8.0,8.0,11.0,10.0,8.0,11.0,10.0,9.0,10.0,9.0,6.0,9.0,10.0,8.0,8.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,7.0,9.0,10.0
>ENST00000522436.1,10.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,10.0,7.0,10.0,10.0,9.0,9.0,9.0,8.0,0.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,10.0,8.0,8.0,7.0,13.0,9.0,8.0,9.0,10.0,12.0,10.0,70.0,7.0,8.0,10.0
>ENST00000458338.1,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,7.0,8.0,7.0,8.0,0.0,10.0,8.0,9.0,8.0,11.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,8.0,10.0,7.0,9.0,8.0,10.0,9.0,7.0,7.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0
>ENST00000402856.2,10.0,10.0,11.0,11.0,11.0,9.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,0.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,11.0,9.0,11.0,7.0,9.0,10.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,14.0,11.0,10.0,9.0,9.0,8.0,11.0
>ENST00000592589.1,9.0,10.0,13.0,11.0,10.0,10.0,8.0,10.0,10.0,9.0,12.0,11.0,10.0,9.0,8.0,11.0,8.0,9.0,8.0,10.0,0.0,10.0,10.0,11.0,9.0,8.0,10.0,8.0,10.0,8.0,8.0,9.0,12.0,11.0,8.0,10.0,12.0,9.0,8.0,9.0,9.0,12.0,11.0,9.0,8.0,10.0,10.0
>ENST00000556075.2,10.0,669.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,10.0,10.0,10.0,12.0,9.0,8.0,9.0,9.0,10.0,10.0,0.0,11.0,11.0,9.0,14.0,10.0,9.0,10.0,9.0,9.0,12.0,11.0,10.0,8.0,9.0,10.0,10.0,8.0,9.0,12.0,11.0,11.0,11.0,8.0,9.0,10.0
>ENST00000432681.1,8.0,9.0,11.0,12.0,8.0,10.0,8.0,121.0,11.0,8.0,7.0,13.0,8.0,9.0,10.0,8.0,11.0,8.0,8.0,9.0,10.0,11.0,0.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,8.0,8.0,11.0,9.0,9.0,8.0,11.0,10.0,8.0,10.0,11.0,11.0,10.0,8.0,9.0,11.0,10.0
>ENST00000534767.1,10.0,11.0,10.0,11.0,10.0,14.0,11.0,10.0,10.0,10.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,0.0,10.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,10.0,11.0,13.0,13.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0
>ENST00000515686.1,8.0,11.0,9.0,10.0,13.0,9.0,7.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,0.0,10.0,10.0,9.0,10.0,12.0,7.0,11.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0,9.0,8.0,12.0,13.0,8.0,9.0,9.0,8.0
>ENST00000469549.3,12.0,14.0,10.0,9.0,11.0,11.0,7.0,10.0,10.0,11.0,8.0,11.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0,11.0,8.0,14.0,11.0,11.0,10.0,0.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,9.0,12.0,11.0,9.0,9.0,11.0,11.0,10.0,9.0,8.0,12.0,11.0
>ENST00000420303.2,10.0,10.0,10.0,10.0,12.0,9.0,10.0,9.0,11.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,12.0,10.0,9.0,0.0,12.0,10.0,10.0,8.0,10.0,10.0,11.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,14.0,10.0,11.0,9.0,8.0,11.0
>ENST00000513791.1,8.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0,11.0,9.0,9.0,12.0,0.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0
>ENST00000511141.1,10.0,10.0,9.0,11.0,9.0,12.0,7.0,11.0,10.0,8.0,8.0,11.0,10.0,13.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,0.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,11.0,12.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0
>ENST00000465845.2,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,7.0,11.0,8.0,9.0,9.0,11.0,12.0,10.0,10.0,9.0,9.0,0.0,8.0,9.0,9.0,9.0,9.0,7.0,12.0,9.0,8.0,8.0,10.0,11.0,10.0,10.0,7.0,8.0,10.0
>ENST00000445481.1,7.0,7.0,8.0,8.0,7.0,7.0,6.0,9.0,9.0,6.0,7.0,10.0,8.0,8.0,9.0,7.0,6.0,9.0,7.0,7.0,8.0,9.0,8.0,12.0,7.0,9.0,8.0,8.0,9.0,8.0,0.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,7.0,8.0,9.0,10.0,9.0,8.0,7.0,8.0,8.0
>ENST00000555080.1,11.0,9.0,10.0,10.0,11.0,12.0,8.0,9.0,10.0,8.0,7.0,12.0,8.0,9.0,17.0,9.0,9.0,11.0,8.0,9.0,9.0,12.0,8.0,11.0,11.0,11.0,10.0,9.0,11.0,9.0,9.0,0.0,11.0,11.0,11.0,10.0,11.0,9.0,8.0,9.0,13.0,13.0,10.0,9.0,7.0,11.0,9.0
>ENST00000564816.1,8.0,11.0,9.0,10.0,10.0,9.0,8.0,12.0,10.0,7.0,8.0,10.0,10.0,11.0,8.0,8.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,0.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,11.0,9.0,9.0,8.0,9.0
>ENST00000495104.1,10.0,10.0,8.0,9.0,9.0,10.0,6.0,9.0,10.0,7.0,9.0,10.0,9.0,9.0,8.0,10.0,8.0,8.0,7.0,8.0,11.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,11.0,9.0,9.0,11.0,10.0,0.0,10.0,10.0,10.0,12.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0
>ENST00000493002.2,9.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,7.0,12.0,11.0,8.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,11.0,8.0,10.0,8.0,9.0,10.0,9.0,7.0,11.0,9.0,10.0,0.0,8.0,10.0,8.0,9.0,9.0,10.0,11.0,10.0,8.0,7.0,8.0,10.0
>ENST00000424928.1,6.0,9.0,7.0,7.0,9.0,9.0,6.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,10.0,10.0,9.0,8.0,13.0,11.0,9.0,10.0,10.0,9.0,7.0,8.0,10.0,10.0,10.0,8.0,0.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,7.0,7.0,8.0,8.0
>ENST00000455685.1,12.0,13.0,11.0,11.0,10.0,10.0,12.0,11.0,10.0,10.0,9.0,13.0,10.0,11.0,9.0,8.0,10.0,13.0,10.0,10.0,12.0,10.0,11.0,13.0,10.0,12.0,11.0,11.0,11.0,12.0,9.0,11.0,10.0,10.0,10.0,9.0,0.0,11.0,10.0,9.0,11.0,11.0,11.0,13.0,8.0,11.0,11.0
>ENST00000441193.1,10.0,10.0,10.0,11.0,9.0,11.0,7.0,11.0,11.0,9.0,9.0,11.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0,10.0,12.0,8.0,9.0,11.0,0.0,8.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,12.0
>ENST00000589299.1,10.0,8.0,8.0,8.0,8.0,8.0,9.0,11.0,9.0,8.0,8.0,11.0,7.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,11.0,9.0,9.0,10.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,0.0,8.0,10.0,9.0,10.0,7.0,7.0,9.0,9.0
>ENST00000562927.2,9.0,9.0,10.0,11.0,8.0,10.0,9.0,9.0,11.0,8.0,9.0,13.0,8.0,8.0,9.0,8.0,10.0,9.0,7.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,0.0,10.0,10.0,11.0,10.0,7.0,10.0,10.0
>ENST00000422197.2,10.0,11.0,12.0,11.0,10.0,11.0,9.0,10.0,11.0,8.0,9.0,11.0,10.0,10.0,11.0,12.0,10.0,10.0,9.0,14.0,9.0,12.0,11.0,11.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,13.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,0.0,13.0,11.0,9.0,8.0,11.0,11.0
>ENST00000430398.2,12.0,11.0,10.0,11.0,10.0,9.0,12.0,10.0,13.0,8.0,9.0,11.0,10.0,9.0,11.0,11.0,9.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,14.0,10.0,9.0,11.0,10.0,13.0,11.0,10.0,11.0,8.0,11.0,11.0,9.0,10.0,13.0,0.0,10.0,11.0,8.0,10.0,10.0
>ENST00000443465.1,9.0,12.0,11.0,11.0,11.0,11.0,9.0,10.0,11.0,10.0,10.0,12.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,13.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,0.0,10.0,11.0,10.0,11.0
>ENST00000603832.1,8.0,9.0,9.0,8.0,7.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,7.0,9.0,9.0,9.0,8.0,70.0,9.0,9.0,9.0,11.0,8.0,10.0,8.0,9.0,11.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,7.0,13.0,9.0,7.0,10.0,9.0,11.0,10.0,0.0,9.0,9.0,11.0
>ENST00000437672.1,7.0,8.0,8.0,8.0,8.0,8.0,6.0,9.0,8.0,6.0,6.0,10.0,9.0,7.0,7.0,8.0,7.0,7.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,8.0,9.0,7.0,7.0,8.0,8.0,11.0,9.0,0.0,9.0,9.0
>ENST00000477100.1,8.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,11.0,10.0,9.0,12.0,8.0,8.0,9.0,8.0,8.0,11.0,8.0,9.0,8.0,8.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,0.0,10.0
>ENST00000328713.5,9.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,11.0,11.0,9.0,10.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,8.0,11.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,8.0,11.0,12.0,9.0,10.0,11.0,10.0,11.0,11.0,9.0,10.0,0.0
