,ENSG00000200390.1,ENSG00000251906.2,ENSG00000123576.5,ENSG00000201435.1,ENSG00000251990.1,ENSG00000169035.11,ENSG00000207956.1,ENSG00000243075.3,ENSG00000223302.1,ENSG00000133639.4,ENSG00000278818.1,ENSG00000222257.1,ENSG00000202440.1,ENSG00000207197.1,ENSG00000181038.13,ENSG00000253038.1,ENSG00000238854.1,ENSG00000199880.1,ENSG00000186119.7,ENSG00000252223.1,ENSG00000180043.11,ENSG00000120696.8,ENSG00000239079.1,ENSG00000252879.1,ENSG00000109103.11,ENSG00000199702.1,ENSG00000238923.1,ENSG00000202521.1,ENSG00000112473.16,ENSG00000199260.1,ENSG00000222701.1,ENSG00000264530.2,ENSG00000238911.1,ENSG00000252751.1,ENSG00000278724.1,ENSG00000134339.8,ENSG00000251768.1,ENSG00000121381.3,ENSG00000251742.1,ENSG00000251792.1,ENSG00000206932.1,ENSG00000201339.1,ENSG00000211788.2,ENSG00000168894.9,ENSG00000174982.2,ENSG00000251982.1,ENSG00000278825.1,ENSG00000189132.6,ENSG00000278857.1,ENSG00000252081.1,ENSG00000239080.1,ENSG00000252355.1,ENSG00000239081.1,ENSG00000280488.1,ENSG00000221070.1,ENSG00000252166.1,ENSG00000164778.4,ENSG00000275154.1,ENSG00000114395.10,ENSG00000264134.1,ENSG00000201403.1,ENSG00000252642.1,ENSG00000276506.1,ENSG00000252874.2,ENSG00000180089.5,ENSG00000265535.2,ENSG00000207147.1,ENSG00000252483.1,ENSG00000206734.1,ENSG00000202560.3,ENSG00000212221.1,ENSG00000252515.2,ENSG00000206749.1,ENSG00000278696.1,ENSG00000275604.1,ENSG00000184887.13,ENSG00000212309.1,ENSG00000197887.3,ENSG00000185670.7,ENSG00000238320.1,ENSG00000204632.11,ENSG00000241391.3,ENSG00000235863.3,ENSG00000252243.1
ENSG00000278818.1,9.0,6.0,9.0,10.0,7.0,10.0,5.0,19.0,7.0,16.0,0.0,13.0,7.0,7.0,32.0,7.0,7.0,8.0,9.0,9.0,37.0,14.0,6.0,8.0,11.0,6.0,6.0,7.0,12.0,7.0,9.0,34.0,7.0,7.0,21.0,18.0,8.0,9.0,8.0,7.0,7.0,9.0,9.0,10.0,9.0,9.0,30.0,10.0,8.0,7.0,8.0,7.0,7.0,11.0,7.0,9.0,11.0,8.0,24.0,7.0,7.0,9.0,7.0,7.0,10.0,40.0,6.0,7.0,8.0,6.0,7.0,7.0,7.0,15.0,9.0,13.0,7.0,11.0,45.0,7.0,11.0,14.0,31.0,9.0
ENSG00000222257.1,6.0,7.0,11.0,7.0,7.0,11.0,6.0,7.0,10.0,14.0,13.0,0.0,7.0,9.0,13.0,6.0,7.0,7.0,11.0,7.0,12.0,13.0,7.0,41.0,12.0,6.0,7.0,7.0,11.0,7.0,7.0,8.0,7.0,6.0,8.0,12.0,6.0,9.0,9.0,8.0,7.0,9.0,8.0,10.0,8.0,8.0,8.0,11.0,9.0,6.0,7.0,11.0,7.0,7.0,7.0,7.0,13.0,7.0,13.0,8.0,7.0,8.0,8.0,6.0,10.0,9.0,11.0,6.0,6.0,7.0,6.0,7.0,6.0,9.0,8.0,9.0,7.0,8.0,13.0,9.0,11.0,8.0,12.0,7.0
ENSG00000202440.1,8.0,7.0,10.0,9.0,5.0,13.0,7.0,8.0,6.0,10.0,7.0,7.0,0.0,6.0,9.0,6.0,8.0,7.0,7.0,6.0,8.0,9.0,6.0,7.0,8.0,6.0,5.0,5.0,9.0,5.0,5.0,7.0,5.0,7.0,7.0,10.0,6.0,7.0,10.0,6.0,6.0,6.0,8.0,7.0,9.0,8.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,10.0,6.0,9.0,6.0,7.0,6.0,7.0,6.0,8.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,10.0,9.0,6.0,9.0,7.0,10.0,6.0
ENSG00000207197.1,6.0,6.0,10.0,6.0,7.0,9.0,6.0,6.0,6.0,9.0,7.0,9.0,6.0,0.0,8.0,6.0,7.0,7.0,10.0,8.0,10.0,10.0,6.0,7.0,10.0,6.0,7.0,6.0,9.0,6.0,6.0,6.0,7.0,7.0,7.0,10.0,7.0,10.0,7.0,5.0,8.0,5.0,8.0,9.0,9.0,7.0,7.0,9.0,7.0,9.0,6.0,8.0,4.0,6.0,6.0,6.0,11.0,7.0,10.0,7.0,9.0,6.0,6.0,5.0,9.0,7.0,9.0,7.0,7.0,7.0,6.0,8.0,6.0,7.0,6.0,7.0,9.0,9.0,8.0,6.0,8.0,7.0,9.0,6.0
ENSG00000181038.13,10.0,10.0,83.0,9.0,11.0,93.0,10.0,23.0,9.0,14.0,32.0,13.0,9.0,8.0,0.0,11.0,9.0,10.0,13.0,9.0,127.0,17.0,9.0,10.0,12.0,9.0,8.0,11.0,12.0,11.0,15.0,52.0,10.0,11.0,45.0,63.0,10.0,10.0,12.0,9.0,8.0,12.0,11.0,15.0,11.0,9.0,29.0,13.0,10.0,10.0,8.0,11.0,9.0,12.0,10.0,10.0,15.0,11.0,136.0,9.0,9.0,11.0,9.0,9.0,14.0,26.0,22.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,11.0,10.0,10.0,161.0,9.0,13.0,41.0,114.0,8.0
ENSG00000253038.1,7.0,21.0,9.0,8.0,9.0,8.0,7.0,6.0,6.0,10.0,7.0,6.0,6.0,6.0,11.0,0.0,6.0,11.0,9.0,10.0,10.0,10.0,6.0,7.0,10.0,14.0,6.0,6.0,9.0,25.0,8.0,8.0,7.0,25.0,7.0,11.0,6.0,12.0,7.0,6.0,21.0,5.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,13.0,9.0,7.0,6.0,7.0,5.0,7.0,9.0,8.0,9.0,6.0,6.0,7.0,6.0,7.0,10.0,7.0,6.0,10.0,6.0,9.0,15.0,14.0,15.0,7.0,7.0,9.0,6.0,11.0,9.0,6.0,8.0,7.0,11.0,11.0
ENSG00000238854.1,7.0,6.0,12.0,5.0,6.0,8.0,6.0,8.0,6.0,8.0,7.0,7.0,8.0,7.0,9.0,6.0,0.0,6.0,7.0,6.0,10.0,10.0,7.0,5.0,8.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,6.0,6.0,7.0,9.0,6.0,7.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,8.0,7.0,8.0,6.0,7.0,6.0,9.0,7.0,7.0,8.0,7.0,11.0,6.0,5.0,6.0,8.0,6.0,7.0,6.0,7.0,5.0,6.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,10.0,8.0,10.0,8.0,8.0,7.0,10.0,5.0
ENSG00000199880.1,7.0,15.0,9.0,7.0,6.0,10.0,6.0,7.0,6.0,12.0,8.0,7.0,7.0,7.0,10.0,11.0,6.0,0.0,8.0,19.0,9.0,10.0,5.0,6.0,9.0,19.0,6.0,5.0,8.0,22.0,7.0,11.0,6.0,13.0,10.0,10.0,6.0,9.0,7.0,6.0,49.0,6.0,12.0,9.0,8.0,8.0,8.0,10.0,7.0,9.0,7.0,6.0,6.0,5.0,7.0,6.0,10.0,7.0,10.0,7.0,5.0,6.0,7.0,8.0,9.0,7.0,8.0,16.0,6.0,7.0,29.0,40.0,40.0,6.0,10.0,10.0,8.0,10.0,9.0,5.0,12.0,7.0,9.0,24.0
ENSG00000186119.7,9.0,7.0,11.0,9.0,9.0,12.0,7.0,8.0,8.0,19.0,9.0,11.0,7.0,10.0,13.0,9.0,7.0,8.0,0.0,7.0,11.0,11.0,10.0,8.0,11.0,7.0,8.0,7.0,11.0,7.0,10.0,8.0,7.0,9.0,9.0,11.0,7.0,11.0,9.0,8.0,7.0,7.0,9.0,11.0,22.0,9.0,9.0,11.0,10.0,7.0,11.0,10.0,7.0,8.0,7.0,8.0,13.0,9.0,11.0,7.0,9.0,8.0,10.0,7.0,10.0,8.0,10.0,7.0,8.0,8.0,7.0,10.0,7.0,8.0,8.0,11.0,10.0,20.0,12.0,8.0,11.0,9.0,12.0,8.0
ENSG00000252223.1,7.0,9.0,10.0,7.0,8.0,10.0,6.0,9.0,7.0,9.0,9.0,7.0,6.0,8.0,9.0,10.0,6.0,19.0,7.0,0.0,9.0,9.0,6.0,7.0,12.0,9.0,6.0,5.0,8.0,26.0,7.0,6.0,6.0,14.0,9.0,10.0,6.0,8.0,7.0,6.0,26.0,6.0,9.0,9.0,7.0,6.0,7.0,8.0,8.0,10.0,6.0,6.0,6.0,6.0,7.0,7.0,9.0,7.0,9.0,8.0,5.0,7.0,7.0,6.0,9.0,8.0,7.0,18.0,6.0,7.0,19.0,18.0,20.0,7.0,7.0,10.0,8.0,8.0,9.0,7.0,9.0,8.0,11.0,11.0
ENSG00000180043.11,10.0,9.0,103.0,9.0,10.0,378.0,9.0,19.0,10.0,13.0,37.0,12.0,8.0,10.0,127.0,10.0,10.0,9.0,11.0,9.0,0.0,14.0,9.0,9.0,14.0,9.0,8.0,10.0,15.0,9.0,20.0,33.0,9.0,9.0,30.0,66.0,12.0,12.0,13.0,9.0,10.0,9.0,12.0,12.0,11.0,12.0,26.0,11.0,12.0,9.0,11.0,10.0,10.0,9.0,9.0,11.0,14.0,11.0,51.0,14.0,10.0,10.0,8.0,9.0,13.0,20.0,26.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,13.0,10.0,10.0,116.0,11.0,13.0,29.0,75.0,12.0
ENSG00000120696.8,9.0,9.0,12.0,10.0,8.0,12.0,10.0,11.0,9.0,16.0,14.0,13.0,9.0,10.0,17.0,10.0,10.0,10.0,11.0,9.0,14.0,0.0,8.0,10.0,15.0,13.0,9.0,9.0,12.0,10.0,9.0,10.0,8.0,8.0,10.0,16.0,9.0,15.0,10.0,11.0,10.0,9.0,11.0,14.0,11.0,12.0,10.0,11.0,11.0,9.0,10.0,10.0,9.0,11.0,8.0,10.0,14.0,10.0,23.0,9.0,9.0,9.0,8.0,9.0,14.0,10.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,12.0,10.0,11.0,12.0,11.0,19.0,12.0,12.0,11.0,17.0,10.0
ENSG00000239079.1,6.0,6.0,11.0,8.0,6.0,9.0,7.0,7.0,7.0,8.0,6.0,7.0,6.0,6.0,9.0,6.0,7.0,5.0,10.0,6.0,9.0,8.0,0.0,8.0,7.0,6.0,7.0,7.0,10.0,5.0,6.0,6.0,7.0,5.0,8.0,10.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,6.0,33.0,6.0,6.0,7.0,6.0,8.0,11.0,7.0,9.0,7.0,6.0,7.0,6.0,5.0,8.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,10.0,9.0,7.0,10.0,7.0,9.0,5.0
ENSG00000252879.1,7.0,6.0,9.0,6.0,6.0,10.0,6.0,7.0,6.0,9.0,8.0,41.0,7.0,7.0,10.0,7.0,5.0,6.0,8.0,7.0,9.0,10.0,8.0,0.0,10.0,6.0,6.0,6.0,9.0,7.0,7.0,8.0,5.0,6.0,10.0,9.0,6.0,8.0,8.0,6.0,7.0,9.0,9.0,10.0,10.0,9.0,7.0,9.0,7.0,6.0,8.0,9.0,6.0,6.0,6.0,7.0,10.0,8.0,12.0,8.0,5.0,7.0,6.0,7.0,11.0,6.0,9.0,7.0,6.0,8.0,6.0,7.0,7.0,10.0,6.0,8.0,6.0,9.0,10.0,9.0,9.0,8.0,10.0,6.0
ENSG00000109103.11,10.0,10.0,13.0,9.0,10.0,14.0,8.0,10.0,8.0,12.0,11.0,12.0,8.0,10.0,12.0,10.0,8.0,9.0,11.0,12.0,14.0,15.0,7.0,10.0,0.0,9.0,10.0,9.0,14.0,10.0,9.0,12.0,8.0,10.0,10.0,15.0,10.0,10.0,12.0,11.0,8.0,12.0,10.0,13.0,10.0,10.0,11.0,11.0,11.0,8.0,9.0,11.0,10.0,9.0,9.0,10.0,13.0,10.0,14.0,10.0,9.0,11.0,8.0,10.0,13.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,12.0,9.0,11.0,13.0,10.0,13.0,10.0,13.0,9.0
ENSG00000199702.1,6.0,10.0,9.0,6.0,6.0,10.0,8.0,7.0,5.0,10.0,6.0,6.0,6.0,6.0,9.0,14.0,6.0,19.0,7.0,9.0,9.0,13.0,6.0,6.0,9.0,0.0,5.0,5.0,8.0,11.0,6.0,6.0,6.0,10.0,6.0,11.0,6.0,8.0,6.0,6.0,40.0,7.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0,9.0,7.0,7.0,5.0,5.0,6.0,8.0,10.0,7.0,10.0,7.0,5.0,7.0,6.0,6.0,8.0,7.0,6.0,8.0,6.0,8.0,16.0,25.0,51.0,7.0,5.0,8.0,6.0,8.0,8.0,5.0,9.0,7.0,9.0,18.0
ENSG00000238923.1,6.0,7.0,11.0,6.0,6.0,10.0,5.0,6.0,6.0,10.0,6.0,7.0,5.0,7.0,8.0,6.0,6.0,6.0,8.0,6.0,8.0,9.0,7.0,6.0,10.0,5.0,0.0,7.0,8.0,6.0,5.0,7.0,5.0,5.0,7.0,13.0,7.0,8.0,8.0,7.0,6.0,7.0,7.0,10.0,7.0,7.0,6.0,7.0,11.0,8.0,6.0,7.0,33.0,5.0,8.0,7.0,8.0,8.0,10.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,5.0,6.0,7.0,6.0,5.0,6.0,5.0,7.0,7.0,8.0,6.0,8.0,11.0,5.0,9.0,5.0,9.0,6.0
ENSG00000202521.1,6.0,5.0,11.0,6.0,39.0,9.0,5.0,7.0,5.0,8.0,7.0,7.0,5.0,6.0,11.0,6.0,6.0,5.0,7.0,5.0,10.0,9.0,7.0,6.0,9.0,5.0,7.0,0.0,10.0,6.0,5.0,7.0,8.0,6.0,7.0,43.0,21.0,9.0,7.0,6.0,5.0,6.0,7.0,9.0,7.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,9.0,6.0,9.0,5.0,8.0,29.0,5.0,5.0,13.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,9.0,6.0,9.0,6.0,8.0,10.0,8.0,10.0,7.0,10.0,6.0
ENSG00000112473.16,11.0,10.0,13.0,9.0,10.0,13.0,8.0,11.0,9.0,14.0,12.0,11.0,9.0,9.0,12.0,9.0,8.0,8.0,11.0,8.0,15.0,12.0,10.0,9.0,14.0,8.0,8.0,10.0,0.0,8.0,10.0,10.0,9.0,8.0,11.0,13.0,10.0,11.0,10.0,10.0,8.0,9.0,11.0,14.0,12.0,11.0,9.0,12.0,11.0,9.0,10.0,12.0,9.0,9.0,10.0,10.0,13.0,11.0,14.0,9.0,10.0,10.0,9.0,9.0,12.0,11.0,9.0,8.0,9.0,10.0,12.0,8.0,8.0,10.0,9.0,11.0,9.0,12.0,12.0,9.0,11.0,10.0,13.0,9.0
ENSG00000199260.1,8.0,16.0,10.0,6.0,7.0,9.0,7.0,7.0,5.0,9.0,7.0,7.0,5.0,6.0,11.0,25.0,6.0,22.0,7.0,26.0,9.0,10.0,5.0,7.0,10.0,11.0,6.0,6.0,8.0,0.0,7.0,6.0,6.0,16.0,7.0,9.0,6.0,9.0,6.0,7.0,40.0,6.0,10.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,5.0,6.0,5.0,5.0,6.0,6.0,11.0,7.0,9.0,6.0,5.0,6.0,6.0,7.0,9.0,7.0,9.0,24.0,7.0,6.0,20.0,20.0,23.0,6.0,6.0,10.0,8.0,7.0,10.0,5.0,10.0,9.0,11.0,14.0
ENSG00000222701.1,28.0,6.0,8.0,6.0,6.0,12.0,5.0,7.0,8.0,9.0,9.0,7.0,5.0,6.0,15.0,8.0,6.0,7.0,10.0,7.0,20.0,9.0,6.0,7.0,9.0,6.0,5.0,5.0,10.0,7.0,0.0,6.0,6.0,6.0,8.0,11.0,6.0,8.0,7.0,37.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,10.0,6.0,10.0,6.0,6.0,7.0,6.0,7.0,8.0,7.0,5.0,7.0,28.0,6.0,7.0,6.0,7.0,7.0,5.0,8.0,5.0,11.0,13.0,5.0,9.0,8.0,10.0,6.0
ENSG00000264530.2,8.0,7.0,10.0,7.0,7.0,12.0,6.0,17.0,6.0,11.0,34.0,8.0,7.0,6.0,52.0,8.0,8.0,11.0,8.0,6.0,33.0,10.0,6.0,8.0,12.0,6.0,7.0,7.0,10.0,6.0,6.0,0.0,7.0,7.0,25.0,21.0,8.0,8.0,8.0,7.0,6.0,7.0,9.0,10.0,8.0,8.0,20.0,11.0,9.0,7.0,8.0,8.0,7.0,6.0,7.0,7.0,10.0,8.0,58.0,7.0,6.0,7.0,7.0,7.0,9.0,19.0,8.0,7.0,8.0,7.0,6.0,8.0,6.0,10.0,8.0,9.0,7.0,8.0,61.0,7.0,11.0,20.0,54.0,7.0
ENSG00000238911.1,7.0,6.0,10.0,6.0,7.0,10.0,17.0,6.0,6.0,10.0,7.0,7.0,5.0,7.0,10.0,7.0,6.0,6.0,7.0,6.0,9.0,8.0,7.0,5.0,8.0,6.0,5.0,8.0,9.0,6.0,6.0,7.0,0.0,7.0,6.0,9.0,8.0,8.0,7.0,6.0,6.0,6.0,8.0,10.0,8.0,6.0,7.0,9.0,7.0,7.0,7.0,7.0,6.0,6.0,34.0,6.0,8.0,8.0,9.0,5.0,6.0,10.0,28.0,6.0,9.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,8.0,6.0,8.0,5.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0
ENSG00000252751.1,7.0,20.0,9.0,7.0,5.0,9.0,7.0,5.0,6.0,9.0,7.0,6.0,7.0,7.0,11.0,25.0,6.0,13.0,9.0,14.0,9.0,8.0,5.0,6.0,10.0,10.0,5.0,6.0,8.0,16.0,6.0,7.0,7.0,0.0,8.0,9.0,6.0,7.0,6.0,6.0,19.0,6.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,6.0,6.0,5.0,5.0,7.0,6.0,9.0,7.0,10.0,6.0,5.0,5.0,6.0,7.0,9.0,6.0,6.0,12.0,6.0,6.0,13.0,14.0,18.0,6.0,7.0,12.0,7.0,7.0,10.0,6.0,10.0,7.0,9.0,13.0
ENSG00000278724.1,8.0,8.0,11.0,7.0,8.0,11.0,6.0,30.0,6.0,11.0,21.0,8.0,7.0,7.0,45.0,7.0,7.0,10.0,9.0,9.0,30.0,10.0,8.0,10.0,10.0,6.0,7.0,7.0,11.0,7.0,8.0,25.0,6.0,8.0,0.0,22.0,7.0,10.0,9.0,8.0,7.0,6.0,9.0,10.0,10.0,8.0,18.0,9.0,8.0,7.0,7.0,9.0,6.0,9.0,8.0,9.0,12.0,8.0,41.0,8.0,7.0,7.0,7.0,8.0,11.0,16.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,12.0,7.0,9.0,46.0,7.0,11.0,36.0,35.0,8.0
