,>ENST00000551951.1,>ENST00000612259.1,>ENST00000494226.1,>ENST00000420048.1,>ENST00000490225.5,>ENST00000509054.1,>ENST00000588044.1,>ENST00000613213.4,>ENST00000493291.1,>ENST00000485382.3,>ENST00000605824.1,>ENST00000477141.1,>ENST00000546408.1,>ENST00000397387.2,>ENST00000447882.1,>ENST00000272567.4,>ENST00000511350.2,>ENST00000450782.2,>ENST00000426371.2,>ENST00000431356.1,>ENST00000483312.1,>ENST00000399046.2,>ENST00000443545.1,ENSG00000238965.1,>ENST00000592549.1,>ENST00000420029.1,>ENST00000592116.2,>ENST00000428832.2,>ENST00000613582.1,>ENST00000399789.6,>ENST00000417687.2
>ENST00000399046.2,9.0,13.0,8.0,10.0,12.0,10.0,10.0,13.0,10.0,8.0,9.0,8.0,10.0,10.0,11.0,10.0,12.0,9.0,11.0,10.0,8.0,0.0,9.0,8.0,10.0,9.0,11.0,10.0,14.0,11.0,10.0
>ENST00000443545.1,10.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,7.0,10.0,9.0,8.0,9.0,0.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0
ENSG00000238965.1,6.0,7.0,7.0,8.0,11.0,9.0,8.0,9.0,6.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,9.0,6.0,11.0,8.0,6.0,8.0,8.0,0.0,7.0,9.0,10.0,8.0,7.0,8.0,8.0
>ENST00000592549.1,10.0,11.0,9.0,10.0,11.0,9.0,10.0,12.0,11.0,9.0,10.0,8.0,9.0,11.0,11.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,7.0,0.0,9.0,12.0,12.0,9.0,11.0,12.0
>ENST00000420029.1,8.0,9.0,9.0,9.0,11.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,0.0,11.0,9.0,9.0,10.0,9.0
>ENST00000592116.2,10.0,11.0,9.0,11.0,12.0,10.0,9.0,13.0,10.0,10.0,9.0,8.0,11.0,10.0,11.0,11.0,10.0,8.0,13.0,10.0,10.0,11.0,9.0,10.0,12.0,11.0,0.0,12.0,12.0,14.0,12.0
>ENST00000428832.2,9.0,10.0,9.0,9.0,14.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,12.0,9.0,12.0,0.0,10.0,10.0,11.0
>ENST00000613582.1,9.0,9.0,10.0,9.0,10.0,11.0,9.0,13.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,8.0,14.0,9.0,7.0,9.0,9.0,12.0,10.0,0.0,11.0,10.0
>ENST00000399789.6,11.0,9.0,10.0,10.0,10.0,10.0,9.0,13.0,9.0,13.0,9.0,8.0,9.0,9.0,10.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,8.0,11.0,10.0,14.0,10.0,11.0,0.0,12.0
>ENST00000417687.2,11.0,9.0,9.0,11.0,11.0,13.0,8.0,11.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,13.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,12.0,9.0,12.0,11.0,10.0,12.0,0.0
