,>ENST00000431878.3,>ENST00000481627.2,>ENST00000427498.1,>ENST00000497406.2,ENSG00000207330.1,>ENST00000450604.1,>ENST00000426848.2,>ENST00000558111.2,>ENST00000451535.2,>ENST00000437913.1,>ENST00000430496.1,>ENST00000571150.1,>ENST00000554965.1,>ENST00000422570.1,>ENST00000403062.2,>ENST00000579006.1,>ENST00000623928.1,>ENST00000484584.2,>ENST00000451831.1,>ENST00000520688.1,>ENST00000429066.1,>ENST00000524271.1,>ENST00000468416.1,>ENST00000509121.2,>ENST00000440471.1,>ENST00000566278.6,>ENST00000448271.1,>ENST00000407776.1,>ENST00000462623.1,>ENST00000435146.2,>ENST00000569013.1,ENSG00000222767.1,ENSG00000198585.11,>ENST00000423946.2,>ENST00000439689.1,>ENST00000412419.2,>ENST00000440214.1,>ENST00000493462.2,>ENST00000489235.2,>ENST00000418789.3,>ENST00000436312.2,>ENST00000422564.1,>ENST00000548357.1,>ENST00000415679.2,>ENST00000452580.2
>ENST00000403062.2,11.0,8.0,10.0,10.0,9.0,10.0,13.0,10.0,10.0,10.0,10.0,13.0,9.0,10.0,0.0,9.0,8.0,14.0,11.0,11.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,12.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0
>ENST00000579006.1,8.0,8.0,9.0,10.0,7.0,12.0,10.0,7.0,8.0,9.0,13.0,8.0,10.0,8.0,9.0,0.0,11.0,9.0,12.0,11.0,9.0,8.0,9.0,9.0,10.0,13.0,8.0,8.0,10.0,9.0,9.0,8.0,12.0,9.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0,11.0,10.0,8.0,10.0
>ENST00000623928.1,9.0,7.0,8.0,9.0,7.0,9.0,10.0,10.0,7.0,7.0,8.0,10.0,8.0,8.0,8.0,11.0,0.0,11.0,8.0,10.0,7.0,7.0,9.0,8.0,7.0,9.0,7.0,10.0,8.0,9.0,7.0,6.0,10.0,8.0,10.0,8.0,7.0,8.0,7.0,11.0,8.0,11.0,8.0,9.0,8.0
>ENST00000484584.2,11.0,9.0,9.0,11.0,10.0,8.0,11.0,11.0,8.0,8.0,12.0,10.0,13.0,9.0,14.0,9.0,11.0,0.0,7.0,8.0,9.0,9.0,9.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,10.0,7.0,15.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,8.0,12.0,8.0,13.0
>ENST00000451831.1,12.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,10.0,11.0,12.0,8.0,7.0,0.0,11.0,11.0,9.0,10.0,8.0,9.0,11.0,8.0,7.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,8.0,8.0,10.0,8.0,9.0,11.0,8.0,9.0
>ENST00000520688.1,8.0,9.0,12.0,8.0,6.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,11.0,11.0,10.0,8.0,11.0,0.0,8.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,7.0,12.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,7.0,9.0
>ENST00000429066.1,8.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,7.0,9.0,11.0,8.0,0.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,7.0,8.0,12.0,10.0,9.0,10.0,7.0,8.0,8.0,10.0,10.0,9.0,11.0,9.0,8.0
>ENST00000524271.1,9.0,9.0,11.0,11.0,8.0,11.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,135.0,10.0,8.0,7.0,9.0,9.0,9.0,8.0,0.0,69.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,9.0,13.0,10.0,8.0,9.0,9.0,142.0,10.0,10.0,8.0,10.0,10.0,9.0,12.0
>ENST00000468416.1,9.0,9.0,8.0,10.0,8.0,12.0,10.0,10.0,9.0,8.0,10.0,10.0,13.0,203.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,69.0,0.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,12.0,8.0,13.0,10.0,10.0,9.0,8.0,190.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0
>ENST00000509121.2,9.0,7.0,10.0,10.0,8.0,8.0,10.0,10.0,8.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,0.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,6.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,7.0
>ENST00000440471.1,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,0.0,12.0,8.0,14.0,9.0,10.0,8.0,8.0,11.0,11.0,12.0,11.0,9.0,11.0,8.0,11.0,10.0,10.0,10.0,10.0,9.0
>ENST00000566278.6,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,12.0,9.0,12.0,10.0,11.0,13.0,9.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,0.0,10.0,10.0,10.0,12.0,10.0,9.0,13.0,11.0,11.0,10.0,11.0,10.0,10.0,12.0,9.0,11.0,10.0,10.0,13.0
>ENST00000448271.1,9.0,8.0,9.0,8.0,7.0,9.0,8.0,10.0,8.0,9.0,8.0,7.0,7.0,10.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,10.0,0.0,9.0,7.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0
>ENST00000407776.1,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,12.0,8.0,10.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,14.0,10.0,9.0,0.0,8.0,9.0,9.0,8.0,11.0,9.0,9.0,12.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,8.0,9.0
>ENST00000462623.1,9.0,9.0,8.0,11.0,7.0,10.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,10.0,8.0,10.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,7.0,8.0,0.0,7.0,8.0,6.0,11.0,11.0,11.0,9.0,8.0,9.0,8.0,11.0,8.0,12.0,9.0,10.0,9.0
>ENST00000435146.2,10.0,9.0,7.0,7.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,12.0,9.0,9.0,7.0,0.0,7.0,9.0,11.0,11.0,8.0,8.0,9.0,8.0,8.0,13.0,7.0,7.0,8.0,8.0,9.0
>ENST00000569013.1,8.0,8.0,8.0,11.0,7.0,9.0,10.0,8.0,8.0,8.0,9.0,7.0,10.0,7.0,10.0,9.0,7.0,10.0,9.0,10.0,7.0,8.0,12.0,10.0,8.0,10.0,8.0,9.0,8.0,7.0,0.0,6.0,10.0,10.0,8.0,8.0,8.0,7.0,7.0,10.0,9.0,8.0,7.0,7.0,9.0
ENSG00000222767.1,9.0,6.0,8.0,9.0,6.0,8.0,9.0,8.0,9.0,8.0,8.0,6.0,7.0,8.0,10.0,8.0,6.0,7.0,9.0,7.0,8.0,9.0,8.0,6.0,8.0,9.0,8.0,8.0,6.0,9.0,6.0,0.0,10.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,6.0,7.0,7.0,7.0
ENSG00000198585.11,12.0,10.0,11.0,10.0,10.0,13.0,11.0,12.0,11.0,12.0,11.0,10.0,11.0,11.0,11.0,12.0,10.0,15.0,10.0,12.0,12.0,13.0,13.0,12.0,11.0,13.0,10.0,11.0,11.0,11.0,10.0,10.0,0.0,14.0,13.0,12.0,12.0,11.0,11.0,13.0,11.0,11.0,13.0,13.0,11.0
>ENST00000423946.2,11.0,10.0,11.0,10.0,9.0,11.0,12.0,9.0,9.0,11.0,10.0,9.0,9.0,12.0,11.0,9.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0,9.0,11.0,11.0,10.0,7.0,14.0,0.0,13.0,11.0,10.0,9.0,10.0,12.0,9.0,10.0,9.0,11.0,9.0
>ENST00000439689.1,9.0,9.0,10.0,11.0,9.0,9.0,14.0,11.0,8.0,10.0,10.0,10.0,10.0,11.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,12.0,11.0,9.0,9.0,11.0,8.0,8.0,8.0,13.0,13.0,0.0,10.0,8.0,10.0,9.0,10.0,9.0,12.0,9.0,10.0,10.0
>ENST00000412419.2,11.0,9.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,8.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,12.0,9.0,8.0,8.0,8.0,12.0,11.0,10.0,0.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0
>ENST00000440214.1,11.0,8.0,8.0,10.0,8.0,10.0,9.0,8.0,10.0,11.0,9.0,7.0,10.0,8.0,9.0,8.0,7.0,10.0,11.0,10.0,7.0,9.0,8.0,9.0,9.0,11.0,9.0,8.0,8.0,9.0,8.0,8.0,12.0,10.0,8.0,10.0,0.0,8.0,9.0,12.0,7.0,8.0,9.0,9.0,9.0
>ENST00000493462.2,9.0,9.0,10.0,11.0,8.0,12.0,9.0,10.0,10.0,8.0,10.0,8.0,11.0,269.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,142.0,190.0,9.0,11.0,10.0,11.0,8.0,9.0,8.0,7.0,8.0,11.0,9.0,10.0,10.0,8.0,0.0,10.0,9.0,8.0,9.0,11.0,9.0,11.0
>ENST00000489235.2,13.0,9.0,9.0,8.0,7.0,8.0,7.0,7.0,7.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,7.0,6.0,11.0,10.0,9.0,9.0,9.0,10.0,0.0,9.0,8.0,9.0,9.0,8.0,9.0
>ENST00000418789.3,10.0,9.0,11.0,10.0,8.0,11.0,13.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,12.0,9.0,9.0,11.0,13.0,10.0,8.0,13.0,12.0,10.0,10.0,12.0,9.0,9.0,0.0,9.0,10.0,10.0,9.0,12.0
>ENST00000436312.2,9.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0,10.0,9.0,8.0,7.0,11.0,9.0,8.0,10.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,11.0,9.0,9.0,10.0,7.0,8.0,8.0,9.0,0.0,9.0,9.0,8.0,8.0
>ENST00000422564.1,10.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,12.0,7.0,8.0,6.0,11.0,10.0,12.0,11.0,8.0,9.0,9.0,10.0,9.0,0.0,9.0,9.0,10.0
>ENST00000548357.1,10.0,9.0,12.0,11.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,12.0,11.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,7.0,7.0,13.0,9.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,0.0,9.0,9.0
>ENST00000415679.2,9.0,8.0,8.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,11.0,10.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,10.0,8.0,7.0,7.0,13.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,0.0,9.0
>ENST00000452580.2,12.0,9.0,13.0,11.0,7.0,11.0,11.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,8.0,13.0,9.0,9.0,8.0,12.0,11.0,7.0,9.0,13.0,8.0,9.0,9.0,9.0,9.0,7.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,12.0,8.0,10.0,9.0,9.0,0.0
