,>ENST00000431088.1,>ENST00000512165.1,>ENST00000436482.1,>ENST00000454674.1,>ENST00000475247.2,ENSG00000179059.9,>ENST00000571789.1,>ENST00000475274.1,>ENST00000415238.1,>ENST00000504678.1,>ENST00000612193.1,>ENST00000442655.2,>ENST00000600036.1,>ENST00000550907.1,>ENST00000473748.1,>ENST00000547183.1,>ENST00000605070.1,>ENST00000450360.2,>ENST00000396055.2,>ENST00000561950.1,>ENST00000377689.2,>ENST00000406466.2,>ENST00000426582.2,>ENST00000419523.1,>ENST00000604169.1,>ENST00000443851.1,>ENST00000567857.2,>ENST00000545905.1,>ENST00000593113.2,>ENST00000475062.1,>ENST00000524281.1,>ENST00000603459.1,>ENST00000466542.6,>ENST00000513470.1,>ENST00000399730.2,>ENST00000542581.1,>ENST00000523109.1,>ENST00000434048.1
>ENST00000600036.1,7.0,8.0,9.0,9.0,11.0,11.0,7.0,8.0,10.0,10.0,12.0,12.0,0.0,9.0,7.0,8.0,8.0,10.0,7.0,10.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,9.0,7.0,10.0,9.0
>ENST00000550907.1,8.0,11.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,0.0,9.0,8.0,9.0,13.0,10.0,13.0,9.0,10.0,13.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0
>ENST00000473748.1,8.0,9.0,10.0,9.0,8.0,10.0,7.0,10.0,9.0,9.0,9.0,8.0,7.0,9.0,0.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,10.0,11.0,8.0,8.0,7.0,8.0,6.0,7.0,7.0
>ENST00000547183.1,9.0,8.0,10.0,9.0,8.0,12.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,0.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0
>ENST00000605070.1,9.0,11.0,10.0,11.0,9.0,11.0,7.0,10.0,10.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0
>ENST00000450360.2,10.0,9.0,9.0,10.0,10.0,13.0,9.0,11.0,9.0,11.0,12.0,11.0,10.0,13.0,8.0,10.0,9.0,0.0,10.0,10.0,11.0,11.0,8.0,10.0,9.0,12.0,10.0,9.0,9.0,12.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0
>ENST00000396055.2,9.0,9.0,9.0,10.0,10.0,12.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0,10.0,8.0,8.0,9.0,10.0,0.0,11.0,11.0,7.0,8.0,9.0,8.0,8.0,7.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0
>ENST00000561950.1,10.0,11.0,11.0,10.0,9.0,13.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,13.0,9.0,9.0,10.0,10.0,11.0,0.0,11.0,11.0,9.0,9.0,8.0,9.0,9.0,11.0,8.0,11.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,10.0
>ENST00000377689.2,9.0,10.0,10.0,9.0,11.0,12.0,8.0,9.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,8.0,11.0,11.0,11.0,0.0,10.0,11.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,9.0
>ENST00000406466.2,10.0,9.0,9.0,10.0,8.0,10.0,8.0,11.0,10.0,11.0,11.0,9.0,9.0,10.0,8.0,9.0,11.0,11.0,7.0,11.0,10.0,0.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0
>ENST00000426582.2,9.0,10.0,10.0,9.0,9.0,11.0,8.0,10.0,11.0,11.0,9.0,9.0,8.0,13.0,8.0,9.0,10.0,8.0,8.0,9.0,11.0,11.0,0.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0
>ENST00000419523.1,9.0,11.0,10.0,9.0,10.0,12.0,11.0,9.0,12.0,10.0,10.0,11.0,7.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,0.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0
>ENST00000604169.1,7.0,9.0,8.0,8.0,8.0,11.0,7.0,8.0,7.0,8.0,9.0,9.0,7.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,11.0,0.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,10.0,7.0,7.0,10.0,7.0,7.0
>ENST00000443851.1,9.0,8.0,8.0,10.0,8.0,12.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,12.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,9.0,7.0,9.0
>ENST00000567857.2,9.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0,11.0,7.0,9.0,8.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,0.0,8.0,9.0,8.0,10.0,8.0,8.0,10.0,7.0,8.0,8.0,8.0
>ENST00000545905.1,8.0,9.0,10.0,9.0,9.0,12.0,7.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,0.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,12.0
>ENST00000593113.2,10.0,9.0,8.0,9.0,9.0,13.0,8.0,9.0,9.0,8.0,13.0,8.0,7.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,11.0,7.0,9.0,9.0,9.0,0.0,10.0,9.0,10.0,11.0,10.0,8.0,7.0,9.0,9.0
>ENST00000475062.1,8.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,11.0,7.0,8.0,10.0,7.0,9.0,12.0,8.0,11.0,10.0,10.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,0.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0
>ENST00000524281.1,8.0,9.0,9.0,9.0,10.0,13.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,11.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,0.0,11.0,10.0,9.0,7.0,7.0,9.0,9.0
>ENST00000603459.1,8.0,8.0,9.0,9.0,8.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,11.0,10.0,8.0,11.0,0.0,10.0,9.0,8.0,8.0,9.0,8.0
>ENST00000466542.6,8.0,14.0,10.0,10.0,10.0,12.0,10.0,11.0,9.0,12.0,12.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,10.0,10.0,0.0,10.0,10.0,11.0,9.0,9.0
>ENST00000513470.1,9.0,10.0,10.0,8.0,10.0,12.0,8.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,0.0,7.0,8.0,10.0,8.0
>ENST00000399730.2,11.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,7.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,10.0,7.0,0.0,10.0,11.0,9.0
>ENST00000542581.1,9.0,10.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,6.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,7.0,8.0,7.0,8.0,11.0,8.0,10.0,0.0,9.0,8.0
>ENST00000523109.1,9.0,10.0,9.0,11.0,9.0,11.0,7.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,7.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,7.0,7.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,0.0,8.0
>ENST00000434048.1,8.0,9.0,10.0,10.0,7.0,10.0,6.0,8.0,9.0,8.0,8.0,11.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,12.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,0.0
