,>ENST00000494303.1,>ENST00000448860.5,>ENST00000538078.1,>ENST00000415870.1,>ENST00000457231.1,>ENST00000623792.1,>ENST00000453859.2,>ENST00000508195.1,>ENST00000558652.1,>ENST00000445940.1,>ENST00000448724.1,>ENST00000620477.1,>ENST00000450951.1,>ENST00000568120.1,>ENST00000478358.1,>ENST00000400117.2,>ENST00000511530.1,>ENST00000431936.1,>ENST00000421152.1,>ENST00000446135.2,>ENST00000431627.1,>ENST00000566185.1,>ENST00000589943.1,>ENST00000437650.2,>ENST00000425942.3,>ENST00000619809.1,ENSG00000220990.1,>ENST00000487324.1,>ENST00000550410.1,>ENST00000418694.1,>ENST00000488829.1,>ENST00000502787.1,ENSG00000252467.1,>ENST00000444752.1,>ENST00000603176.1,>ENST00000506803.1,>ENST00000504503.1,>ENST00000439130.1,>ENST00000511094.2,>ENST00000509881.1,>ENST00000447169.1,>ENST00000423449.1,>ENST00000449530.2,>ENST00000434365.1,>ENST00000518224.1,>ENST00000429803.1,>ENST00000578578.5,>ENST00000596021.1,>ENST00000406187.1,>ENST00000427910.1,>ENST00000530696.2,>ENST00000519446.1,>ENST00000514854.2,>ENST00000560593.2,>ENST00000444603.2,>ENST00000417216.3,>ENST00000562856.1,>ENST00000421655.1,ENSG00000223117.1,>ENST00000325117.8
>ENST00000478358.1,9.0,8.0,12.0,8.0,13.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,0.0,9.0,8.0,10.0,8.0,10.0,11.0,8.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,10.0,13.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,13.0,8.0,9.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0
>ENST00000400117.2,9.0,9.0,10.0,10.0,10.0,11.0,9.0,12.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,0.0,10.0,13.0,9.0,11.0,12.0,9.0,12.0,11.0,10.0,11.0,7.0,9.0,12.0,10.0,11.0,10.0,7.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,13.0,9.0,11.0,11.0,9.0,9.0,13.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0
>ENST00000511530.1,9.0,10.0,11.0,11.0,11.0,10.0,10.0,115.0,8.0,8.0,10.0,9.0,9.0,11.0,8.0,10.0,0.0,10.0,9.0,13.0,12.0,9.0,10.0,11.0,11.0,8.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,12.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,12.0,9.0,12.0,9.0,9.0,11.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0
>ENST00000431936.1,10.0,9.0,11.0,11.0,11.0,11.0,10.0,11.0,7.0,10.0,12.0,9.0,11.0,12.0,10.0,13.0,10.0,0.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,8.0,10.0,12.0,10.0,12.0,11.0,11.0,9.0,12.0,10.0,9.0,11.0,10.0,8.0,12.0,12.0,10.0,12.0,11.0,11.0,14.0,10.0,12.0,12.0,9.0,9.0,10.0,10.0,11.0,10.0,13.0,10.0,17.0,8.0,11.0
>ENST00000421152.1,8.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,6.0,7.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,11.0,0.0,10.0,10.0,7.0,9.0,7.0,9.0,7.0,6.0,10.0,11.0,11.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,7.0,11.0,9.0,7.0,6.0,10.0,7.0,6.0,9.0,8.0,7.0,8.0,8.0,10.0,8.0,8.0,7.0,9.0,7.0,9.0,9.0,9.0
>ENST00000446135.2,11.0,10.0,11.0,15.0,11.0,8.0,10.0,14.0,6.0,9.0,10.0,9.0,13.0,10.0,10.0,11.0,13.0,11.0,10.0,0.0,11.0,12.0,9.0,10.0,11.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,8.0,11.0,9.0,10.0,11.0,11.0,11.0,12.0,9.0,10.0,9.0,12.0,10.0,12.0,11.0,10.0,13.0,11.0,11.0,8.0,13.0,11.0,9.0,11.0,9.0,11.0,9.0,11.0
>ENST00000431627.1,10.0,10.0,11.0,10.0,11.0,8.0,12.0,10.0,6.0,9.0,9.0,8.0,10.0,8.0,11.0,12.0,12.0,11.0,10.0,11.0,0.0,10.0,8.0,11.0,11.0,8.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,9.0,11.0,10.0,10.0,12.0,10.0,8.0,11.0,12.0,9.0,10.0,11.0,10.0,11.0,10.0,11.0,11.0,14.0,11.0,10.0,11.0,9.0,13.0,8.0,10.0
>ENST00000566185.1,11.0,11.0,9.0,9.0,10.0,8.0,10.0,9.0,6.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,12.0,10.0,0.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,14.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,7.0,9.0
>ENST00000589943.1,9.0,10.0,8.0,11.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,8.0,11.0,10.0,9.0,12.0,10.0,11.0,9.0,9.0,8.0,10.0,0.0,11.0,9.0,9.0,7.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,12.0,10.0,11.0
>ENST00000437650.2,8.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,6.0,9.0,10.0,10.0,9.0,8.0,8.0,11.0,11.0,10.0,7.0,10.0,11.0,9.0,11.0,0.0,11.0,9.0,8.0,9.0,10.0,12.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,11.0,9.0,10.0,8.0,10.0,9.0,7.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,12.0
>ENST00000425942.3,11.0,11.0,11.0,9.0,14.0,11.0,11.0,12.0,7.0,9.0,8.0,8.0,12.0,12.0,8.0,10.0,11.0,11.0,9.0,11.0,11.0,10.0,9.0,11.0,0.0,8.0,7.0,9.0,9.0,10.0,13.0,10.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,12.0,10.0,11.0,10.0,11.0,10.0,10.0,12.0,9.0,11.0,11.0,9.0,9.0,11.0,10.0,10.0,10.0,8.0,10.0,8.0,13.0
>ENST00000619809.1,10.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,6.0,8.0,10.0,8.0,10.0,8.0,9.0,11.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,0.0,7.0,8.0,9.0,9.0,11.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,11.0,8.0,8.0
ENSG00000220990.1,9.0,8.0,7.0,9.0,8.0,7.0,9.0,10.0,4.0,6.0,7.0,8.0,9.0,7.0,7.0,7.0,10.0,10.0,6.0,11.0,9.0,8.0,7.0,8.0,7.0,7.0,0.0,9.0,7.0,8.0,10.0,6.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,7.0,9.0,8.0,6.0,8.0,7.0,7.0,8.0,9.0,9.0,7.0,7.0,7.0,9.0,7.0,8.0,9.0,8.0,10.0,7.0,7.0
>ENST00000487324.1,9.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,7.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,0.0,8.0,8.0,8.0,10.0,8.0,12.0,7.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,7.0,9.0,7.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,8.0,11.0
>ENST00000550410.1,10.0,11.0,13.0,9.0,9.0,9.0,9.0,10.0,6.0,9.0,9.0,8.0,10.0,11.0,9.0,12.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,7.0,8.0,0.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,12.0,9.0,8.0,10.0,8.0,10.0,8.0,10.0
>ENST00000418694.1,9.0,11.0,10.0,10.0,11.0,12.0,10.0,10.0,8.0,10.0,10.0,10.0,12.0,9.0,9.0,10.0,11.0,12.0,11.0,11.0,11.0,9.0,10.0,12.0,10.0,9.0,8.0,8.0,9.0,0.0,11.0,9.0,8.0,10.0,9.0,14.0,11.0,10.0,11.0,13.0,10.0,10.0,9.0,10.0,11.0,9.0,12.0,9.0,8.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,9.0,10.0
>ENST00000488829.1,10.0,10.0,10.0,9.0,10.0,11.0,8.0,12.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,10.0,11.0,13.0,11.0,10.0,8.0,11.0,11.0,0.0,13.0,11.0,11.0,9.0,11.0,12.0,10.0,10.0,12.0,12.0,9.0,10.0,10.0,12.0,9.0,13.0,10.0,11.0,12.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,11.0
>ENST00000502787.1,8.0,10.0,12.0,10.0,14.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,13.0,13.0,10.0,11.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,6.0,10.0,9.0,9.0,13.0,0.0,7.0,12.0,8.0,9.0,9.0,8.0,9.0,12.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0
ENSG00000252467.1,10.0,7.0,8.0,8.0,10.0,9.0,9.0,8.0,5.0,8.0,9.0,6.0,10.0,9.0,8.0,7.0,10.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,11.0,7.0,0.0,12.0,7.0,9.0,8.0,7.0,8.0,10.0,8.0,7.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,8.0,7.0,7.0,9.0,7.0,7.0,10.0,7.0,7.0,7.0,8.0
>ENST00000444752.1,10.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,12.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,12.0,10.0,10.0,11.0,12.0,12.0,0.0,8.0,9.0,11.0,8.0,9.0,12.0,11.0,11.0,9.0,10.0,11.0,9.0,10.0,12.0,10.0,9.0,10.0,11.0,11.0,12.0,10.0,10.0,10.0,13.0,8.0,12.0
>ENST00000603176.1,8.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,6.0,7.0,9.0,7.0,9.0,7.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,7.0,8.0,0.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,7.0,9.0,8.0,7.0,10.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,9.0,9.0
>ENST00000506803.1,9.0,9.0,9.0,10.0,9.0,8.0,8.0,11.0,7.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,8.0,8.0,9.0,14.0,11.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,12.0,8.0,10.0,11.0,9.0,8.0,12.0,8.0,9.0,11.0,9.0,11.0,8.0,9.0
>ENST00000504503.1,9.0,11.0,9.0,11.0,10.0,8.0,10.0,10.0,7.0,8.0,10.0,9.0,13.0,9.0,9.0,9.0,10.0,11.0,8.0,11.0,11.0,14.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,12.0,9.0,8.0,11.0,9.0,9.0,0.0,9.0,9.0,13.0,11.0,11.0,11.0,10.0,9.0,10.0,9.0,14.0,11.0,10.0,10.0,8.0,9.0,11.0,8.0,10.0,8.0,11.0,10.0,11.0
>ENST00000439130.1,276.0,9.0,11.0,11.0,9.0,10.0,8.0,10.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,8.0,7.0,8.0,9.0,9.0,9.0,0.0,8.0,9.0,12.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,8.0,9.0,11.0,9.0,12.0,9.0,11.0
>ENST00000511094.2,8.0,11.0,10.0,9.0,10.0,7.0,9.0,9.0,7.0,10.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,8.0,7.0,11.0,10.0,8.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,0.0,9.0,11.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0
>ENST00000509881.1,11.0,10.0,11.0,12.0,15.0,11.0,9.0,11.0,8.0,8.0,11.0,9.0,13.0,11.0,11.0,9.0,12.0,12.0,11.0,12.0,12.0,9.0,11.0,11.0,12.0,10.0,7.0,10.0,10.0,13.0,12.0,12.0,10.0,12.0,9.0,10.0,13.0,9.0,9.0,0.0,11.0,10.0,10.0,15.0,9.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,11.0,12.0,11.0,10.0,9.0,11.0
>ENST00000447169.1,12.0,10.0,13.0,10.0,10.0,9.0,9.0,10.0,7.0,8.0,10.0,7.0,13.0,9.0,9.0,8.0,11.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,9.0,10.0,12.0,9.0,8.0,11.0,8.0,10.0,11.0,12.0,11.0,11.0,0.0,9.0,9.0,9.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0
>ENST00000423449.1,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,6.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,10.0,8.0,8.0,9.0,10.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,11.0,7.0,11.0,7.0,9.0,11.0,9.0,10.0,10.0,9.0,0.0,8.0,10.0,10.0,8.0,12.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0
>ENST00000449530.2,9.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,7.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,9.0,12.0,6.0,9.0,11.0,9.0,8.0,8.0,10.0,10.0,6.0,7.0,7.0,9.0,10.0,11.0,9.0,9.0,7.0,8.0,11.0,9.0,8.0,10.0,9.0,8.0,0.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,11.0,8.0,11.0,10.0,7.0,10.0
>ENST00000434365.1,10.0,10.0,10.0,10.0,642.0,10.0,11.0,12.0,7.0,8.0,10.0,9.0,13.0,9.0,13.0,11.0,11.0,11.0,10.0,12.0,12.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,15.0,9.0,10.0,11.0,0.0,11.0,8.0,12.0,9.0,10.0,13.0,10.0,10.0,9.0,12.0,9.0,9.0,10.0,12.0,9.0,10.0
>ENST00000518224.1,10.0,9.0,11.0,10.0,10.0,13.0,9.0,8.0,6.0,9.0,10.0,7.0,10.0,10.0,8.0,9.0,9.0,11.0,7.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,7.0,7.0,9.0,11.0,12.0,10.0,7.0,11.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,11.0,0.0,8.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,9.0,9.0
>ENST00000429803.1,9.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,6.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,14.0,6.0,12.0,10.0,8.0,10.0,7.0,10.0,8.0,7.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,7.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,0.0,10.0,9.0,10.0,8.0,10.0,8.0,10.0,10.0,12.0,11.0,12.0,10.0,8.0,11.0
>ENST00000578578.5,10.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,10.0,10.0,9.0,11.0,11.0,9.0,11.0,10.0,12.0,10.0,8.0,10.0,11.0,12.0,13.0,10.0,10.0,10.0,10.0,12.0,9.0,10.0,10.0,11.0,12.0,12.0,9.0,12.0,11.0,10.0,0.0,11.0,10.0,11.0,11.0,11.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,13.0
>ENST00000596021.1,9.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,6.0,8.0,11.0,9.0,10.0,9.0,8.0,9.0,12.0,12.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,12.0,7.0,8.0,14.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,0.0,10.0,9.0,11.0,8.0,10.0,10.0,9.0,8.0,9.0,11.0,9.0,12.0
>ENST00000406187.1,11.0,11.0,14.0,12.0,11.0,9.0,10.0,9.0,6.0,9.0,8.0,12.0,11.0,9.0,11.0,11.0,9.0,12.0,7.0,13.0,11.0,8.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,11.0,9.0,8.0,10.0,9.0,10.0,11.0,11.0,9.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,9.0,9.0,13.0,10.0,9.0,9.0,8.0,12.0,8.0,10.0
>ENST00000427910.1,10.0,9.0,10.0,10.0,11.0,10.0,9.0,15.0,8.0,8.0,10.0,9.0,10.0,12.0,10.0,11.0,12.0,9.0,8.0,11.0,10.0,10.0,11.0,10.0,11.0,11.0,7.0,9.0,9.0,12.0,12.0,11.0,8.0,9.0,8.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0,10.0,13.0,9.0,8.0,11.0,9.0,10.0,0.0,9.0,10.0,10.0,11.0,8.0,9.0,8.0,10.0,9.0,12.0
