,>ENST00000515267.2,>ENST00000392363.2,>ENST00000458247.1,>ENST00000530297.1,>ENST00000577881.1,ENSG00000125810.9,>ENST00000411475.2,>ENST00000436709.1,>ENST00000415692.1,>ENST00000611025.1,>ENST00000506772.2,>ENST00000428027.1,>ENST00000453312.1,>ENST00000457712.1,>ENST00000455201.1,ENSG00000222111.1,ENSG00000273767.1,>ENST00000474435.1,>ENST00000585406.1,>ENST00000521058.1,>ENST00000449614.1,ENSG00000199218.1,>ENST00000603234.1,ENSG00000272435.1,>ENST00000470993.1,>ENST00000413342.1,>ENST00000456509.1,>ENST00000438110.1
ENSG00000273767.1,7.0,7.0,8.0,9.0,10.0,10.0,6.0,6.0,6.0,5.0,6.0,8.0,7.0,8.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,7.0
>ENST00000474435.1,7.0,9.0,8.0,8.0,9.0,13.0,7.0,8.0,8.0,7.0,8.0,9.0,10.0,10.0,11.0,8.0,7.0,0.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0
>ENST00000585406.1,10.0,10.0,10.0,8.0,11.0,13.0,9.0,8.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,7.0,9.0,0.0,9.0,8.0,9.0,11.0,10.0,8.0,9.0,8.0,8.0
>ENST00000521058.1,9.0,10.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,11.0,8.0,7.0,7.0,8.0,9.0,0.0,7.0,7.0,10.0,9.0,8.0,9.0,7.0,9.0
>ENST00000449614.1,8.0,8.0,10.0,8.0,8.0,12.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,12.0,10.0,7.0,7.0,8.0,8.0,7.0,0.0,9.0,10.0,7.0,9.0,11.0,8.0,8.0
ENSG00000199218.1,9.0,9.0,11.0,9.0,12.0,10.0,8.0,8.0,11.0,8.0,9.0,11.0,9.0,9.0,10.0,56.0,6.0,7.0,9.0,7.0,9.0,0.0,10.0,7.0,8.0,10.0,11.0,9.0
>ENST00000603234.1,10.0,10.0,11.0,8.0,9.0,10.0,8.0,9.0,9.0,7.0,8.0,10.0,10.0,10.0,10.0,8.0,6.0,9.0,11.0,10.0,10.0,10.0,0.0,7.0,14.0,11.0,9.0,10.0
ENSG00000272435.1,8.0,7.0,7.0,9.0,9.0,10.0,7.0,6.0,8.0,6.0,9.0,8.0,9.0,7.0,8.0,7.0,7.0,8.0,10.0,9.0,7.0,7.0,7.0,0.0,10.0,8.0,7.0,7.0
>ENST00000470993.1,8.0,11.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,11.0,11.0,9.0,7.0,8.0,8.0,8.0,9.0,8.0,14.0,10.0,0.0,10.0,8.0,10.0
>ENST00000413342.1,9.0,11.0,11.0,8.0,11.0,12.0,11.0,11.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,7.0,9.0,9.0,9.0,11.0,10.0,11.0,8.0,10.0,0.0,9.0,11.0
>ENST00000456509.1,9.0,9.0,8.0,10.0,8.0,11.0,8.0,12.0,8.0,7.0,9.0,9.0,12.0,9.0,10.0,8.0,8.0,9.0,8.0,7.0,8.0,11.0,9.0,7.0,8.0,9.0,0.0,8.0
>ENST00000438110.1,9.0,8.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0,14.0,10.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,7.0,10.0,11.0,8.0,0.0
